Frame     E2E latency(ms)     
25        64.999000 ms
26        71.263000 ms
27        67.162000 ms
28        64.449000 ms
29        56.257000 ms
30        67.460000 ms
31        68.652000 ms
32        60.808000 ms
33        63.727000 ms
34        69.885000 ms
35        88.862000 ms
36        78.398000 ms
37        84.185000 ms
38        60.758000 ms
39        72.953000 ms
40        74.172000 ms
41        53.442000 ms
42        76.049000 ms
43        64.927000 ms
44        63.661000 ms
45        72.541000 ms
46        74.796000 ms
47        80.974000 ms
48        71.965000 ms
49        71.888000 ms
50        64.550000 ms
51        69.780000 ms
52        75.418000 ms
53        64.494000 ms
54        69.102000 ms
55        62.845000 ms
56        68.527000 ms
57        91.594000 ms
58        75.416000 ms
59        68.143000 ms
60        69.992000 ms
61        63.998000 ms
62        83.991000 ms
63        71.733000 ms
64        79.607000 ms
65        87.690000 ms
66        64.516000 ms
67        86.745000 ms
68        71.409000 ms
69        84.208000 ms
70        65.847000 ms
71        83.081000 ms
72        67.071000 ms
73        71.468000 ms
74        79.269000 ms
75        76.351000 ms
76        72.427000 ms
77        58.139000 ms
78        85.995000 ms
79        73.068000 ms
80        78.398000 ms
81        73.538000 ms
82        76.835000 ms
83        77.706000 ms
84        87.876000 ms
85        70.756000 ms
86        84.952000 ms
87        71.623000 ms
88        74.258000 ms
89        81.417000 ms
90        68.358000 ms
91        72.180000 ms
92        72.641000 ms
93        75.480000 ms
94        69.688000 ms
95        74.237000 ms
96        71.365000 ms
97        81.820000 ms
98        63.763000 ms
99        70.552000 ms
100       80.009000 ms
101       67.361000 ms
102       76.563000 ms
103       73.324000 ms
104       77.661000 ms
105       67.869000 ms
106       78.076000 ms
107       61.280000 ms
108       71.372000 ms
109       66.293000 ms
110       88.081000 ms
111       67.195000 ms
112       57.234000 ms
113       64.953000 ms
114       70.498000 ms
115       63.609000 ms
116       70.199000 ms
117       68.327000 ms
118       69.899000 ms
119       74.993000 ms
120       70.807000 ms
121       52.574000 ms
122       74.009000 ms
123       68.212000 ms
124       79.399000 ms
125       66.966000 ms
126       68.055000 ms
127       65.418000 ms
128       70.309000 ms
129       52.634000 ms
130       46.241000 ms
131       73.816000 ms
132       75.292000 ms
133       78.080000 ms
134       74.179000 ms
135       63.634000 ms
136       76.190000 ms
137       75.697000 ms
138       83.737000 ms
139       80.847000 ms
140       68.335000 ms
141       78.751000 ms
142       73.951000 ms
143       86.352000 ms
144       69.615000 ms
145       78.446000 ms
146       75.408000 ms
147       77.670000 ms
148       72.179000 ms
149       70.603000 ms
150       76.974000 ms
151       68.076000 ms
152       87.070000 ms
153       70.907000 ms
154       72.170000 ms
155       71.901000 ms
156       85.978000 ms
157       84.939000 ms
158       82.504000 ms
159       70.658000 ms
160       87.302000 ms
161       74.599000 ms
162       74.861000 ms
163       67.615000 ms
164       78.823000 ms
165       71.666000 ms
166       78.240000 ms
167       60.833000 ms
168       80.427000 ms
169       61.437000 ms
170       73.666000 ms
171       68.130000 ms
172       68.447000 ms
173       75.645000 ms
174       57.318000 ms
175       83.241000 ms
176       85.307000 ms
177       69.136000 ms
178       74.388000 ms
179       76.582000 ms
180       78.342000 ms
181       72.704000 ms
182       63.990000 ms
183       72.851000 ms
184       57.795000 ms
185       73.988000 ms
186       91.855000 ms
187       78.602000 ms
188       65.308000 ms
189       84.724000 ms
190       95.462000 ms
191       74.258000 ms
192       59.156000 ms
193       75.246000 ms
194       53.744000 ms
195       70.748000 ms
196       73.597000 ms
197       50.549000 ms
198       73.437000 ms
199       60.713000 ms
200       71.507000 ms
201       61.747000 ms
202       72.673000 ms
203       67.201000 ms
204       53.060000 ms
205       78.684000 ms
206       68.625000 ms
207       97.813000 ms
208       65.843000 ms
209       73.466000 ms
210       69.703000 ms
211       68.525000 ms
212       61.081000 ms
213       68.958000 ms
214       53.576000 ms
215       85.354000 ms
216       66.249000 ms
217       79.531000 ms
218       62.202000 ms
219       70.842000 ms
220       59.010000 ms
221       75.780000 ms
222       80.775000 ms
223       64.185000 ms
224       83.075000 ms
225       69.552000 ms
226       77.824000 ms
227       80.073000 ms
228       67.258000 ms
229       77.243000 ms
230       81.905000 ms
231       63.486000 ms
232       73.822000 ms
233       51.057000 ms
234       78.040000 ms
235       63.882000 ms
236       54.923000 ms
237       77.064000 ms
238       61.817000 ms
239       64.282000 ms
240       75.159000 ms
241       69.344000 ms
242       64.074000 ms
243       73.194000 ms
244       64.851000 ms
245       69.267000 ms
246       50.284000 ms
247       65.441000 ms
248       72.371000 ms
249       62.845000 ms
250       72.100000 ms
251       108.121000 ms
252       100.076000 ms
253       86.968000 ms
254       67.478000 ms
255       58.363000 ms
256       74.889000 ms
257       66.541000 ms
258       93.363000 ms
259       67.898000 ms
260       67.001000 ms
261       83.990000 ms
262       67.970000 ms
263       92.090000 ms
264       72.324000 ms
265       92.486000 ms
266       77.663000 ms
267       65.968000 ms
268       76.121000 ms
269       72.103000 ms
270       69.304000 ms
271       78.275000 ms
272       83.626000 ms
273       64.345000 ms
274       61.594000 ms
275       74.027000 ms
276       55.584000 ms
277       53.682000 ms
278       63.671000 ms
279       71.252000 ms
280       65.118000 ms
281       76.779000 ms
282       58.987000 ms
283       84.732000 ms
284       63.929000 ms
285       80.347000 ms
286       70.330000 ms
287       82.271000 ms
288       71.731000 ms
289       67.473000 ms
290       74.244000 ms
291       74.215000 ms
292       65.592000 ms
293       77.400000 ms
294       58.602000 ms
295       69.079000 ms
296       69.702000 ms
297       69.358000 ms
298       69.864000 ms
299       63.301000 ms
300       74.390000 ms
301       58.845000 ms
302       69.533000 ms
303       77.606000 ms
304       70.987000 ms
305       75.133000 ms
306       69.029000 ms
307       69.844000 ms
308       70.673000 ms
309       70.910000 ms
310       74.267000 ms
311       79.286000 ms
312       69.478000 ms
313       89.973000 ms
314       79.982000 ms
315       79.478000 ms
316       60.641000 ms
