Frame     E2E latency(ms)     
25        61.873000 ms
26        78.213000 ms
27        59.443000 ms
28        73.115000 ms
29        59.411000 ms
30        64.929000 ms
31        81.614000 ms
32        63.996000 ms
33        51.748000 ms
34        79.947000 ms
35        69.839000 ms
36        74.821000 ms
37        86.317000 ms
38        74.376000 ms
39        62.982000 ms
40        67.947000 ms
41        127.131000 ms
42        112.548000 ms
43        93.447000 ms
44        70.786000 ms
45        97.480000 ms
46        67.309000 ms
47        95.387000 ms
48        78.491000 ms
49        82.249000 ms
50        66.595000 ms
51        74.042000 ms
52        79.916000 ms
53        73.038000 ms
54        127.482000 ms
55        110.462000 ms
56        92.646000 ms
57        77.687000 ms
58        78.254000 ms
59        64.943000 ms
60        69.233000 ms
61        78.015000 ms
62        60.955000 ms
63        70.374000 ms
64        64.951000 ms
65        75.881000 ms
66        63.264000 ms
67        75.830000 ms
68        79.386000 ms
69        65.246000 ms
70        58.858000 ms
71        72.887000 ms
72        63.464000 ms
73        73.156000 ms
74        68.392000 ms
75        78.908000 ms
76        61.737000 ms
77        58.739000 ms
78        90.927000 ms
79        68.600000 ms
80        65.857000 ms
81        54.815000 ms
82        82.552000 ms
83        76.792000 ms
84        75.442000 ms
85        70.289000 ms
86        77.982000 ms
87        66.173000 ms
88        68.772000 ms
89        65.710000 ms
90        64.874000 ms
91        78.886000 ms
92        72.509000 ms
93        63.386000 ms
94        60.142000 ms
95        68.629000 ms
96        73.616000 ms
97        67.979000 ms
98        78.517000 ms
99        89.031000 ms
100       74.096000 ms
101       77.085000 ms
102       78.432000 ms
103       79.022000 ms
104       62.562000 ms
105       65.903000 ms
106       76.781000 ms
107       74.707000 ms
108       93.752000 ms
109       87.989000 ms
110       70.429000 ms
111       56.333000 ms
112       90.200000 ms
113       78.737000 ms
114       101.677000 ms
115       96.278000 ms
116       76.763000 ms
117       63.310000 ms
118       98.934000 ms
119       162.121000 ms
120       147.987000 ms
121       127.631000 ms
122       109.028000 ms
123       128.676000 ms
124       111.663000 ms
125       96.758000 ms
126       80.529000 ms
127       85.779000 ms
128       86.960000 ms
129       72.853000 ms
130       53.511000 ms
131       90.303000 ms
132       75.276000 ms
133       93.849000 ms
134       91.897000 ms
135       77.279000 ms
136       91.485000 ms
137       93.757000 ms
138       75.700000 ms
139       62.274000 ms
140       83.068000 ms
141       65.359000 ms
142       54.955000 ms
143       87.658000 ms
144       71.031000 ms
145       80.444000 ms
146       88.902000 ms
147       72.917000 ms
148       62.624000 ms
149       150.212000 ms
150       163.773000 ms
151       141.607000 ms
152       137.596000 ms
153       116.241000 ms
154       136.604000 ms
155       106.680000 ms
156       92.766000 ms
157       77.238000 ms
158       215.873000 ms
159       192.240000 ms
160       175.742000 ms
161       161.450000 ms
162       164.932000 ms
163       151.412000 ms
164       137.360000 ms
165       121.915000 ms
166       103.065000 ms
167       109.617000 ms
168       109.338000 ms
169       87.886000 ms
170       67.145000 ms
171       79.925000 ms
172       76.720000 ms
173       71.545000 ms
174       138.060000 ms
175       118.063000 ms
176       163.389000 ms
177       140.226000 ms
178       129.201000 ms
179       100.595000 ms
180       111.293000 ms
181       98.618000 ms
182       77.813000 ms
183       65.461000 ms
184       70.383000 ms
185       72.040000 ms
186       60.500000 ms
187       105.204000 ms
188       81.878000 ms
189       69.619000 ms
190       105.749000 ms
191       90.535000 ms
192       74.263000 ms
193       58.786000 ms
194       84.885000 ms
195       79.088000 ms
196       63.915000 ms
197       90.239000 ms
198       70.991000 ms
199       60.933000 ms
200       89.992000 ms
201       74.401000 ms
202       72.424000 ms
203       97.274000 ms
204       86.136000 ms
205       68.395000 ms
206       101.184000 ms
207       91.983000 ms
208       79.675000 ms
209       97.755000 ms
210       98.106000 ms
211       68.227000 ms
212       104.713000 ms
213       95.673000 ms
214       76.473000 ms
215       93.009000 ms
216       88.899000 ms
217       76.208000 ms
218       84.747000 ms
219       93.083000 ms
220       70.327000 ms
221       100.255000 ms
222       99.091000 ms
223       87.352000 ms
224       76.590000 ms
225       96.623000 ms
