Frame        Inference_Time_ms    Objects_Detected
0                       173.13                  14
1                        29.76                  12
2                        28.30                  12
3                        28.14                  13
4                        28.13                  15
5                        28.08                  15
6                        28.36                  11
7                        28.09                  14
8                        20.65                  13
9                        15.83                  14
10                       16.33                  14
11                       15.80                  14
12                       15.81                  15
13                       16.08                  15
14                       15.77                  14
15                       15.46                  16
16                       15.51                  16
17                       15.81                  16
18                       15.51                  16
19                       15.49                  17
20                       14.56                  14
21                       14.14                  18
22                       14.06                  14
23                       14.04                  15
24                       14.01                  16
25                       14.00                  16
26                       14.06                  14
27                       14.12                  14
28                       14.08                  14
29                       14.04                  17
30                       14.23                  13
31                       14.01                  14
32                       14.02                  14
33                       14.02                  15
34                       14.04                  16
35                       14.10                  15
36                       13.99                  16
37                       13.98                  14
38                       14.17                  15
39                       14.14                  15
40                       14.29                  16
41                       14.07                  14
42                       14.07                  13
43                       14.05                  14
44                       14.24                  14
45                       14.06                  15
46                       14.08                  14
47                       14.33                  13
48                       14.08                  14
49                       14.03                  12
50                       14.07                  14
51                       13.97                  14
52                       13.99                  13
53                       13.96                  15
54                       13.93                  16
55                       13.96                  15
56                       13.98                  15
57                       14.01                  13
58                       13.98                  16
59                       13.97                  16
60                       13.95                  16
61                       14.04                  15
62                       14.16                  16
63                       14.07                  18
64                       14.05                  15
65                       13.95                  16
66                       14.33                  14
67                       14.27                  13
68                       14.03                  14
69                       14.49                  14
70                       14.22                  10
71                       14.06                  10
72                       14.02                  11
73                       14.02                  14
74                       13.94                  14
75                       14.82                  15
76                       14.41                  13
77                       14.45                  15
78                       14.33                  16
79                       14.41                  18
80                       14.34                  14
81                       14.45                  16
82                       14.45                  16
83                       14.45                  18
84                       14.31                  17
85                       14.33                  17
86                       14.46                  15
87                       14.69                  15
88                       14.64                  14
89                       14.59                  18
90                       14.47                  16
91                       14.50                  15
92                       14.72                  16
93                       14.72                  16
94                       14.71                  15
95                       14.75                  17
96                       14.73                  15
97                       14.67                  15
98                       14.67                  15
99                       14.82                  17
100                      14.87                  15
101                      14.85                  16
102                      14.96                  15
103                      14.70                  15
104                      15.13                  16
105                      14.91                  16
106                      14.98                  19
107                      15.11                  21
108                      14.74                  19
109                      15.05                  18
110                      14.79                  16
111                      14.73                  17
112                      14.78                  18
113                      14.80                  13
114                      14.81                  12
115                      14.81                  15
116                      14.78                  14
117                      15.03                  15
118                      15.13                  18
119                      15.04                  19
120                      14.86                  17
121                      14.91                  17
122                      14.89                  16
123                      14.87                  15
124                      14.87                  15
125                      14.94                  15
126                      14.90                  12
127                      14.89                  14
128                      15.14                  15
129                      14.95                  14
130                      15.14                  13
131                      15.13                  15
132                      14.99                  13
133                      14.99                  15
134                      15.48                  15
135                      15.31                  16
136                      15.33                  13
137                      15.29                  14
138                      15.18                  13
139                      15.15                  14
140                      15.17                  13
141                      14.65                  14
142                      14.63                  16
143                      14.64                  15
144                      14.49                  12
145                      14.66                  13
146                      14.64                  16
147                      14.55                  13
148                      14.51                  12
149                      14.55                  12
150                      14.51                  14
151                      14.54                  12
152                      14.50                  15
153                      14.46                  14
154                      14.54                  17
155                      14.50                  14
156                      14.48                  16
157                      14.49                  14
158                      14.49                  12
159                      14.48                  13
160                      14.49                  14
161                      14.53                  14
162                      14.50                  14
163                      14.50                  14
164                      14.50                  15
165                      14.58                  14
166                      14.46                  11
167                      14.57                  13
168                      14.51                  14
169                      14.53                  14
170                      14.45                  15
171                      14.52                  13
172                      14.47                  15
173                      14.52                  15
174                      14.47                  14
175                      14.47                  16
176                      14.48                  13
177                      14.47                  14
178                      14.52                  13
179                      14.50                  15
180                      14.47                  14
181                      14.49                  15
182                      14.49                  15
183                      14.49                  15
184                      14.52                  14
185                      14.56                  15
186                      14.47                  14
187                      14.50                  17
188                      14.50                  16
189                      14.65                  15
190                      14.63                  17
191                      14.68                  17
192                      14.55                  15
193                      14.48                  17
194                      14.54                  17
195                      15.10                  16
196                      15.31                  14
197                      15.61                  14
198                      15.27                  18
199                      15.18                  17
200                      15.17                  14
201                      15.52                  13
202                      15.46                  11
203                      15.44                  11
204                      15.41                  14
205                      15.31                  13
206                      15.28                  12
207                      15.39                  14
208                      15.27                  14
209                      15.37                  12
210                      15.36                  13
211                      15.51                  12
212                      15.25                  12
213                      15.48                  11
214                      15.59                  11
215                      15.57                  13
216                      15.41                  13
217                      15.37                  12
218                      15.43                  12
219                      15.39                  13
220                      14.55                  14
221                      14.52                  16
222                      14.54                  16
223                      14.62                  17
224                      14.38                  17
225                      14.41                  13
226                      14.41                  13
227                      14.44                  13
228                      14.67                  13
229                      14.38                  13
230                      14.58                  13
231                      14.55                  14
232                      14.54                  13
233                      14.51                  14
234                      14.46                  14
235                      14.41                  13
236                      14.81                  17
237                      14.52                  15
238                      14.56                  14
239                      14.53                  12
240                      14.69                  13
241                      14.42                  15
242                      14.39                  14
243                      14.63                  13
244                      14.37                  14
245                      14.42                  13
246                      14.40                  13
247                      14.41                  13
248                      14.46                  14
249                      14.41                  12
250                      14.47                  14
251                      14.43                  13
252                      14.71                  13
253                      14.57                  13
254                      14.55                  14
255                      14.58                  18
256                      14.39                  17
257                      14.41                  18
258                      14.42                  19
259                      14.56                  20
260                      14.63                  20
261                      14.59                  20
262                      14.58                  18
263                      14.43                  20
264                      14.44                  22
265                      14.54                  17
266                      14.58                  18
267                      14.54                  20
268                      14.41                  19
269                      14.43                  21
270                      14.45                  19
271                      14.42                  18
272                      14.39                  18
273                      14.42                  19
274                      14.62                  18
275                      14.67                  17
276                      14.63                  18
277                      14.50                  16
278                      14.75                  15
279                      14.50                  17
280                      14.53                  18
281                      14.73                  17
282                      14.73                  20
283                      14.74                  20
284                      14.73                  20
285                      14.61                  20
286                      14.86                  22
287                      14.84                  21
288                      14.85                  20
289                      14.69                  21
290                      14.70                  22
291                      14.69                  21
292                      14.93                  17
293                      15.02                  17
294                      14.91                  20
295                      14.77                  15
296                      14.78                  18
297                      14.83                  17
298                      15.03                  23
299                      15.05                  21
300                      15.04                  21
301                      14.90                  21
302                      14.89                  21
303                      14.87                  20
304                      14.88                  23
305                      14.90                  22
306                      14.89                  20
307                      14.88                  20
308                      14.89                  19
309                      14.90                  21
310                      15.13                  20
311                      15.13                  19
312                      15.14                  20
313                      14.99                  22
314                      14.97                  21
315                      14.99                  22
316                      15.01                  23
317                      14.98                  24
318                      14.99                  23
319                      14.98                  24
320                      14.98                  22
321                      14.97                  21
322                      15.25                  22
323                      15.26                  22
324                      15.22                  21
325                      15.08                  21
326                      15.13                  21
327                      15.06                  21
328                      15.10                  22
329                      15.09                  22
330                      15.10                  23
331                      15.07                  25
332                      15.15                  24
333                      15.07                  22
334                      15.37                  22
335                      15.33                  23
336                      15.33                  20
337                      15.16                  24
338                      15.15                  22
339                      15.18                  20
340                      15.18                  23
341                      15.22                  18
342                      15.16                  21
343                      15.18                  19
344                      15.16                  14
345                      15.17                  17
346                      15.16                  19
347                      15.25                  21
348                      15.15                  21
349                      15.16                  20
350                      15.16                  21
351                      15.32                  18
352                      15.39                  18
353                      15.48                  18
354                      15.46                  19
355                      15.30                  18
356                      15.27                  18
357                      15.27                  16
358                      15.28                  17
359                      15.27                  19
360                      15.27                  17
361                      15.32                  16
362                      15.29                  17
363                      15.30                  18
364                      15.43                  17
365                      15.59                  16
366                      15.59                  17
367                      15.40                  17
368                      15.39                  16
369                      15.42                  20
370                      15.39                  20
371                      15.40                  19
372                      15.40                  22
373                      15.43                  24
374                      15.42                  24
375                      15.44                  23
376                      15.38                  21
377                      15.41                  20
378                      15.47                  22
379                      15.42                  19
380                      15.41                  20
381                      15.39                  20
382                      16.20                  17
383                      15.75                  19
384                      15.79                  19
385                      15.53                  20
386                      15.49                  19
387                      15.58                  19
388                      15.97                  17
389                      16.01                  20
390                      15.99                  20
391                      15.67                  19
392                      15.62                  20
393                      15.61                  20
394                      15.59                  19
395                      14.27                  19
396                      14.28                  23
397                      14.30                  20
398                      14.19                  19
399                      14.17                  19
400                      14.16                  20
401                      14.29                  20
402                      14.27                  20
403                      14.28                  16
404                      14.27                  19
405                      14.30                  18
406                      14.28                  16
407                      14.26                  17
408                      14.29                  19
409                      14.19                  18
410                      14.18                  17
411                      14.21                  14
412                      14.23                  20
413                      14.23                  16
414                      14.21                  22
415                      14.22                  20
416                      14.21                  19
417                      14.40                  20
418                      14.20                  17
419                      14.23                  19
420                      14.20                  20
421                      14.29                  19
422                      14.33                  18
423                      14.29                  21
424                      14.30                  19
425                      14.33                  15
426                      14.23                  17
427                      14.20                  18
428                      14.21                  18
429                      14.35                  21
430                      14.25                  16
431                      14.26                  21
432                      14.28                  20
433                      14.26                  20
434                      14.27                  22
435                      14.24                  19
436                      14.29                  19
437                      14.23                  19
438                      14.15                  18
439                      14.37                  15
440                      14.33                  18
441                      14.24                  17
442                      14.31                  20
443                      14.27                  21
444                      14.28                  23
445                      14.26                  20
446                      14.35                  20
447                      14.25                  21
448                      14.76                  18
449                      14.73                  20
450                      15.84                  19
451                      15.48                  16
452                      15.41                  17
453                      15.64                  16
454                      15.37                  20
455                      15.43                  18
456                      15.39                  18
457                      15.46                  19
458                      15.36                  18
459                      15.39                  20
460                      15.34                  19
461                      14.23                  20
462                      14.16                  19
463                      14.10                  24
464                      14.07                  23
465                      14.01                  24
466                      13.96                  22
467                      14.34                  25
468                      14.12                  21
469                      14.56                  26
470                      14.14                  22
471                      14.16                  23
472                      14.20                  22
473                      14.09                  25
474                      14.20                  23
475                      14.18                  23
476                      14.18                  26
477                      14.13                  21
478                      14.34                  24
479                      14.10                  23
480                      14.12                  24
481                      14.34                  21
482                      14.23                  21
483                      14.14                  26
484                      14.09                  21
485                      14.03                  24
486                      14.02                  20
487                      14.23                  24
488                      14.11                  19
489                      14.39                  20
490                      14.21                  21
491                      14.09                  23
492                      14.12                  21
493                      14.09                  22
494                      14.06                  21
495                      14.20                  17
496                      14.46                  19
497                      14.46                  19
498                      14.33                  19
499                      14.13                  19
500                      14.73                  20
501                      14.07                  20
502                      14.07                  20
503                      14.41                  17
504                      14.60                  18
505                      14.17                  19
506                      14.09                  18
507                      14.27                  18
508                      14.16                  17
509                      14.36                  18
510                      14.25                  17
511                      14.11                  22
512                      14.10                  20
513                      14.25                  20
514                      14.16                  21
515                      15.20                  21
516                      15.24                  21
517                      15.24                  23
518                      15.13                  21
519                      15.17                  19
520                      15.15                  23
521                      15.28                  19
522                      15.28                  19
523                      15.31                  22
524                      15.08                  20
525                      15.14                  20
526                      15.10                  21
527                      15.14                  18
528                      15.08                  19
529                      15.20                  19
530                      15.14                  19
531                      15.14                  20
532                      15.52                  21
533                      15.52                  20
534                      15.50                  19
535                      15.51                  20
536                      15.33                  20
537                      15.31                  19
538                      15.29                  19
539                      14.50                  18
540                      14.47                  17
541                      14.47                  17
542                      14.36                  18
543                      14.39                  22
544                      14.39                  19
545                      14.36                  20
