Frame        Inference_Time_ms    Objects_Detected
0                       171.97                  14
1                        29.81                  12
2                        28.31                  12
3                        28.17                  13
4                        28.09                  15
5                        28.10                  15
6                        28.26                  11
7                        28.30                  13
8                        16.87                  13
9                        16.24                  14
10                       16.55                  14
11                       15.97                  14
12                       16.07                  15
13                       16.65                  15
14                       16.65                  14
15                       15.98                  16
16                       15.80                  16
17                       16.45                  16
18                       15.58                  16
19                       15.78                  17
20                       14.64                  14
21                       14.13                  18
22                       14.05                  14
23                       14.40                  15
24                       14.27                  16
25                       14.14                  16
26                       14.07                  14
27                       14.03                  14
28                       13.99                  14
29                       13.96                  17
30                       13.97                  13
31                       13.98                  14
32                       13.96                  14
33                       13.99                  15
34                       13.99                  16
35                       14.24                  15
36                       14.20                  16
37                       14.25                  14
38                       14.18                  15
39                       14.12                  15
40                       14.04                  16
41                       14.07                  14
42                       13.97                  13
43                       13.99                  14
44                       14.03                  14
45                       13.96                  15
46                       14.29                  14
47                       14.23                  13
48                       14.07                  14
49                       14.06                  12
50                       14.08                  14
51                       14.04                  14
52                       13.99                  13
53                       13.99                  15
54                       13.97                  16
55                       13.97                  15
56                       14.13                  15
57                       13.95                  13
58                       14.04                  16
59                       14.01                  16
60                       13.96                  16
61                       14.00                  15
62                       13.95                  16
63                       14.02                  18
64                       13.96                  15
65                       13.98                  16
66                       13.97                  14
67                       14.00                  13
68                       13.97                  14
69                       14.01                  14
70                       14.00                  10
71                       14.08                  10
72                       13.98                  11
73                       14.12                  14
74                       14.11                  14
75                       14.55                  15
76                       14.54                  13
77                       14.60                  15
78                       14.54                  16
79                       14.58                  18
80                       14.68                  14
81                       14.79                  16
82                       14.75                  16
83                       14.59                  18
84                       14.58                  17
85                       14.59                  17
86                       14.86                  15
87                       14.84                  15
88                       14.85                  14
89                       14.70                  18
90                       14.67                  16
91                       14.97                  15
92                       14.67                  16
93                       14.68                  16
94                       14.74                  15
95                       14.66                  17
96                       14.65                  15
97                       14.70                  15
98                       15.04                  15
99                       15.05                  17
100                      15.07                  15
101                      14.92                  16
102                      15.79                  15
103                      15.21                  15
104                      15.66                  16
105                      15.11                  16
106                      16.56                  19
107                      32.66                  21
108                      15.79                  19
109                      15.07                  18
110                      30.17                  16
111                      21.15                  17
112                      14.72                  18
113                      38.77                  13
114                      14.94                  12
115                      14.90                  15
116                      28.01                  14
117                      25.27                  15
118                      15.20                  18
119                      14.68                  19
120                      19.05                  17
121                      15.42                  17
122                      14.95                  16
123                      36.88                  15
124                      15.35                  15
125                      14.55                  15
126                      26.65                  12
127                      15.21                  14
128                      15.71                  15
129                      32.42                  14
130                      15.15                  13
131                      14.63                  15
132                      29.94                  13
133                      14.58                  15
134                      14.46                  15
135                      36.45                  16
136                      15.14                  13
137                      14.67                  14
138                      36.70                  13
139                      29.43                  14
140                      37.30                  14
141                      29.51                  17
142                      15.55                  15
143                      15.66                  12
144                      37.76                  13
145                      32.48                  16
146                      15.38                  13
147                      15.21                  12
148                      35.60                  12
149                      34.83                  14
150                      15.29                  12
151                      15.21                  14
152                      35.29                  14
153                      34.77                  17
154                      15.43                  14
155                      15.40                  16
156                      34.99                  14
157                      34.72                  12
158                      15.42                  13
159                      15.38                  13
160                      35.81                  14
161                      35.14                  14
162                      15.18                  14
163                      26.01                  14
164                      39.26                  15
165                      15.50                  14
166                      15.32                  11
167                      39.90                  13
168                      15.48                  14
169                      15.35                  14
170                      37.31                  15
171                      24.57                  13
172                      15.15                  15
173                      33.18                  15
174                      26.34                  14
175                      14.74                  16
176                      14.41                  13
177                      31.01                  14
178                      15.76                  13
179                      14.77                  15
180                      38.82                  14
181                      15.46                  15
182                      14.81                  15
183                      28.54                  15
184                      16.34                  14
185                      15.99                  15
186                      32.18                  14
187                      22.36                  17
188                      15.27                  16
189                      35.99                  15
190                      24.65                  17
191                      15.45                  17
192                      30.62                  17
193                      15.75                  17
194                      15.77                  17
195                      15.75                  16
196                      39.32                  14
197                      15.62                  14
198                      14.98                  18
199                      29.77                  17
200                      15.07                  14
201                      14.65                  13
202                      38.51                  11
203                      21.96                  11
204                      15.77                  14
205                      38.46                  13
206                      24.72                  12
207                      15.93                  14
208                      22.47                  14
209                      35.75                  12
210                      15.89                  13
211                      15.62                  12
212                      39.26                  12
213                      15.66                  11
214                      15.87                  11
215                      38.79                  13
216                      15.74                  13
217                      15.65                  12
218                      38.76                  12
219                      27.68                  13
220                      15.96                  14
221                      28.88                  16
222                      26.79                  16
223                      15.63                  17
224                      42.82                  17
225                      21.69                  13
226                      15.11                  13
227                      26.56                  13
228                      34.85                  13
229                      15.77                  13
230                      15.43                  13
231                      37.83                  14
232                      15.22                  13
233                      14.72                  14
234                      28.50                  14
235                      15.72                  13
236                      15.02                  17
237                      21.63                  15
238                      15.58                  14
239                      14.77                  12
240                      36.95                  13
241                      15.36                  15
242                      14.71                  14
243                      36.73                  13
244                      15.31                  14
245                      14.71                  13
246                      38.47                  13
247                      15.30                  13
248                      14.98                  14
249                      38.73                  12
250                      14.68                  14
251                      14.64                  13
252                      38.01                  13
253                      15.13                  13
254                      14.91                  14
255                      14.39                  18
256                      19.27                  17
257                      15.86                  18
258                      28.58                  19
259                      27.55                  20
260                      14.73                  20
261                      14.55                  20
262                      39.82                  18
263                      15.56                  20
264                      14.83                  22
265                      16.80                  17
266                      14.82                  18
267                      14.24                  20
268                      27.63                  19
269                      14.80                  21
270                      14.44                  19
271                      27.97                  18
272                      14.76                  18
273                      14.75                  19
274                      14.59                  18
275                      27.67                  17
276                      14.53                  18
277                      14.11                  16
278                      17.04                  15
279                      14.36                  17
280                      14.21                  18
281                      19.62                  17
282                      15.03                  20
283                      14.63                  20
284                      21.09                  20
285                      15.02                  20
286                      14.45                  22
287                      28.81                  21
288                      14.57                  20
289                      14.23                  21
290                      14.21                  22
291                      15.05                  21
292                      14.39                  17
293                      28.09                  17
294                      14.73                  20
295                      14.89                  15
296                      14.28                  18
297                      27.57                  17
298                      15.13                  23
299                      14.55                  21
300                      25.78                  21
301                      15.37                  21
302                      14.90                  21
303                      33.68                  20
304                      14.87                  23
305                      14.50                  22
306                      35.15                  20
307                      15.51                  20
308                      30.13                  19
309                      20.79                  21
310                      15.12                  20
311                      15.09                  19
312                      21.17                  20
313                      28.02                  22
314                      15.52                  21
315                      14.51                  22
316                      21.12                  23
317                      15.34                  24
318                      14.99                  23
319                      36.19                  24
320                      15.07                  22
321                      14.43                  21
322                      27.34                  22
323                      15.39                  22
324                      15.19                  21
325                      33.47                  21
326                      15.64                  21
