Frame     E2E latency(ms)          
23        77.478000 ms        
24        59.983000 ms        
25        58.651000 ms        
26        73.944000 ms        
27        57.807000 ms        
28        66.787000 ms        
29        77.524000 ms        
30        58.863000 ms        
31        60.248000 ms        
32        60.482000 ms        
33        57.079000 ms        
34        66.548000 ms        
35        57.334000 ms        
36        67.502000 ms        
37        69.567000 ms        
38        57.114000 ms        
39        65.953000 ms        
40        77.576000 ms        
41        80.802000 ms        
42        62.532000 ms        
43        63.593000 ms        
44        77.613000 ms        
45        80.749000 ms        
46        66.365000 ms        
47        58.071000 ms        
48        67.947000 ms        
49        60.818000 ms        
50        60.378000 ms        
51        58.124000 ms        
52        68.608000 ms        
53        58.285000 ms        
54        74.881000 ms        
55        59.470000 ms        
56        59.350000 ms        
57        58.573000 ms        
58        66.834000 ms        
59        65.800000 ms        
60        59.136000 ms        
61        69.577000 ms        
62        74.297000 ms        
63        73.152000 ms        
64        68.574000 ms        
65        65.692000 ms        
66        58.110000 ms        
67        65.891000 ms        
68        64.755000 ms        
69        56.354000 ms        
70        53.667000 ms        
71        63.983000 ms        
72        67.696000 ms        
73        78.943000 ms        
74        65.384000 ms        
75        59.807000 ms        
76        75.436000 ms        
77        55.841000 ms        
78        67.184000 ms        
79        57.868000 ms        
80        66.369000 ms        
81        79.234000 ms        
82        66.888000 ms        
83        74.407000 ms        
84        73.059000 ms        
85        87.718000 ms        
86        68.311000 ms        
87        72.546000 ms        
88        83.495000 ms        
89        64.995000 ms        
90        78.066000 ms        
91        64.242000 ms        
92        83.108000 ms        
93        63.789000 ms        
94        59.602000 ms        
95        80.596000 ms        
96        72.495000 ms        
97        75.521000 ms        
98        58.298000 ms        
99        72.038000 ms        
100       98.679000 ms        
101       76.107000 ms        
102       71.496000 ms        
103       65.497000 ms        
104       60.488000 ms        
105       73.838000 ms        
106       95.678000 ms        
107       80.248000 ms        
108       72.146000 ms        
109       54.577000 ms        
110       59.385000 ms        
111       73.403000 ms        
112       98.616000 ms        
113       73.019000 ms        
114       79.877000 ms        
115       62.069000 ms        
116       60.217000 ms        
117       64.784000 ms        
118       105.758000 ms       
119       86.770000 ms        
120       73.183000 ms        
121       74.773000 ms        
122       59.080000 ms        
123       88.908000 ms        
124       72.973000 ms        
125       65.870000 ms        
126       86.285000 ms        
127       78.430000 ms        
128       101.816000 ms       
129       91.986000 ms        
130       69.456000 ms        
131       76.356000 ms        
132       57.614000 ms        
133       76.698000 ms        
134       63.822000 ms        
135       59.446000 ms        
136       74.156000 ms        
137       65.442000 ms        
138       87.452000 ms        
139       82.502000 ms        
140       65.084000 ms        
141       66.372000 ms        
142       58.398000 ms        
143       78.422000 ms        
144       74.962000 ms        
145       79.755000 ms        
146       58.209000 ms        
147       59.951000 ms        
148       78.622000 ms        
149       81.742000 ms        
150       88.744000 ms        
151       78.434000 ms        
152       63.125000 ms        
153       67.049000 ms        
154       65.759000 ms        
155       82.838000 ms        
156       73.702000 ms        
157       94.708000 ms        
158       85.256000 ms        
159       90.035000 ms        
160       72.714000 ms        
161       65.877000 ms        
162       86.258000 ms        
163       78.071000 ms        
164       81.667000 ms        
165       71.778000 ms        
166       78.495000 ms        
167       83.029000 ms        
168       82.424000 ms        
169       95.298000 ms        
170       85.333000 ms        
171       67.849000 ms        
172       78.548000 ms        
173       65.585000 ms        
174       56.639000 ms        
175       58.893000 ms        
176       68.686000 ms        
177       80.321000 ms        
178       67.512000 ms        
179       61.429000 ms        
180       62.956000 ms        
181       67.443000 ms        
182       57.794000 ms        
183       59.968000 ms        
184       74.137000 ms        
185       58.358000 ms        
186       66.381000 ms        
187       57.913000 ms        
188       60.505000 ms        
189       58.151000 ms        
190       60.733000 ms        
191       61.400000 ms        
192       58.626000 ms        
193       74.037000 ms        
194       65.333000 ms        
195       70.007000 ms        
196       66.615000 ms        
197       60.380000 ms        
198       59.086000 ms        
199       68.571000 ms        
200       63.518000 ms        
201       58.286000 ms        
202       66.030000 ms        
203       73.422000 ms        
204       64.212000 ms        
205       67.788000 ms        
206       81.701000 ms        
207       64.856000 ms        
208       62.207000 ms        
209       65.763000 ms        
210       65.315000 ms        
211       56.633000 ms        
212       63.372000 ms        
213       60.277000 ms        
214       73.190000 ms        
215       59.206000 ms        
216       66.105000 ms        
217       57.809000 ms        
218       57.588000 ms        
219       59.099000 ms        
220       72.814000 ms        
221       74.015000 ms        
222       55.957000 ms        
223       67.022000 ms        
224       61.301000 ms        
225       61.063000 ms        
226       67.694000 ms        
227       80.641000 ms        
228       64.009000 ms        
229       68.570000 ms        
230       69.108000 ms        
231       69.049000 ms        
232       69.752000 ms        
233       65.564000 ms        
234       68.670000 ms        
235       65.801000 ms        
236       58.652000 ms        
237       67.840000 ms        
238       74.556000 ms        
239       93.313000 ms        
240       74.504000 ms        
241       85.646000 ms        
242       69.603000 ms        
243       60.275000 ms        
244       72.576000 ms        
245       101.447000 ms       
246       84.222000 ms        
247       78.542000 ms        
248       56.635000 ms        
249       60.084000 ms        
250       79.948000 ms        
251       106.804000 ms       
252       88.806000 ms        
253       74.748000 ms        
254       58.252000 ms        
255       62.191000 ms        
256       74.035000 ms        
257       65.981000 ms        
258       91.079000 ms        
259       78.772000 ms        
260       61.261000 ms        
261       66.901000 ms        
262       77.662000 ms        
263       106.253000 ms       
264       76.725000 ms        
265       87.628000 ms        
266       68.167000 ms        
267       58.003000 ms        
268       74.818000 ms        
269       103.419000 ms       
270       86.379000 ms        
271       78.613000 ms        
272       64.145000 ms        
273       59.794000 ms        
274       59.134000 ms        
275       85.361000 ms        
276       72.872000 ms        
277       74.693000 ms        
278       56.180000 ms        
279       60.083000 ms        
280       71.656000 ms        
281       65.036000 ms        
282       89.014000 ms        
283       78.733000 ms        
284       61.969000 ms        
285       73.240000 ms        
286       67.620000 ms        
287       80.633000 ms        
288       73.003000 ms        
289       94.423000 ms        
290       85.822000 ms        
291       62.726000 ms        
292       98.538000 ms        
293       76.637000 ms        
294       78.987000 ms        
295       61.441000 ms        
296       98.337000 ms        
297       92.649000 ms        
298       79.472000 ms        
299       83.224000 ms        
300       73.382000 ms        
301       77.558000 ms        
302       67.247000 ms        
303       58.961000 ms        
304       73.686000 ms        
305       65.887000 ms        
306       86.570000 ms        
307       78.496000 ms        
308       57.150000 ms        
309       73.792000 ms        
310       72.975000 ms        
311       78.494000 ms        
312       73.620000 ms        
313       97.720000 ms        
314       85.820000 ms        
315       91.202000 ms        
316       72.829000 ms        
317       69.124000 ms        
318       85.065000 ms        
319       66.466000 ms        
320       67.166000 ms        
321       58.041000 ms        
322       66.695000 ms        
