Frame     E2E latency(ms)     
24        85.182000 ms        
25        83.152000 ms        
26        65.808000 ms        
27        69.960000 ms        
28        78.209000 ms        
29        74.977000 ms        
30        75.277000 ms        
31        68.570000 ms        
32        61.694000 ms        
33        75.687000 ms        
34        61.392000 ms        
35        85.225000 ms        
36        74.498000 ms        
37        79.994000 ms        
38        65.053000 ms        
39        67.771000 ms        
40        78.490000 ms        
41        68.699000 ms        
42        81.338000 ms        
43        81.925000 ms        
44        66.594000 ms        
45        65.097000 ms        
46        62.852000 ms        
47        82.572000 ms        
48        74.522000 ms        
49        99.503000 ms        
50        89.157000 ms        
51        65.592000 ms        
52        83.853000 ms        
53        68.288000 ms        
54        76.215000 ms        
55        56.614000 ms        
56        58.347000 ms        
57        68.882000 ms        
58        100.613000 ms       
59        81.176000 ms        
60        74.876000 ms        
61        81.682000 ms        
62        65.983000 ms        
63        67.052000 ms        
64        72.397000 ms        
65        62.392000 ms        
66        58.959000 ms        
67        58.841000 ms        
68        71.782000 ms        
69        64.183000 ms        
70        61.226000 ms        
71        60.317000 ms        
72        87.222000 ms        
73        67.620000 ms        
74        72.118000 ms        
75        69.925000 ms        
76        59.846000 ms        
77        75.535000 ms        
78        82.402000 ms        
79        63.705000 ms        
80        61.733000 ms        
81        57.604000 ms        
82        63.891000 ms        
83        78.698000 ms        
84        61.112000 ms        
85        63.869000 ms        
86        63.635000 ms        
87        61.981000 ms        
88        73.823000 ms        
89        61.205000 ms        
90        63.336000 ms        
91        73.289000 ms        
92        81.926000 ms        
93        73.124000 ms        
94        55.460000 ms        
95        68.016000 ms        
96        59.151000 ms        
97        60.010000 ms        
98        55.422000 ms        
99        73.678000 ms        
100       60.824000 ms        
101       64.375000 ms        
102       68.038000 ms        
103       62.728000 ms        
104       63.587000 ms        
105       62.951000 ms        
106       69.819000 ms        
107       66.412000 ms        
108       66.473000 ms        
109       60.593000 ms        
110       61.902000 ms        
111       58.989000 ms        
112       59.210000 ms        
113       61.103000 ms        
114       62.784000 ms        
115       69.033000 ms        
116       61.546000 ms        
117       65.178000 ms        
118       62.842000 ms        
119       68.224000 ms        
120       81.213000 ms        
121       63.431000 ms        
122       62.620000 ms        
123       63.773000 ms        
124       75.264000 ms        
125       69.005000 ms        
126       96.839000 ms        
127       98.815000 ms        
128       68.921000 ms        
129       78.283000 ms        
130       61.716000 ms        
131       90.263000 ms        
132       74.885000 ms        
133       69.779000 ms        
134       66.540000 ms        
135       63.164000 ms        
136       73.212000 ms        
137       68.630000 ms        
138       86.127000 ms        
139       67.193000 ms        
140       68.538000 ms        
141       78.980000 ms        
142       61.708000 ms        
143       79.610000 ms        
144       61.156000 ms        
145       58.898000 ms        
146       73.358000 ms        
147       57.517000 ms        
148       79.635000 ms        
149       68.853000 ms        
150       85.058000 ms        
151       66.828000 ms        
152       65.125000 ms        
153       80.829000 ms        
154       63.204000 ms        
155       81.733000 ms        
156       75.085000 ms        
157       79.767000 ms        
158       88.729000 ms        
159       65.053000 ms        
160       69.926000 ms        
161       68.832000 ms        
162       82.297000 ms        
163       64.082000 ms        
164       67.419000 ms        
165       95.478000 ms        
166       79.538000 ms        
167       69.268000 ms        
168       74.652000 ms        
169       81.075000 ms        
170       88.468000 ms        
171       66.312000 ms        
172       69.689000 ms        
173       68.366000 ms        
174       79.615000 ms        
175       63.533000 ms        
176       60.539000 ms        
177       63.568000 ms        
178       65.862000 ms        
179       78.596000 ms        
180       75.097000 ms        
181       80.233000 ms        
182       68.724000 ms        
183       61.000000 ms        
184       74.937000 ms        
185       67.906000 ms        
186       91.864000 ms        
187       81.628000 ms        
188       65.200000 ms        
189       73.650000 ms        
190       62.194000 ms        
191       83.716000 ms        
192       80.996000 ms        
193       63.410000 ms        
194       88.186000 ms        
195       94.497000 ms        
196       78.518000 ms        
197       68.760000 ms        
198       95.858000 ms        
199       81.604000 ms        
200       67.898000 ms        
201       74.734000 ms        
202       69.404000 ms        
203       108.385000 ms       
204       86.107000 ms        
205       65.790000 ms        
206       70.831000 ms        
207       63.715000 ms        
208       75.940000 ms        
209       68.234000 ms        
210       84.067000 ms        
211       65.249000 ms        
212       65.223000 ms        
213       79.447000 ms        
214       61.685000 ms        
215       60.872000 ms        
216       67.961000 ms        
217       60.689000 ms        
218       72.509000 ms        
219       68.970000 ms        
220       60.563000 ms        
221       64.656000 ms        
222       66.785000 ms        
223       68.423000 ms        
224       62.656000 ms        
225       60.974000 ms        
226       80.123000 ms        
227       84.382000 ms        
228       77.720000 ms        
229       59.908000 ms        
230       67.469000 ms        
231       82.395000 ms        
232       67.667000 ms        
233       60.404000 ms        
234       67.169000 ms        
235       73.714000 ms        
236       81.640000 ms        
237       66.443000 ms        
238       79.151000 ms        
239       63.338000 ms        
240       74.936000 ms        
241       67.126000 ms        
242       73.982000 ms        
243       81.614000 ms        
244       83.942000 ms        
245       76.352000 ms        
246       84.737000 ms        
247       66.418000 ms        
248       67.191000 ms        
249       65.372000 ms        
250       67.238000 ms        
251       81.511000 ms        
252       64.096000 ms        
253       61.878000 ms        
254       69.534000 ms        
255       64.108000 ms        
256       64.184000 ms        
257       79.806000 ms        
258       74.867000 ms        
259       61.434000 ms        
260       79.529000 ms        
261       64.507000 ms        
262       63.643000 ms        
263       64.459000 ms        
264       63.194000 ms        
265       79.094000 ms        
266       62.696000 ms        
267       73.916000 ms        
268       66.077000 ms        
269       73.593000 ms        
270       61.288000 ms        
271       70.804000 ms        
272       64.944000 ms        
273       64.136000 ms        
274       62.710000 ms        
275       85.592000 ms        
276       91.716000 ms        
277       62.029000 ms        
278       73.353000 ms        
279       62.467000 ms        
280       72.336000 ms        
281       68.797000 ms        
282       95.280000 ms        
283       82.039000 ms        
284       62.604000 ms        
285       74.052000 ms        
286       62.098000 ms        
287       79.752000 ms        
288       89.790000 ms        
289       100.210000 ms       
290       88.799000 ms        
291       73.045000 ms        
292       73.754000 ms        
293       68.620000 ms        
294       93.849000 ms        
295       81.852000 ms        
296       134.082000 ms       
297       114.965000 ms       
298       98.034000 ms        
299       124.614000 ms       
300       95.755000 ms        
301       107.882000 ms       
302       89.879000 ms        
303       103.036000 ms       
304       85.820000 ms        
305       93.493000 ms        
306       134.840000 ms       
307       115.897000 ms       
308       100.041000 ms       
309       95.745000 ms        
310       82.387000 ms        
311       108.274000 ms       
312       85.457000 ms        
313       90.881000 ms        
314       75.237000 ms        
315       67.120000 ms        
316       75.495000 ms        
317       68.286000 ms        
318       87.571000 ms        
319       81.651000 ms        
320       86.084000 ms        
321       67.859000 ms        
322       62.265000 ms        
323       88.675000 ms        
324       75.010000 ms        
325       99.663000 ms        
326       88.028000 ms        
327       72.185000 ms        
328       76.026000 ms        
329       68.149000 ms        
330       75.986000 ms        
331       83.470000 ms        
332       94.462000 ms        
333       95.564000 ms        
334       75.514000 ms        
335       87.724000 ms        
336       74.461000 ms        
337       80.986000 ms        
338       72.398000 ms        
339       66.058000 ms        
340       84.123000 ms        
341       70.023000 ms        
342       91.017000 ms        
343       81.640000 ms        
344       103.305000 ms       
345       94.997000 ms        
346       98.877000 ms        
347       87.382000 ms        
348       80.408000 ms        
349       90.627000 ms        
350       72.545000 ms        
351       68.047000 ms        
352       86.839000 ms        
353       75.050000 ms        
354       75.892000 ms        
355       62.692000 ms        
356       63.428000 ms        
357       69.281000 ms        
358       62.394000 ms        
359       81.478000 ms        
360       81.306000 ms        
361       83.611000 ms        
362       67.472000 ms        
363       74.373000 ms        
364       82.976000 ms        
365       65.216000 ms        
366       62.168000 ms        
367       60.771000 ms        
368       57.705000 ms        
369       62.625000 ms        
370       59.584000 ms        
371       61.275000 ms        
372       80.365000 ms        
373       66.525000 ms        
374       73.170000 ms        
375       80.125000 ms        
376       79.245000 ms        
377       62.519000 ms        
378       61.120000 ms        
379       77.280000 ms        
380       75.811000 ms        
381       67.083000 ms        
382       73.494000 ms        
383       80.874000 ms        
384       68.888000 ms        
385       61.891000 ms        
386       59.821000 ms        
387       58.399000 ms        
388       61.222000 ms        
389       75.735000 ms        
390       67.885000 ms        
391       63.038000 ms        
392       66.296000 ms        
393       59.224000 ms        
394       59.162000 ms        
395       61.623000 ms        
396       73.328000 ms        
397       86.006000 ms        
398       67.251000 ms        
399       71.460000 ms        
400       73.518000 ms        
401       57.428000 ms        
402       67.385000 ms        
403       87.778000 ms        
404       69.266000 ms        
405       67.193000 ms        
406       60.734000 ms        
407       80.627000 ms        
408       77.143000 ms        
409       66.653000 ms        
410       79.679000 ms        
411       84.199000 ms        
412       72.511000 ms        
413       63.445000 ms        
414       74.743000 ms        
415       69.637000 ms        
416       63.629000 ms        
417       60.277000 ms        
418       58.676000 ms        
419       80.575000 ms        
420       68.969000 ms        
421       65.169000 ms        
422       61.731000 ms        
423       60.062000 ms        
424       72.805000 ms        
425       68.654000 ms        
426       76.015000 ms        
427       98.341000 ms        
428       69.375000 ms        
429       106.508000 ms       
430       88.755000 ms        
431       93.930000 ms        
432       79.307000 ms        
433       83.372000 ms        
434       73.255000 ms        
435       69.952000 ms        
436       83.208000 ms        
437       69.573000 ms        
438       101.297000 ms       
439       99.437000 ms        
440       72.845000 ms        
441       95.523000 ms        
442       74.218000 ms        
443       88.972000 ms        
444       74.706000 ms        
445       82.923000 ms        
446       69.298000 ms        
447       63.089000 ms        
448       80.622000 ms        
449       80.472000 ms        
450       92.828000 ms        
451       98.362000 ms        
452       69.200000 ms        
453       95.254000 ms        
454       76.416000 ms        
455       80.650000 ms        
456       74.801000 ms        
457       84.902000 ms        
458       66.178000 ms        
459       66.262000 ms        
460       85.126000 ms        
461       72.833000 ms        
462       82.231000 ms        
463       64.567000 ms        
464       91.372000 ms        
465       74.744000 ms        
466       74.556000 ms        
467       86.859000 ms        
468       74.429000 ms        
469       99.597000 ms        
470       88.353000 ms        
471       65.561000 ms        
472       78.220000 ms        
473       72.715000 ms        
474       90.191000 ms        
475       81.560000 ms        
476       61.154000 ms        
477       74.167000 ms        
478       117.075000 ms       
479       107.894000 ms       
480       85.339000 ms        
481       81.029000 ms        
482       67.777000 ms        
483       68.183000 ms        
484       83.522000 ms        
485       69.782000 ms        
486       78.542000 ms        
487       66.314000 ms        
488       63.412000 ms        
489       73.550000 ms        
490       73.258000 ms        
491       78.395000 ms        
492       61.900000 ms        
493       80.014000 ms        
494       71.992000 ms        
495       67.695000 ms        
496       78.473000 ms        
497       72.488000 ms        
498       74.827000 ms        
499       57.136000 ms        
500       58.391000 ms        
501       95.052000 ms        
502       100.097000 ms       
503       82.351000 ms        
504       86.850000 ms        
505       80.181000 ms        
506       61.655000 ms        
507       60.208000 ms        
508       72.918000 ms        
509       81.641000 ms        
510       85.676000 ms        
511       67.273000 ms        
512       64.561000 ms        
513       71.237000 ms        
514       59.860000 ms        
515       62.517000 ms        
516       61.274000 ms        
517       58.180000 ms        
518       60.757000 ms        
519       65.362000 ms        
520       59.105000 ms        
521       61.690000 ms        
522       57.643000 ms        
523       62.517000 ms        
524       61.944000 ms        
525       83.387000 ms        
526       82.741000 ms        
527       65.273000 ms        
528       75.297000 ms        
529       61.717000 ms        
530       64.330000 ms        
531       78.745000 ms        
532       63.156000 ms        
533       62.926000 ms        
534       66.272000 ms        
535       83.357000 ms        
536       65.466000 ms        
537       67.283000 ms        
538       69.120000 ms        
539       59.147000 ms        
540       64.304000 ms        
541       62.885000 ms        
542       79.858000 ms        
543       68.796000 ms        
544       69.948000 ms        
545       72.010000 ms        
546       66.115000 ms        
547       77.223000 ms        
548       81.053000 ms        
549       63.545000 ms        
550       68.700000 ms        
551       66.930000 ms        
552       86.186000 ms        
553       69.250000 ms        
554       66.784000 ms        
555       68.132000 ms        
556       58.706000 ms        
557       62.383000 ms        
558       56.255000 ms        
559       67.469000 ms        
560       62.565000 ms        
561       66.530000 ms        
562       62.087000 ms        
563       62.295000 ms        
564       77.829000 ms        
565       84.887000 ms        
566       66.497000 ms        
567       66.211000 ms        
568       87.745000 ms        
569       68.909000 ms        
570       77.570000 ms        
571       73.819000 ms        
572       80.428000 ms        
573       63.087000 ms        
574       62.551000 ms        
575       91.687000 ms        
576       92.175000 ms        
577       122.498000 ms       
578       99.212000 ms        
579       78.330000 ms        
580       84.334000 ms        
581       68.527000 ms        
582       83.597000 ms        
583       81.762000 ms        
584       94.417000 ms        
585       75.794000 ms        
586       63.603000 ms        
587       92.071000 ms        
588       91.777000 ms        
589       100.884000 ms       
590       88.180000 ms        
591       67.856000 ms        
592       84.200000 ms        
593       68.797000 ms        
594       90.899000 ms        
595       81.940000 ms        
596       58.685000 ms        
597       73.342000 ms        
598       61.975000 ms        
599       91.122000 ms        
600       92.476000 ms        
601       64.683000 ms        
602       74.474000 ms        
603       67.976000 ms        
604       78.314000 ms        
605       68.826000 ms        
606       76.279000 ms        
607       83.810000 ms        
608       64.952000 ms        
609       78.855000 ms        
610       101.331000 ms       
611       84.881000 ms        
612       74.522000 ms        
613       69.669000 ms        
614       73.707000 ms        
615       63.465000 ms        
616       73.856000 ms        
617       68.862000 ms        
618       77.487000 ms        
619       67.805000 ms        
620       60.495000 ms        
621       72.835000 ms        
622       62.955000 ms        
623       86.764000 ms        
624       74.883000 ms        
625       59.835000 ms        
626       63.790000 ms        
627       95.503000 ms        
628       76.933000 ms        
629       70.115000 ms        
630       93.755000 ms        
631       81.633000 ms        
632       106.889000 ms       
633       95.272000 ms        
634       72.993000 ms        
635       108.145000 ms       
636       85.338000 ms        
637       65.640000 ms        
638       73.536000 ms        
639       63.233000 ms        
640       78.392000 ms        
641       68.699000 ms        
642       83.319000 ms        
643       66.025000 ms        
644       62.605000 ms        
645       79.231000 ms        
646       62.290000 ms        
647       88.362000 ms        
648       74.954000 ms        
649       83.002000 ms        
650       66.692000 ms        
651       65.366000 ms        
652       72.616000 ms        
653       68.755000 ms        
654       83.425000 ms        
655       85.838000 ms        
656       67.786000 ms        
657       66.237000 ms        
658       62.329000 ms        
659       87.144000 ms        
660       82.501000 ms        
661       80.245000 ms        
662       66.876000 ms        
663       60.919000 ms        
664       78.604000 ms        
665       68.455000 ms        
666       66.756000 ms        
667       62.644000 ms        
668       62.245000 ms        
669       61.039000 ms        
670       60.092000 ms        
671       83.919000 ms        
672       65.044000 ms        
673       63.805000 ms        
674       70.766000 ms        
675       91.465000 ms        
676       72.980000 ms        
677       67.246000 ms        
678       64.378000 ms        
679       69.872000 ms        
680       82.596000 ms        
681       65.565000 ms        
682       83.807000 ms        
683       82.836000 ms        
684       66.021000 ms        
685       62.953000 ms        
686       69.228000 ms        
687       64.107000 ms        
688       74.859000 ms        
689       59.219000 ms        
690       66.397000 ms        
691       67.525000 ms        
692       61.564000 ms        
693       61.296000 ms        
694       75.185000 ms        
695       72.328000 ms        
696       69.029000 ms        
697       62.901000 ms        
698       73.678000 ms        
699       61.635000 ms        
700       69.639000 ms        
701       59.728000 ms        
702       63.553000 ms        
703       75.563000 ms        
704       60.955000 ms        
705       86.401000 ms        
706       67.883000 ms        
707       64.412000 ms        
708       61.627000 ms        
709       59.829000 ms        
