Frame     E2E latency(ms)       
20        81.450000 ms        
21        69.025000 ms        
22        65.156000 ms        
23        55.663000 ms        
24        60.932000 ms        
25        59.595000 ms        
26        74.207000 ms        
27        56.458000 ms        
28        74.871000 ms        
29        85.744000 ms        
30        64.384000 ms        
31        73.545000 ms        
32        78.301000 ms        
33        69.286000 ms        
34        62.812000 ms        
35        99.635000 ms        
36        93.214000 ms        
37        93.784000 ms        
38        77.700000 ms        
39        59.232000 ms        
40        73.877000 ms        
41        57.172000 ms        
42        64.373000 ms        
43        74.349000 ms        
44        67.085000 ms        
45        87.084000 ms        
46        67.121000 ms        
47        79.922000 ms        
48        75.603000 ms        
49        67.835000 ms        
50        79.480000 ms        
51        72.917000 ms        
52        75.890000 ms        
53        60.345000 ms        
54        57.379000 ms        
55        67.038000 ms        
56        52.542000 ms        
57        87.165000 ms        
58        67.838000 ms        
59        74.798000 ms        
60        73.478000 ms        
61        77.369000 ms        
62        60.679000 ms        
63        59.079000 ms        
64        65.323000 ms        
65        67.013000 ms        
66        54.708000 ms        
67        55.950000 ms        
68        67.061000 ms        
69        54.870000 ms        
70        64.423000 ms        
71        66.918000 ms        
72        60.140000 ms        
73        68.094000 ms        
74        57.479000 ms        
75        63.392000 ms        
76        75.784000 ms        
77        54.125000 ms        
78        66.799000 ms        
79        52.777000 ms        
80        54.959000 ms        
81        57.109000 ms        
82        67.477000 ms        
83        65.435000 ms        
84        55.593000 ms        
85        57.725000 ms        
86        55.982000 ms        
87        64.334000 ms        
88        68.208000 ms        
89        55.449000 ms        
90        65.527000 ms        
91        72.115000 ms        
92        66.067000 ms        
93        56.141000 ms        
94        62.917000 ms        
95        73.727000 ms        
96        55.393000 ms        
97        63.802000 ms        
98        71.273000 ms        
99        55.798000 ms        
100       58.061000 ms        
101       61.938000 ms        
102       73.309000 ms        
103       77.968000 ms        
104       61.828000 ms        
105       64.158000 ms        
106       66.443000 ms        
107       82.401000 ms        
108       66.779000 ms        
109       66.165000 ms        
110       73.905000 ms        
111       61.307000 ms        
112       56.597000 ms        
113       62.954000 ms        
114       64.137000 ms        
115       73.748000 ms        
116       55.931000 ms        
117       72.501000 ms        
118       61.262000 ms        
119       59.199000 ms        
120       70.069000 ms        
121       206.814000 ms       
122       173.543000 ms       
123       140.198000 ms       
124       106.732000 ms       
125       73.585000 ms        
126       72.168000 ms        
127       72.663000 ms        
128       66.380000 ms        
129       88.015000 ms        
130       79.207000 ms        
131       87.205000 ms        
132       109.662000 ms       
133       80.021000 ms        
134       86.571000 ms        
135       84.230000 ms        
136       82.306000 ms        
137       64.914000 ms        
138       61.607000 ms        
139       64.862000 ms        
140       66.889000 ms        
141       91.625000 ms        
142       79.754000 ms        
143       65.107000 ms        
144       56.174000 ms        
145       75.299000 ms        
146       84.960000 ms        
147       73.558000 ms        
148       73.913000 ms        
149       63.438000 ms        
150       58.362000 ms        
151       68.790000 ms        
152       80.361000 ms        
153       93.174000 ms        
154       79.615000 ms        
155       60.308000 ms        
156       60.148000 ms        
157       61.940000 ms        
158       77.700000 ms        
159       72.674000 ms        
160       79.826000 ms        
161       61.757000 ms        
162       56.998000 ms        
163       73.597000 ms        
164       75.473000 ms        
165       83.348000 ms        
166       79.829000 ms        
167       57.037000 ms        
168       68.129000 ms        
169       72.589000 ms        
170       73.731000 ms        
171       57.287000 ms        
172       80.474000 ms        
173       65.703000 ms        
174       64.037000 ms        
175       73.458000 ms        
176       78.714000 ms        
177       67.370000 ms        
178       79.395000 ms        
179       63.345000 ms        
180       65.967000 ms        
181       59.468000 ms        
182       77.041000 ms        
183       59.334000 ms        
184       57.885000 ms        
185       64.340000 ms        
186       66.180000 ms        
