Frame     E2E latency(ms)         
20        89.764000 ms        
21        89.718000 ms        
22        66.887000 ms        
23        71.405000 ms        
24        75.085000 ms        
25        65.159000 ms        
26        71.631000 ms        
27        63.793000 ms        
28        62.422000 ms        
29        61.044000 ms        
30        69.549000 ms        
31        86.345000 ms        
32        71.572000 ms        
33        55.596000 ms        
34        59.527000 ms        
35        60.208000 ms        
36        66.762000 ms        
37        70.659000 ms        
38        75.415000 ms        
39        65.613000 ms        
40        61.307000 ms        
41        66.466000 ms        
42        58.648000 ms        
43        73.710000 ms        
44        71.649000 ms        
45        95.635000 ms        
46        85.305000 ms        
47        73.001000 ms        
48        67.361000 ms        
49        66.594000 ms        
50        77.012000 ms        
51        60.130000 ms        
52        59.532000 ms        
53        68.265000 ms        
54        64.738000 ms        
55        71.343000 ms        
56        56.932000 ms        
57        77.716000 ms        
58        87.444000 ms        
59        71.040000 ms        
60        58.742000 ms        
61        58.547000 ms        
62        60.192000 ms        
63        72.097000 ms        
64        61.553000 ms        
65        65.034000 ms        
66        55.751000 ms        
67        59.451000 ms        
68        62.259000 ms        
69        59.957000 ms        
70        56.427000 ms        
71        64.972000 ms        
72        55.811000 ms        
73        57.614000 ms        
74        58.360000 ms        
75        59.572000 ms        
76        56.755000 ms        
77        56.291000 ms        
78        74.020000 ms        
79        56.415000 ms        
80        57.079000 ms        
81        57.805000 ms        
82        62.613000 ms        
83        63.176000 ms        
84        66.066000 ms        
85        67.663000 ms        
86        59.322000 ms        
87        65.962000 ms        
88        61.808000 ms        
89        60.019000 ms        
90        61.927000 ms        
91        60.541000 ms        
92        62.168000 ms        
93        66.521000 ms        
94        56.835000 ms        
95        62.341000 ms        
96        73.968000 ms        
97        67.494000 ms        
98        57.379000 ms        
99        68.756000 ms        
100       60.608000 ms        
101       67.574000 ms        
102       62.975000 ms        
103       83.590000 ms        
104       70.059000 ms        
105       61.878000 ms        
106       60.379000 ms        
107       69.203000 ms        
108       63.081000 ms        
109       58.533000 ms        
110       61.379000 ms        
111       64.803000 ms        
112       57.551000 ms        
113       59.042000 ms        
114       71.246000 ms        
115       67.584000 ms        
116       60.284000 ms        
117       56.106000 ms        
118       58.527000 ms        
119       64.268000 ms        
120       62.855000 ms        
121       58.756000 ms        
122       56.413000 ms        
123       60.187000 ms        
124       60.788000 ms        
125       56.392000 ms        
126       66.132000 ms        
127       63.722000 ms        
128       64.582000 ms        
129       62.533000 ms        
130       63.848000 ms        
131       66.445000 ms        
132       62.964000 ms        
133       54.723000 ms        
134       58.323000 ms        
135       64.982000 ms        
136       73.659000 ms        
137       66.234000 ms        
138       62.277000 ms        
139       91.870000 ms        
140       97.287000 ms        
141       81.828000 ms        
142       66.734000 ms        
143       96.452000 ms        
144       84.014000 ms        
145       66.925000 ms        
146       90.916000 ms        
147       86.180000 ms        
148       69.259000 ms        
149       61.334000 ms        
150       87.799000 ms        
151       71.252000 ms        
152       66.354000 ms        
153       91.931000 ms        
154       78.353000 ms        
155       63.354000 ms        
156       91.697000 ms        
157       79.334000 ms        
158       63.839000 ms        
159       96.786000 ms        
160       86.537000 ms        
161       68.820000 ms        
162       94.007000 ms        
163       89.568000 ms        
164       73.425000 ms        
165       67.619000 ms        
166       88.458000 ms        
167       71.496000 ms        
168       91.129000 ms        
169       93.665000 ms        
170       77.111000 ms        
171       61.754000 ms        
172       73.166000 ms        
173       59.316000 ms        
174       60.143000 ms        
175       71.775000 ms        
176       60.342000 ms        
177       73.427000 ms        
178       80.354000 ms        
179       66.030000 ms        
180       67.819000 ms        
181       91.580000 ms        
182       75.772000 ms        
183       60.465000 ms        
184       57.751000 ms        
185       73.016000 ms        
186       73.975000 ms        
187       65.569000 ms        
188       72.517000 ms        
189       58.935000 ms        
190       59.629000 ms        
191       75.244000 ms        
192       63.223000 ms        
193       60.560000 ms        
194       74.344000 ms        
195       59.724000 ms        
196       57.649000 ms        
197       80.306000 ms        
198       67.596000 ms        
199       58.412000 ms        
200       79.056000 ms        
201       89.871000 ms        
202       70.638000 ms        
203       85.264000 ms        
204       76.530000 ms        
205       61.285000 ms        
206       62.068000 ms        
207       77.968000 ms        
208       64.374000 ms        
209       65.313000 ms        
210       106.158000 ms       
211       87.828000 ms        
212       96.209000 ms        
213       98.987000 ms        
214       85.506000 ms        
215       69.164000 ms        
216       99.137000 ms        
217       76.114000 ms        
218       80.160000 ms        
219       98.008000 ms        
220       76.357000 ms        
221       76.084000 ms        
222       67.812000 ms        
223       86.287000 ms        
224       72.574000 ms        
225       99.298000 ms        
226       99.396000 ms        
227       76.681000 ms        
228       121.011000 ms       
