Frame     E2E latency(ms)           
20        93.228000 ms        
21        76.224000 ms        
22        76.244000 ms        
23        59.411000 ms        
24        57.984000 ms        
25        65.069000 ms        
26        52.473000 ms        
27        68.910000 ms        
28        58.555000 ms        
29        60.656000 ms        
30        56.455000 ms        
31        62.326000 ms        
32        67.613000 ms        
33        50.392000 ms        
34        74.419000 ms        
35        65.196000 ms        
36        62.896000 ms        
37        66.030000 ms        
38        54.867000 ms        
39        73.081000 ms        
40        81.745000 ms        
41        57.670000 ms        
42        64.804000 ms        
43        62.084000 ms        
44        69.642000 ms        
45        52.009000 ms        
46        73.717000 ms        
47        73.538000 ms        
48        55.561000 ms        
49        68.632000 ms        
50        73.516000 ms        
51        69.316000 ms        
52        64.239000 ms        
53        83.603000 ms        
54        64.680000 ms        
55        62.309000 ms        
56        76.294000 ms        
57        76.693000 ms        
58        75.025000 ms        
59        74.723000 ms        
60        69.172000 ms        
61        60.217000 ms        
62        61.624000 ms        
63        60.555000 ms        
64        58.611000 ms        
65        63.589000 ms        
66        70.305000 ms        
67        53.785000 ms        
68        64.937000 ms        
69        73.984000 ms        
70        54.862000 ms        
71        66.772000 ms        
72        55.928000 ms        
73        61.306000 ms        
74        55.308000 ms        
75        71.987000 ms        
76        74.561000 ms        
77        56.724000 ms        
78        61.744000 ms        
79        53.395000 ms        
80        60.483000 ms        
81        49.103000 ms        
82        55.545000 ms        
83        55.847000 ms        
84        55.859000 ms        
85        57.040000 ms        
86        65.460000 ms        
87        64.843000 ms        
88        58.455000 ms        
89        63.110000 ms        
90        63.664000 ms        
91        57.095000 ms        
92        64.950000 ms        
93        54.982000 ms        
94        64.969000 ms        
95        63.623000 ms        
96        55.936000 ms        
97        53.655000 ms        
98        55.646000 ms        
99        66.019000 ms        
100       75.727000 ms        
101       59.291000 ms        
102       56.953000 ms        
103       62.436000 ms        
104       56.688000 ms        
105       56.238000 ms        
106       74.146000 ms        
107       67.743000 ms        
108       64.983000 ms        
109       51.227000 ms        
110       53.245000 ms        
111       69.743000 ms        
112       52.257000 ms        
113       54.583000 ms        
114       73.750000 ms        
115       58.463000 ms        
116       56.122000 ms        
117       72.879000 ms        
118       55.369000 ms        
119       64.635000 ms        
120       56.933000 ms        
121       64.429000 ms        
122       57.091000 ms        
123       87.716000 ms        
124       98.119000 ms        
125       66.809000 ms        
126       96.091000 ms        
127       75.282000 ms        
128       79.398000 ms        
129       62.498000 ms        
130       69.467000 ms        
131       64.538000 ms        
132       60.239000 ms        
133       78.184000 ms        
134       69.391000 ms        
135       73.680000 ms        
136       68.740000 ms        
137       99.386000 ms        
138       79.174000 ms        
139       69.334000 ms        
140       78.888000 ms        
141       61.843000 ms        
142       53.602000 ms        
143       60.255000 ms        
144       57.690000 ms        
145       63.065000 ms        
146       54.712000 ms        
147       68.289000 ms        
148       51.590000 ms        
149       173.835000 ms       
150       140.496000 ms       
151       107.194000 ms       
152       78.903000 ms        
153       61.214000 ms        
154       82.876000 ms        
155       66.530000 ms        
156       64.827000 ms        
157       68.786000 ms        
158       69.359000 ms        
159       72.529000 ms        
160       55.552000 ms        
161       57.797000 ms        
162       58.028000 ms        
163       61.824000 ms        
164       74.225000 ms        
165       61.120000 ms        
166       55.699000 ms        
167       49.434000 ms        
168       60.817000 ms        
169       72.618000 ms        
170       74.242000 ms        
171       88.365000 ms        
172       81.545000 ms        
173       62.163000 ms        
174       95.268000 ms        
175       69.819000 ms        
176       94.436000 ms        
177       97.933000 ms        
178       79.824000 ms        
179       63.488000 ms        
180       80.977000 ms        
181       79.104000 ms        
182       69.069000 ms        
183       91.444000 ms        
184       90.020000 ms        
185       73.334000 ms        
186       60.203000 ms        
187       74.488000 ms        
188       73.241000 ms        
189       63.112000 ms        
190       81.632000 ms        
191       75.572000 ms        
192       62.719000 ms        
193       105.412000 ms       
194       91.003000 ms        
195       77.593000 ms        
196       61.292000 ms        
197       84.328000 ms        
198       67.125000 ms        
199       66.040000 ms        
200       90.786000 ms        
201       74.880000 ms        
202       76.393000 ms        
203       66.086000 ms        
204       55.587000 ms        
205       77.538000 ms        
206       68.379000 ms        
207       85.128000 ms        
208       81.744000 ms        
209       66.196000 ms        
210       62.873000 ms        
211       55.431000 ms        
212       83.455000 ms        
213       71.994000 ms        
214       57.518000 ms        
215       55.547000 ms        
216       58.982000 ms        
217       63.804000 ms        
218       65.045000 ms        
219       60.533000 ms        
220       53.887000 ms        
221       62.540000 ms        
222       75.250000 ms        
223       66.239000 ms        
224       74.688000 ms        
225       65.212000 ms        
226       58.860000 ms        
227       64.419000 ms        
228       68.588000 ms        
229       59.551000 ms        
230       68.095000 ms        
231       83.869000 ms        
232       68.208000 ms        
233       66.248000 ms        
234       55.904000 ms        
235       64.777000 ms        
236       67.000000 ms        
237       56.233000 ms        
238       78.030000 ms        
239       61.395000 ms        
240       61.481000 ms        
241       80.839000 ms        
242       78.118000 ms        
243       60.183000 ms        
244       87.853000 ms        
245       73.806000 ms        
246       55.743000 ms        
247       59.348000 ms        
248       62.377000 ms        
249       56.975000 ms        
250       70.734000 ms        
251       76.372000 ms        
252       58.731000 ms        
253       54.543000 ms        
254       68.982000 ms        
255       67.441000 ms        
256       54.728000 ms        
257       72.830000 ms        
258       74.398000 ms        
259       54.846000 ms        
260       77.168000 ms        
261       62.311000 ms        
262       57.521000 ms        
263       56.446000 ms        
264       65.705000 ms        
265       61.797000 ms        
266       55.431000 ms        
267       64.698000 ms        
268       73.940000 ms        
269       80.406000 ms        
270       73.232000 ms        
271       66.446000 ms        
272       73.360000 ms        
273       92.799000 ms        
274       61.561000 ms        
275       67.822000 ms        
276       55.906000 ms        
277       70.362000 ms        
278       54.787000 ms        
279       84.966000 ms        
280       68.650000 ms        
281       80.719000 ms        
282       63.427000 ms        
283       68.417000 ms        
284       77.408000 ms        
285       59.074000 ms        
286       67.107000 ms        
287       69.452000 ms        
288       63.552000 ms        
289       83.761000 ms        
290       69.404000 ms        
291       73.052000 ms        
292       51.556000 ms        
293       63.677000 ms        
294       64.075000 ms        
295       61.895000 ms        
296       80.287000 ms        
297       93.596000 ms        
298       109.067000 ms       
299       91.758000 ms        
300       74.023000 ms        
301       64.862000 ms        
302       74.076000 ms        
303       78.046000 ms        
304       59.372000 ms        
305       75.290000 ms        
306       70.187000 ms        
307       61.661000 ms        
308       81.104000 ms        
309       74.752000 ms        
310       74.389000 ms        
311       88.348000 ms        
312       65.225000 ms        
313       69.691000 ms        
314       85.485000 ms        
315       83.899000 ms        
316       65.663000 ms        
317       64.796000 ms        
318       67.108000 ms        
319       62.556000 ms        
320       91.585000 ms        
321       75.434000 ms        
322       59.287000 ms        
323       59.799000 ms        
324       71.390000 ms        
325       78.596000 ms        
