Frame     E2E latency(ms)     
37        70.065000 ms        
38        69.292000 ms        
39        67.022000 ms        
40        61.678000 ms        
41        54.943000 ms        
42        57.342000 ms        
43        68.655000 ms        
44        65.254000 ms        
45        71.917000 ms        
46        63.667000 ms        
47        58.653000 ms        
48        61.954000 ms        
49        63.265000 ms        
50        59.252000 ms        
51        56.029000 ms        
52        58.006000 ms        
53        62.869000 ms        
54        64.563000 ms        
55        55.502000 ms        
56        50.131000 ms        
57        58.541000 ms        
58        64.944000 ms        
59        62.790000 ms        
60        73.022000 ms        
61        67.451000 ms        
62        69.364000 ms        
63        67.160000 ms        
64        67.030000 ms        
65        64.806000 ms        
66        61.135000 ms        
67        58.818000 ms        
68        73.682000 ms        
69        86.336000 ms        
70        67.014000 ms        
71        62.600000 ms        
72        56.017000 ms        
73        61.018000 ms        
74        65.140000 ms        
75        56.251000 ms        
76        52.564000 ms        
77        49.151000 ms        
78        86.376000 ms        
79        67.557000 ms        
80        59.970000 ms        
81        52.035000 ms        
82        69.934000 ms        
83        74.793000 ms        
84        62.214000 ms        
85        67.165000 ms        
86        73.168000 ms        
87        66.942000 ms        
88        73.315000 ms        
89        55.458000 ms        
90        61.088000 ms        
91        68.839000 ms        
92        83.782000 ms        
93        66.090000 ms        
94        52.007000 ms        
95        65.587000 ms        
96        59.253000 ms        
97        58.657000 ms        
98        63.978000 ms        
99        62.873000 ms        
100       68.546000 ms        
101       66.395000 ms        
102       59.483000 ms        
103       63.424000 ms        
104       64.080000 ms        
105       66.303000 ms        
106       60.965000 ms        
107       73.740000 ms        
108       63.587000 ms        
109       50.946000 ms        
110       54.023000 ms        
111       63.210000 ms        
112       53.484000 ms        
113       59.862000 ms        
114       73.342000 ms        
115       65.073000 ms        
116       65.514000 ms        
117       56.332000 ms        
118       55.210000 ms        
119       60.323000 ms        
120       59.412000 ms        
121       55.057000 ms        
122       56.413000 ms        
123       61.506000 ms        
124       67.827000 ms        
125       59.866000 ms        
126       72.876000 ms        
127       67.086000 ms        
128       63.994000 ms        
129       53.767000 ms        
130       60.334000 ms        
131       52.920000 ms        
132       61.207000 ms        
133       63.588000 ms        
134       61.327000 ms        
135       74.505000 ms        
136       60.307000 ms        
137       61.444000 ms        
138       59.712000 ms        
139       83.696000 ms        
140       66.677000 ms        
141       55.953000 ms        
142       79.914000 ms        
143       68.770000 ms        
144       60.558000 ms        
145       53.352000 ms        
146       66.938000 ms        
147       58.666000 ms        
148       58.804000 ms        
149       74.356000 ms        
150       61.029000 ms        
151       73.703000 ms        
152       75.978000 ms        
153       72.071000 ms        
154       67.271000 ms        
155       78.869000 ms        
156       67.797000 ms        
157       63.251000 ms        
158       81.172000 ms        
159       68.556000 ms        
160       58.722000 ms        
161       76.334000 ms        
162       60.152000 ms        
163       59.409000 ms        
164       84.667000 ms        
165       77.875000 ms        
166       62.779000 ms        
167       73.913000 ms        
168       81.622000 ms        
169       64.350000 ms        
170       79.841000 ms        
171       73.910000 ms        
172       60.061000 ms        
173       65.959000 ms        
174       73.060000 ms        
175       55.154000 ms        
176       62.405000 ms        
177       74.826000 ms        
178       65.354000 ms        
179       69.111000 ms        
180       85.517000 ms        
181       69.298000 ms        
182       68.880000 ms        
183       83.063000 ms        
184       75.285000 ms        
185       72.366000 ms        
186       88.642000 ms        
187       73.460000 ms        
188       63.046000 ms        
189       94.717000 ms        
190       77.451000 ms        
191       65.603000 ms        
192       75.353000 ms        
193       77.795000 ms        
194       61.659000 ms        
195       71.981000 ms        
196       81.897000 ms        
197       66.209000 ms        
198       63.518000 ms        
199       53.369000 ms        
200       69.428000 ms        
201       63.560000 ms        
202       63.098000 ms        
203       70.823000 ms        
204       67.359000 ms        
205       62.859000 ms        
206       75.891000 ms        
207       72.674000 ms        
208       63.070000 ms        
209       62.663000 ms        
210       67.660000 ms        
211       57.921000 ms        
212       65.278000 ms        
213       62.588000 ms        
214       56.038000 ms        
215       69.313000 ms        
216       73.265000 ms        
217       59.999000 ms        
218       72.288000 ms        
219       55.613000 ms        
220       52.879000 ms        
221       74.167000 ms        
222       62.837000 ms        
223       73.038000 ms        
224       59.072000 ms        
225       63.563000 ms        
226       68.997000 ms        
227       81.967000 ms        
228       63.810000 ms        
229       58.511000 ms        
230       59.664000 ms        
231       63.994000 ms        
232       60.133000 ms        
233       54.698000 ms        
234       64.655000 ms        
235       79.800000 ms        
236       60.859000 ms        
237       72.187000 ms        
238       69.041000 ms        
239       54.791000 ms        
240       76.364000 ms        
241       64.728000 ms        
242       76.013000 ms        
243       65.773000 ms        
244       77.444000 ms        
245       61.187000 ms        
246       57.985000 ms        
247       65.905000 ms        
248       57.700000 ms        
