Frame     E2E latency(ms)        
20        85.353000 ms        
21        68.548000 ms        
22        57.569000 ms        
23        56.280000 ms        
24        61.223000 ms        
25        69.722000 ms        
26        56.228000 ms        
27        60.278000 ms        
28        67.091000 ms        
29        56.007000 ms        
30        63.538000 ms        
31        59.930000 ms        
32        65.698000 ms        
33        61.265000 ms        
34        55.117000 ms        
35        58.927000 ms        
36        61.946000 ms        
37        56.937000 ms        
38        58.370000 ms        
39        58.255000 ms        
40        57.285000 ms        
41        71.930000 ms        
42        74.608000 ms        
43        59.160000 ms        
44        58.584000 ms        
45        69.491000 ms        
46        66.239000 ms        
47        56.580000 ms        
48        56.731000 ms        
49        62.574000 ms        
50        53.556000 ms        
51        74.196000 ms        
52        93.323000 ms        
53        74.591000 ms        
54        72.631000 ms        
55        58.225000 ms        
56        53.777000 ms        
57        60.507000 ms        
58        72.797000 ms        
59        66.731000 ms        
60        57.641000 ms        
61        68.515000 ms        
62        60.016000 ms        
63        67.377000 ms        
64        57.734000 ms        
65        57.072000 ms        
66        65.664000 ms        
67        54.825000 ms        
68        63.003000 ms        
69        57.352000 ms        
70        53.273000 ms        
71        55.719000 ms        
72        66.075000 ms        
73        74.201000 ms        
74        60.387000 ms        
75        58.615000 ms        
76        54.558000 ms        
77        56.179000 ms        
78        74.204000 ms        
79        67.720000 ms        
80        56.370000 ms        
81        89.487000 ms        
82        83.411000 ms        
83        67.929000 ms        
84        62.268000 ms        
85        74.692000 ms        
86        82.031000 ms        
87        76.580000 ms        
88        85.930000 ms        
89        66.647000 ms        
90        67.129000 ms        
91        68.598000 ms        
92        83.660000 ms        
93        94.515000 ms        
94        83.083000 ms        
95        59.580000 ms        
96        60.911000 ms        
97        63.289000 ms        
98        79.657000 ms        
99        63.273000 ms        
100       78.062000 ms        
101       74.059000 ms        
102       57.275000 ms        
103       79.615000 ms        
104       84.581000 ms        
105       105.228000 ms       
106       85.875000 ms        
107       69.977000 ms        
108       96.747000 ms        
109       82.649000 ms        
110       65.882000 ms        
111       76.489000 ms        
112       74.598000 ms        
113       56.385000 ms        
114       97.979000 ms        
115       102.852000 ms       
116       79.207000 ms        
117       116.088000 ms       
118       105.303000 ms       
119       89.267000 ms        
120       70.572000 ms        
121       100.493000 ms       
122       86.545000 ms        
123       76.096000 ms        
124       106.596000 ms       
125       93.650000 ms        
126       74.516000 ms        
127       102.989000 ms       
128       86.226000 ms        
129       73.726000 ms        
130       83.574000 ms        
131       80.627000 ms        
132       64.469000 ms        
133       90.117000 ms        
134       91.312000 ms        
135       75.915000 ms        
136       58.167000 ms        
137       95.646000 ms        
138       77.942000 ms        
139       85.973000 ms        
140       81.273000 ms        
141       74.614000 ms        
142       55.966000 ms        
143       91.353000 ms        
144       74.793000 ms        
145       72.031000 ms        
146       88.705000 ms        
147       76.502000 ms        
148       79.982000 ms        
149       90.733000 ms        
150       74.593000 ms        
151       69.851000 ms        
152       95.827000 ms        
