Frame     E2E latency(ms)          
19        73.523000 ms        
20        61.597000 ms        
21        60.455000 ms        
22        54.630000 ms        
23        74.233000 ms        
24        56.743000 ms        
25        72.247000 ms        
26        53.780000 ms        
27        65.017000 ms        
28        67.247000 ms        
29        74.720000 ms        
30        76.638000 ms        
31        65.935000 ms        
32        57.387000 ms        
33        65.490000 ms        
34        60.867000 ms        
35        68.664000 ms        
36        52.891000 ms        
37        63.624000 ms        
38        57.936000 ms        
39        58.773000 ms        
40        54.483000 ms        
41        56.239000 ms        
42        57.002000 ms        
43        54.069000 ms        
44        64.095000 ms        
45        58.615000 ms        
46        56.391000 ms        
47        56.173000 ms        
48        64.482000 ms        
49        87.134000 ms        
50        88.631000 ms        
51        79.974000 ms        
52        81.115000 ms        
53        64.497000 ms        
54        61.008000 ms        
55        68.904000 ms        
56        52.037000 ms        
57        80.316000 ms        
58        63.618000 ms        
59        54.214000 ms        
60        63.821000 ms        
61        82.333000 ms        
62        401.348000 ms       
63        382.976000 ms       
64        382.320000 ms       
65        354.642000 ms       
66        334.046000 ms       
67        318.380000 ms       
68        312.543000 ms       
69        289.250000 ms       
70        273.736000 ms       
71        254.563000 ms       
72        239.217000 ms       
73        226.961000 ms       
74        205.183000 ms       
75        188.471000 ms       
76        171.982000 ms       
77        155.243000 ms       
78        139.981000 ms       
79        126.717000 ms       
80        108.230000 ms       
81        91.928000 ms        
82        87.986000 ms        
83        63.694000 ms        
84        64.896000 ms        
85        70.559000 ms        
86        73.384000 ms        
87        56.746000 ms        
88        55.795000 ms        
89        55.614000 ms        
90        63.208000 ms        
91        72.804000 ms        
92        52.468000 ms        
93        72.796000 ms        
94        65.252000 ms        
95        66.131000 ms        
96        64.275000 ms        
97        74.447000 ms        
98        74.308000 ms        
99        55.649000 ms        
100       56.010000 ms        
101       63.894000 ms        
102       73.576000 ms        
103       69.222000 ms        
104       73.605000 ms        
105       74.042000 ms        
106       72.992000 ms        
107       80.973000 ms        
108       76.469000 ms        
109       67.236000 ms        
110       113.062000 ms       
111       91.258000 ms        
112       69.443000 ms        
113       62.921000 ms        
114       73.383000 ms        
115       73.616000 ms        
116       53.357000 ms        
117       82.389000 ms        
118       66.487000 ms        
119       64.498000 ms        
120       76.813000 ms        
121       67.601000 ms        
122       68.705000 ms        
123       78.994000 ms        
124       61.711000 ms        
125       56.838000 ms        
126       86.140000 ms        
127       73.814000 ms        
128       72.701000 ms        
129       89.638000 ms        
130       73.021000 ms        
131       87.109000 ms        
132       101.037000 ms       
133       76.165000 ms        
134       76.463000 ms        
135       85.504000 ms        
136       78.109000 ms        
137       62.624000 ms        
138       61.635000 ms        
139       76.568000 ms        
140       67.924000 ms        
141       66.280000 ms        
142       91.736000 ms        
143       88.144000 ms        
144       72.345000 ms        
145       80.048000 ms        
146       77.513000 ms        
147       64.988000 ms        
148       90.954000 ms        
149       74.014000 ms        
150       74.289000 ms        
151       56.814000 ms        
152       74.046000 ms        
153       74.358000 ms        
154       59.297000 ms        
155       82.794000 ms        
156       67.471000 ms        
157       93.322000 ms        
158       75.267000 ms        
159       59.828000 ms        
160       57.091000 ms        
161       68.258000 ms        
162       64.896000 ms        
163       58.875000 ms        
164       74.963000 ms        
165       65.917000 ms        
166       56.532000 ms        
167       74.956000 ms        
168       64.270000 ms        
169       57.208000 ms        
170       74.825000 ms        
171       78.735000 ms        
172       72.825000 ms        
173       80.223000 ms        
174       64.507000 ms        
175       59.355000 ms        
176       55.518000 ms        
177       66.405000 ms        
178       77.737000 ms        
179       80.787000 ms        
180       69.285000 ms        
181       65.193000 ms        
182       56.525000 ms        
183       67.354000 ms        
184       77.217000 ms        
185       63.549000 ms        
186       73.486000 ms        
187       57.188000 ms        
188       56.996000 ms        
189       78.588000 ms        
190       65.583000 ms        
191       66.443000 ms        
192       74.647000 ms        
193       60.228000 ms        
194       65.981000 ms        
195       83.604000 ms        
196       66.918000 ms        
197       55.030000 ms        
198       74.936000 ms        
199       84.749000 ms        
200       74.195000 ms        
201       119.921000 ms       
202       107.742000 ms       
203       92.948000 ms        
204       101.304000 ms       
205       106.644000 ms       
206       88.164000 ms        
207       101.678000 ms       
208       111.512000 ms       
209       112.672000 ms       
210       100.427000 ms       
211       117.034000 ms       
212       101.455000 ms       
213       86.714000 ms        
214       106.860000 ms       
215       102.772000 ms       
216       86.448000 ms        
217       93.640000 ms        
218       112.997000 ms       
219       90.009000 ms        
220       102.618000 ms       
221       111.528000 ms       
222       97.034000 ms        
223       125.331000 ms       
224       125.147000 ms       
225       121.174000 ms       
226       111.504000 ms       
227       134.088000 ms       
228       112.078000 ms       
229       96.676000 ms        
230       120.638000 ms       
231       113.172000 ms       
232       97.590000 ms        
233       109.335000 ms       
234       118.029000 ms       
235       106.477000 ms       
236       115.885000 ms       
237       121.256000 ms       
238       106.547000 ms       
239       119.872000 ms       
240       122.763000 ms       
241       106.976000 ms       
242       122.054000 ms       
243       127.917000 ms       
244       108.128000 ms       
245       125.646000 ms       
246       141.935000 ms       
247       115.739000 ms       
248       127.961000 ms       
249       130.850000 ms       
250       112.958000 ms       
251       133.443000 ms       
252       134.231000 ms       
253       118.268000 ms       
254       133.813000 ms       
255       136.671000 ms       
256       126.329000 ms       
257       131.347000 ms       
258       140.438000 ms       
259       117.874000 ms       
260       134.482000 ms       
261       139.877000 ms       
262       122.415000 ms       
263       139.777000 ms       
264       131.031000 ms       
265       113.813000 ms       
266       97.991000 ms        
267       112.366000 ms       
268       107.465000 ms       
269       94.054000 ms        
270       75.120000 ms        
271       105.943000 ms       
272       90.693000 ms        
