Frame        Inference_Time_ms    Objects_Detected
0                       180.56                  13
1                        30.64                  12
2                        29.15                  12
3                        29.06                  13
4                        28.35                  15
5                        28.32                  15
6                        28.35                  11
7                        28.36                  14
8                        17.17                  13
9                        17.64                  13
10                       16.42                  14
11                       16.33                  14
12                       16.47                  15
13                       16.86                  15
14                       16.63                  14
15                       17.42                  14
16                       16.95                  16
17                       16.41                  16
18                       16.42                  17
19                       16.33                  14
20                       16.24                  14
21                       16.36                  18
22                       15.83                  14
23                       14.64                  15
24                       14.47                  16
25                       14.27                  16
26                       14.34                  14
27                       14.40                  14
28                       14.57                  14
29                       14.45                  17
30                       14.25                  13
31                       14.29                  14
32                       14.33                  14
33                       14.55                  15
34                       14.26                  16
35                       14.54                  15
36                       15.10                  16
37                       14.63                  14
38                       14.53                  15
39                       15.07                  15
40                       14.70                  16
41                       14.42                  14
42                       14.41                  13
43                       14.34                  14
44                       14.27                  14
45                       14.24                  15
46                       14.26                  14
47                       14.39                  13
48                       14.57                  14
49                       14.39                  12
50                       14.41                  14
51                       14.35                  14
52                       14.39                  13
53                       14.65                  15
54                       15.11                  16
55                       14.76                  15
56                       14.72                  15
57                       14.40                  13
58                       14.27                  16
59                       14.59                  16
60                       14.61                  16
61                       14.55                  15
62                       14.75                  16
63                       14.58                  18
64                       14.56                  15
65                       14.45                  16
66                       14.57                  14
67                       14.64                  13
68                       14.49                  14
69                       14.90                  14
70                       14.94                  10
71                       14.48                  10
72                       14.35                  11
73                       14.61                  14
74                       14.45                  14
75                       14.99                  15
76                       14.99                  13
77                       17.38                  16
78                       16.83                  18
79                       16.75                  14
80                       16.67                  16
81                       16.63                  16
82                       16.87                  18
83                       16.71                  17
84                       16.65                  17
85                       16.66                  15
86                       16.41                  15
87                       15.91                  14
88                       16.38                  18
89                       16.42                  16
90                       16.14                  15
91                       16.14                  16
92                       16.12                  16
93                       16.57                  15
94                       16.65                  17
95                       16.48                  15
96                       16.54                  14
97                       16.08                  15
98                       15.91                  15
99                       15.44                  17
100                      14.82                  15
101                      15.14                  16
102                      14.53                  15
103                      14.73                  15
104                      14.71                  16
105                      14.41                  16
106                      14.60                  19
107                      14.42                  21
108                      14.77                  19
109                      14.86                  18
110                      14.74                  16
111                      14.44                  17
112                      14.28                  18
113                      14.60                  13
114                      14.70                  12
115                      15.03                  15
116                      14.66                  14
117                      14.66                  15
118                      14.61                  18
119                      14.38                  19
120                      15.04                  17
121                      14.58                  17
122                      14.51                  16
123                      14.41                  15
124                      14.29                  15
125                      14.78                  15
126                      14.58                  12
127                      15.75                  14
128                      14.79                  15
129                      14.58                  14
130                      14.90                  13
131                      14.64                  15
132                      15.53                  13
133                      14.64                  15
134                      14.47                  15
135                      14.51                  16
136                      14.36                  13
137                      15.19                  14
138                      14.61                  13
139                      15.02                  14
140                      14.73                  13
141                      14.45                  14
142                      14.57                  16
143                      15.11                  15
144                      15.48                  12
145                      14.99                  13
146                      14.80                  16
147                      14.42                  13
148                      14.30                  12
149                      14.34                  12
150                      15.06                  14
151                      15.00                  12
152                      14.45                  15
153                      15.32                  14
154                      15.80                  17
155                      15.75                  14
156                      15.91                  16
157                      15.70                  14
158                      15.69                  12
159                      16.15                  13
160                      15.82                  14
161                      15.88                  14
162                      15.87                  14
163                      15.65                  14
164                      15.77                  15
165                      15.65                  14
166                      14.74                  11
167                      14.77                  13
168                      14.91                  14
169                      14.94                  14
170                      15.13                  15
171                      14.81                  13
172                      14.80                  15
173                      14.86                  15
174                      14.81                  14
175                      14.77                  16
176                      14.83                  13
177                      14.76                  14
178                      14.86                  13
179                      14.78                  15
180                      14.76                  14
181                      14.83                  15
182                      14.80                  15
183                      14.88                  15
184                      14.99                  14
185                      15.03                  15
186                      14.99                  14
187                      14.94                  17
188                      14.94                  16
189                      14.97                  15
190                      14.85                  17
191                      14.93                  17
192                      14.95                  15
193                      14.88                  17
194                      14.80                  17
195                      15.01                  16
196                      14.85                  14
197                      14.85                  14
198                      14.87                  18
199                      14.81                  17
200                      14.85                  14
201                      14.81                  13
202                      15.27                  11
203                      15.07                  11
204                      14.82                  14
205                      14.82                  13
206                      14.81                  12
207                      14.93                  14
208                      14.75                  14
209                      14.95                  12
210                      14.78                  13
211                      15.04                  12
212                      14.85                  12
213                      14.84                  11
214                      15.12                  11
215                      14.99                  13
216                      14.99                  13
217                      14.87                  12
218                      14.95                  12
219                      15.41                  13
220                      15.81                  14
221                      16.46                  16
222                      15.81                  16
223                      16.00                  17
224                      15.91                  17
225                      15.97                  13
226                      15.38                  13
227                      15.22                  13
228                      15.17                  13
229                      15.15                  13
230                      15.17                  13
231                      15.21                  14
232                      15.25                  13
233                      15.16                  14
234                      15.14                  14
235                      15.18                  13
236                      15.16                  17
237                      15.39                  15
238                      15.13                  14
239                      15.14                  12
240                      15.18                  13
241                      15.13                  15
242                      15.08                  14
243                      15.14                  13
244                      15.19                  14
245                      15.23                  13
246                      15.38                  13
247                      15.17                  13
248                      15.20                  14
249                      15.17                  12
250                      15.07                  13
251                      15.79                  13
252                      15.15                  13
253                      15.07                  13
254                      15.28                  14
255                      15.10                  18
256                      15.12                  17
257                      15.59                  18
258                      15.23                  19
259                      15.39                  20
260                      15.29                  20
261                      15.22                  20
262                      15.03                  18
263                      15.05                  20
264                      15.28                  22
265                      15.29                  17
266                      15.53                  18
267                      15.41                  20
268                      15.32                  19
269                      15.30                  21
270                      15.17                  19
271                      15.20                  18
272                      15.47                  18
273                      15.23                  19
274                      15.19                  18
275                      15.20                  17
276                      15.15                  18
277                      15.15                  16
278                      15.18                  15
279                      15.21                  17
280                      15.62                  18
281                      15.67                  17
282                      15.70                  20
283                      15.70                  20
284                      15.83                  20
285                      15.66                  20
286                      15.82                  22
287                      16.46                  21
288                      15.84                  20
289                      15.65                  21
290                      15.55                  22
291                      15.56                  21
292                      15.52                  17
293                      15.57                  17
294                      15.64                  20
295                      15.52                  15
296                      16.02                  18
297                      15.66                  17
298                      16.39                  23
299                      15.92                  21
300                      15.86                  21
301                      15.85                  21
302                      15.97                  21
303                      15.67                  20
304                      16.36                  23
305                      15.67                  22
306                      15.22                  20
307                      15.23                  20
308                      15.28                  19
309                      15.26                  21
310                      15.54                  20
311                      15.27                  19
312                      15.23                  20
313                      15.20                  22
314                      15.23                  21
315                      15.15                  22
316                      15.23                  23
317                      15.46                  24
318                      15.20                  23
319                      15.14                  24
320                      15.12                  22
321                      15.07                  21
322                      15.08                  22
323                      15.10                  22
324                      15.25                  21
325                      15.13                  21
326                      15.12                  21
327                      15.43                  21
328                      15.09                  22
329                      15.12                  22
330                      15.13                  23
331                      15.06                  25
332                      15.17                  24
333                      15.20                  22
334                      15.15                  22
335                      15.14                  23
336                      15.13                  20
337                      15.09                  24
338                      15.11                  22
339                      15.08                  20
340                      15.08                  23
341                      15.10                  18
342                      15.09                  21
343                      15.09                  19
344                      15.08                  14
345                      15.19                  17
346                      15.10                  19
347                      15.21                  21
348                      15.15                  21
349                      15.13                  20
350                      15.19                  21
351                      15.38                  18
352                      15.10                  18
353                      15.27                  18
354                      15.33                  19
355                      15.13                  18
356                      15.17                  18
357                      15.08                  16
358                      15.11                  17
359                      15.23                  19
360                      15.12                  17
361                      15.17                  16
362                      15.36                  17
363                      15.48                  18
364                      15.31                  17
365                      15.30                  16
366                      15.25                  17
367                      15.17                  17
368                      15.21                  16
369                      15.11                  20
370                      15.31                  20
371                      15.87                  19
372                      15.86                  22
373                      15.86                  24
374                      15.83                  24
375                      15.89                  23
376                      15.97                  21
377                      16.07                  20
378                      16.04                  22
379                      16.34                  19
380                      16.00                  20
381                      15.90                  20
382                      16.85                  17
383                      16.64                  19
384                      16.52                  19
385                      16.10                  20
386                      16.08                  19
387                      16.15                  19
388                      15.84                  17
389                      15.22                  20
390                      15.14                  19
391                      15.16                  19
392                      15.49                  20
393                      15.10                  20
394                      15.13                  19
395                      15.14                  19
396                      15.13                  23
397                      15.19                  20
398                      15.12                  19
399                      15.18                  19
400                      15.13                  20
401                      15.28                  20
402                      15.17                  20
403                      15.27                  16
404                      15.09                  19
405                      15.09                  18
406                      15.85                  16
407                      15.03                  17
408                      15.05                  19
409                      15.08                  18
410                      15.20                  17
411                      15.24                  14
412                      15.04                  20
413                      15.02                  16
414                      14.55                  22
415                      14.79                  20
416                      14.59                  19
417                      14.63                  20
418                      14.74                  17
419                      14.78                  19
420                      15.06                  20
421                      15.06                  19
422                      14.65                  18
423                      14.85                  21
424                      15.09                  19
425                      15.23                  15
426                      14.65                  17
427                      14.63                  18
428                      15.16                  18
429                      14.68                  21
430                      14.71                  16
431                      14.77                  21
432                      14.59                  20
433                      14.56                  20
434                      14.60                  22
435                      14.66                  19
436                      14.63                  19
437                      14.91                  19
438                      14.57                  18
439                      16.12                  15
440                      15.64                  18
441                      15.30                  17
442                      15.12                  20
443                      15.13                  21
444                      15.44                  23
445                      15.20                  20
446                      15.18                  20
447                      15.19                  21
448                      15.24                  18
449                      15.17                  19
450                      15.19                  19
451                      15.52                  19
452                      15.10                  16
453                      15.30                  17
454                      15.21                  17
455                      15.22                  20
456                      15.06                  17
457                      15.54                  19
458                      15.18                  18
459                      15.09                  20
460                      15.18                  19
461                      15.34                  20
462                      15.10                  19
463                      15.13                  24
464                      15.53                  23
465                      15.57                  24
466                      15.45                  22
467                      15.09                  25
468                      14.60                  21
469                      15.12                  26
470                      14.67                  22
471                      14.62                  23
472                      14.84                  22
473                      14.69                  25
474                      15.08                  23
475                      14.60                  23
476                      14.93                  26
477                      15.07                  21
478                      14.77                  24
479                      14.93                  23
480                      14.50                  24
481                      14.79                  21
482                      14.83                  21
483                      15.18                  26
484                      14.80                  21
485                      14.72                  24
486                      15.35                  20
487                      14.72                  24
488                      15.14                  19
489                      14.70                  20
490                      14.71                  21
491                      14.71                  23
492                      14.71                  21
493                      14.75                  22
494                      14.85                  21
495                      14.69                  17
496                      14.68                  19
497                      14.92                  19
498                      15.09                  19
499                      14.77                  19
500                      14.70                  20
501                      14.62                  20
502                      15.33                  20
503                      14.64                  17
504                      14.75                  18
505                      14.61                  19
506                      14.61                  18
507                      14.59                  18
508                      14.61                  17
509                      14.84                  18
510                      15.29                  17
511                      15.46                  22
512                      14.67                  20
513                      14.70                  20
514                      15.01                  21
515                      15.06                  21
516                      14.79                  21
517                      14.72                  23
518                      14.81                  21
519                      14.76                  19
520                      15.25                  23
521                      14.67                  19
522                      15.14                  19
523                      15.37                  22
524                      15.35                  20
525                      15.34                  20
526                      15.70                  21
527                      15.65                  18
528                      15.46                  19
529                      15.40                  19
530                      15.44                  19
531                      15.82                  20
532                      15.39                  21
533                      15.42                  20
534                      15.44                  19
535                      15.47                  20
536                      15.48                  20
537                      15.43                  19
538                      15.38                  19
539                      15.28                  18
540                      15.22                  17
541                      15.35                  17
542                      15.52                  18
543                      15.70                  22
544                      15.50                  19
545                      15.57                  20
546                      15.56                  18
547                      15.66                  21
548                      15.83                  21
549                      15.70                  22
550                      15.68                  25
551                      15.58                  17
552                      15.60                  17
553                      15.38                  18
554                      15.34                  16
555                      15.31                  16
556                      15.45                  18
557                      15.39                  18
558                      15.28                  17
559                      16.05                  18
560                      15.53                  17
561                      15.37                  16
562                      15.51                  16
563                      15.28                  16
564                      16.32                  15
565                      15.24                  15
566                      15.13                  16
567                      15.20                  16
568                      15.15                  17
569                      15.88                  18
570                      15.23                  18
571                      16.17                  20
572                      15.25                  19
573                      15.35                  19
574                      15.43                  17
575                      15.73                  18
576                      15.54                  19
577                      15.24                  17
578                      15.20                  18
579                      15.21                  17
580                      15.13                  17
581                      15.22                  17
582                      15.12                  15
583                      15.26                  15
584                      14.82                  17
585                      14.83                  19
586                      14.93                  18
587                      15.36                  17
588                      15.32                  16
589                      15.02                  15
590                      15.25                  16
591                      14.86                  15
592                      14.86                  16
593                      15.00                  16
594                      15.04                  17
595                      15.07                  17
596                      14.71                  17
597                      14.75                  16
598                      14.72                  16
599                      14.74                  16
600                      15.32                  16
601                      14.78                  15
602                      14.83                  17
603                      14.74                  16
604                      14.91                  16
605                      14.73                  17
606                      14.69                  16
607                      14.86                  15
608                      14.83                  16
609                      14.77                  15
610                      14.83                  16
611                      14.72                  17
612                      15.63                  17
613                      14.84                  18
614                      14.81                  18
615                      14.93                  16
616                      14.71                  17
617                      15.82                  17
618                      14.84                  18
619                      14.68                  18
620                      14.90                  18
621                      14.64                  19
622                      15.00                  19
623                      14.67                  18
624                      14.73                  21
625                      14.91                  19
626                      14.86                  20
627                      14.64                  21
628                      14.75                  21
629                      14.67                  20
630                      14.63                  19
631                      14.71                  19
632                      14.63                  17
633                      14.67                  18
634                      14.72                  17
635                      14.73                  14
636                      14.63                  15
637                      14.69                  16
638                      14.66                  17
639                      14.62                  16
640                      14.78                  18
641                      14.98                  17
642                      14.97                  16
643                      14.67                  18
644                      14.64                  18
645                      14.65                  18
646                      14.66                  16
647                      14.97                  18
648                      14.95                  18
649                      14.76                  18
650                      15.07                  21
651                      14.68                  22
652                      15.27                  21
653                      14.75                  21
654                      15.16                  21
655                      14.81                  20
656                      14.84                  18
657                      14.73                  17
658                      14.72                  18
659                      14.70                  19
660                      15.20                  19
661                      14.82                  19
662                      15.41                  22
663                      15.22                  20
664                      14.88                  21
665                      14.77                  19
666                      14.90                  20
667                      14.76                  20
668                      14.73                  21
669                      14.81                  21
670                      14.86                  20
671                      14.74                  20
672                      15.01                  19
673                      14.72                  20
674                      14.64                  21
675                      14.75                  21
676                      15.23                  20
677                      15.12                  18
678                      14.97                  19
679                      15.29                  22
680                      15.19                  22
681                      14.97                  22
682                      15.08                  22
683                      14.68                  21
684                      15.36                  21
685                      14.66                  22
686                      16.06                  21
687                      15.27                  20
688                      14.74                  19
689                      15.20                  21
690                      15.36                  18
691                      14.62                  19
692                      15.25                  17
693                      14.74                  19
694                      15.06                  19
695                      15.01                  19
696                      15.54                  18
697                      15.05                  19
698                      15.20                  18
699                      14.80                  19
700                      14.77                  20
701                      14.93                  21
702                      14.82                  21
703                      15.80                  20
704                      15.38                  20
705                      15.03                  22
706                      14.82                  19
707                      15.31                  23
708                      15.35                  24
709                      15.32                  23
710                      14.90                  22
711                      14.97                  22
712                      15.34                  23
713                      14.87                  22
714                      14.79                  25
715                      15.87                  24
716                      14.80                  23
717                      14.78                  22
718                      14.94                  19
719                      14.77                  22
720                      14.83                  22
721                      14.77                  23
722                      15.08                  24
723                      14.94                  25
724                      14.93                  23
725                      14.89                  26
726                      14.82                  22
727                      14.88                  25
728                      15.01                  24
729                      14.90                  23
730                      14.93                  26
731                      14.90                  24
732                      14.96                  18
733                      14.79                  18
734                      14.77                  21
735                      14.81                  24
736                      14.78                  21
737                      14.90                  18
738                      15.21                  21
739                      16.18                  19
740                      15.25                  19
741                      14.82                  20
742                      15.50                  19
743                      14.77                  20
744                      16.01                  19
745                      14.77                  16
746                      15.29                  19
747                      15.67                  17
748                      15.62                  19
749                      15.68                  24
750                      15.69                  23
751                      15.63                  22
752                      15.81                  21
753                      15.77                  20
754                      15.79                  22
755                      15.77                  20
756                      16.12                  20
757                      15.79                  20
758                      15.94                  15
759                      16.03                  19
760                      15.53                  17
761                      15.70                  18
762                      15.35                  17
763                      15.51                  20
764                      15.54                  20
765                      15.48                  21
766                      15.41                  23
767                      15.51                  22
768                      15.31                  21
769                      15.35                  17
770                      15.58                  20
771                      15.61                  17
772                      15.53                  19
773                      15.47                  16
774                      15.34                  18
775                      15.29                  15
776                      15.34                  19
777                      15.37                  19
778                      15.34                  19
779                      15.42                  21
780                      15.52                  20
781                      15.48                  18
782                      15.50                  18
783                      15.28                  17
784                      16.12                  20
785                      15.43                  19
786                      15.58                  17
787                      15.62                  19
788                      15.54                  19
789                      15.20                  19
790                      14.92                  20
791                      14.97                  19
792                      14.95                  16
793                      14.88                  17
794                      14.84                  17
795                      14.89                  17
796                      14.83                  19
797                      14.88                  17
798                      15.05                  18
799                      14.85                  15
800                      14.86                  18
801                      14.83                  18
802                      14.83                  18
803                      14.83                  21
804                      15.70                  19
805                      15.02                  20
806                      14.90                  20
807                      15.36                  18
808                      14.87                  19
809                      15.19                  18
810                      14.90                  19
811                      14.84                  20
812                      14.84                  17
