Frame        Inference_Time_ms    Objects_Detected
0                       192.18                  14
1                        30.02                  12
2                        29.19                  12
3                        29.11                  13
4                        29.09                  15
5                        25.86                  15
6                        22.64                  11
7                        22.66                  14
8                        22.54                  13
9                        22.64                  14
10                       22.63                  14
11                       22.61                  14
12                       22.54                  15
13                       22.54                  15
14                       18.21                  14
15                       17.01                  15
16                       16.94                  16
17                       16.96                  16
18                       17.70                  17
19                       16.66                  17
20                       16.19                  14
21                       15.63                  18
22                       15.24                  14
23                       14.68                  15
24                       14.62                  16
25                       14.45                  16
26                       14.37                  14
27                       14.51                  14
28                       14.30                  14
29                       14.65                  17
30                       14.45                  13
31                       14.59                  14
32                       14.71                  14
33                       14.49                  15
34                       14.24                  16
35                       14.64                  15
36                       14.78                  16
37                       14.39                  14
38                       14.24                  15
39                       15.00                  15
40                       14.65                  16
41                       14.90                  14
42                       14.87                  13
43                       14.76                  14
44                       15.07                  14
45                       14.49                  15
46                       15.69                  14
47                       14.77                  13
48                       14.59                  14
49                       14.56                  12
50                       14.45                  14
51                       14.56                  14
52                       14.95                  13
53                       15.01                  15
54                       14.60                  16
55                       14.42                  15
56                       14.58                  15
57                       14.53                  13
58                       14.50                  16
59                       15.64                  16
60                       15.15                  16
61                       14.74                  15
62                       14.42                  16
63                       14.35                  18
64                       14.70                  15
65                       14.59                  16
66                       14.81                  14
67                       14.60                  13
68                       14.35                  14
69                       15.00                  14
70                       14.56                  10
71                       14.32                  10
72                       14.37                  11
73                       14.38                  14
74                       14.51                  14
75                       14.48                  15
76                       14.34                  13
77                       14.86                  15
78                       15.58                  16
79                       15.59                  18
80                       15.64                  14
81                       15.59                  16
82                       15.67                  16
83                       15.70                  18
84                       15.65                  17
85                       15.54                  17
86                       15.69                  15
87                       15.63                  15
88                       15.67                  14
89                       15.55                  18
90                       15.76                  16
91                       15.77                  15
92                       15.77                  16
93                       15.64                  16
94                       15.56                  15
95                       15.60                  17
96                       15.61                  15
97                       15.55                  15
98                       15.57                  15
99                       15.54                  17
100                      15.62                  15
101                      15.73                  16
102                      16.47                  15
103                      16.10                  15
104                      15.93                  16
105                      15.79                  16
106                      18.38                  19
107                      21.13                  21
108                      15.34                  19
109                      14.90                  18
110                      22.34                  16
111                      14.71                  17
112                      14.97                  18
113                      21.27                  13
114                      15.50                  12
115                      14.83                  15
116                      14.79                  14
117                      14.82                  15
118                      15.05                  18
119                      14.88                  19
120                      14.75                  17
121                      15.30                  17
122                      14.61                  16
123                      14.61                  15
124                      15.70                  15
125                      14.61                  15
126                      20.52                  12
127                      15.41                  14
128                      14.78                  15
129                      22.06                  14
130                      15.25                  13
131                      14.77                  15
132                      14.80                  13
133                      14.90                  15
134                      14.66                  15
135                      21.26                  16
136                      14.85                  13
137                      14.61                  14
138                      27.86                  13
139                      32.26                  14
140                      17.27                  13
141                      17.19                  14
142                      43.25                  16
143                      20.76                  15
144                      17.21                  12
145                      35.05                  13
146                      31.86                  16
147                      16.95                  13
148                      16.38                  12
149                      43.07                  12
150                      16.50                  14
151                      16.40                  12
152                      40.73                  15
153                      17.04                  14
154                      16.54                  17
155                      42.62                  14
156                      20.51                  16
157                      17.00                  14
158                      40.35                  12
159                      22.63                  13
160                      16.64                  14
161                      35.57                  14
162                      28.68                  14
163                      16.72                  14
164                      15.79                  15
165                      42.35                  14
166                      16.73                  11
167                      26.96                  13
168                      36.21                  14
169                      16.84                  14
170                      16.72                  15
171                      29.21                  13
172                      15.69                  15
173                      14.91                  15
174                      28.62                  14
175                      15.88                  16
176                      16.01                  13
177                      31.20                  14
178                      15.62                  13
179                      14.62                  15
180                      24.54                  14
181                      17.06                  15
182                      16.95                  15
183                      16.51                  15
184                      17.69                  14
185                      15.93                  15
186                      14.71                  14
187                      27.86                  17
188                      15.84                  16
189                      15.06                  15
190                      27.12                  17
191                      15.19                  17
192                      15.13                  15
193                      29.44                  17
194                      15.50                  17
195                      14.81                  16
196                      28.90                  14
197                      15.33                  14
198                      15.64                  18
199                      29.11                  17
200                      15.99                  14
201                      14.97                  13
202                      28.87                  11
203                      24.62                  11
204                      17.57                  14
205                      16.14                  13
206                      32.03                  12
207                      17.09                  14
208                      15.55                  14
209                      16.20                  12
210                      15.25                  13
211                      26.85                  12
212                      19.94                  12
213                      17.98                  11
214                      17.26                  11
215                      32.00                  13
216                      15.89                  13
217                      14.92                  12
218                      28.67                  12
219                      27.49                  13
220                      15.50                  14
221                      15.24                  16
222                      21.22                  16
223                      16.63                  17
224                      28.96                  17
225                      25.66                  13
226                      16.91                  13
227                      29.86                  13
228                      15.75                  13
229                      15.77                  13
