Frame     E2E latency(ms)     
26        63.226000 ms
27        54.644000 ms
28        62.489000 ms
29        47.725000 ms
30        47.734000 ms
31        55.356000 ms
32        52.131000 ms
33        72.515000 ms
34        50.071000 ms
35        54.406000 ms
36        43.501000 ms
37        47.950000 ms
38        57.110000 ms
39        52.237000 ms
40        49.350000 ms
41        52.209000 ms
42        75.228000 ms
43        61.496000 ms
44        62.554000 ms
45        66.259000 ms
46        61.397000 ms
47        51.296000 ms
48        47.355000 ms
49        57.484000 ms
50        55.631000 ms
51        59.299000 ms
52        55.091000 ms
53        57.108000 ms
54        46.844000 ms
55        50.191000 ms
56        44.372000 ms
57        47.759000 ms
58        58.233000 ms
59        54.307000 ms
60        52.930000 ms
61        53.752000 ms
62        49.945000 ms
63        50.531000 ms
64        57.800000 ms
65        62.277000 ms
66        40.810000 ms
67        46.889000 ms
68        57.245000 ms
69        52.131000 ms
70        51.298000 ms
71        60.147000 ms
72        62.077000 ms
73        48.769000 ms
74        62.833000 ms
75        54.316000 ms
76        49.897000 ms
77        46.545000 ms
78        60.555000 ms
79        46.364000 ms
80        46.421000 ms
81        45.952000 ms
82        47.991000 ms
83        58.170000 ms
84        48.135000 ms
85        61.707000 ms
86        52.052000 ms
87        52.561000 ms
88        53.161000 ms
89        51.699000 ms
90        55.697000 ms
91        54.071000 ms
92        53.806000 ms
93        52.207000 ms
94        51.560000 ms
95        59.326000 ms
96        47.977000 ms
97        42.094000 ms
98        53.722000 ms
99        56.978000 ms
100       64.880000 ms
101       56.227000 ms
102       46.080000 ms
103       55.540000 ms
104       55.665000 ms
105       48.510000 ms
106       48.722000 ms
107       65.207000 ms
108       49.801000 ms
109       42.505000 ms
110       59.851000 ms
111       50.879000 ms
112       76.355000 ms
113       63.677000 ms
114       63.450000 ms
115       52.482000 ms
116       52.980000 ms
117       44.326000 ms
118       44.514000 ms
119       80.665000 ms
120       79.075000 ms
121       69.780000 ms
122       60.096000 ms
123       48.579000 ms
124       49.553000 ms
125       50.669000 ms
126       53.450000 ms
127       47.449000 ms
128       51.920000 ms
129       48.188000 ms
130       41.458000 ms
131       55.554000 ms
132       52.941000 ms
133       47.257000 ms
134       53.454000 ms
135       52.102000 ms
136       50.659000 ms
137       56.235000 ms
138       58.414000 ms
139       44.527000 ms
140       50.810000 ms
141       54.064000 ms
142       45.344000 ms
143       59.581000 ms
144       58.574000 ms
145       53.406000 ms
146       58.043000 ms
147       59.185000 ms
148       52.635000 ms
149       70.355000 ms
150       57.411000 ms
151       67.236000 ms
152       64.739000 ms
153       58.083000 ms
154       62.255000 ms
155       82.881000 ms
156       75.315000 ms
157       69.021000 ms
158       51.682000 ms
159       55.617000 ms
160       52.187000 ms
161       55.023000 ms
162       58.023000 ms
163       49.216000 ms
164       50.755000 ms
165       54.106000 ms
166       45.757000 ms
167       57.955000 ms
168       55.972000 ms
169       48.645000 ms
170       70.975000 ms
171       58.430000 ms
172       61.448000 ms
173       66.053000 ms
174       54.620000 ms
175       51.228000 ms
176       63.518000 ms
177       64.981000 ms
178       70.500000 ms
179       69.018000 ms
180       56.091000 ms
181       55.828000 ms
182       53.871000 ms
183       52.534000 ms
184       51.355000 ms
185       45.249000 ms
186       50.200000 ms
187       51.100000 ms
188       52.127000 ms
189       58.506000 ms
190       54.909000 ms
191       57.990000 ms
192       53.940000 ms
193       47.606000 ms
194       53.917000 ms
195       57.225000 ms
196       58.765000 ms
197       60.140000 ms
198       50.090000 ms
199       47.346000 ms
200       51.384000 ms
201       56.091000 ms
202       55.371000 ms
203       52.197000 ms
204       45.168000 ms
205       55.716000 ms
206       70.457000 ms
207       60.243000 ms
208       71.166000 ms
209       59.621000 ms
210       53.269000 ms
211       53.529000 ms
212       57.129000 ms
213       65.538000 ms
214       53.172000 ms
215       53.632000 ms
216       44.914000 ms
217       56.668000 ms
218       56.615000 ms
219       53.649000 ms
220       50.460000 ms
221       53.008000 ms
222       53.160000 ms
223       70.410000 ms
224       69.815000 ms
225       66.692000 ms
226       66.695000 ms
227       61.138000 ms
228       46.583000 ms
229       51.782000 ms
230       59.705000 ms
231       51.101000 ms
232       46.692000 ms
233       51.925000 ms
234       54.541000 ms
235       50.871000 ms
236       54.222000 ms
237       50.238000 ms
238       55.628000 ms
239       51.076000 ms
240       50.396000 ms
241       57.871000 ms
242       58.618000 ms
243       51.500000 ms
244       51.452000 ms
245       47.548000 ms
246       42.895000 ms
247       54.262000 ms
248       46.892000 ms
249       55.867000 ms
250       57.749000 ms
251       86.272000 ms
252       71.722000 ms
253       51.644000 ms
254       56.343000 ms
255       55.404000 ms
256       50.208000 ms
257       49.133000 ms
258       65.939000 ms
259       72.541000 ms
260       55.396000 ms
261       51.812000 ms
262       57.931000 ms
263       68.865000 ms
264       52.930000 ms
265       46.556000 ms
266       48.937000 ms
267       52.453000 ms
268       57.865000 ms
269       51.156000 ms
270       54.943000 ms
271       51.371000 ms
272       70.620000 ms
273       126.791000 ms
274       116.934000 ms
275       95.027000 ms
276       82.744000 ms
277       67.610000 ms
278       51.203000 ms
279       45.868000 ms
280       50.946000 ms
281       53.373000 ms
282       55.506000 ms
283       55.318000 ms
284       53.970000 ms
285       55.651000 ms
286       54.617000 ms
287       60.098000 ms
288       49.535000 ms
289       45.670000 ms
290       56.352000 ms
291       47.216000 ms
292       70.469000 ms
293       54.824000 ms
294       54.017000 ms
295       56.920000 ms
296       54.526000 ms
297       45.437000 ms
298       50.506000 ms
299       59.251000 ms
300       50.550000 ms
301       74.135000 ms
302       70.999000 ms
303       57.332000 ms
304       65.353000 ms
305       81.436000 ms
306       70.153000 ms
307       73.693000 ms
308       59.128000 ms
309       58.858000 ms
310       58.148000 ms
311       61.986000 ms
312       80.368000 ms
313       70.877000 ms
314       51.317000 ms
315       57.217000 ms
316       50.558000 ms
317       59.888000 ms
318       49.934000 ms
319       47.421000 ms
320       55.907000 ms
321       50.967000 ms
322       47.380000 ms
323       67.350000 ms
324       52.812000 ms
325       59.092000 ms
326       56.955000 ms
327       53.052000 ms
328       51.290000 ms
329       51.474000 ms
330       47.731000 ms
331       54.841000 ms
332       63.791000 ms
333       63.710000 ms
334       55.808000 ms
335       45.433000 ms
336       47.433000 ms
337       61.488000 ms
338       50.457000 ms
339       46.430000 ms
340       53.181000 ms
341       57.310000 ms
342       67.283000 ms
343       55.109000 ms
344       46.817000 ms
345       51.999000 ms
346       59.124000 ms
347       49.323000 ms
348       69.827000 ms
349       61.329000 ms
350       68.189000 ms
351       64.509000 ms
352       58.184000 ms
353       51.488000 ms
354       48.005000 ms
355       54.692000 ms
356       52.158000 ms
357       57.483000 ms
358       54.604000 ms
359       82.121000 ms
360       72.704000 ms
361       82.257000 ms
362       57.551000 ms
363       53.323000 ms
364       49.059000 ms
365       47.963000 ms
366       44.239000 ms
367       44.775000 ms
368       158.192000 ms
369       132.602000 ms
370       114.339000 ms
371       104.388000 ms
372       81.206000 ms
373       62.675000 ms
374       62.764000 ms
375       50.265000 ms
376       55.914000 ms
377       60.149000 ms
378       61.748000 ms
379       68.520000 ms
380       51.461000 ms
381       49.034000 ms
382       58.111000 ms
383       52.075000 ms
384       55.479000 ms
385       56.836000 ms
386       51.573000 ms
387       60.142000 ms
388       70.607000 ms
389       68.952000 ms
390       79.158000 ms
391       53.136000 ms
392       57.286000 ms
393       51.031000 ms
394       45.878000 ms
395       53.245000 ms
396       55.882000 ms
397       52.265000 ms
398       54.968000 ms
399       54.955000 ms
400       52.578000 ms
401       58.598000 ms
402       52.842000 ms
403       62.860000 ms
404       51.761000 ms
405       47.480000 ms
406       52.182000 ms
407       59.620000 ms
408       53.736000 ms
409       52.102000 ms
410       69.589000 ms
411       53.864000 ms
412       57.419000 ms
413       57.514000 ms
414       44.981000 ms
415       52.303000 ms
416       61.330000 ms
417       70.522000 ms
418       53.345000 ms
419       66.562000 ms
420       49.393000 ms
421       52.099000 ms
422       55.284000 ms
423       45.127000 ms
424       41.926000 ms
425       42.219000 ms
426       59.547000 ms
427       66.354000 ms
428       58.444000 ms
429       56.979000 ms
430       55.960000 ms
431       68.329000 ms
432       58.397000 ms
433       56.441000 ms
434       55.927000 ms
435       64.262000 ms
436       79.350000 ms
437       75.736000 ms
438       73.091000 ms
439       54.989000 ms
440       56.105000 ms
441       56.079000 ms
442       58.013000 ms
443       57.683000 ms
444       44.579000 ms
445       51.563000 ms
446       67.684000 ms
447       56.863000 ms
448       56.162000 ms
449       53.750000 ms
450       53.025000 ms
451       53.354000 ms
452       52.743000 ms
453       57.729000 ms
454       57.506000 ms
455       51.908000 ms
456       48.750000 ms
457       49.483000 ms
458       58.099000 ms
459       56.626000 ms
460       56.838000 ms
461       54.812000 ms
462       63.210000 ms
463       54.458000 ms
464       46.789000 ms
465       51.679000 ms
466       56.925000 ms
467       57.812000 ms
468       56.069000 ms
469       57.894000 ms
470       59.857000 ms
471       47.962000 ms
472       54.326000 ms
473       66.298000 ms
474       54.461000 ms
475       85.673000 ms
476       64.993000 ms
477       65.371000 ms
478       54.580000 ms
479       52.628000 ms
480       51.885000 ms
481       46.508000 ms
482       60.266000 ms
483       56.131000 ms
484       52.402000 ms
485       53.289000 ms
486       57.336000 ms
487       47.966000 ms
488       54.974000 ms
489       51.957000 ms
490       58.955000 ms
491       59.372000 ms
492       50.394000 ms
493       56.303000 ms
494       49.139000 ms
495       55.042000 ms
496       49.327000 ms
497       59.785000 ms
498       53.976000 ms
499       51.249000 ms
500       50.615000 ms
501       76.346000 ms
502       55.842000 ms
503       51.794000 ms
504       54.255000 ms
505       42.150000 ms
506       40.946000 ms
507       48.744000 ms
508       54.618000 ms
509       57.094000 ms
510       63.663000 ms
511       53.885000 ms
512       61.835000 ms
513       83.878000 ms
514       72.723000 ms
515       113.431000 ms
516       98.388000 ms
517       76.894000 ms
518       59.912000 ms
519       52.384000 ms
520       42.017000 ms
521       62.778000 ms
522       53.303000 ms
523       53.834000 ms
524       49.742000 ms
525       55.773000 ms
526       51.175000 ms
527       52.653000 ms
528       57.076000 ms
529       51.960000 ms
530       58.008000 ms
531       51.636000 ms
532       44.771000 ms
533       48.751000 ms
534       55.540000 ms
535       52.943000 ms
536       47.026000 ms
537       46.373000 ms
538       49.969000 ms
539       52.723000 ms
540       55.131000 ms
541       47.519000 ms
542       93.749000 ms
543       80.689000 ms
544       71.114000 ms
545       52.604000 ms
546       51.015000 ms
547       54.615000 ms
548       51.686000 ms
549       47.001000 ms
550       54.624000 ms
551       66.523000 ms
552       50.637000 ms
553       46.789000 ms
554       48.463000 ms
555       56.273000 ms
556       50.815000 ms
557       76.945000 ms
558       53.190000 ms
559       55.042000 ms
