Frame     E2E latency(ms)        
21        50.369000 ms        
22        50.782000 ms        
23        53.437000 ms        
24        60.497000 ms        
25        62.638000 ms        
26        55.551000 ms        
27        65.463000 ms        
28        68.600000 ms        
29        53.016000 ms        
30        55.686000 ms        
31        64.986000 ms        
32        64.770000 ms        
33        53.991000 ms        
34        67.597000 ms        
35        58.533000 ms        
36        57.583000 ms        
37        83.616000 ms        
38        67.122000 ms        
39        59.718000 ms        
40        56.553000 ms        
41        52.542000 ms        
42        78.392000 ms        
43        63.430000 ms        
44        62.951000 ms        
45        74.403000 ms        
46        55.660000 ms        
47        61.891000 ms        
48        76.463000 ms        
49        59.155000 ms        
50        59.638000 ms        
51        55.141000 ms        
52        54.496000 ms        
53        60.431000 ms        
54        56.463000 ms        
55        54.464000 ms        
56        54.857000 ms        
57        54.646000 ms        
58        65.768000 ms        
59        60.658000 ms        
60        62.906000 ms        
61        65.125000 ms        
62        65.543000 ms        
63        59.861000 ms        
64        63.649000 ms        
65        60.203000 ms        
66        49.422000 ms        
67        87.882000 ms        
68        66.953000 ms        
69        65.025000 ms        
70        64.676000 ms        
71        60.053000 ms        
72        65.421000 ms        
73        49.227000 ms        
74        73.100000 ms        
75        71.077000 ms        
76        56.681000 ms        
77        53.627000 ms        
78        76.771000 ms        
79        63.390000 ms        
80        60.117000 ms        
81        58.433000 ms        
82        72.091000 ms        
83        69.064000 ms        
84        62.937000 ms        
85        51.014000 ms        
86        62.195000 ms        
87        58.405000 ms        
88        66.728000 ms        
89        48.016000 ms        
90        56.971000 ms        
91        59.251000 ms        
92        59.583000 ms        
93        57.475000 ms        
94        61.581000 ms        
95        53.853000 ms        
96        71.642000 ms        
97        71.470000 ms        
98        55.821000 ms        
99        54.006000 ms        
100       59.348000 ms        
101       63.263000 ms        
102       56.079000 ms        
103       56.961000 ms        
104       52.056000 ms        
105       54.583000 ms        
106       77.425000 ms        
107       62.009000 ms        
108       73.643000 ms        
109       53.921000 ms        
110       49.040000 ms        
111       74.941000 ms        
112       57.834000 ms        
113       65.817000 ms        
114       74.848000 ms        
115       58.597000 ms        
116       57.530000 ms        
117       79.219000 ms        
118       62.843000 ms        
119       58.070000 ms        
120       73.844000 ms        
121       59.962000 ms        
122       50.898000 ms        
123       87.058000 ms        
124       70.908000 ms        
125       55.749000 ms        
126       91.932000 ms        
127       75.553000 ms        
128       58.466000 ms        
129       53.801000 ms        
130       66.326000 ms        
131       59.339000 ms        
132       53.903000 ms        
133       68.009000 ms        
134       55.292000 ms        
135       52.280000 ms        
136       77.955000 ms        
137       56.237000 ms        
138       66.774000 ms        
139       65.730000 ms        
140       55.923000 ms        
141       58.381000 ms        
142       70.455000 ms        
143       54.904000 ms        
144       58.719000 ms        
145       71.536000 ms        
146       63.881000 ms        
147       52.452000 ms        
148       60.245000 ms        
149       54.840000 ms        
150       58.515000 ms        
151       62.961000 ms        
152       57.935000 ms        
153       62.994000 ms        
154       61.927000 ms        
155       63.860000 ms        
156       74.059000 ms        
157       54.264000 ms        
158       64.366000 ms        
159       53.933000 ms        
160       59.036000 ms        
161       61.962000 ms        
162       49.218000 ms        
163       58.191000 ms        
164       54.991000 ms        
165       62.266000 ms        
166       60.251000 ms        
167       58.442000 ms        
168       73.177000 ms        
169       57.162000 ms        
170       64.632000 ms        
171       59.249000 ms        
172       61.142000 ms        
173       71.789000 ms        
174       51.685000 ms        
175       53.929000 ms        
176       75.849000 ms        
177       65.266000 ms        
178       65.861000 ms        
179       75.910000 ms        
180       62.629000 ms        
181       64.078000 ms        
182       56.512000 ms        
183       61.507000 ms        
184       51.595000 ms        
185       56.967000 ms        
186       70.630000 ms        
187       52.415000 ms        
188       50.068000 ms        
189       62.480000 ms        
190       60.443000 ms        
191       55.308000 ms        
192       68.782000 ms        
193       54.656000 ms        
194       54.779000 ms        
195       73.415000 ms        
196       53.281000 ms        
197       48.037000 ms        
198       72.789000 ms        
199       55.646000 ms        
200       55.066000 ms        
201       86.029000 ms        
202       69.802000 ms        
203       56.948000 ms        
204       67.793000 ms        
205       71.582000 ms        
206       52.275000 ms        
207       53.560000 ms        
208       70.913000 ms        
209       51.006000 ms        
210       63.159000 ms        
211       63.221000 ms        
212       57.166000 ms        
213       57.002000 ms        
214       67.689000 ms        
215       54.555000 ms        
216       58.624000 ms        
217       91.809000 ms        
218       69.474000 ms        
219       52.707000 ms        
