Frame     E2E latency(ms)       
29        60.677000 ms        
30        290.183000 ms       
31        271.872000 ms       
32        250.742000 ms       
33        236.268000 ms       
34        217.383000 ms       
35        199.196000 ms       
36        182.257000 ms       
37        171.514000 ms       
38        146.180000 ms       
39        130.446000 ms       
40        282.736000 ms       
41        263.183000 ms       
42        244.009000 ms       
43        227.094000 ms       
44        209.323000 ms       
45        193.062000 ms       
46        169.676000 ms       
47        154.384000 ms       
48        138.873000 ms       
49        191.017000 ms       
50        179.463000 ms       
51        159.894000 ms       
52        140.227000 ms       
53        121.698000 ms       
54        104.130000 ms       
55        90.126000 ms        
56        75.660000 ms        
57        57.500000 ms        
58        78.940000 ms        
59        58.054000 ms        
60        62.826000 ms        
61        58.746000 ms        
62        63.969000 ms        
63        56.386000 ms        
64        67.549000 ms        
65        60.843000 ms        
66        70.880000 ms        
67        60.065000 ms        
68        67.999000 ms        
69        53.119000 ms        
70        62.527000 ms        
71        54.152000 ms        
72        59.462000 ms        
73        56.501000 ms        
74        55.209000 ms        
75        53.339000 ms        
76        50.968000 ms        
77        49.424000 ms        
78        70.278000 ms        
79        50.682000 ms        
80        55.926000 ms        
81        51.026000 ms        
82        58.661000 ms        
83        54.708000 ms        
84        52.639000 ms        
85        60.803000 ms        
86        68.587000 ms        
87        65.617000 ms        
88        58.440000 ms        
89        54.141000 ms        
90        54.256000 ms        
91        70.312000 ms        
92        65.555000 ms        
93        56.553000 ms        
94        58.140000 ms        
95        59.839000 ms        
96        54.747000 ms        
97        74.702000 ms        
98        50.722000 ms        
99        56.154000 ms        
100       66.378000 ms        
101       55.614000 ms        
102       58.435000 ms        
103       52.421000 ms        
104       53.169000 ms        
105       56.043000 ms        
106       61.013000 ms        
107       82.723000 ms        
108       62.115000 ms        
109       52.582000 ms        
110       50.665000 ms        
111       59.059000 ms        
112       46.299000 ms        
113       50.136000 ms        
114       66.199000 ms        
115       51.002000 ms        
116       60.656000 ms        
117       71.756000 ms        
118       57.023000 ms        
119       53.630000 ms        
120       66.342000 ms        
121       52.514000 ms        
122       51.018000 ms        
123       69.748000 ms        
124       59.373000 ms        
125       50.955000 ms        
126       287.668000 ms       
127       270.557000 ms       
