Frame     E2E latency(ms)           
22        79.574000 ms        
23        61.697000 ms        
24        58.551000 ms        
25        63.327000 ms        
26        59.001000 ms        
27        69.575000 ms        
28        61.235000 ms        
29        63.997000 ms        
30        57.843000 ms        
31        61.847000 ms        
32        58.003000 ms        
33        63.164000 ms        
34        52.116000 ms        
35        85.642000 ms        
36        72.402000 ms        
37        61.373000 ms        
38        81.251000 ms        
39        67.094000 ms        
40        55.930000 ms        
41        52.977000 ms        
42        59.690000 ms        
43        59.923000 ms        
44        64.212000 ms        
45        64.059000 ms        
46        62.372000 ms        
47        51.611000 ms        
48        60.588000 ms        
49        65.521000 ms        
50        58.223000 ms        
51        61.818000 ms        
52        56.493000 ms        
53        64.134000 ms        
54        60.794000 ms        
55        46.475000 ms        
56        55.318000 ms        
57        66.510000 ms        
58        57.283000 ms        
59        57.870000 ms        
60        58.917000 ms        
61        54.127000 ms        
62        64.255000 ms        
63        65.069000 ms        
64        72.561000 ms        
65        93.862000 ms        
66        73.131000 ms        
67        60.683000 ms        
68        67.029000 ms        
69        68.237000 ms        
70        51.399000 ms        
71        63.578000 ms        
72        60.218000 ms        
73        46.069000 ms        
74        59.163000 ms        
75        54.610000 ms        
76        55.801000 ms        
77        47.958000 ms        
78        67.709000 ms        
79        54.438000 ms        
80        55.895000 ms        
81        52.926000 ms        
82        68.072000 ms        
83        74.958000 ms        
84        54.739000 ms        
85        54.219000 ms        
86        62.697000 ms        
87        65.735000 ms        
88        63.760000 ms        
89        51.208000 ms        
90        58.975000 ms        
91        67.673000 ms        
92        61.458000 ms        
93        58.789000 ms        
94        54.224000 ms        
95        65.920000 ms        
96        64.829000 ms        
97        58.363000 ms        
98        54.723000 ms        
99        64.111000 ms        
100       69.953000 ms        
101       55.327000 ms        
102       62.082000 ms        
103       67.085000 ms        
104       58.477000 ms        
105       73.981000 ms        
106       124.107000 ms       
107       102.466000 ms       
108       84.517000 ms        
109       69.649000 ms        
110       59.830000 ms        
111       68.858000 ms        
112       50.997000 ms        
113       51.564000 ms        
114       67.531000 ms        
115       62.681000 ms        
116       51.182000 ms        
117       72.837000 ms        
118       76.056000 ms        
119       53.949000 ms        
120       67.471000 ms        
121       65.205000 ms        
122       67.522000 ms        
123       71.811000 ms        
124       65.904000 ms        
125       61.279000 ms        
126       52.356000 ms        
127       68.270000 ms        
128       61.633000 ms        
129       60.995000 ms        
130       74.583000 ms        
131       59.301000 ms        
132       56.743000 ms        
133       77.032000 ms        
134       62.857000 ms        
135       69.554000 ms        
136       78.230000 ms        
137       74.307000 ms        
138       57.517000 ms        
139       70.305000 ms        
140       71.266000 ms        
141       57.538000 ms        
142       68.694000 ms        
143       66.041000 ms        
144       60.868000 ms        
145       58.776000 ms        
146       63.542000 ms        
147       66.810000 ms        
148       78.158000 ms        
149       56.393000 ms        
150       73.568000 ms        
151       63.768000 ms        
152       64.946000 ms        
153       59.146000 ms        
154       65.697000 ms        
155       64.561000 ms        
156       45.445000 ms        
157       64.941000 ms        
158       50.320000 ms        
159       58.932000 ms        
160       87.768000 ms        
161       77.598000 ms        
162       60.935000 ms        
163       73.537000 ms        
164       50.911000 ms        
165       53.770000 ms        
166       68.664000 ms        
167       61.455000 ms        
168       69.552000 ms        
169       50.757000 ms        
170       47.843000 ms        
171       57.867000 ms        
172       57.754000 ms        
173       62.583000 ms        
174       57.221000 ms        
175       56.583000 ms        
176       280.347000 ms       
177       275.514000 ms       
178       258.289000 ms       
179       242.177000 ms       
180       226.156000 ms       
181       209.162000 ms       
182       191.186000 ms       
183       181.348000 ms       
184       163.893000 ms       
185       148.217000 ms       
186       127.999000 ms       
187       116.288000 ms       
188       93.507000 ms        
189       91.906000 ms        
190       75.538000 ms        
191       58.408000 ms        
192       56.334000 ms        
193       72.903000 ms        
194       57.238000 ms        
195       67.215000 ms        
196       71.955000 ms        
197       55.462000 ms        
198       49.964000 ms        
199       58.518000 ms        
200       59.626000 ms        
201       50.397000 ms        
202       80.656000 ms        
203       70.135000 ms        
204       58.175000 ms        
205       55.043000 ms        
206       76.620000 ms        
