Frame     E2E latency(ms)     
19        69.006000 ms
20        58.489000 ms
21        49.669000 ms
22        57.407000 ms
23        52.500000 ms
24        47.466000 ms
25        55.602000 ms
26        56.002000 ms
27        51.940000 ms
28        58.363000 ms
29        52.425000 ms
30        54.568000 ms
31        58.416000 ms
32        46.474000 ms
33        49.924000 ms
34        58.805000 ms
35        51.170000 ms
36        48.768000 ms
37        54.569000 ms
38        56.689000 ms
39        54.063000 ms
40        50.091000 ms
41        52.819000 ms
42        49.553000 ms
43        50.619000 ms
44        55.692000 ms
45        49.438000 ms
46        50.606000 ms
47        44.538000 ms
48        54.295000 ms
49        50.666000 ms
50        52.332000 ms
51        52.417000 ms
52        51.283000 ms
53        49.881000 ms
54        49.556000 ms
55        51.149000 ms
56        57.046000 ms
57        61.557000 ms
58        63.700000 ms
59        48.086000 ms
60        51.560000 ms
61        53.695000 ms
62        54.767000 ms
63        49.433000 ms
64        55.593000 ms
65        47.231000 ms
66        54.379000 ms
67        55.250000 ms
68        48.880000 ms
69        49.475000 ms
70        42.750000 ms
71        52.645000 ms
72        48.862000 ms
73        48.167000 ms
74        57.603000 ms
75        46.935000 ms
76        53.513000 ms
77        48.877000 ms
78        66.370000 ms
79        51.078000 ms
80        47.671000 ms
81        48.112000 ms
82        59.534000 ms
83        56.103000 ms
84        53.885000 ms
85        57.805000 ms
86        54.438000 ms
87        49.484000 ms
88        52.818000 ms
89        44.366000 ms
90        49.296000 ms
91        59.536000 ms
92        47.119000 ms
93        48.936000 ms
94        53.537000 ms
95        49.015000 ms
96        54.139000 ms
97        47.819000 ms
98        54.615000 ms
99        53.175000 ms
100       62.219000 ms
101       61.140000 ms
102       49.673000 ms
103       55.996000 ms
104       62.510000 ms
105       54.631000 ms
106       56.645000 ms
107       51.405000 ms
108       83.035000 ms
109       72.506000 ms
110       56.758000 ms
111       74.737000 ms
112       81.499000 ms
113       64.373000 ms
114       72.175000 ms
115       81.440000 ms
116       60.498000 ms
117       71.308000 ms
118       82.988000 ms
119       70.317000 ms
120       54.925000 ms
121       85.798000 ms
122       69.080000 ms
123       74.714000 ms
124       88.280000 ms
125       68.063000 ms
126       50.565000 ms
127       94.495000 ms
128       77.336000 ms
129       61.497000 ms
130       81.033000 ms
131       78.399000 ms
132       63.775000 ms
133       80.926000 ms
134       85.067000 ms
135       65.400000 ms
136       75.543000 ms
137       86.537000 ms
138       71.848000 ms
139       74.983000 ms
140       84.937000 ms
141       70.860000 ms
142       52.746000 ms
143       89.967000 ms
144       72.345000 ms
145       59.187000 ms
146       80.210000 ms
147       65.306000 ms
148       57.596000 ms
149       91.348000 ms
150       74.209000 ms
151       60.572000 ms
152       79.787000 ms
153       74.452000 ms
154       59.436000 ms
155       98.063000 ms
156       83.859000 ms
157       65.147000 ms
158       80.961000 ms
159       78.154000 ms
160       61.364000 ms
161       82.579000 ms
162       78.984000 ms
163       58.116000 ms
164       70.217000 ms
165       85.309000 ms
166       62.443000 ms
167       49.923000 ms
168       86.841000 ms
169       66.886000 ms
170       80.072000 ms
171       92.908000 ms
172       80.627000 ms
173       71.093000 ms
174       92.400000 ms
175       77.954000 ms
176       62.040000 ms
177       71.511000 ms
178       72.162000 ms
179       55.511000 ms
180       89.305000 ms
181       77.582000 ms
182       61.756000 ms
183       80.459000 ms
184       81.697000 ms
185       63.751000 ms
186       72.728000 ms
187       85.364000 ms
188       66.806000 ms
189       51.717000 ms
190       87.572000 ms
191       72.087000 ms
192       56.165000 ms
193       85.527000 ms
194       77.526000 ms
195       60.357000 ms
196       81.850000 ms
197       75.513000 ms
198       63.026000 ms
199       85.081000 ms
200       85.205000 ms
201       67.762000 ms
202       85.586000 ms
203       92.563000 ms
204       73.889000 ms
205       81.271000 ms
206       88.295000 ms
207       73.248000 ms
208       73.504000 ms
209       95.226000 ms
210       81.232000 ms
211       61.337000 ms
212       95.408000 ms
213       85.138000 ms
214       62.599000 ms
215       84.437000 ms
216       83.490000 ms
217       64.822000 ms
218       81.414000 ms
219       91.774000 ms
220       68.816000 ms
221       81.723000 ms
222       87.231000 ms
223       70.660000 ms
224       94.241000 ms
225       96.234000 ms
226       75.747000 ms
227       88.208000 ms
228       92.779000 ms
229       76.407000 ms
230       80.783000 ms
231       100.223000 ms
232       82.958000 ms
233       74.734000 ms
234       99.236000 ms
235       82.037000 ms
236       66.439000 ms
237       81.741000 ms
238       82.462000 ms
239       68.526000 ms
240       60.104000 ms
241       83.298000 ms
242       70.489000 ms
243       53.887000 ms
244       90.672000 ms
245       72.053000 ms
246       55.625000 ms
247       88.374000 ms
248       72.322000 ms
249       55.082000 ms
250       95.752000 ms
251       85.549000 ms
252       91.996000 ms
253       98.882000 ms
254       85.121000 ms
255       71.114000 ms
256       98.369000 ms
257       86.168000 ms
258       65.126000 ms
259       86.344000 ms
260       85.707000 ms
261       69.268000 ms
262       90.224000 ms
263       88.886000 ms
264       76.649000 ms
265       57.260000 ms
266       86.211000 ms
267       82.177000 ms
268       64.902000 ms
269       75.656000 ms
270       82.800000 ms
271       65.690000 ms
272       82.276000 ms
273       90.256000 ms
274       71.520000 ms
275       59.670000 ms
276       79.047000 ms
277       68.896000 ms
278       51.746000 ms
279       87.372000 ms
280       84.370000 ms
281       68.300000 ms
282       74.060000 ms
283       84.172000 ms
284       64.188000 ms
285       75.594000 ms
286       84.699000 ms
287       69.575000 ms
288       71.504000 ms
289       87.651000 ms
290       69.801000 ms
291       51.116000 ms
292       88.522000 ms
293       74.680000 ms
294       59.897000 ms
295       87.679000 ms
296       71.163000 ms
297       59.454000 ms
298       86.871000 ms
299       72.242000 ms
300       92.634000 ms
301       96.429000 ms
302       82.038000 ms
303       66.863000 ms
304       89.602000 ms
305       85.092000 ms
306       62.844000 ms
307       74.751000 ms
308       73.161000 ms
