Frame        Inference_Time_ms    Objects_Detected
0                       179.84                  14
1                        30.70                  12
2                        28.83                  12
3                        28.66                  13
4                        27.92                  15
5                        24.97                  15
6                        24.78                  11
7                        24.75                  14
8                        25.45                  13
9                        24.72                  14
10                       24.98                  14
11                       25.21                  14
12                       22.47                  15
13                       15.96                  15
14                       15.52                  14
15                       15.32                  16
16                       15.24                  16
17                       15.57                  16
18                       15.82                  17
19                       15.68                  14
20                       15.59                  18
21                       15.70                  18
22                       15.54                  14
23                       15.35                  15
24                       14.76                  16
25                       14.56                  16
26                       14.67                  14
27                       14.55                  14
28                       14.54                  14
29                       14.53                  17
30                       14.49                  13
31                       14.43                  14
32                       14.40                  14
33                       14.41                  15
34                       14.47                  16
35                       14.38                  15
36                       14.37                  16
37                       14.37                  14
38                       14.36                  15
39                       14.38                  15
40                       14.54                  16
41                       14.48                  14
42                       14.43                  13
43                       14.47                  14
44                       14.43                  14
45                       14.41                  15
46                       14.47                  14
47                       14.47                  13
48                       14.76                  14
49                       14.47                  12
50                       14.45                  14
51                       14.46                  14
52                       14.41                  13
53                       14.44                  15
54                       14.38                  16
55                       14.37                  15
56                       14.39                  15
57                       14.38                  13
58                       14.39                  16
59                       14.40                  16
60                       14.45                  16
61                       14.50                  15
62                       14.48                  16
63                       14.39                  18
64                       14.40                  15
65                       14.41                  16
66                       15.04                  14
67                       14.67                  13
68                       14.58                  14
69                       14.55                  14
70                       14.49                  10
71                       14.52                  10
72                       14.58                  11
73                       14.70                  14
74                       14.56                  14
75                       14.54                  15
76                       14.46                  13
77                       14.48                  15
78                       15.43                  16
79                       15.64                  18
80                       15.61                  14
81                       15.63                  16
82                       15.59                  16
83                       15.61                  18
84                       15.56                  17
85                       15.52                  17
86                       15.55                  15
87                       15.53                  15
88                       15.53                  14
89                       15.58                  18
90                       15.74                  16
91                       15.74                  15
92                       15.77                  16
93                       15.72                  16
94                       15.62                  15
95                       15.62                  17
96                       15.62                  15
97                       15.66                  15
98                       15.64                  15
99                       15.64                  17
100                      15.65                  15
101                      15.68                  16
102                      15.86                  15
103                      15.86                  15
104                      15.86                  16
105                      15.79                  16
106                      15.73                  19
107                      15.74                  21
108                      15.67                  19
109                      15.63                  18
110                      15.63                  16
111                      15.58                  17
112                      15.56                  18
113                      15.56                  13
114                      15.54                  12
115                      15.58                  15
116                      15.56                  14
117                      15.56                  15
118                      15.56                  18
119                      15.55                  19
120                      15.52                  17
121                      15.36                  17
122                      15.33                  16
123                      15.46                  15
124                      15.22                  15
125                      15.26                  15
126                      15.24                  12
127                      15.25                  14
128                      15.25                  15
129                      15.25                  14
130                      15.25                  13
131                      15.24                  15
132                      15.21                  13
133                      15.23                  15
134                      15.25                  15
135                      15.23                  16
136                      15.27                  13
137                      15.24                  14
138                      15.22                  13
139                      15.25                  14
140                      15.26                  13
141                      15.24                  14
142                      15.23                  16
143                      15.25                  15
144                      15.25                  12
145                      15.14                  13
146                      15.13                  16
147                      15.15                  13
148                      15.07                  12
149                      15.06                  12
150                      15.07                  14
151                      15.02                  12
152                      15.05                  15
153                      15.05                  14
154                      15.05                  17
155                      15.07                  14
156                      15.03                  16
157                      15.04                  14
158                      15.06                  12
159                      15.08                  13
160                      15.06                  14
161                      15.05                  14
162                      15.05                  14
163                      15.06                  14
164                      15.04                  15
165                      15.05                  14
166                      15.03                  11
167                      15.07                  13
168                      15.04                  14
169                      15.07                  14
170                      15.04                  15
171                      15.05                  13
172                      15.03                  15
173                      15.05                  15
174                      15.05                  14
175                      15.05                  16
176                      15.05                  13
177                      15.02                  14
178                      15.04                  13
179                      15.04                  15
180                      15.10                  14
181                      15.05                  15
182                      15.04                  15
183                      15.07                  15
184                      15.04                  14
185                      15.03                  15
186                      15.04                  14
187                      15.05                  17
188                      15.03                  16
189                      15.06                  15
190                      15.06                  17
191                      15.06                  17
192                      15.04                  15
193                      15.04                  17
194                      15.08                  17
195                      15.03                  16
196                      15.04                  14
197                      15.05                  14
198                      15.04                  18
199                      15.25                  17
200                      15.22                  14
201                      15.22                  13
202                      15.12                  11
203                      15.14                  11
204                      15.13                  14
205                      15.32                  13
206                      15.33                  12
207                      15.37                  14
208                      15.22                  14
209                      15.33                  12
210                      15.23                  13
211                      15.43                  12
212                      15.47                  12
213                      15.45                  11
214                      15.32                  11
215                      15.35                  13
216                      15.34                  13
217                      15.34                  12
218                      15.33                  12
219                      15.33                  13
220                      15.34                  14
221                      15.35                  16
222                      15.32                  16
223                      15.54                  17
224                      15.54                  17
225                      15.57                  13
226                      15.45                  13
227                      15.45                  13
228                      15.44                  13
229                      15.65                  13
230                      15.67                  13
231                      15.66                  14
232                      15.55                  13
233                      15.57                  14
234                      15.55                  14
235                      15.52                  13
236                      15.51                  17
237                      15.58                  15
238                      15.51                  14
239                      15.56                  12
240                      15.54                  13
241                      15.57                  15
242                      15.56                  14
243                      15.52                  13
244                      15.52                  14
245                      15.55                  13
246                      15.58                  13
247                      15.74                  13
248                      15.76                  14
249                      15.77                  12
250                      16.16                  14
251                      15.97                  13
252                      15.64                  13
253                      15.66                  13
254                      15.62                  14
255                      15.72                  18
256                      15.64                  17
257                      15.65                  18
258                      15.66                  19
259                      15.94                  20
260                      15.89                  20
261                      15.86                  20
262                      15.75                  18
263                      15.75                  20
264                      15.74                  22
265                      15.74                  17
266                      15.74                  18
267                      15.74                  20
268                      16.05                  19
269                      15.74                  21
270                      15.81                  19
271                      15.75                  18
272                      15.80                  18
273                      15.72                  19
274                      15.76                  18
275                      15.75                  17
276                      15.73                  18
277                      15.96                  16
278                      15.94                  15
279                      15.94                  17
280                      15.84                  18
281                      15.86                  17
282                      15.85                  20
283                      15.87                  20
284                      15.84                  20
285                      15.87                  20
286                      15.86                  22
287                      15.87                  21
288                      15.83                  20
289                      15.87                  21
290                      15.89                  22
291                      15.84                  21
292                      15.84                  17
293                      15.86                  17
294                      15.83                  20
295                      15.84                  15
296                      15.85                  18
297                      15.85                  17
298                      15.82                  23
299                      15.83                  21
300                      15.82                  21
301                      16.09                  21
302                      16.11                  21
303                      16.08                  20
304                      15.97                  23
305                      15.97                  22
306                      15.95                  20
307                      15.96                  20
308                      15.94                  19
309                      15.98                  21
310                      15.97                  20
311                      16.03                  19
312                      15.96                  20
313                      15.98                  22
314                      15.97                  21
315                      15.96                  22
316                      15.99                  23
317                      15.96                  24
318                      15.98                  23
319                      16.00                  24
320                      15.97                  22
321                      15.97                  21
322                      15.98                  22
323                      15.95                  22
324                      15.96                  21
325                      15.95                  21
326                      15.97                  21
327                      15.97                  21
328                      15.95                  22
329                      16.01                  22
330                      16.04                  23
331                      16.29                  25
332                      16.32                  24
333                      16.23                  22
334                      16.19                  22
335                      16.15                  23
336                      16.14                  20
337                      16.06                  24
338                      16.01                  22
339                      16.02                  20
340                      15.95                  23
341                      15.86                  18
342                      15.85                  21
343                      15.85                  19
344                      15.84                  14
345                      15.85                  17
346                      15.83                  19
347                      15.86                  21
348                      15.85                  21
349                      15.85                  20
350                      15.87                  21
351                      15.85                  18
352                      15.85                  18
353                      15.85                  18
354                      15.83                  19
355                      15.83                  18
356                      15.86                  18
357                      15.83                  16
358                      15.84                  17
359                      15.87                  19
360                      15.84                  17
361                      15.87                  16
362                      15.87                  17
363                      15.84                  18
364                      15.83                  17
365                      15.85                  16
366                      15.84                  17
367                      15.76                  17
368                      15.45                  16
369                      15.45                  20
370                      15.38                  20
371                      15.33                  19
372                      15.33                  22
373                      15.35                  24
374                      15.37                  24
375                      15.35                  23
376                      15.32                  21
377                      15.37                  20
378                      15.34                  22
379                      15.34                  19
380                      15.32                  20
381                      15.33                  20
382                      15.38                  17
383                      15.32                  19
384                      15.37                  19
385                      15.34                  20
386                      15.32                  19
387                      15.31                  19
388                      15.37                  17
389                      15.71                  20
390                      15.34                  20
391                      15.34                  19
392                      15.33                  20
393                      15.36                  20
394                      15.33                  19
395                      15.34                  19
396                      15.35                  23
397                      15.36                  20
398                      15.33                  19
399                      15.34                  19
400                      15.32                  20
401                      15.38                  20
402                      15.34                  20
403                      15.36                  16
404                      15.34                  19
405                      15.32                  18
406                      15.35                  16
407                      15.36                  17
408                      15.33                  19
409                      15.34                  18
410                      15.35                  17
411                      15.32                  14
412                      15.31                  20
413                      15.36                  16
414                      15.35                  22
415                      15.32                  20
416                      15.32                  19
417                      15.42                  20
418                      15.41                  17
419                      15.45                  19
420                      15.44                  20
421                      15.42                  19
422                      15.73                  18
423                      15.72                  21
424                      15.71                  19
425                      15.60                  15
426                      15.66                  17
427                      15.61                  18
428                      15.84                  18
429                      15.85                  21
430                      15.79                  16
431                      15.73                  21
432                      15.74                  20
433                      15.76                  20
434                      18.01                  22
435                      17.81                  19
436                      17.19                  19
437                      16.70                  19
438                      17.37                  15
439                      17.36                  18
440                      17.35                  17
441                      17.35                  20
442                      16.92                  21
443                      16.02                  23
444                      15.31                  18
445                      16.05                  20
446                      15.11                  21
447                      15.48                  21
448                      15.57                  18
449                      15.18                  20
450                      14.50                  19
451                      14.35                  19
452                      14.14                  16
453                      14.11                  17
454                      14.14                  17
455                      14.14                  20
456                      14.23                  17
457                      14.14                  19
458                      14.28                  18
459                      14.16                  20
460                      14.11                  19
461                      14.11                  20
462                      14.09                  19
463                      14.10                  24
464                      15.27                  23
465                      14.26                  22
466                      14.76                  25
467                      15.69                  21
468                      15.52                  25
469                      15.35                  24
470                      15.99                  23
471                      15.57                  23
472                      15.48                  24
473                      15.44                  24
474                      15.37                  23
475                      15.60                  26
476                      15.69                  26
477                      15.45                  21
478                      14.83                  24
479                      14.21                  23
480                      14.42                  24
481                      14.22                  21
482                      14.29                  21
483                      14.20                  26
484                      14.16                  21
485                      14.38                  24
486                      14.21                  20
487                      14.12                  24
488                      14.44                  19
489                      14.19                  20
490                      14.17                  21
491                      14.13                  23
492                      14.09                  21
493                      14.22                  22
494                      14.17                  21
495                      14.16                  17
496                      14.31                  19
497                      14.12                  19
498                      14.14                  19
499                      14.49                  19
500                      14.10                  20
501                      14.76                  20
502                      14.91                  17
503                      15.57                  17
504                      15.79                  18
505                      15.37                  19
506                      14.38                  18
507                      14.20                  18
508                      14.23                  17
509                      14.23                  18
510                      14.22                  17
511                      14.21                  22
512                      14.18                  20
513                      14.21                  20
514                      14.19                  21
515                      14.17                  21
516                      14.16                  21
517                      14.57                  23
518                      14.42                  21
519                      14.17                  19
520                      14.37                  23
521                      14.30                  19
522                      14.21                  19
523                      14.18                  22
524                      14.18                  20
525                      14.21                  20
526                      14.19                  21
527                      14.31                  18
528                      14.21                  19
529                      14.18                  19
530                      14.21                  19
531                      14.46                  20
532                      14.21                  21
533                      14.23                  20
534                      14.21                  19
535                      14.30                  20
536                      14.20                  20
537                      14.15                  19
538                      14.19                  19
539                      14.18                  18
540                      14.16                  17
541                      14.15                  17
542                      14.23                  18
543                      14.20                  22
544                      14.19                  19
545                      14.22                  20
546                      14.19                  18
547                      14.33                  21
548                      14.21                  21
549                      14.19                  22
550                      14.18                  25
551                      14.32                  17
552                      14.21                  17
553                      14.22                  18
554                      14.16                  16
555                      14.41                  16
556                      14.26                  18
557                      14.20                  18
558                      14.20                  17
559                      14.38                  18
560                      14.91                  17
561                      15.31                  16
562                      15.30                  16
563                      15.32                  16
564                      15.31                  15
565                      15.29                  15
566                      15.24                  16
567                      15.23                  16
568                      15.19                  17
569                      15.23                  18
570                      15.23                  18
571                      15.21                  20
572                      15.23                  19
573                      15.18                  19
574                      15.22                  17
575                      15.23                  18
576                      15.08                  19
577                      15.13                  17
578                      15.16                  18
579                      15.11                  17
580                      15.08                  17
581                      15.07                  17
582                      15.10                  15
583                      15.07                  15
584                      15.09                  17
585                      15.08                  19
586                      15.07                  18
587                      15.07                  17
588                      15.08                  16
589                      15.08                  15
590                      15.07                  16
591                      15.07                  15
592                      15.08                  16
593                      15.07                  16
594                      15.06                  17
595                      15.07                  17
596                      15.06                  17
597                      15.07                  16
598                      15.14                  16
599                      15.09                  16
600                      15.08                  16
601                      15.08                  15
602                      15.05                  17
603                      15.07                  16
604                      15.05                  16
605                      15.06                  17
606                      15.09                  16
607                      15.09                  15
608                      15.08                  16
609                      15.08                  15
610                      15.06                  16
611                      15.09                  17
612                      15.10                  17
613                      15.07                  18
614                      15.08                  18
615                      15.07                  16
616                      15.06                  17
617                      15.06                  17
618                      15.03                  18
619                      15.04                  18
620                      15.03                  18
621                      14.78                  19
622                      14.77                  19
623                      14.81                  18
624                      14.73                  21
625                      14.74                  19
626                      14.77                  20
627                      14.72                  21
628                      14.77                  21
629                      14.78                  20
630                      14.76                  19
631                      14.80                  19
632                      14.73                  17
633                      14.76                  18
634                      14.71                  17
635                      14.73                  14
636                      14.71                  15
637                      14.74                  16
638                      14.72                  17
639                      14.78                  16
640                      14.79                  18
641                      14.76                  17
642                      14.74                  16
643                      14.76                  18
644                      14.70                  18
645                      14.72                  18
646                      14.72                  16
647                      14.73                  18
648                      14.72                  18
649                      14.69                  18
650                      14.71                  21
651                      14.71                  22
652                      14.70                  21
653                      14.69                  21
654                      14.68                  21
655                      14.72                  20
656                      14.70                  18
657                      14.72                  17
658                      14.71                  18
659                      14.72                  19
660                      14.71                  19
661                      14.71                  19
662                      14.71                  22
663                      14.73                  20
