Frame        Inference_Time_ms    Objects_Detected
0                       175.63                  14
1                        29.84                  12
2                        28.70                  12
3                        28.80                  13
4                        28.17                  15
5                        28.17                  15
6                        28.08                  11
7                        17.98                  14
8                        17.94                  13
9                        18.18                  14
10                       18.35                  14
11                       17.96                  14
12                       17.87                  15
13                       17.56                  15
14                       17.60                  14
15                       17.58                  16
16                       17.57                  16
17                       17.55                  16
18                       15.46                  16
19                       14.57                  17
20                       14.33                  14
21                       14.19                  18
22                       14.13                  14
23                       14.12                  15
24                       14.04                  16
25                       14.05                  16
26                       14.00                  14
27                       14.00                  14
28                       14.05                  14
29                       14.23                  17
30                       14.10                  13
31                       14.11                  14
32                       14.10                  14
33                       14.23                  15
34                       14.12                  16
35                       14.08                  15
36                       14.25                  16
37                       14.36                  14
38                       14.14                  15
39                       14.15                  15
40                       14.15                  16
41                       14.09                  14
42                       14.04                  13
43                       14.37                  14
44                       14.12                  14
45                       14.13                  15
46                       14.14                  14
47                       14.08                  13
48                       14.05                  14
49                       14.01                  12
50                       14.02                  14
51                       13.97                  14
52                       14.01                  13
53                       14.02                  15
54                       14.05                  16
55                       14.02                  15
56                       14.01                  15
57                       14.04                  13
58                       14.00                  16
59                       13.99                  16
60                       13.96                  16
61                       14.03                  15
62                       14.06                  16
63                       14.13                  18
64                       14.16                  15
65                       14.08                  16
66                       14.36                  14
67                       14.06                  13
68                       14.43                  14
69                       14.37                  14
70                       14.18                  10
71                       14.13                  10
72                       14.27                  11
73                       14.24                  14
74                       14.53                  14
75                       14.25                  15
76                       14.44                  13
77                       14.59                  15
78                       14.27                  16
79                       14.43                  18
80                       14.44                  14
81                       14.46                  16
82                       14.43                  16
83                       14.43                  18
84                       14.42                  17
85                       14.56                  17
86                       14.52                  15
87                       14.55                  15
88                       14.50                  14
89                       14.41                  18
90                       14.37                  16
91                       14.63                  15
92                       14.61                  16
93                       14.59                  16
94                       14.59                  15
95                       14.58                  17
96                       14.60                  15
97                       14.72                  15
98                       14.72                  15
99                       14.68                  17
100                      14.59                  15
101                      14.64                  16
102                      15.43                  15
103                      15.20                  15
104                      14.89                  16
105                      18.57                  16
106                      17.14                  19
107                      34.40                  21
108                      15.12                  19
109                      14.73                  18
110                      33.88                  16
111                      15.01                  17
112                      14.40                  18
113                      32.55                  13
114                      15.16                  12
115                      15.05                  15
116                      39.33                  14
117                      15.08                  15
118                      15.17                  18
119                      30.34                  19
120                      20.30                  17
121                      14.96                  17
122                      36.63                  16
123                      15.50                  15
124                      15.08                  15
125                      31.95                  15
126                      14.80                  12
127                      14.59                  14
128                      14.63                  15
129                      28.15                  14
130                      15.47                  13
131                      14.80                  15
132                      32.84                  13
133                      15.21                  15
134                      14.73                  15
135                      34.82                  16
136                      15.29                  13
137                      14.71                  14
138                      20.15                  13
139                      14.18                  14
140                      14.28                  13
141                      24.32                  14
142                      14.66                  16
143                      14.26                  15
144                      27.15                  12
145                      14.89                  13
146                      14.74                  16
147                      14.25                  13
148                      14.66                  12
149                      14.32                  12
150                      14.10                  14
151                      17.13                  12
152                      14.45                  15
153                      14.30                  14
154                      14.17                  17
155                      14.43                  14
156                      14.52                  16
157                      17.83                  14
158                      14.10                  12
159                      14.19                  13
160                      18.65                  14
161                      14.13                  14
162                      14.26                  14
163                      18.25                  14
164                      14.13                  15
165                      14.11                  14
166                      18.27                  11
167                      14.14                  13
168                      14.09                  14
169                      27.38                  14
170                      14.28                  15
171                      14.45                  13
172                      27.85                  15
173                      14.79                  15
174                      14.63                  14
175                      26.10                  16
176                      14.99                  13
177                      14.74                  14
178                      28.37                  13
179                      14.89                  15
180                      14.93                  14
181                      14.35                  15
182                      17.47                  15
183                      15.06                  15
184                      14.49                  14
185                      14.66                  15
186                      14.48                  14
187                      14.38                  17
188                      17.60                  16
189                      15.44                  15
190                      14.44                  17
191                      22.47                  17
192                      15.19                  15
193                      14.61                  17
194                      28.28                  17
195                      15.10                  16
196                      14.92                  14
197                      27.80                  14
198                      14.84                  18
199                      14.70                  17
200                      35.21                  14
201                      14.57                  13
202                      14.35                  11
203                      16.40                  11
204                      15.48                  14
205                      15.35                  13
206                      14.67                  12
207                      21.80                  14
208                      15.20                  14
209                      14.49                  12
210                      24.94                  13
211                      15.19                  12
212                      14.42                  12
213                      29.71                  11
214                      15.05                  11
215                      14.40                  13
216                      14.98                  13
217                      14.62                  12
218                      14.96                  12
219                      34.40                  13
220                      14.85                  14
221                      14.41                  16
222                      29.68                  16
223                      16.83                  17
224                      14.61                  17
225                      33.27                  13
226                      15.08                  13
227                      15.16                  13
228                      14.87                  13
229                      22.97                  13
230                      14.66                  13
231                      14.47                  14
232                      31.79                  13
233                      14.85                  14
234                      14.50                  14
235                      32.87                  13
236                      14.99                  17
237                      14.84                  15
238                      30.24                  14
239                      14.95                  12
240                      14.71                  13
241                      34.91                  15
242                      15.04                  14
243                      15.05                  13
244                      28.04                  14
245                      15.20                  13
246                      14.92                  13
247                      15.41                  13
248                      19.02                  14
249                      14.59                  12
250                      28.25                  14
251                      14.83                  13
252                      14.90                  13
253                      15.15                  13
254                      27.25                  14
255                      15.38                  18
256                      15.19                  17
257                      34.47                  18
258                      15.06                  19
259                      14.83                  20
260                      34.73                  20
261                      14.84                  20
262                      14.95                  18
263                      34.30                  20
264                      15.06                  22
265                      15.71                  17
266                      14.61                  18
267                      19.43                  20
268                      15.10                  19
269                      14.41                  21
270                      28.46                  19
271                      15.29                  18
272                      14.31                  18
273                      31.82                  19
274                      14.46                  18
275                      14.23                  17
276                      28.81                  18
277                      15.04                  16
278                      14.93                  15
279                      32.01                  17
280                      15.78                  18
281                      15.39                  17
282                      23.09                  20
283                      24.37                  20
284                      15.19                  20
285                      14.40                  20
286                      25.51                  22
287                      15.28                  21
288                      14.57                  20
289                      29.79                  21
290                      15.75                  22
291                      15.51                  21
292                      30.47                  17
293                      15.27                  17
294                      14.96                  20
295                      14.81                  15
296                      22.96                  18
297                      15.60                  17
298                      15.62                  23
299                      23.48                  21
300                      14.77                  21
301                      14.78                  21
302                      30.33                  21
303                      15.51                  20
304                      15.09                  23
305                      35.22                  22
306                      15.57                  20
307                      15.55                  20
308                      16.86                  19
309                      16.25                  21
310                      16.22                  20
311                      31.19                  19
312                      21.44                  20
313                      15.99                  22
314                      15.19                  21
315                      29.14                  22
316                      15.91                  23
317                      15.56                  24
318                      30.34                  23
319                      15.72                  24
320                      15.76                  22
