Frame     E2E latency(ms)     
70        68 ms
71        74 ms
72        72 ms
73        76 ms
74        70 ms
75        63 ms
76        66 ms
77        75 ms
78        75 ms
79        73 ms
80        70 ms
81        74 ms
82        91 ms
83        84 ms
84        77 ms
85        76 ms
86        69 ms
87        63 ms
88        73 ms
89        74 ms
90        65 ms
91        67 ms
92        69 ms
93        66 ms
94        79 ms
95        73 ms
96        67 ms
97        60 ms
98        86 ms
99        76 ms
100       70 ms
101       85 ms
102       70 ms
103       65 ms
104       62 ms
105       76 ms
106       74 ms
107       60 ms
108       83 ms
109       94 ms
110       94 ms
111       94 ms
112       80 ms
113       72 ms
114       71 ms
115       70 ms
116       66 ms
117       65 ms
118       59 ms
119       77 ms
120       85 ms
121       81 ms
122       65 ms
123       71 ms
124       64 ms
125       74 ms
126       66 ms
127       64 ms
128       64 ms
129       76 ms
130       77 ms
131       72 ms
132       61 ms
133       81 ms
134       74 ms
135       70 ms
136       59 ms
137       82 ms
138       79 ms
139       64 ms
140       73 ms
141       71 ms
142       80 ms
143       76 ms
144       74 ms
145       84 ms
146       92 ms
147       79 ms
148       67 ms
149       65 ms
150       88 ms
151       80 ms
152       67 ms
153       104 ms
154       90 ms
155       92 ms
156       73 ms
157       81 ms
158       81 ms
159       73 ms
160       85 ms
161       78 ms
162       73 ms
163       68 ms
164       68 ms
165       61 ms
166       86 ms
167       80 ms
168       79 ms
169       69 ms
170       88 ms
171       70 ms
172       63 ms
173       65 ms
174       69 ms
175       66 ms
176       62 ms
177       62 ms
178       72 ms
179       59 ms
180       70 ms
181       101 ms
182       85 ms
183       74 ms
184       91 ms
185       81 ms
186       88 ms
187       75 ms
188       101 ms
189       97 ms
190       97 ms
191       96 ms
192       99 ms
193       101 ms
194       103 ms
195       102 ms
196       102 ms
197       92 ms
198       94 ms
199       81 ms
200       71 ms
201       73 ms
202       82 ms
203       98 ms
204       98 ms
205       129 ms
206       139 ms
207       150 ms
208       147 ms
209       145 ms
210       138 ms
211       129 ms
212       119 ms
213       120 ms
214       108 ms
215       99 ms
216       97 ms
217       88 ms
218       84 ms
219       73 ms
220       86 ms
221       91 ms
222       76 ms
223       78 ms
224       73 ms
225       85 ms
226       86 ms
227       157 ms
228       155 ms
229       146 ms
230       151 ms
231       147 ms
232       151 ms
233       144 ms
234       138 ms
235       135 ms
236       122 ms
237       121 ms
238       103 ms
239       99 ms
240       97 ms
241       97 ms
242       90 ms
243       86 ms
244       73 ms
245       70 ms
246       102 ms
247       106 ms
248       108 ms
249       118 ms
250       115 ms
251       114 ms
252       113 ms
253       104 ms
254       93 ms
255       90 ms
256       81 ms
257       75 ms
258       80 ms
259       91 ms
260       98 ms
261       82 ms
262       84 ms
263       82 ms
264       73 ms
265       89 ms
