Frame     E2E latency(ms)     
35        65 ms
36        76 ms
37        73 ms
38        72 ms
39        70 ms
40        70 ms
41        83 ms
42        72 ms
43        97 ms
44        85 ms
45        92 ms
46        76 ms
47        73 ms
48        57 ms
49        59 ms
50        72 ms
51        76 ms
52        71 ms
53        72 ms
54        70 ms
55        72 ms
56        63 ms
57        78 ms
58        65 ms
59        90 ms
60        84 ms
61        93 ms
62        95 ms
63        81 ms
64        74 ms
65        63 ms
66        74 ms
67        73 ms
68        67 ms
69        62 ms
70        69 ms
71        76 ms
72        64 ms
73        73 ms
74        74 ms
75        86 ms
76        82 ms
77        79 ms
78        67 ms
79        62 ms
80        74 ms
81        74 ms
82        63 ms
83        63 ms
84        67 ms
85        74 ms
86        63 ms
87        60 ms
88        61 ms
89        75 ms
90        71 ms
91        64 ms
92        70 ms
93        72 ms
94        76 ms
95        61 ms
96        61 ms
97        60 ms
98        80 ms
99        75 ms
100       65 ms
101       90 ms
102       82 ms
103       77 ms
104       65 ms
105       86 ms
106       86 ms
107       81 ms
108       74 ms
109       106 ms
110       96 ms
111       94 ms
112       82 ms
113       72 ms
114       79 ms
115       79 ms
116       67 ms
117       56 ms
118       60 ms
119       56 ms
120       66 ms
121       81 ms
122       69 ms
123       55 ms
124       53 ms
125       91 ms
126       89 ms
127       82 ms
128       77 ms
129       63 ms
130       76 ms
131       62 ms
132       72 ms
133       61 ms
134       90 ms
135       90 ms
136       92 ms
137       76 ms
138       71 ms
139       66 ms
140       74 ms
141       69 ms
142       74 ms
143       65 ms
144       70 ms
145       72 ms
146       87 ms
147       87 ms
148       76 ms
149       65 ms
150       87 ms
151       70 ms
152       62 ms
153       71 ms
154       59 ms
155       69 ms
156       61 ms
157       75 ms
158       63 ms
159       77 ms
160       82 ms
161       64 ms
162       62 ms
163       62 ms
164       58 ms
165       62 ms
166       58 ms
167       63 ms
168       74 ms
169       63 ms
170       71 ms
171       70 ms
172       60 ms
173       75 ms
174       66 ms
175       61 ms
176       55 ms
177       59 ms
178       56 ms
179       71 ms
180       60 ms
181       96 ms
182       88 ms
183       71 ms
184       63 ms
185       72 ms
186       74 ms
187       73 ms
188       92 ms
189       89 ms
190       80 ms
191       70 ms
192       89 ms
193       78 ms
194       73 ms
195       67 ms
196       61 ms
197       74 ms
198       74 ms
199       68 ms
200       73 ms
201       75 ms
202       64 ms
203       59 ms
204       65 ms
205       85 ms
206       82 ms
207       71 ms
208       71 ms
209       82 ms
210       74 ms
211       62 ms
212       63 ms
213       57 ms
214       62 ms
215       79 ms
216       62 ms
217       60 ms
218       84 ms
