Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         24.1742             16.8589             41.0785             
2         16.2456             19.7610             60.7999             
3         20.6698             7.5686              68.4965             
4         16.4807             7.8533              85.1564             
5         17.5481             8.6018              103.3436            
6         16.7051             13.8580             125.2282            
7         6.9395              13.9005             139.0870            
8         7.4309              12.7139             151.7457            
9         7.0777              14.4149             166.0773            
10        6.8527              11.8116             169.5027            
11        6.4528              11.6680             181.0512            
12        7.7924              12.2464             194.0760            
13        5.0207              9.2318              198.2216            
14        6.4674              12.1355             197.9625            
15        14.2341             12.6354             212.2934            
16        6.9925              11.4865             206.1807            
17        7.3024              14.5533             223.3578            
18        15.0753             11.4300             207.2482            
19        8.5752              13.7384             207.9599            
20        8.2042              11.7753             206.7858            
21        6.8572              12.1918             209.6499            
22        14.6361             11.0805             194.2606            
23        7.8140              10.1705             200.7098            
24        7.9439              8.1464              197.0815            
25        15.7468             11.5189             179.6128            
26        7.2465              7.7398              177.0566            
27        7.6333              7.4549              160.7758            
28        14.6277             6.9931              150.6837            
29        7.4702              11.1108             130.6878            
30        8.3208              14.1314             144.6312            
31        14.9874             7.7620              125.5741            
32        7.5338              7.6324              125.2098            
33        6.9260              7.3652              117.5111            
34        6.7642              10.5270             109.4075            
35        8.0491              10.5080             101.2872            
36        9.0692              7.0642              72.9435             
37        6.2518              7.4705              78.1161             
38        7.2514              14.4026             79.9918             
39        7.9020              13.7508             60.7148             
40        7.5649              9.1968              69.7664             
41        9.6798              8.2263              45.3536             
42        7.1947              7.3482              52.4982             
43        7.2109              7.3319              43.1677             
44        7.3288              9.0540              50.3989             
45        7.9596              9.5986              17.5908             
46        7.4052              11.8045             19.2406             
47        8.3436              11.4705             20.8304             
48        9.0121              7.5938              16.6447             
49        6.1739              7.6141              13.8207             
50        6.5095              7.5752              14.1139             
51        8.0552              10.7015             18.7883             
52        7.5205              7.6761              19.4195             
53        6.0999              10.1793             16.3123             
54        6.7817              7.6657              23.7056             
55        6.8954              9.8094              16.7440             
56        6.8246              7.7832              14.6918             
57        6.4328              10.1290             16.5923             
58        7.1728              11.7579             20.2955             
59        8.3950              10.7184             20.5467             
60        7.5531              7.5883              16.9617             
61        10.2355             12.0155             22.2839             
62        6.9679              11.3227             29.8409             
63        7.5802              9.4755              30.3399             
64        7.1761              8.3832              27.1217             
65        7.5434              7.2672              19.2195             
66        6.8444              12.0887             18.9608             
67        7.9317              12.2375             31.0237             
68        8.6891              7.5260              33.7243             
69        8.8760              12.0385             30.8396             
70        7.1599              9.0663              16.2555             
71        7.4773              7.7839              15.2933             
72        6.9078              7.5666              14.5065             
73        6.4826              9.6620              16.1777             
74        6.2145              9.1424              20.4535             
75        6.5759              7.6110              17.2505             
76        6.2893              7.2899              13.6068             
77        6.9423              10.1193             17.0910             
78        7.4441              10.8436             18.3165             
79        7.9389              7.7270              21.7332             
80        6.6508              7.5888              14.2694             
81        6.9012              7.6089              14.5407             
82        6.9301              12.5810             19.5375             
83        7.0524              9.2177              28.6310             
84        6.7107              7.6227              19.6017             
85        7.7904              13.4371             21.2582             
86        7.5102              7.8856              23.0260             
87        8.0790              7.9968              20.7596             
88        6.7858              7.2825              14.0958             
89        6.2636              10.2715             16.5641             
90        8.4086              7.4049              15.8434             
91        6.1323              7.7566              13.9162             
92        6.5406              9.5687              16.1372             
93        7.7662              7.6934              15.4901             
94        6.3641              10.0453             16.4384             
95        7.4841              13.4774             24.7663             
96        7.2721              9.8915              21.8369             
97        8.2697              7.3152              20.2056             
98        7.3476              13.4411             20.8281             
99        6.3136              7.6237              23.5209             
100       8.4865              7.8854              26.5113             
101       7.5028              9.7363              17.2689             
102       8.5165              9.9061              18.4514             
103       7.5957              9.0422              18.6012             
104       7.2079              7.8419              15.0826             
105       7.1675              12.2607             19.4591             
106       6.5197              8.5953              19.3321             
107       7.7071              7.6118              20.0797             
108       6.4840              7.6547              14.1705             
109       8.4107              11.1969             19.6362             
110       5.6477              11.8582             28.3947             
111       7.2143              11.5182             26.1643             
112       7.7362              7.3938              29.7890             
113       6.7489              7.1501              23.1043             
114       6.7709              9.6298              16.4334             
115       6.2847              7.5773              17.1256             
116       6.2926              10.1039             16.4259             
117       7.4164              10.2962             17.7622             
118       6.6470              7.8073              14.4827             
119       6.2652              11.0023             17.2944             
120       6.8233              13.7986             25.1752             
121       8.1669              8.8640              21.0852             
122       7.3091              7.6256              19.7103             
123       5.9313              11.9743             17.9325             
124       9.1998              7.7019              17.5899             
125       6.4137              10.4255             16.8689             
126       6.8647              7.8939              14.8259             
127       6.9188              7.2537              14.2029             
128       8.1670              7.4486              15.6450             
129       6.5612              9.7184              16.3172             
130       6.5058              12.9397             20.1301             
131       6.9448              8.8055              19.9767             
132       6.5532              7.7032              19.1845             
133       7.0556              10.6320             17.7169             
134       8.0614              9.4157              17.5098             
135       6.6117              11.2792             21.8704             
136       9.2614              7.2646              16.5768             
137       7.2947              13.9962             21.3187             
138       7.3665              8.4924              20.0921             
139       6.4418              7.8341              19.0121             
140       6.6853              7.8642              14.5776             
141       6.0076              7.4543              13.4901             
142       6.3908              10.4641             16.8823             
143       6.9722              7.7053              19.5815             
144       6.3622              7.4566              13.8488             
145       6.6376              9.4828              16.1503             
146       5.8034              16.3878             32.4146             
147       6.8844              8.1410              21.8751             
148       6.7856              7.5106              22.3540             
149       5.9204              7.9275              13.8754             
150       6.7714              12.7748             19.5951             
151       6.9451              8.9628              21.4123             
152       5.7736              8.9082              20.2606             
153       7.2947              15.4250             22.7496             
154       6.5617              10.1319             22.9214             
155       6.2937              7.7852              30.6087             
156       8.3654              7.2819              21.2912             
157       7.8227              7.4573              15.3273             
