Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         25.0112             16.0150             41.0560             
2         17.1170             16.2565             58.3247             
3         19.8528             7.3610              69.1746             
4         16.2710             7.7672              85.7378             
5         17.1614             8.4375              103.4582            
6         16.4129             11.0262             122.3732            
7         5.7850              13.2822             135.6221            
8         7.7734              11.4539             147.0377            
9         6.4138              11.6169             148.1406            
10        5.9945              11.5874             150.8047            
11        7.7213              9.7917              155.6953            
12        7.5564              12.1032             150.3221            
13        6.8595              11.4700             151.4083            
14        5.6059              11.8643             133.9130            
15        6.8982              13.1866             136.3742            
16        5.9803              12.1204             143.4304            
17        14.2265             13.1242             122.6288            
18        7.4040              7.3262              129.8240            
19        7.6618              10.7069             121.2030            
20        14.7518             7.4730              101.0235            
21        9.0849              7.2649              91.6229             
22        6.5070              7.5836              97.2218             
23        14.1494             10.6982             88.2991             
24        7.0926              11.6828             82.3148             
25        7.8215              12.2020             82.9119             
26        6.1081              9.8941              74.8143             
27        7.6159              7.5380              46.3438             
28        8.0626              7.5052              50.1876             
29        8.3617              7.1119              40.0233             
30        7.2966              12.3036             46.9654             
31        6.9560              8.5045              19.0060             
32        7.1159              11.5374             24.0169             
33        7.0584              9.3612              17.9330             
34        7.6939              7.0730              14.8139             
35        6.4901              7.3842              13.9030             
36        6.3185              7.4186              13.7663             
37        5.7423              9.4848              15.2730             
38        7.6672              9.0627              16.7571             
39        7.2864              7.5799              14.8968             
40        6.6615              7.6318              14.3390             
41        8.5076              10.9745             19.5176             
42        7.7600              7.2229              19.8368             
43        6.8150              12.0728             18.9176             
44        6.6263              14.1063             32.8801             
45        8.1510              15.2844             47.9835             
46        6.6807              12.9045             60.7320             
47        7.2742              10.5312             71.0718             
48        7.8051              13.1264             83.9930             
49        6.6697              14.3896             98.1821             
50        6.8354              11.2713             109.2564            
51        9.0225              14.2500             123.1885            
52        7.7425              7.8358              130.8228            
53        6.8643              8.9163              128.6808            
54        7.2027              8.9633              119.6626            
55        9.2515              10.7870             109.2876            
56        6.7365              15.6552             109.2587            
57        8.5440              9.8502              107.0656            
58        6.8708              7.5439              104.8865            
59        7.2464              10.9107             94.8078             
60        7.7903              9.6922              76.2131             
61        13.1364             7.7129              68.0598             
62        8.2859              11.1991             72.1978             
63        7.8514              6.8881              60.2639             
64        8.0056              9.4313              52.8275             
65        7.7214              12.2657             57.0753             
66        9.9987              8.5955              46.5860             
67        8.5956              7.0815              31.9428             
68        8.0654              9.8076              30.6433             
69        7.2589              7.0956              15.7669             
70        6.7754              10.0690             16.8783             
71        7.8298              9.5881              20.3266             
72        7.3818              7.4855              18.4352             
73        6.4834              7.5356              14.0431             
74        6.2305              7.4984              13.7542             
75        6.3056              8.0959              14.4302             
76        6.2328              10.1429             16.4000             
77        7.0572              7.4670              16.0713             
78        6.1902              7.8118              14.0313             
79        6.7743              9.5623              16.3660             
80        6.9399              7.1505              14.1226             
81        6.7988              9.3004              16.1290             
82        7.2138              11.5905             20.6952             
83        8.1395              7.4058              15.5734             
84        6.4196              7.2538              13.7041             
85        7.8178              13.4640             21.3103             
86        6.5072              7.8157              25.1030             
87        7.5997              7.9878              26.5942             
