Frame     E2E latency(ms)     
107       74 ms               
108       75 ms               
109       90 ms               
110       85 ms               
111       83 ms               
112       75 ms               
113       62 ms               
114       51 ms               
115       59 ms               
116       57 ms               
117       57 ms               
118       73 ms               
119       61 ms               
120       61 ms               
121       67 ms               
122       65 ms               
123       53 ms               
124       67 ms               
125       58 ms               
126       60 ms               
127       63 ms               
128       67 ms               
129       63 ms               
130       68 ms               
131       65 ms               
132       74 ms               
133       75 ms               
134       83 ms               
135       83 ms               
136       75 ms               
137       69 ms               
138       74 ms               
139       60 ms               
140       67 ms               
141       75 ms               
142       70 ms               
143       67 ms               
144       77 ms               
145       73 ms               
146       74 ms               
147       79 ms               
148       69 ms               
149       83 ms               
150       99 ms               
151       96 ms               
152       85 ms               
153       90 ms               
154       76 ms               
155       65 ms               
156       63 ms               
157       82 ms               
158       78 ms               
159       67 ms               
160       85 ms               
161       75 ms               
162       65 ms               
163       75 ms               
164       63 ms               
165       74 ms               
166       74 ms               
167       66 ms               
168       57 ms               
169       62 ms               
170       93 ms               
171       91 ms               
172       101 ms              
173       90 ms               
174       74 ms               
175       96 ms               
176       106 ms              
177       93 ms               
178       82 ms               
179       74 ms               
180       75 ms               
181       79 ms               
182       67 ms               
183       66 ms               
184       86 ms               
185       93 ms               
186       92 ms               
187       80 ms               
188       115 ms              
189       125 ms              
190       110 ms              
191       99 ms               
192       118 ms              
193       108 ms              
194       106 ms              
195       209 ms              
196       192 ms              
197       286 ms              
198       276 ms              
199       260 ms              
200       243 ms              
201       228 ms              
202       212 ms              
203       195 ms              
204       180 ms              
205       163 ms              
206       157 ms              
207       147 ms              
208       136 ms              
209       125 ms              
210       124 ms              
211       118 ms              
212       107 ms              
213       107 ms              
214       107 ms              
215       93 ms               
216       78 ms               
217       74 ms               
218       90 ms               
219       90 ms               
220       101 ms              
221       90 ms               
222       100 ms              
223       101 ms              
224       106 ms              
225       93 ms               
226       82 ms               
227       91 ms               
228       90 ms               
229       83 ms               
230       83 ms               
231       67 ms               
232       57 ms               
233       73 ms               
234       74 ms               
235       62 ms               
236       63 ms               
237       78 ms               
238       82 ms               
239       73 ms               
240       73 ms               
241       80 ms               
242       74 ms               
243       77 ms               
244       66 ms               
245       395 ms              
246       383 ms              
247       400 ms              
248       395 ms              
249       390 ms              
250       401 ms              
251       389 ms              
252       374 ms              
253       363 ms              
254       422 ms              
255       423 ms              
256       432 ms              
257       433 ms              
258       424 ms              
259       412 ms              
260       401 ms              
261       398 ms              
262       390 ms              
263       384 ms              
264       375 ms              
265       375 ms              
266       368 ms              
267       360 ms              
268       348 ms              
269       359 ms              
270       391 ms              
271       398 ms              
272       394 ms              
273       424 ms              
274       407 ms              
275       390 ms              
276       385 ms              
277       379 ms              
278       369 ms              
279       359 ms              
280       348 ms              
281       356 ms              
282       343 ms              
283       340 ms              
284       341 ms              
285       348 ms              
286       349 ms              
287       358 ms              
288       359 ms              
289       357 ms              
290       363 ms              
291       347 ms              
292       342 ms              
293       340 ms              
294       341 ms              
295       331 ms              
296       326 ms              
297       326 ms              
298       316 ms              
299       314 ms              
300       323 ms              
301       359 ms              
302       345 ms              
303       335 ms              
304       323 ms              
305       322 ms              
306       317 ms              
307       306 ms              
308       306 ms              
309       297 ms              
310       294 ms              
311       290 ms              
312       279 ms              
313       282 ms              
314       290 ms              
315       290 ms              
316       284 ms              
317       283 ms              
318       274 ms              
319       262 ms              
320       255 ms              
321       245 ms              
322       240 ms              
323       228 ms              
324       219 ms              
325       213 ms              
326       207 ms              
327       193 ms              
328       190 ms              
329       179 ms              
330       175 ms              
331       174 ms              
332       173 ms              
333       175 ms              
334       194 ms              
335       206 ms              
336       198 ms              
337       198 ms              
338       191 ms              
339       183 ms              
340       178 ms              
341       166 ms              
342       161 ms              
343       150 ms              
344       141 ms              
345       129 ms              
346       126 ms              
347       116 ms              
348       111 ms              
349       100 ms              
350       95 ms               
351       91 ms               
352       80 ms               
353       69 ms               
354       75 ms               
355       82 ms               
356       83 ms               
357       91 ms               
358       94 ms               
359       92 ms               
360       91 ms               
361       89 ms               
362       72 ms               
363       75 ms               
364       76 ms               
365       76 ms               
366       67 ms               
367       57 ms               
