Frame     E2E latency(ms)       
100       89 ms               
101       84 ms               
102       77 ms               
103       66 ms               
104       61 ms               
105       73 ms               
106       62 ms               
107       64 ms               
108       63 ms               
109       71 ms               
110       82 ms               
111       72 ms               
112       64 ms               
113       63 ms               
114       68 ms               
115       56 ms               
116       55 ms               
117       57 ms               
118       75 ms               
119       70 ms               
120       60 ms               
121       65 ms               
122       54 ms               
123       55 ms               
124       58 ms               
125       54 ms               
126       55 ms               
127       60 ms               
128       72 ms               
129       62 ms               
130       58 ms               
131       66 ms               
132       61 ms               
133       56 ms               
134       61 ms               
135       65 ms               
136       62 ms               
137       61 ms               
138       63 ms               
139       62 ms               
140       65 ms               
141       61 ms               
142       56 ms               
143       70 ms               
144       59 ms               
145       82 ms               
146       77 ms               
147       68 ms               
148       89 ms               
149       72 ms               
150       97 ms               
151       93 ms               
152       79 ms               
153       71 ms               
154       76 ms               
155       72 ms               
156       62 ms               
157       58 ms               
158       61 ms               
159       75 ms               
160       81 ms               
161       71 ms               
162       60 ms               
163       60 ms               
164       70 ms               
165       65 ms               
166       60 ms               
167       65 ms               
168       59 ms               
169       82 ms               
170       77 ms               
171       68 ms               
172       82 ms               
173       103 ms              
174       99 ms               
175       92 ms               
176       81 ms               
177       72 ms               
178       82 ms               
179       72 ms               
180       69 ms               
181       77 ms               
182       60 ms               
183       77 ms               
184       74 ms               
185       63 ms               
186       73 ms               
187       62 ms               
188       102 ms              
189       100 ms              
190       87 ms               
191       81 ms               
192       71 ms               
193       76 ms               
194       66 ms               
195       61 ms               
196       51 ms               
197       105 ms              
198       113 ms              
199       97 ms               
200       87 ms               
201       81 ms               
202       80 ms               
203       79 ms               
204       77 ms               
205       82 ms               
206       86 ms               
207       99 ms               
208       106 ms              
209       103 ms              
210       92 ms               
211       90 ms               
212       95 ms               
213       86 ms               
214       82 ms               
215       72 ms               
216       60 ms               
217       80 ms               
218       75 ms               
219       66 ms               
220       92 ms               
221       79 ms               
222       113 ms              
223       112 ms              
224       127 ms              
225       139 ms              
226       127 ms              
227       123 ms              
228       113 ms              
229       106 ms              
230       101 ms              
231       92 ms               
232       80 ms               
233       86 ms               
234       73 ms               
235       62 ms               
236       93 ms               
237       100 ms              
238       93 ms               
239       89 ms               
240       92 ms               
241       144 ms              
242       128 ms              
243       112 ms              
244       101 ms              
245       95 ms               
246       99 ms               
247       97 ms               
248       88 ms               
249       83 ms               
250       72 ms               
251       73 ms               
252       71 ms               
253       60 ms               
254       65 ms               
255       123 ms              
256       118 ms              
257       113 ms              
258       113 ms              
259       108 ms              
260       103 ms              
261       100 ms              
262       87 ms               
263       71 ms               
264       95 ms               
265       90 ms               
266       116 ms              
267       117 ms              
268       132 ms              
269       133 ms              
270       129 ms              
271       119 ms              
272       113 ms              
273       105 ms              
274       100 ms              
275       95 ms               
276       93 ms               
277       77 ms               
278       66 ms               
279       75 ms               
280       78 ms               
281       90 ms               
282       107 ms              
283       120 ms              
284       120 ms              
285       110 ms              
286       99 ms               
287       88 ms               
288       78 ms               
289       88 ms               
290       83 ms               
291       96 ms               
292       83 ms               
293       67 ms               
294       120 ms              
295       116 ms              
296       117 ms              
297       115 ms              
298       112 ms              
299       109 ms              
300       99 ms               
301       94 ms               
302       78 ms               
303       95 ms               
304       90 ms               
305       89 ms               
306       79 ms               
307       76 ms               
308       120 ms              
309       109 ms              
310       104 ms              
311       99 ms               
312       89 ms               
313       87 ms               
314       112 ms              
315       100 ms              
316       83 ms               
317       129 ms              
318       123 ms              
319       130 ms              
320       135 ms              
321       131 ms              
322       121 ms              
323       110 ms              
324       105 ms              
325       95 ms               
326       89 ms               
327       79 ms               
328       69 ms               
329       65 ms               
330       56 ms               
331       58 ms               
332       58 ms               
333       85 ms               
334       100 ms              
335       107 ms              
336       109 ms              
337       108 ms              
338       104 ms              
339       94 ms               
340       89 ms               
341       77 ms               
342       62 ms               
343       64 ms               
344       77 ms               
345       68 ms               
346       68 ms               
347       58 ms               
348       71 ms               
349       66 ms               
350       56 ms               
351       67 ms               
352       70 ms               
353       59 ms               
354       55 ms               
355       62 ms               
356       58 ms               
357       59 ms               
358       60 ms               
359       55 ms               
360       57 ms               
361       84 ms               
362       67 ms               
363       57 ms               
364       68 ms               
365       67 ms               
366       57 ms               
367       55 ms               
368       63 ms               
369       67 ms               
370       64 ms               
371       71 ms               
372       105 ms              
373       103 ms              
374       102 ms              
375       104 ms              
376       98 ms               
377       88 ms               
378       83 ms               
379       78 ms               
380       69 ms               
381       58 ms               
382       68 ms               
383       66 ms               
384       72 ms               
385       66 ms               
386       81 ms               
387       99 ms               
388       100 ms              
389       109 ms              
390       109 ms              
391       104 ms              
392       99 ms               
393       95 ms               
394       85 ms               
395       74 ms               
396       63 ms               
397       72 ms               
398       62 ms               
399       63 ms               
400       70 ms               
401       67 ms               
402       63 ms               
403       78 ms               
404       91 ms               
405       95 ms               
406       96 ms               
407       86 ms               
408       82 ms               
409       70 ms               
410       90 ms               
411       85 ms               
412       74 ms               
413       63 ms               
414       73 ms               
415       82 ms               
416       133 ms              
417       137 ms              
418       135 ms              
419       124 ms              
420       121 ms              
421       116 ms              
422       105 ms              
423       95 ms               
424       90 ms               
425       81 ms               
426       71 ms               
427       66 ms               
428       61 ms               
429       65 ms               
430       62 ms               
431       58 ms               
432       86 ms               
433       82 ms               
434       77 ms               
435       73 ms               
436       72 ms               
437       67 ms               
438       63 ms               
439       70 ms               
440       65 ms               
441       63 ms               
442       80 ms               
443       94 ms               
444       93 ms               
445       76 ms               
446       65 ms               
447       73 ms               
448       80 ms               
449       128 ms              
450       111 ms              
451       95 ms               
452       129 ms              
453       133 ms              
454       137 ms              
455       131 ms              
456       136 ms              
457       119 ms              
458       114 ms              
459       105 ms              
460       93 ms               
461       88 ms               
462       78 ms               
463       67 ms               
464       61 ms               
465       65 ms               
466       84 ms               
467       76 ms               
468       73 ms               
469       73 ms               
470       60 ms               
471       91 ms               
472       79 ms               
473       75 ms               
474       192 ms              
475       180 ms              
476       164 ms              
477       148 ms              
478       132 ms              
479       116 ms              
480       101 ms              
481       97 ms               
482       81 ms               
483       84 ms               
484       67 ms               
485       83 ms               
486       74 ms               
487       68 ms               
488       76 ms               
489       66 ms               
490       75 ms               
491       77 ms               
492       94 ms               
493       94 ms               
494       97 ms               
495       141 ms              
496       129 ms              
497       113 ms              
498       102 ms              
499       91 ms               
500       101 ms              
501       107 ms              
502       95 ms               
503       116 ms              
504       133 ms              
505       134 ms              
506       134 ms              
507       141 ms              
508       146 ms              
509       144 ms              
510       132 ms              
511       126 ms              
512       116 ms              
513       117 ms              
514       106 ms              
515       106 ms              
516       93 ms               
517       83 ms               
518       74 ms               
519       146 ms              
520       129 ms              
521       113 ms              
522       110 ms              
523       112 ms              
524       124 ms              
525       125 ms              
526       124 ms              
527       118 ms              
528       115 ms              
529       116 ms              
530       101 ms              
531       90 ms               
532       79 ms               
533       90 ms               
534       93 ms               
535       96 ms               
536       93 ms               
537       78 ms               
538       85 ms               
539       124 ms              
540       132 ms              
541       142 ms              
542       153 ms              
543       143 ms              
544       127 ms              
545       112 ms              
546       97 ms               
547       85 ms               
548       102 ms              
549       106 ms              
550       89 ms               
551       124 ms              
552       133 ms              
553       144 ms              
554       146 ms              
555       142 ms              
556       146 ms              
557       130 ms              
558       121 ms              
559       114 ms              
560       109 ms              
561       94 ms               
562       96 ms               
563       92 ms               
564       92 ms               
565       79 ms               
566       67 ms               
567       84 ms               
568       80 ms               
569       74 ms               
570       107 ms              
571       90 ms               
572       129 ms              
573       118 ms              
574       134 ms              
575       131 ms              
576       133 ms              
577       129 ms              
578       117 ms              
579       108 ms              
580       95 ms               
581       89 ms               
582       85 ms               
583       75 ms               
584       79 ms               
585       64 ms               
586       75 ms               
587       110 ms              
588       108 ms              
589       109 ms              
590       106 ms              
591       97 ms               
592       92 ms               
593       107 ms              
594       98 ms               
595       81 ms               
596       123 ms              
597       149 ms              
598       150 ms              
599       151 ms              
600       147 ms              
601       149 ms              
602       132 ms              
603       123 ms              
604       111 ms              
605       107 ms              
606       96 ms               
607       96 ms               
608       80 ms               
609       77 ms               
610       75 ms               
611       91 ms               
612       100 ms              
613       95 ms               
614       84 ms               
615       90 ms               
616       83 ms               
617       77 ms               
618       89 ms               
619       79 ms               
620       131 ms              
621       129 ms              
622       119 ms              
623       115 ms              
624       109 ms              
625       100 ms              
626       91 ms               
627       85 ms               
628       90 ms               
629       90 ms               
630       107 ms              
631       110 ms              
632       123 ms              
633       124 ms              
634       113 ms              
635       110 ms              
636       106 ms              
637       93 ms               
638       83 ms               
639       74 ms               
640       67 ms               
641       84 ms               
642       75 ms               
643       70 ms               
644       58 ms               
645       70 ms               
646       59 ms               
647       63 ms               
648       59 ms               
649       58 ms               
650       62 ms               
651       70 ms               
652       59 ms               
653       56 ms               
654       90 ms               
655       109 ms              
656       99 ms               
657       98 ms               
658       92 ms               
659       82 ms               
660       107 ms              
661       116 ms              
662       101 ms              
663       99 ms               
664       94 ms               
665       84 ms               
666       75 ms               
667       63 ms               
