Frame     E2E latency(ms)                
103       91 ms               
104       94 ms               
105       80 ms               
106       73 ms               
107       64 ms               
108       60 ms               
109       78 ms               
110       68 ms               
111       58 ms               
112       57 ms               
113       57 ms               
114       58 ms               
115       57 ms               
116       58 ms               
117       60 ms               
118       58 ms               
119       57 ms               
120       59 ms               
121       63 ms               
122       59 ms               
123       62 ms               
124       61 ms               
125       63 ms               
126       53 ms               
127       58 ms               
128       58 ms               
129       65 ms               
130       67 ms               
131       64 ms               
132       53 ms               
133       60 ms               
134       58 ms               
135       64 ms               
136       64 ms               
137       66 ms               
138       61 ms               
139       61 ms               
140       60 ms               
141       51 ms               
142       64 ms               
143       59 ms               
144       60 ms               
145       61 ms               
146       53 ms               
147       62 ms               
148       57 ms               
149       61 ms               
150       60 ms               
151       56 ms               
152       59 ms               
153       60 ms               
154       59 ms               
155       59 ms               
156       55 ms               
157       71 ms               
158       60 ms               
159       62 ms               
160       73 ms               
161       62 ms               
162       51 ms               
163       63 ms               
164       59 ms               
165       49 ms               
166       81 ms               
167       75 ms               
168       61 ms               
169       67 ms               
170       81 ms               
171       74 ms               
172       60 ms               
173       74 ms               
174       61 ms               
175       57 ms               
176       64 ms               
177       58 ms               
178       48 ms               
179       58 ms               
180       52 ms               
181       76 ms               
182       75 ms               
183       63 ms               
184       57 ms               
185       65 ms               
186       68 ms               
187       65 ms               
188       77 ms               
189       75 ms               
190       67 ms               
191       84 ms               
192       91 ms               
193       91 ms               
194       76 ms               
195       68 ms               
196       72 ms               
197       78 ms               
198       67 ms               
199       86 ms               
200       70 ms               
201       91 ms               
202       109 ms              
203       130 ms              
204       147 ms              
205       136 ms              
206       141 ms              
207       140 ms              
208       133 ms              
209       124 ms              
210       125 ms              
211       110 ms              
212       95 ms               
213       90 ms               
214       77 ms               
215       77 ms               
216       67 ms               
217       61 ms               
218       56 ms               
219       57 ms               
220       79 ms               
221       75 ms               
222       107 ms              
223       96 ms               
224       92 ms               
225       114 ms              
226       101 ms              
227       91 ms               
228       80 ms               
229       90 ms               
230       80 ms               
231       74 ms               
232       64 ms               
233       63 ms               
234       80 ms               
