Frame     E2E latency(ms)           
101       95 ms               
102       85 ms               
103       75 ms               
104       73 ms               
105       89 ms               
106       85 ms               
107       74 ms               
108       63 ms               
109       86 ms               
110       76 ms               
111       76 ms               
112       67 ms               
113       93 ms               
114       90 ms               
115       80 ms               
116       79 ms               
117       74 ms               
118       65 ms               
119       59 ms               
120       57 ms               
121       83 ms               
122       74 ms               
123       66 ms               
124       59 ms               
125       58 ms               
126       52 ms               
127       75 ms               
128       64 ms               
129       58 ms               
130       59 ms               
131       67 ms               
132       57 ms               
133       52 ms               
134       61 ms               
135       51 ms               
136       60 ms               
137       60 ms               
138       64 ms               
139       57 ms               
140       63 ms               
141       58 ms               
142       58 ms               
143       50 ms               
144       52 ms               
145       58 ms               
146       57 ms               
147       57 ms               
148       51 ms               
149       56 ms               
150       58 ms               
151       57 ms               
152       52 ms               
153       58 ms               
154       49 ms               
155       56 ms               
156       52 ms               
157       75 ms               
158       62 ms               
159       51 ms               
160       68 ms               
161       58 ms               
162       47 ms               
163       58 ms               
164       56 ms               
165       66 ms               
166       64 ms               
167       55 ms               
168       50 ms               
169       57 ms               
170       56 ms               
171       60 ms               
172       59 ms               
173       49 ms               
174       48 ms               
175       62 ms               
176       57 ms               
177       52 ms               
178       59 ms               
179       62 ms               
180       51 ms               
181       75 ms               
182       58 ms               
183       58 ms               
184       68 ms               
185       65 ms               
186       66 ms               
187       77 ms               
188       92 ms               
189       108 ms              
190       92 ms               
191       96 ms               
192       108 ms              
193       106 ms              
194       94 ms               
195       83 ms               
196       94 ms               
197       84 ms               
198       78 ms               
199       78 ms               
200       68 ms               
201       75 ms               
202       86 ms               
203       97 ms               
204       113 ms              
205       124 ms              
206       127 ms              
207       117 ms              
208       107 ms              
209       102 ms              
210       96 ms               
211       95 ms               
212       84 ms               
213       74 ms               
214       85 ms               
215       73 ms               
216       91 ms               
217       86 ms               
218       90 ms               
219       73 ms               
220       61 ms               
221       81 ms               
222       76 ms               
223       66 ms               
224       67 ms               
225       106 ms              
226       114 ms              
227       119 ms              
228       126 ms              
229       124 ms              
230       128 ms              
231       111 ms              
232       96 ms               
233       84 ms               
234       74 ms               
235       69 ms               
236       73 ms               
237       61 ms               
238       59 ms               
239       74 ms               
240       394 ms              
241       400 ms              
242       424 ms              
243       408 ms              
244       392 ms              
245       379 ms              
246       366 ms              
247       441 ms              
248       447 ms              
249       445 ms              
250       434 ms              
251       423 ms              
252       413 ms              
253       426 ms              
254       427 ms              
255       440 ms              
256       440 ms              
257       449 ms              
258       462 ms              
259       473 ms              
260       467 ms              
261       463 ms              
262       451 ms              
263       474 ms              
264       457 ms              
265       442 ms              
266       434 ms              
267       430 ms              
268       424 ms              
269       415 ms              
270       418 ms              
271       408 ms              
272       398 ms              
273       390 ms              
274       377 ms              
275       373 ms              
276       373 ms              
277       366 ms              
278       367 ms              
279       351 ms              
280       341 ms              
281       336 ms              
282       330 ms              
283       326 ms              
284       323 ms              
285       324 ms              
286       313 ms              
287       302 ms              
288       297 ms              
289       287 ms              
290       281 ms              
291       276 ms              
292       273 ms              
293       262 ms              
294       261 ms              
295       245 ms              
296       234 ms              
297       223 ms              
298       219 ms              
299       207 ms              
300       206 ms              
301       209 ms              
302       218 ms              
303       208 ms              
304       192 ms              
305       175 ms              
306       162 ms              
307       146 ms              
308       136 ms              
309       124 ms              
310       114 ms              
311       107 ms              
312       406 ms              
313       400 ms              
314       390 ms              
315       407 ms              
316       391 ms              
317       374 ms              
318       361 ms              
319       376 ms              
320       371 ms              
321       366 ms              
322       360 ms              
323       349 ms              
324       348 ms              
325       346 ms              
326       340 ms              
327       334 ms              
328       333 ms              
329       324 ms              
330       313 ms              
331       318 ms              
332       327 ms              
333       348 ms              
334       358 ms              
335       361 ms              
336       358 ms              
337       357 ms              
338       351 ms              
339       345 ms              
340       348 ms              
341       342 ms              
342       357 ms              
343       342 ms              
344       327 ms              
345       323 ms              
346       313 ms              
347       302 ms              
348       298 ms              
349       308 ms              
350       291 ms              
351       277 ms              
352       267 ms              
353       257 ms              
354       252 ms              
355       248 ms              
356       243 ms              
357       244 ms              
358       250 ms              
359       258 ms              
360       268 ms              
361       279 ms              
362       277 ms              
363       280 ms              
364       275 ms              
365       265 ms              
366       258 ms              
367       250 ms              
368       241 ms              
369       229 ms              
370       224 ms              
371       214 ms              
372       203 ms              
373       193 ms              
374       191 ms              
375       182 ms              
376       174 ms              
377       162 ms              
378       157 ms              
379       160 ms              
380       165 ms              
381       174 ms              
382       185 ms              
383       197 ms              
384       192 ms              
385       182 ms              
386       175 ms              
387       175 ms              
388       161 ms              
389       150 ms              
390       146 ms              
391       162 ms              
392       158 ms              
393       164 ms              
394       176 ms              
395       175 ms              
396       174 ms              
397       174 ms              
398       160 ms              
399       158 ms              
400       159 ms              
401       167 ms              
402       175 ms              
403       174 ms              
404       192 ms              
405       192 ms              
406       195 ms              
407       193 ms              
408       190 ms              
409       184 ms              
410       181 ms              
411       194 ms              
412       207 ms              
413       201 ms              
414       196 ms              
415       191 ms              
416       191 ms              
417       189 ms              
418       198 ms              
419       206 ms              
420       206 ms              
421       208 ms              
422       198 ms              
423       202 ms              
424       207 ms              
425       217 ms              
426       207 ms              
427       208 ms              
428       207 ms              
429       206 ms              
430       202 ms              
431       201 ms              
432       191 ms              
433       196 ms              
434       201 ms              
435       200 ms              
436       191 ms              
437       189 ms              
438       182 ms              
439       173 ms              
440       162 ms              
441       151 ms              
442       146 ms              
443       141 ms              
444       131 ms              
445       126 ms              
446       116 ms              
447       106 ms              
448       102 ms              
449       108 ms              
450       106 ms              
451       116 ms              
452       123 ms              
453       122 ms              
454       126 ms              
455       116 ms              
456       112 ms              
457       108 ms              
458       98 ms               
459       97 ms               
460       87 ms               
461       76 ms               
462       65 ms               
463       62 ms               
464       61 ms               
465       66 ms               
466       74 ms               
467       64 ms               
468       62 ms               
469       74 ms               
470       67 ms               
471       58 ms               
472       52 ms               
473       57 ms               
474       57 ms               
475       107 ms              
476       109 ms              
477       105 ms              
478       106 ms              
479       99 ms               
480       98 ms               
481       108 ms              
482       92 ms               
483       75 ms               
484       90 ms               
485       90 ms               
486       82 ms               
487       79 ms               
488       69 ms               
489       78 ms               
490       74 ms               
491       76 ms               
492       64 ms               
493       80 ms               
494       127 ms              
495       144 ms              
496       149 ms              
497       158 ms              
498       147 ms              
499       143 ms              
500       131 ms              
501       125 ms              
502       119 ms              
503       125 ms              
504       124 ms              
505       111 ms              
506       100 ms              
507       90 ms               
508       90 ms               
509       83 ms               
510       75 ms               
511       63 ms               
512       74 ms               
513       91 ms               
514       84 ms               
515       78 ms               
516       92 ms               
517       85 ms               
518       126 ms              
519       133 ms              
520       141 ms              
521       141 ms              
522       142 ms              
523       142 ms              
524       129 ms              
525       120 ms              
526       115 ms              
527       108 ms              
528       99 ms               
529       92 ms               
530       92 ms               
531       76 ms               
532       80 ms               
533       77 ms               
534       68 ms               
535       66 ms               
536       67 ms               
537       78 ms               
538       75 ms               
539       75 ms               
540       96 ms               
541       103 ms              
542       125 ms              
543       115 ms              
544       110 ms              
545       100 ms              
546       101 ms              
547       96 ms               
548       86 ms               
549       90 ms               
550       75 ms               
551       85 ms               
552       81 ms               
553       77 ms               
554       66 ms               
555       58 ms               
556       59 ms               
557       93 ms               
558       98 ms               
559       103 ms              
560       109 ms              
561       107 ms              
562       100 ms              
563       114 ms              
564       97 ms               
565       82 ms               
566       408 ms              
567       398 ms              
568       392 ms              
569       723 ms              
570       707 ms              
571       691 ms              
572       675 ms              
573       688 ms              
574       682 ms              
575       673 ms              
576       666 ms              
577       681 ms              
578       664 ms              
579       694 ms              
580       694 ms              
581       707 ms              
582       708 ms              
583       725 ms              
584       708 ms              
585       706 ms              
586       714 ms              
587       715 ms              
588       720 ms              
589       711 ms              
590       722 ms              
591       721 ms              
592       731 ms              
593       720 ms              
594       717 ms              
595       712 ms              
596       715 ms              
597       710 ms              
598       743 ms              
599       727 ms              
600       711 ms              
601       713 ms              
602       703 ms              
603       706 ms              
604       692 ms              
605       681 ms              
606       671 ms                      
1655      89 ms               
1656      84 ms               
1657      92 ms               
1658      107 ms              
1659      112 ms              
1660      118 ms              
1661      120 ms              
1662      119 ms              
1663      116 ms              
1664      106 ms              
1665      101 ms              
1666      96 ms               
1667      93 ms               
1668      100 ms              
1669      116 ms              
1670      122 ms              
1671      128 ms              
1672      125 ms              
1673      114 ms              
1674      107 ms              
1675      108 ms              
1676      129 ms              
1677      140 ms              
1678      156 ms              
1679      139 ms              
1680      134 ms              
1681      125 ms              
1682      124 ms              
1683      118 ms              
1684      118 ms              
1685      117 ms              
1686      124 ms              
1687      136 ms              
1688      164 ms              
1689      148 ms              
1690      136 ms              
1691      131 ms              
1692      122 ms              
1693      122 ms              
1694      127 ms              
1695      122 ms              
1696      126 ms              
1697      157 ms              
1698      168 ms              
1699      164 ms              
1700      160 ms              
1701      172 ms              
1702      157 ms              
1703      141 ms              
1704      132 ms              
1705      134 ms              
1706      134 ms              
1707      151 ms              
1708      156 ms              
1709      161 ms              
1710      160 ms              
1711      178 ms              
1712      168 ms              
1713      151 ms              
1714      136 ms              
1715      123 ms              
1716      107 ms              
1717      102 ms              
1718      418 ms              
1719      465 ms              
1720      454 ms              
1721      438 ms              
1722      434 ms              
1723      442 ms              
1724      427 ms              
1725      417 ms              
1726      434 ms              
1727      437 ms              
1728      448 ms              
1729      454 ms              
1730      452 ms              
1731      448 ms              
1732      453 ms              
1733      451 ms              
1734      456 ms              
1735      462 ms              
1736      468 ms              
1737      466 ms              
1738      470 ms              
1739      470 ms              
1740      496 ms              
1741      481 ms              
1742      464 ms              
1743      472 ms              
1744      494 ms              
1745      501 ms              
1746      498 ms              
1747      504 ms              
1748      513 ms              
1749      502 ms              
1750      494 ms              
1751      489 ms              
1752      479 ms              
1753      474 ms              
1754      469 ms              
1755      470 ms              
1756      461 ms              
1757      457 ms              
1758      447 ms              
1759      444 ms              
1760      443 ms              
1761      432 ms              
1762      434 ms              
1763      424 ms              
1764      424 ms              
1765      424 ms              
1766      463 ms              
1767      453 ms              
1768      454 ms              
1769      449 ms              
1770      444 ms              
1771      442 ms              
1772      437 ms              
1773      427 ms              
1774      424 ms              
1775      419 ms              
1776      408 ms              
1777      399 ms              
1778      390 ms              
1779      390 ms              
1780      375 ms              
1781      364 ms              
1782      358 ms              
1783      349 ms              
1784      338 ms              
1785      342 ms              
1786      354 ms              
1787      355 ms              
1788      365 ms              
1789      366 ms              
1790      367 ms              
1791      362 ms              
1792      356 ms              
1793      343 ms              
1794      334 ms              
1795      325 ms              
1796      313 ms              
1797      303 ms              
1798      293 ms              
1799      281 ms              
1800      291 ms              
1801      280 ms              
1802      264 ms              
1803      247 ms              
1804      237 ms              
1805      220 ms              
1806      205 ms              
1807      199 ms              
1808      199 ms                 
1944      97 ms               
1945      92 ms               
1946      99 ms               
1947      106 ms              
1948      126 ms              
1949      134 ms              
1950      134 ms              
1951      130 ms              
1952      119 ms              
1953      108 ms              
1954      98 ms               
1955      93 ms               
1956      82 ms               
1957      78 ms               
1958      67 ms               
1959      56 ms               
1960      68 ms               
1961      95 ms               
1962      94 ms               
1963      94 ms               
1964      99 ms               
1965      98 ms               
1966      89 ms               
1967      83 ms               
1968      72 ms               
1969      62 ms               
1970      52 ms               
1971      72 ms               
1972      66 ms               
1973      81 ms               
1974      89 ms               
1975      100 ms              
1976      104 ms              
1977      92 ms               
1978      88 ms               
1979      77 ms               
1980      72 ms               
1981      76 ms               
1982      65 ms               
1983      55 ms               
1984      56 ms               
1985      77 ms               
1986      72 ms               
1987      70 ms               
1988      126 ms              
1989      110 ms              
1990      94 ms               
1991      81 ms               
1992      166 ms              
1993      167 ms              
1994      165 ms              
1995      162 ms              
1996      163 ms              
1997      165 ms              
1998      174 ms              
1999      165 ms              
2000      161 ms              
2001      150 ms              
2002      146 ms              
2003      141 ms              
2004      139 ms              
2005      123 ms              
2006      124 ms              
2007      110 ms              
2008      95 ms               
2009      84 ms               
2010      78 ms               
2011      80 ms               
2012      83 ms               
2013      118 ms              
2014      103 ms              
2015      87 ms               
2016      118 ms              
2017      112 ms              
2018      100 ms              
2019      94 ms               
2020      85 ms               
2021      74 ms               
2022      68 ms               
2023      58 ms               
2024      53 ms               
2025      51 ms               
2026      70 ms               
2027      60 ms               
2028      55 ms               
2029      68 ms               
2030      58 ms               
2031      72 ms               
2032      66 ms               
2033      56 ms               
2034      60 ms               
2035      69 ms               
2036      67 ms               
2037      62 ms               
2038      53 ms               
2039      73 ms               
2040      394 ms              
2041      396 ms              
2042      423 ms              
2043      406 ms              
2044      391 ms              
2045      379 ms              
2046      364 ms              
2047      360 ms              
2048      362 ms              
2049      364 ms              
2050      352 ms              
2051      335 ms              
2052      324 ms              
2053      351 ms              
2054      347 ms              
2055      350 ms              
2056      341 ms              
2057      329 ms              
2058      319 ms              
2059      312 ms              
2060      305 ms              
2061      298 ms              
2062      296 ms              
2063      295 ms              
2064      288 ms              
2065      277 ms              
2066      275 ms              
2067      270 ms              
2068      266 ms              
2069      277 ms              
2070      284 ms              
2071      306 ms              
2072      325 ms              
2073      320 ms              
2074      310 ms              
2075      307 ms              
2076      297 ms              
2077      298 ms              
2078      286 ms              
2079      270 ms              
2080      259 ms              
2081      248 ms              
2082      239 ms              
2083      227 ms              
2084      223 ms              
2085      212 ms              
2086      208 ms              
2087      197 ms              
2088      409 ms              
2089      433 ms              
2090      423 ms              
