Frame     E2E latency(ms)      
106       96 ms               
107       117 ms              
108       114 ms              
109       122 ms              
110       131 ms              
111       126 ms              
112       123 ms              
113       142 ms              
114       126 ms              
115       110 ms              
116       98 ms               
117       82 ms               
118       101 ms              
119       108 ms              
120       92 ms               
121       86 ms               
122       70 ms               
123       76 ms               
124       74 ms               
125       67 ms               
126       57 ms               
127       63 ms               
128       80 ms               
129       75 ms               
130       64 ms               
131       67 ms               
132       82 ms               
133       91 ms               
134       84 ms               
135       82 ms               
136       65 ms               
137       56 ms               
138       84 ms               
139       79 ms               
140       95 ms               
141       79 ms               
142       91 ms               
143       90 ms               
144       91 ms               
145       74 ms               
146       63 ms               
147       76 ms               
148       66 ms               
149       56 ms               
150       67 ms               
151       56 ms               
152       72 ms               
153       67 ms               
154       61 ms               
155       67 ms               
156       58 ms               
157       92 ms               
158       93 ms               
159       83 ms               
160       66 ms               
161       75 ms               
162       74 ms               
163       67 ms               
164       58 ms               
165       82 ms               
166       106 ms              
167       103 ms              
168       90 ms               
169       80 ms               
170       95 ms               
171       84 ms               
172       79 ms               
173       70 ms               
174       73 ms               
175       61 ms               
176       81 ms               
177       75 ms               
178       59 ms               
179       67 ms               
180       80 ms               
181       92 ms               
182       94 ms               
183       82 ms               
184       65 ms               
185       77 ms               
186       86 ms               
187       75 ms               
188       95 ms               
189       124 ms              
190       113 ms              
191       108 ms              
192       110 ms              
193       106 ms              
194       101 ms              
195       96 ms               
196       85 ms               
197       76 ms               
198       74 ms               
199       62 ms               
200       59 ms               
201       60 ms               
202       72 ms               
203       62 ms               
204       60 ms               
205       93 ms               
206       101 ms              
207       106 ms              
208       106 ms              
209       95 ms               
210       91 ms               
211       79 ms               
212       69 ms               
213       58 ms               
214       73 ms               
215       73 ms               
216       63 ms               
217       110 ms              
218       111 ms              
219       116 ms              
220       111 ms              
221       102 ms              
222       96 ms               
223       85 ms               
224       75 ms               
225       74 ms               
226       70 ms               
227       103 ms              
228       108 ms              
229       111 ms              
230       117 ms              
231       112 ms              
232       102 ms              
233       101 ms              
234       96 ms               
235       93 ms               
236       92 ms               
237       84 ms               
238       73 ms               
239       73 ms               
240       68 ms               
241       97 ms               
242       90 ms               
243       86 ms               
244       83 ms               
245       80 ms               
246       75 ms               
247       63 ms               
248       67 ms               
249       62 ms               
250       68 ms               
251       77 ms               
252       80 ms               
253       83 ms               
254       83 ms               
255       90 ms               
256       95 ms               
257       93 ms               
258       106 ms              
259       95 ms               
260       97 ms               
261       90 ms               
262       83 ms               
263       85 ms               
264       112 ms              
265       125 ms              
266       129 ms              
267       124 ms              
268       125 ms              
269       123 ms              
270       110 ms              
271       99 ms               
272       90 ms               
273       79 ms               
274       68 ms               
275       75 ms               
276       90 ms               
277       107 ms              
278       107 ms              
279       106 ms              
280       106 ms              
281       106 ms              
282       93 ms               
283       82 ms               
284       81 ms               
285       76 ms               
286       66 ms               
287       78 ms               
288       89 ms               
289       95 ms               
290       104 ms              
291       100 ms              
292       91 ms               
293       85 ms               
294       86 ms               
295       76 ms               
296       65 ms               
297       64 ms               
298       69 ms               
299       70 ms               
300       64 ms               
301       98 ms               
302       91 ms               
303       90 ms               
304       90 ms               
305       77 ms               
306       78 ms               
307       77 ms               
308       74 ms               
309       75 ms               
310       59 ms               
311       73 ms               
312       96 ms               
313       91 ms               
314       81 ms               
315       102 ms              
316       126 ms              
317       110 ms              
318       94 ms               
319       89 ms               
320       411 ms              
321       436 ms              
322       425 ms              
323       414 ms              
324       423 ms              
325       421 ms              
326       417 ms              
327       414 ms              
328       411 ms              
329       402 ms              
330       396 ms              
331       395 ms              
332       399 ms              
333       410 ms              
334       445 ms              
335       449 ms              
336       444 ms              
337       439 ms              
338       436 ms              
339       424 ms              
340       425 ms              
341       416 ms              
342       410 ms              
343       399 ms              
344       393 ms              
345       396 ms              
346       419 ms              
347       417 ms              
348       424 ms              
349       433 ms              
350       429 ms              
351       418 ms              
352       411 ms              
353       402 ms              
354       398 ms              
355       397 ms              
356       397 ms              
357       414 ms              
358       422 ms              
359       429 ms              
360       419 ms              
361       424 ms              
362       411 ms              
363       406 ms              
364       401 ms              
365       391 ms              
366       390 ms              
367       379 ms              
368       370 ms              
369       358 ms              
370       357 ms              
371       344 ms              
372       332 ms              
373       327 ms              
374       324 ms              
375       345 ms              
376       328 ms              
377       313 ms              
378       314 ms              
379       317 ms              
380       323 ms              
381       318 ms              
382       313 ms              
383       319 ms              
384       308 ms              
385       310 ms              
386       299 ms              
387       289 ms              
388       274 ms              
389       269 ms              
390       278 ms              
391       301 ms              
392       315 ms              
393       308 ms              
394       307 ms              
395       310 ms              
396       293 ms              
397       281 ms              
398       277 ms              
399       275 ms              
400       277 ms              
401       307 ms              
402       295 ms              
403       293 ms              
404       297 ms              
405       300 ms              
406       297 ms              
407       290 ms              
408       289 ms              
409       289 ms              
410       283 ms              
411       282 ms              
412       273 ms              
413       281 ms              
414       284 ms              
415       292 ms              
416       289 ms              
417       284 ms              
418       291 ms              
419       291 ms              
420       293 ms              
421       281 ms              
422       266 ms              
423       274 ms              
424       272 ms              
425       270 ms              
426       290 ms              
427       274 ms              
428       263 ms              
429       266 ms              
430       265 ms              
431       267 ms              
432       262 ms              
433       252 ms              
434       242 ms              
435       242 ms              
436       231 ms              
437       227 ms              
438       232 ms              
439       224 ms              
440       223 ms              
441       241 ms              
442       257 ms              
443       258 ms              
444       247 ms              
445       243 ms              
446       234 ms              
447       224 ms              
448       224 ms              
449       209 ms              
450       198 ms              
451       190 ms              
452       177 ms              
453       173 ms              
454       161 ms              
455       158 ms              
456       146 ms              
457       136 ms              
458       158 ms              
459       146 ms              
460       136 ms              
461       121 ms              
462       105 ms              
463       115 ms              
464       121 ms              
465       130 ms              
466       131 ms              
467       150 ms              
468       133 ms              
469       127 ms              
470       117 ms              
471       107 ms              
472       96 ms               
473       86 ms               
474       85 ms               
475       79 ms               
476       74 ms               
477       60 ms               
478       94 ms               
479       129 ms              
480       130 ms              
481       129 ms              
482       156 ms              
483       139 ms              
484       122 ms              
485       111 ms              
486       95 ms               
487       83 ms               
488       100 ms              
489       108 ms              
490       99 ms               
491       90 ms               
