Frame     E2E latency(ms)               
254       65 ms               
255       76 ms               
256       65 ms               
257       58 ms               
258       73 ms               
259       74 ms               
260       96 ms              
261       99 ms              
262       101 ms              
263       102 ms              
264       92 ms              
265       81 ms               
266       75 ms               
267       62 ms               
268       60 ms               
269       60 ms               
270       61 ms               
271       77 ms               
272       61 ms               
273       85 ms              
274       90 ms              
275       109 ms              
276       98 ms              
277       109 ms              
278       121 ms              
279       110 ms              
280       99 ms              
281       91 ms              
282       78 ms               
283       90 ms              
284       85 ms              
285       79 ms               
286       67 ms               
287       58 ms               
288       77 ms               
289       74 ms               
290       63 ms               
291       63 ms               
292       90 ms              
293       90 ms              
294       93 ms              
295       83 ms               
296       84 ms              
297       94 ms              
298       83 ms               
299       102 ms              
300       96 ms              
301       79 ms               
302       102 ms              
303       104 ms              
304       87 ms              
305       79 ms               
306       83 ms               
307       84 ms              
308       75 ms               
309       78 ms               
310       92 ms              
311       112 ms              
312       116 ms              
313       111 ms              
314       101 ms              
315       102 ms              
316       91 ms              
317       86 ms              
318       76 ms               
319       74 ms               
320       61 ms               
321       75 ms               
322       74 ms               
323       63 ms               
324       91 ms              
325       91 ms              
326       408 ms              
327       401 ms              
328       424 ms              
329       408 ms              
330       392 ms              
331       379 ms              
332       363 ms              
333       417 ms              
334       428 ms              
335       428 ms              
336       433 ms              
337       423 ms              
338       432 ms              
339       427 ms              
340       426 ms              
341       426 ms              
342       428 ms              
343       428 ms              
344       444 ms              
345       444 ms              
346       454 ms              
347       452 ms              
348       451 ms              
349       474 ms              
350       459 ms              
351       451 ms              
352       450 ms              
353       451 ms              
354       459 ms              
355       465 ms              
356       465 ms              
357       468 ms              
358       475 ms              
359       474 ms              
360       465 ms              
361       478 ms              
362       485 ms              
363       495 ms              
364       496 ms              
365       510 ms              
366       509 ms              
367       501 ms              
368       500 ms              
369       504 ms              
370       526 ms              
371       543 ms              
372       551 ms              
373       543 ms              
374       540 ms              
375       543 ms              
376       526 ms              
377       521 ms              
378       509 ms              
379       515 ms              
380       500 ms              
381       493 ms              
382       483 ms              
383       473 ms              
384       462 ms              
385       460 ms              
386       460 ms              
387       470 ms              
388       481 ms              
389       486 ms              
390       493 ms              
391       493 ms              
392       487 ms              
393       476 ms              
394       474 ms              
395       466 ms              
396       485 ms              
397       487 ms              
398       472 ms              
399       455 ms              
400       439 ms              
401       427 ms              
402       457 ms              
403       458 ms              
404       461 ms              
405       459 ms              
406       461 ms              
407       451 ms              
408       450 ms              
409       452 ms              
410       465 ms              
411       474 ms              
412       466 ms              
413       464 ms              
414       464 ms              
415       474 ms              
416       461 ms              
417       450 ms              
418       444 ms              
419       435 ms              
420       429 ms              
421       428 ms              
422       424 ms              
423       441 ms              
424       431 ms              
425       423 ms              
426       429 ms              
427       437 ms              
428       427 ms              
429       425 ms              
430       415 ms              
431       416 ms              
432       413 ms              
433       430 ms              
434       432 ms              
435       434 ms              
436       431 ms              
437       443 ms              
438       447 ms              
439       443 ms              
440       432 ms              
441       423 ms              
442       411 ms              
443       409 ms              
444       398 ms              
445       387 ms              
446       377 ms              
447       373 ms              
448       361 ms              
449       360 ms              
450       346 ms              
451       341 ms              
452       331 ms              
453       327 ms              
454       331 ms              
455       341 ms              
456       347 ms              
457       360 ms              
458       363 ms              
459       359 ms              
460       353 ms              
461       343 ms              
462       332 ms              
463       328 ms              
464       327 ms              
465       310 ms              
466       308 ms              
467       308 ms              
468       296 ms              
469       285 ms              
470       302 ms              
471       317 ms              
472       323 ms              
473       328 ms              
474       321 ms              
475       319 ms              
476       310 ms              
477       304 ms              
478       309 ms              
479       300 ms              
480       298 ms              
481       309 ms              
482       319 ms              
483       342 ms              
484       334 ms              
485       333 ms              
486       329 ms              
487       331 ms              
488       321 ms              
489       309 ms              
490       303 ms              
491       301 ms              
492       297 ms              
493       308 ms              
494       322 ms              
495       324 ms              
496       319 ms              
497       314 ms              
498       312 ms              
499       301 ms              
500       298 ms              
501       287 ms              
502       281 ms              
503       272 ms              
504       265 ms              
505       260 ms              
506       275 ms              
507       275 ms              
508       283 ms              
509       281 ms              
510       271 ms              
511       265 ms              
512       259 ms              
513       244 ms              
514       240 ms              
515       229 ms              
516       219 ms              
517       209 ms              
518       198 ms              
519       192 ms              
520       181 ms              
521       172 ms              
522       159 ms              
523       150 ms              
524       161 ms              
525       191 ms              
526       207 ms              
527       213 ms              
528       211 ms              
529       204 ms              
530       193 ms              
531       192 ms              
532       187 ms              
533       178 ms              
534       173 ms              
535       161 ms              
536       151 ms              
537       148 ms              
538       141 ms              
539       135 ms              
540       142 ms              
541       153 ms              
542       163 ms              
543       168 ms              
544       175 ms              
545       169 ms              
546       158 ms              
547       151 ms              
548       141 ms              
549       130 ms              
550       127 ms              
551       117 ms              
552       112 ms              
553       101 ms              
