Frame     E2E latency(ms)             
104       91 ms              
105       83 ms               
106       73 ms               
107       62 ms               
108       91 ms              
109       81 ms               
110       71 ms               
111       67 ms               
112       58 ms               
113       62 ms               
114       67 ms               
115       62 ms               
116       66 ms               
117       76 ms               
118       66 ms               
119       68 ms               
120       77 ms               
121       73 ms               
122       62 ms               
123       61 ms               
124       66 ms               
125       58 ms               
126       67 ms               
127       70 ms               
128       75 ms               
129       75 ms               
130       68 ms               
131       64 ms               
132       61 ms               
133       66 ms               
134       62 ms               
135       63 ms               
136       73 ms               
137       74 ms               
138       64 ms               
139       73 ms               
140       70 ms               
141       67 ms               
142       56 ms               
143       60 ms               
144       61 ms               
145       62 ms               
146       74 ms               
147       61 ms               
148       50 ms               
149       68 ms               
150       57 ms               
151       65 ms               
152       80 ms               
153       70 ms               
154       64 ms               
155       65 ms               
156       78 ms               
157       68 ms               
158       66 ms               
159       74 ms               
160       60 ms               
161       50 ms               
162       65 ms               
163       74 ms               
164       63 ms               
165       67 ms               
166       58 ms               
167       59 ms               
168       65 ms               
169       68 ms               
170       58 ms               
171       57 ms               
172       66 ms               
173       68 ms               
174       57 ms               
175       62 ms               
176       58 ms               
177       60 ms               
178       78 ms               
179       68 ms               
180       79 ms               
181       68 ms               
182       60 ms               
183       63 ms               
184       66 ms               
185       67 ms               
186       65 ms               
187       91 ms              
188       78 ms               
189       75 ms               
190       64 ms               
191       68 ms               
192       67 ms               
193       58 ms               
194       66 ms               
195       63 ms               
196       64 ms               
197       68 ms               
198       69 ms               
199       58 ms               
200       68 ms               
201       66 ms               
202       68 ms               
203       68 ms               
204       108 ms              
205       124 ms              
206       128 ms              
207       126 ms              
208       123 ms              
209       113 ms              
210       101 ms              
211       91 ms              
212       86 ms              
213       81 ms               
214       70 ms               
215       60 ms               
216       63 ms               
217       66 ms               
218       63 ms               
219       73 ms               
220       72 ms               
221       62 ms               
222       63 ms               
223       61 ms               
224       69 ms               
225       59 ms               
226       68 ms               
227       65 ms               
228       67 ms               
229       92 ms              
230       98 ms              
231       97 ms              
232       96 ms              
233       87 ms              
234       75 ms               
235       64 ms               
236       84 ms              
237       74 ms               
238       70 ms               
239       80 ms               
240       126 ms              
241       118 ms              
242       114 ms              
243       106 ms              
244       102 ms              
245       100 ms              
246       98 ms              
247       87 ms              
248       71 ms               
249       91 ms              
250       86 ms              
251       76 ms               
252       94 ms              
253       194 ms              
254       184 ms              
255       168 ms              
256       152 ms              
257       136 ms              
258       120 ms              
259       103 ms              
260       91 ms              
261       93 ms              
262       82 ms               
263       73 ms               
264       95 ms              
265       92 ms              
266       91 ms              
267       90 ms              
268       106 ms              
269       100 ms              
270       98 ms              
271       92 ms              
272       82 ms               
273       72 ms               
274       74 ms               
275       64 ms               
276       99 ms              
277       90 ms              
278       91 ms              
279       113 ms              
280       108 ms              
281       98 ms              
282       87 ms              
283       82 ms               
