Frame     E2E latency(ms)     
95        93 ms               
96        100 ms              
97        105 ms              
98        94 ms               
99        101 ms              
100       96 ms               
101       92 ms               
102       87 ms               
103       85 ms               
104       69 ms               
105       58 ms               
106       87 ms               
107       77 ms               
108       77 ms               
109       65 ms               
110       55 ms               
111       84 ms               
112       78 ms               
113       74 ms               
114       62 ms               
115       72 ms               
116       75 ms               
117       71 ms               
118       54 ms               
119       115 ms              
120       102 ms              
121       91 ms               
122       89 ms               
123       78 ms               
124       67 ms               
125       79 ms               
126       98 ms               
127       85 ms               
128       75 ms               
129       64 ms               
130       85 ms               
131       76 ms               
132       82 ms               
133       66 ms               
134       63 ms               
135       80 ms               
136       74 ms               
137       65 ms               
138       61 ms               
139       83 ms               
140       76 ms               
141       70 ms               
142       99 ms               
143       89 ms               
144       122 ms              
145       105 ms              
146       95 ms               
147       84 ms               
148       85 ms               
149       84 ms               
150       79 ms               
151       69 ms               
152       69 ms               
153       86 ms               
154       75 ms               
155       71 ms               
156       60 ms               
157       66 ms               
158       57 ms               
159       79 ms               
160       76 ms               
161       74 ms               
162       62 ms               
163       90 ms               
164       87 ms               
165       107 ms              
166       103 ms              
167       87 ms               
168       83 ms               
169       87 ms               
170       89 ms               
171       78 ms               
172       67 ms               
173       66 ms               
174       74 ms               
175       63 ms               
176       69 ms               
177       84 ms               
178       73 ms               
179       71 ms               
180       60 ms               
181       83 ms               
182       80 ms               
183       89 ms               
184       79 ms               
185       79 ms               
186       62 ms               
187       88 ms               
188       130 ms              
189       131 ms              
190       138 ms              
191       135 ms              
192       134 ms              
193       142 ms              
194       145 ms              
195       141 ms              
196       132 ms              
197       126 ms              
198       116 ms              
199       117 ms              
200       113 ms              
201       102 ms              
202       96 ms               
203       87 ms               
204       76 ms               
205       75 ms               
206       66 ms               
207       65 ms               
208       55 ms               
209       64 ms               
210       63 ms               
211       53 ms               
212       56 ms               
213       61 ms               
214       58 ms               
215       59 ms               
216       68 ms               
217       57 ms               
218       58 ms               
219       54 ms               
220       56 ms               
221       55 ms               
222       59 ms               
223       59 ms               
224       57 ms               
225       61 ms               
226       65 ms               
227       72 ms               
228       62 ms               
229       63 ms               
230       53 ms               
231       61 ms               
232       60 ms               
233       51 ms               
234       75 ms               
235       72 ms               
236       63 ms               
237       64 ms               
238       65 ms               
239       60 ms               
240       50 ms               
241       68 ms               
242       59 ms               
243       61 ms               
244       51 ms               
245       57 ms               
246       59 ms               
247       64 ms               
248       62 ms               
249       73 ms               
250       63 ms               
251       53 ms               
252       57 ms               
253       82 ms               
254       72 ms               
255       67 ms               
256       57 ms               
257       67 ms               
258       56 ms               
259       68 ms               
260       59 ms               
261       55 ms               
262       55 ms               
263       58 ms               
264       59 ms               
265       65 ms               
266       61 ms               
267       73 ms               
268       68 ms               
269       57 ms               
270       61 ms               
271       51 ms               
272       60 ms               
273       55 ms               
274       68 ms               
275       65 ms               
276       53 ms               
277       67 ms               
278       57 ms               
279       60 ms               
280       65 ms               
281       60 ms               
282       50 ms               
283       58 ms               
284       57 ms               
285       52 ms               
286       53 ms               
287       56 ms               
288       50 ms               
289       55 ms               
290       56 ms               
291       51 ms               
292       54 ms               
293       52 ms               
294       55 ms               
295       54 ms               
296       53 ms               
297       55 ms               
298       58 ms               
299       49 ms               
300       56 ms               
301       69 ms               
302       53 ms               
303       55 ms               
304       58 ms               
305       55 ms               
306       54 ms               
307       58 ms               
308       55 ms               
309       56 ms               
310       54 ms               
311       56 ms               
312       54 ms               
313       59 ms               
314       59 ms               
315       58 ms               
316       65 ms               
317       69 ms               
318       66 ms               
319       60 ms               
320       51 ms               
321       57 ms               
322       78 ms               
323       69 ms               
324       58 ms               
325       82 ms               
326       95 ms               
327       94 ms               
328       91 ms               
329       79 ms               
330       68 ms               
331       57 ms               
332       82 ms               
333       72 ms               
334       71 ms               
335       59 ms               
336       88 ms               
337       82 ms               
338       72 ms               
339       72 ms               
340       55 ms               
341       73 ms               
342       73 ms               
343       63 ms               
344       69 ms               
345       53 ms               
346       69 ms               
347       66 ms               
348       63 ms               
349       82 ms               
350       66 ms               
351       93 ms               
352       95 ms               
353       79 ms               
354       68 ms               
355       57 ms               
356       81 ms               
357       71 ms               
358       75 ms               
359       59 ms               
360       90 ms               
361       90 ms               
362       84 ms               
363       72 ms               
364       61 ms               
365       87 ms               
366       81 ms               
367       81 ms               
368       69 ms               
369       58 ms               
370       75 ms               
371       74 ms               
372       64 ms               
373       81 ms               
374       71 ms               
375       107 ms              
376       95 ms               
377       85 ms               
378       74 ms               
379       87 ms               
380       84 ms               
381       74 ms               
382       71 ms               
383       59 ms               
384       87 ms               
385       88 ms               
386       84 ms               
387       72 ms               
388       61 ms               
389       81 ms               
390       76 ms               
391       65 ms               
392       63 ms               
393       58 ms               
394       76 ms               
395       67 ms               
396       61 ms               
397       82 ms               
398       71 ms               
399       89 ms               
400       95 ms               
401       79 ms               
402       74 ms               
403       61 ms               
404       85 ms               
405       92 ms               
406       75 ms               
407       60 ms               
408       89 ms               
409       79 ms               
410       89 ms               
411       78 ms               
412       80 ms               
413       87 ms               
414       88 ms               
415       84 ms               
416       75 ms               
417       71 ms               
418       76 ms               
419       72 ms               
420       68 ms               
421       95 ms               
422       79 ms               
423       93 ms               
424       94 ms               
425       85 ms               
426       74 ms               
427       63 ms               
428       80 ms               
429       70 ms               
430       59 ms               
431       58 ms               
432       77 ms               
433       76 ms               
434       67 ms               
435       71 ms               
436       61 ms               
437       92 ms               
438       82 ms               
439       80 ms               
440       69 ms               
441       58 ms               
442       87 ms               
443       77 ms               
444       93 ms               
445       81 ms               
446       101 ms              
447       96 ms               
448       94 ms               
449       85 ms               
450       74 ms               
451       63 ms               
452       84 ms               
453       87 ms               
454       75 ms               
455       59 ms               
456       75 ms               
457       76 ms               
458       67 ms               
459       71 ms               
460       84 ms               
461       83 ms               
462       72 ms               
463       67 ms               
464       63 ms               
465       58 ms               
466       76 ms               
467       73 ms               
468       62 ms               
469       82 ms               
470       66 ms               
471       95 ms               
472       94 ms               
473       85 ms               
474       74 ms               
475       89 ms               
476       84 ms               
477       74 ms               
478       75 ms               
479       59 ms               
480       89 ms               
481       87 ms               
482       84 ms               
483       72 ms               
484       60 ms               
485       90 ms               
486       80 ms               
487       80 ms               
488       69 ms               
489       80 ms               
490       76 ms               
491       72 ms               
492       68 ms               
493       90 ms               
494       80 ms               
495       106 ms              
496       94 ms               
497       91 ms               
498       80 ms               
499       82 ms               
500       72 ms               
501       76 ms               
502       83 ms               
503       76 ms               
504       72 ms               
505       60 ms               
506       79 ms               
507       74 ms               
508       64 ms               
509       65 ms               
510       66 ms               
511       55 ms               
512       71 ms               
513       60 ms               
514       57 ms               
515       61 ms               
516       56 ms               
517       67 ms               
518       62 ms               
519       65 ms               
520       77 ms               
521       73 ms               
522       62 ms               
523       60 ms               
524       59 ms               
525       63 ms               
526       65 ms               
527       73 ms               
528       68 ms               
529       57 ms               
530       73 ms               
531       71 ms               
532       59 ms               
533       78 ms               
534       80 ms               
535       79 ms               
536       70 ms               
537       64 ms               
538       54 ms               
539       59 ms               
540       68 ms               
541       105 ms              
542       89 ms               
543       91 ms               
544       81 ms               
545       72 ms               
546       66 ms               
547       55 ms               
548       57 ms               
549       71 ms               
550       71 ms               
551       71 ms               
552       67 ms               
553       57 ms               
554       61 ms               
555       67 ms               
556       67 ms               
557       57 ms               
558       68 ms               
559       67 ms               
560       57 ms               
561       66 ms               
562       69 ms               
563       59 ms               
564       58 ms               
565       56 ms               
566       59 ms               
567       64 ms               
568       76 ms               
569       67 ms               
570       68 ms               
571       57 ms               
572       73 ms               
573       78 ms               
574       73 ms               
575       63 ms               
576       64 ms               
577       62 ms               
578       60 ms               
579       66 ms               
580       55 ms               
581       55 ms               
582       50 ms               
583       58 ms               
584       58 ms               
585       64 ms               
586       65 ms               
587       56 ms               
588       52 ms               
589       51 ms               
590       71 ms               
591       60 ms               
592       61 ms               
593       58 ms               
594       58 ms               
595       56 ms               
596       55 ms               
597       62 ms               
598       52 ms               
599       63 ms               
600       66 ms               
601       88 ms               
602       72 ms               
603       65 ms               
604       56 ms               
605       60 ms               
606       56 ms               
607       54 ms               
608       55 ms               
609       86 ms               
610       75 ms               
611       71 ms               
612       60 ms               
613       68 ms               
614       67 ms               
615       65 ms               
616       55 ms               
617       58 ms               
618       63 ms               
619       87 ms               
620       85 ms               
621       74 ms               
622       91 ms               
623       75 ms               
624       415 ms              
625       405 ms              
626       425 ms              
627       408 ms              
628       398 ms              
629       419 ms              
630       422 ms              
631       406 ms              
632       426 ms              
633       425 ms              
634       421 ms              
635       418 ms              
636       408 ms              
637       397 ms              
638       388 ms              
639       376 ms              
640       373 ms              
641       378 ms              
642       379 ms              
643       366 ms              
644       357 ms              
645       346 ms              
646       335 ms              
647       353 ms              
648       348 ms              
649       345 ms              
650       335 ms              
651       324 ms              
652       327 ms              
653       322 ms              
654       317 ms              
655       340 ms              
656       325 ms              
657       313 ms              
658       297 ms              
659       282 ms              
660       372 ms              
661       390 ms              
662       375 ms              
663       358 ms              
664       347 ms              
665       338 ms              
666       341 ms              
667       331 ms              
668       333 ms              
669       329 ms              
670       312 ms              
671       307 ms              
672       314 ms              
673       304 ms              
674       301 ms              
675       290 ms              
676       295 ms              
677       279 ms              
678       268 ms              
679       257 ms              
680       338 ms              
681       322 ms              
682       306 ms              
683       291 ms              
684       278 ms              
685       273 ms              
686       267 ms              
687       272 ms              
688       256 ms              
689       246 ms              
690       235 ms              
691       255 ms              
692       253 ms              
693       252 ms              
694       238 ms              
695       227 ms              
696       222 ms              
697       218 ms              
698       213 ms              
699       205 ms              
700       199 ms              
701       199 ms              
702       188 ms              
703       171 ms              
704       161 ms              
705       167 ms              
706       162 ms              
707       153 ms              
708       162 ms              
709       145 ms              
710       140 ms              
711       130 ms              
712       121 ms              
713       119 ms              
714       113 ms              
715       108 ms              
716       120 ms              
717       108 ms              
718       109 ms              
719       93 ms               
720       105 ms              
721       106 ms              
722       95 ms               
723       84 ms               
724       73 ms               
725       91 ms               
726       85 ms               
727       81 ms               
728       69 ms               
729       80 ms               
730       88 ms               
731       79 ms               
732       77 ms               
733       65 ms               
734       78 ms               
735       75 ms               
736       66 ms               
737       55 ms               
738       61 ms               
739       78 ms               
740       92 ms               
741       103 ms              
742       88 ms               
743       77 ms               
744       87 ms               
745       84 ms               
746       83 ms               
747       72 ms               
748       55 ms               
749       88 ms               
750       78 ms               
751       72 ms               
752       68 ms               
753       79 ms               
754       90 ms               
755       81 ms               
756       82 ms               
757       65 ms               
758       55 ms               
759       79 ms               
760       74 ms               
761       74 ms               
762       62 ms               
763       76 ms               
764       72 ms               
765       61 ms               
766       49 ms               
767       174 ms              
768       206 ms              
769       195 ms              
770       179 ms              
771       163 ms              
772       146 ms              
773       131 ms              
774       114 ms              
775       98 ms               
776       82 ms               
777       66 ms               
778       68 ms               
779       56 ms               
780       54 ms               
781       71 ms               
782       60 ms               
783       77 ms               
784       67 ms               
785       57 ms               
786       61 ms               
787       74 ms               
788       92 ms               
789       107 ms              
790       104 ms              
791       88 ms               
792       101 ms              
793       101 ms              
794       89 ms               
795       84 ms               
796       84 ms               
797       92 ms               
798       87 ms               
799       77 ms               
800       67 ms               
801       61 ms               
802       62 ms               
803       53 ms               
804       54 ms               
805       65 ms               
806       60 ms               
807       49 ms               
808       53 ms               
809       56 ms               
810       61 ms               
811       62 ms               
812       58 ms               
813       49 ms               
814       53 ms               
815       53 ms               
816       54 ms               
817       55 ms               
818       57 ms               
819       58 ms               
820       59 ms               
821       56 ms               
822       63 ms               
823       53 ms               
824       55 ms               
825       59 ms               
826       54 ms               
827       62 ms               
828       54 ms               
829       74 ms               
830       66 ms               
831       54 ms               
832       54 ms               
833       56 ms               
834       72 ms               
835       61 ms               
836       50 ms               
837       65 ms               
838       63 ms               
839       53 ms               
840       55 ms               
841       82 ms               
842       66 ms               
843       55 ms               
844       58 ms               
845       55 ms               
846       69 ms               
847       64 ms               
848       55 ms               
849       55 ms               
850       71 ms               
851       61 ms               
852       55 ms               
853       77 ms               
854       67 ms               
855       58 ms               
856       56 ms               
857       55 ms               
858       51 ms               
859       54 ms               
860       59 ms               
861       70 ms               
862       74 ms               
863       65 ms               
