Frame     E2E latency(ms)       
111       83 ms               
112       74 ms               
113       61 ms               
114       64 ms               
115       60 ms               
116       56 ms               
117       57 ms               
118       59 ms               
119       58 ms               
120       55 ms               
121       63 ms               
122       57 ms               
123       57 ms               
124       57 ms               
125       58 ms               
126       60 ms               
127       59 ms               
128       58 ms               
129       60 ms               
130       68 ms               
131       68 ms               
132       59 ms               
133       57 ms               
134       58 ms               
135       59 ms               
136       68 ms               
137       62 ms               
138       75 ms               
139       67 ms               
140       74 ms               
141       70 ms               
142       91 ms               
143       84 ms               
144       80 ms               
145       73 ms               
146       64 ms               
147       80 ms               
148       75 ms               
149       65 ms               
150       64 ms               
151       58 ms               
152       69 ms               
153       75 ms               
154       60 ms               
155       50 ms               
156       56 ms               
157       73 ms               
158       61 ms               
159       51 ms               
160       68 ms               
161       57 ms               
162       47 ms               
163       58 ms               
164       52 ms               
165       58 ms               
166       67 ms               
167       62 ms               
168       53 ms               
169       57 ms               
170       56 ms               
171       64 ms               
172       59 ms               
173       57 ms               
174       47 ms               
175       74 ms               
176       76 ms               
177       67 ms               
178       59 ms               
179       76 ms               
180       92 ms               
181       107 ms              
182       91 ms               
183       78 ms               
184       68 ms               
185       74 ms               
186       76 ms               
187       66 ms               
188       78 ms               
189       100 ms              
190       91 ms               
191       90 ms               
192       84 ms               
193       75 ms               
194       63 ms               
195       82 ms               
196       74 ms               
197       66 ms               
198       64 ms               
199       77 ms               
200       74 ms               
201       76 ms               
202       60 ms               
203       117 ms              
204       107 ms              
205       103 ms              
206       91 ms               
207       81 ms               
208       70 ms               
209       68 ms               
210       68 ms               
211       58 ms               
212       56 ms               
213       55 ms               
214       83 ms               
215       73 ms               
216       68 ms               
217       67 ms               
218       76 ms               
219       82 ms               
220       77 ms               
221       76 ms               
222       65 ms               
223       77 ms               
224       77 ms               
225       74 ms               
226       89 ms               
227       76 ms               
228       86 ms               
229       85 ms               
230       86 ms               
231       74 ms               
232       64 ms               
233       64 ms               
234       65 ms               
235       65 ms               
236       54 ms               
237       55 ms               
238       82 ms               
239       71 ms               
240       68 ms               
241       70 ms               
242       94 ms               
243       94 ms               
244       84 ms               
245       76 ms               
246       64 ms               
247       96 ms               
248       85 ms               
249       106 ms              
250       108 ms              
251       91 ms               
252       109 ms              
253       107 ms              
254       96 ms               
255       87 ms               
256       83 ms               
257       85 ms               
258       91 ms               
259       90 ms               
260       74 ms               
261       61 ms               
262       77 ms               
263       74 ms               
264       79 ms               
265       68 ms               
266       52 ms               
267       74 ms               
268       62 ms               
269       51 ms               
