Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         26.9290             16.9380             43.9050             
2         14.5042             14.1488             58.0534             
3         16.8546             11.8776             70.0990             
4         15.5695             17.3271             91.0886             
5         16.4380             8.1382              99.2434             
6         11.7214             9.8088              111.6794            
7         6.0359              12.3583             124.0579            
8         6.9890              11.8125             135.8844            
9         5.8563              13.7175             149.6347            
10        6.4659              9.8980              159.5605            
11        6.5667              12.8031             176.0062            
12        7.5166              16.1370             196.3069            
13        5.4412              12.7072             213.2370            
14        5.3861              13.5739             226.8255            
15        6.4997              11.8429             242.2747            
16        9.7876              9.7221              252.0299            
17        7.3804              9.8306              261.8672            
18        11.5941             10.3078             275.4006            
19        8.8779              13.0149             288.4116            
20        12.3358             14.4933             304.9069            
21        9.5036              10.7216             320.0996            
22        7.8441              10.6785             330.7840            
23        12.1941             9.6801              340.4707            
24        7.0226              12.3776             356.4102            
25        9.0395              10.6640             367.0853            
26        6.3317              13.1584             383.0581            
27        10.6235             15.9641             399.0352            
28        7.4917              13.0771             417.0409            
29        7.4732              13.0463             430.1077            
30        11.5547             11.9228             445.3326            
31        7.5156              12.5346             457.8884            
32        11.1560             14.1080             475.5182            
33        7.5263              13.7336             493.0102            
34        7.8129              11.2573             504.2675            
35        7.8507              10.4163             516.6339            
36        11.7151             9.6515              526.2328            
37        7.1970              13.9484             540.1842            
38        7.6229              9.8398              546.5419            
39        12.3654             11.0345             540.5864            
40        9.0659              9.3563              530.1474            
41        10.6237             10.5948             520.0713            
42        14.8428             10.8029             521.0239            
43        9.6073              14.4880             525.3440            
44        6.9474              12.0141             509.7077            
45        11.6900             13.1877             508.1285            
46        8.0813              10.3517             507.0339            
47        8.6119              11.1597             505.6216            
48        11.1022             12.9571             495.0149            
49        6.7587              9.8468              494.5474            
50        10.8604             13.9503             499.3398            
51        8.8278              10.4227             474.3620            
52        7.0999              12.2042             474.4694            
53        10.8398             13.3274             486.4836            
54        7.8472              11.5716             481.8087            
55        9.0908              11.8003             478.2551            
56        8.2684              13.7479             478.9927            
57        17.4236             14.5841             459.5237            
58        8.8381              11.8709             461.4776            
59        9.7182              14.2683             476.6047            
60        7.4310              12.9823             466.7920            
61        13.0794             11.6492             449.0241            
62        7.0026              6.3234              441.0844            
63        8.9168              9.4908              446.6618            
64        7.9616              6.6941              427.7143            
65        14.1662             11.3320             426.4080            
66        8.1588              7.1655              419.3982            
67        8.3209              6.3464              405.1773            
68        6.8012              6.6851              392.6146            
69        10.9136             6.1262              386.9169            
70        7.2610              6.5987              380.9699            
71        6.4149              5.9016              370.0731            
72        12.6433             6.3602              356.5147            
73        6.3554              10.5549             339.9419            
74        10.1528             14.7444             352.5152            
75        7.7893              10.7447             344.3636            
76        6.5552              6.4173              329.4215            
77        12.0927             9.4791              324.3067            
