Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         19.7466             14.0284             33.7986             
2         11.5416             11.5536             45.3443             
3         12.7426             9.3191              54.6782             
4         13.0649             6.7618              63.8993             
5         12.5700             6.4794              76.1610             
6         12.0485             10.8913             92.5923             
7         6.0235              9.8211              102.7046            
8         7.1712              9.5288              112.2484            
9         8.1905              11.0762             123.3600            
10        6.9967              13.3404             136.7368            
11        6.8568              13.3602             150.1245            
12        6.7282              12.8874             164.6000            
13        4.8967              10.0145             174.6585            
14        5.7333              11.0612             189.7458            
15        7.2203              9.6049              199.4246            
16        5.6115              12.0507             215.5548            
17        10.5655             10.7766             226.3397            
18        8.7112              14.0993             241.5025            
19        8.1069              12.5762             257.4063            
20        9.5933              9.8705              267.2901            
21        8.1296              11.0752             282.3838            
22        7.1962              10.6422             293.2923            
23        9.9717              11.7593             307.4713            
24        7.0269              10.4902             318.2438            
25        6.4721              10.8493             331.4764            
26        10.5906             11.5667             343.3541            
27        7.0366              16.3808             363.0160            
28        11.2257             11.3171             378.6940            
29        7.6724              11.3145             390.0488            
30        8.0362              11.1922             403.3132            
31        10.2093             10.8750             414.1985            
32        6.8162              12.7897             430.1269            
33        7.1614              10.3675             440.5255            
34        10.2430             10.2099             452.3971            
35        8.3325              11.1095             463.5115            
36        6.1601              9.8141              473.2817            
37        11.3448             12.4411             488.9247            
38        6.8514              9.7010              498.6167            
39        8.2318              11.9159             511.3990            
40        11.0905             10.4319             500.7615            
41        9.8725              13.8917             491.3697            
42        10.3387             11.8906             496.8666            
43        7.1798              8.8915              481.8896            
44        7.2651              13.4112             478.8107            
45        10.1610             10.3052             475.6859            
46        8.1447              13.0879             482.9549            
47        7.0017              8.4866              473.3154            
48        10.9554             12.3696             475.9273            
49        7.2420              10.0069             473.2816            
50        6.3218              12.7596             472.4540            
51        12.9870             8.8113              458.4477            
52        7.2338              13.7930             470.7829            
53        6.2473              12.0874             459.9667            
54        8.3032              13.1301             451.6732            
55        12.4775             6.5289              438.7447            
56        6.0056              6.1055              434.3450            
57        6.5689              9.5599              431.2283            
58        11.4628             9.1722              417.2122            
59        7.4060              7.1564              410.3661            
60        7.1231              10.5088             408.8061            
61        15.7143             6.8323              384.3889            
62        6.8087              6.4005              386.2300            
63        7.1810              9.9229              372.6170            
64        13.2890             6.3878              367.0405            
65        7.2146              9.0610              370.1346            
66        8.1673              6.3796              359.0404            
67        7.8759              9.2072              351.6753            
68        10.7007             9.8713              339.0512            
69        8.1050              8.6931              331.4052            
70        7.2447              7.2036              326.8066            
71        10.4356             6.3632              319.3905            
72        7.2002              10.4312             304.5625            
73        7.1674              8.2905              289.6573            
74        9.8317              7.7951              285.3349            
75        7.4091              6.4911              268.4986            
76        5.5454              7.6978              266.3249            
77        16.2683             7.6455              255.5343            
78        6.4338              9.1619              255.4305            
79        7.2666              7.9401              247.4630            
80        10.5946             6.5337              237.9753            
81        6.9156              9.3717              226.9972            
82        6.7088              8.9749              214.3028            
83        6.3531              8.7923              209.5219            
84        7.3198              6.6519              199.7732            
85        8.8247              6.1125              183.4820            
86        8.9091              10.5420             180.2766            
87        5.6736              6.1662              171.0554            
88        7.3831              8.3792              166.1290            
89        6.9714              7.1103              161.4387            
90        8.6050              9.8516              152.7829            
91        8.9433              7.3488              148.8676            
92        7.5725              7.8936              135.1390            
93        7.6912              6.7239              124.7451            
94        6.7301              6.4504              110.3813            
95        8.7069              6.2207              106.9699            
96        8.0703              6.2320              101.1779            
97        8.1927              6.9022              86.8456             
98        6.9606              9.6062              77.5832             
99        7.5535              6.8307              72.7427             
100       5.7319              5.9648              65.6798             
101       8.7808              10.5616             34.3242             
102       8.4719              6.7466              16.1234             
103       5.5423              6.7691              12.3315             
104       5.5389              6.3548              11.9167             
105       6.2852              7.2490              13.5587             
106       5.3897              6.3896              11.8051             
107       5.5129              6.3273              11.8679             
108       5.8708              6.3876              12.2931             
109       7.6447              9.4005              17.0680             
110       5.0216              6.5708              11.6160             
111       5.4835              6.3521              11.8612             
112       4.9847              6.5491              11.5541             
113       5.0064              6.3856              11.4176             
114       5.7301              7.1248              12.8837             
115       5.2968              6.7487              12.0736             
116       5.4417              6.5819              12.0485             
117       5.4124              6.8598              12.3019             
118       5.6718              7.1023              12.8030             
119       5.5336              6.2571              11.8191             
120       4.9797              7.2984              12.3019             
121       6.0792              6.1694              12.2744             
122       5.6593              6.1868              11.8808             
123       5.4726              6.7861              12.2795             
124       5.7964              6.6615              12.4812             
125       5.7550              6.3638              12.1485             
126       5.3041              6.8533              12.1779             
127       5.9586              6.8691              12.8515             
128       6.2563              6.4832              12.7653             
129       5.7401              6.7316              12.4932             
130       5.8956              6.9347              12.8641             
131       6.2221              6.9282              13.1772             
132       5.6712              6.9553              12.6880             
133       6.2282              6.8675              13.1225             
134       5.7640              6.9292              12.7281             
135       5.7122              6.5885              12.3316             
136       5.7698              7.0769              12.8737             
137       6.2615              6.5994              12.8875             
138       6.0822              7.0409              13.1522             
139       5.6169              6.4800              12.1258             
140       5.8707              6.5765              12.4864             
141       5.1748              6.9450              12.1423             
142       5.2094              6.7375              11.9698             
143       5.2147              6.5142              11.7541             
144       5.5538              7.1308              12.7106             
145       5.6765              6.6164              12.3187             
146       4.8884              6.2142              11.1187             
147       5.7906              6.1249              11.9429             
148       4.9115              7.0527              11.9848             
149       4.9918              6.2304              11.2416             
150       5.8482              6.4080              12.2843             
151       5.2094              6.2482              11.4772             
152       4.7911              6.9729              11.7787             
153       5.9155              6.8533              12.7973             
154       5.4119              6.5244              11.9579             
155       5.0334              7.7182              12.7768             
156       5.6815              6.3442              12.0486             
157       7.2317              8.6359              15.8974             
158       5.3147              6.9198              12.2512             
159       5.1693              6.3517              11.5358             
160       6.1551              6.1377              12.3176             
161       5.0257              9.9260              14.9675             
162       6.1256              6.5456              12.7039             
163       5.9512              6.6316              12.6022             
164       4.9085              7.8058              12.7312             
