Frame     E2E latency(ms)         
51        84 ms               
52        75 ms               
53        70 ms               
54        66 ms               
55        55 ms               
56        65 ms               
57        57 ms               
58        53 ms               
59        78 ms               
60        83 ms               
61        207 ms              
62        208 ms              
63        197 ms              
64        196 ms              
65        206 ms              
66        189 ms              
67        184 ms              
68        183 ms              
69        173 ms              
70        168 ms              
71        156 ms              
72        156 ms              
73        143 ms              
74        142 ms              
75        131 ms              
76        121 ms              
77        121 ms              
78        109 ms              
79        102 ms              
80        92 ms               
81        90 ms               
82        92 ms               
83        76 ms               
84        72 ms               
85        62 ms               
86        59 ms               
87        49 ms               
88        65 ms               
89        56 ms               
90        58 ms               
91        55 ms               
92        42 ms               
93        64 ms               
94        58 ms               
95        53 ms               
96        45 ms               
97        53 ms               
98        127 ms              
99        129 ms              
100       128 ms              
101       117 ms              
102       106 ms              
103       102 ms              
104       92 ms               
105       130 ms              
106       129 ms              
107       127 ms              
108       125 ms              
109       119 ms              
110       112 ms              
111       101 ms              
112       90 ms               
113       89 ms               
114       77 ms               
115       78 ms               
116       114 ms              
117       108 ms              
118       107 ms              
119       101 ms              
120       92 ms               
121       89 ms               
122       75 ms               
123       75 ms               
124       72 ms               
125       56 ms               
126       53 ms               
127       65 ms               
128       62 ms               
129       56 ms               
130       51 ms               
131       55 ms               
132       49 ms               
133       69 ms               
134       92 ms               
135       93 ms               
136       86 ms               
137       76 ms               
138       71 ms               
139       68 ms               
140       61 ms               
141       57 ms               
142       60 ms               
143       53 ms               
144       69 ms               
145       58 ms               
146       50 ms               
147       52 ms               
148       46 ms               
149       58 ms               
150       50 ms               
151       52 ms               
152       54 ms               
153       54 ms               
154       42 ms               
155       56 ms               
156       50 ms               
157       64 ms               
158       57 ms               
159       55 ms               
160       97 ms               
161       97 ms               
162       94 ms               
163       75 ms               
164       63 ms               
165       59 ms               
166       62 ms               
167       45 ms               
168       58 ms               
169       63 ms               
170       49 ms               
171       65 ms               
172       54 ms               
173       50 ms               
174       49 ms               
175       42 ms               
176       62 ms               
177       55 ms               
178       56 ms               
179       55 ms               
180       47 ms               
181       223 ms              
182       204 ms              
183       190 ms              
184       171 ms              
185       152 ms              
186       138 ms              
187       123 ms              
188       122 ms              
189       113 ms              
190       139 ms              
191       135 ms              
192       126 ms              
193       142 ms              
194       147 ms              
195       153 ms              
196       164 ms              
197       154 ms              
198       140 ms              
199       141 ms              
200       136 ms              
201       126 ms              
202       114 ms              
203       111 ms              
204       100 ms              
205       186 ms              
206       207 ms              
207       215 ms              
208       222 ms              
209       207 ms              
210       209 ms              
211       202 ms              
212       202 ms              
213       196 ms              
214       189 ms              
215       182 ms              
216       173 ms              
217       171 ms              
218       163 ms              
219       155 ms              
220       145 ms              
221       139 ms              
222       141 ms              
223       131 ms              
224       125 ms              
225       118 ms              
226       107 ms              
227       107 ms              
228       98 ms               
229       88 ms               
230       84 ms               
231       80 ms               
232       72 ms               
233       109 ms              
234       146 ms              
235       139 ms              
236       136 ms              
237       129 ms              
238       124 ms              
239       180 ms              
240       166 ms              
241       154 ms              
242       137 ms              
243       122 ms              
244       106 ms              
245       88 ms               
246       73 ms               
247       60 ms               
248       75 ms               
249       75 ms               
250       63 ms               
251       55 ms               
252       52 ms               
253       68 ms               
254       94 ms               
255       114 ms              
256       110 ms              
257       117 ms              
258       113 ms              
259       112 ms              
260       107 ms              
261       90 ms               
262       89 ms               
263       77 ms               
264       76 ms               
265       82 ms               
266       74 ms               
267       77 ms               
268       67 ms               
269       71 ms               
270       91 ms               
271       104 ms              
272       118 ms              
273       119 ms              
274       116 ms              
275       110 ms              
276       107 ms              
277       94 ms               
278       84 ms               
279       119 ms              
280       111 ms              
281       118 ms              
282       107 ms              
283       104 ms              
284       88 ms               
285       80 ms               
286       70 ms               
287       74 ms               
288       61 ms               
289       61 ms               
290       66 ms               
291       54 ms               
292       51 ms               
293       55 ms               
294       48 ms               
295       79 ms               
296       61 ms               
297       53 ms               
298       68 ms               
299       50 ms               
300       51 ms               
301       69 ms               
302       57 ms               
303       59 ms               
304       50 ms               
305       70 ms               
306       64 ms               
307       53 ms               
308       53 ms               
309       80 ms               
310       72 ms               
311       70 ms               
312       63 ms               
313       57 ms               
314       54 ms               
315       58 ms               
316       54 ms               
317       61 ms               
318       107 ms              
319       127 ms              
320       131 ms              
321       125 ms              
322       111 ms              
323       103 ms              
324       95 ms               
325       159 ms              
326       153 ms              
327       158 ms              
328       147 ms              
329       140 ms              
330       135 ms              
331       127 ms              
332       116 ms              
333       109 ms              
334       97 ms               
335       146 ms              
336       147 ms              
337       148 ms              
338       137 ms              
339       130 ms              
340       132 ms              
341       118 ms              
342       115 ms              
343       105 ms              
344       95 ms               
345       138 ms              
346       129 ms              
347       129 ms              
348       131 ms              
349       130 ms              
350       118 ms              
351       111 ms              
352       105 ms              
353       97 ms               
354       89 ms               
355       82 ms               
356       75 ms               
357       71 ms               
358       67 ms               
359       56 ms               
360       70 ms               
361       67 ms               
362       63 ms               
363       54 ms               
364       50 ms               
365       63 ms               
366       90 ms               
367       92 ms               
368       79 ms               
369       75 ms               
370       65 ms               
371       60 ms               
372       63 ms               
373       55 ms               
374       54 ms               
375       57 ms               
376       70 ms               
377       64 ms               
378       54 ms               
379       103 ms              
380       100 ms              
381       100 ms              
382       91 ms               
383       90 ms               
384       76 ms               
385       76 ms               
386       74 ms               
387       63 ms               
388       58 ms               
389       59 ms               
390       97 ms               
391       132 ms              
392       144 ms              
393       139 ms              
394       128 ms              
395       122 ms              
396       124 ms              
397       116 ms              
398       111 ms              
399       105 ms              
400       89 ms               
401       87 ms               
402       81 ms               
403       74 ms               
404       71 ms               
405       63 ms               
406       70 ms               
407       67 ms               
408       55 ms               
409       89 ms               
410       155 ms              
411       155 ms              
412       146 ms              
413       146 ms              
414       144 ms              
415       146 ms              
416       137 ms              
417       136 ms              
418       130 ms              
419       131 ms              
420       137 ms              
421       155 ms              
422       164 ms              
423       171 ms              
424       168 ms              
425       167 ms              
426       157 ms              
427       150 ms              
428       140 ms              
429       140 ms              
430       128 ms              
431       123 ms              
432       109 ms              
433       101 ms              
