Frame     E2E latency(ms)        
35        74 ms               
36        67 ms               
37        65 ms               
38        54 ms               
39        56 ms               
40        63 ms               
41        72 ms               
42        64 ms               
43        55 ms               
44        58 ms               
45        56 ms               
46        62 ms               
47        54 ms               
48        54 ms               
49        56 ms               
50        56 ms               
51        73 ms               
52        58 ms               
53        64 ms               
54        95 ms               
55        93 ms               
56        124 ms              
57        134 ms              
58        115 ms              
59        102 ms              
60        93 ms               
61        124 ms              
62        123 ms              
63        105 ms              
64        99 ms               
65        123 ms              
66        118 ms              
67        125 ms              
68        112 ms              
69        109 ms              
70        93 ms               
71        87 ms               
72        78 ms               
73        84 ms               
74        71 ms               
75        55 ms               
76        52 ms               
77        61 ms               
78        53 ms               
79        49 ms               
80        81 ms               
81        81 ms               
82        119 ms              
83        112 ms              
84        113 ms              
85        104 ms              
86        97 ms               
87        90 ms               
88        80 ms               
89        76 ms               
90        75 ms               
91        69 ms               
92        62 ms               
93        56 ms               
94        51 ms               
95        55 ms               
96        46 ms               
97        66 ms               
98        135 ms              
99        130 ms              
100       132 ms              
101       121 ms              
102       113 ms              
103       107 ms              
104       96 ms               
105       111 ms              
106       106 ms              
107       100 ms              
108       90 ms               
109       129 ms              
110       126 ms              
111       123 ms              
112       115 ms              
113       109 ms              
114       103 ms              
115       108 ms              
116       97 ms               
117       86 ms               
118       80 ms               
119       72 ms               
120       65 ms               
121       68 ms               
122       64 ms               
123       53 ms               
124       51 ms               
125       49 ms               
126       57 ms               
127       54 ms               
128       55 ms               
129       55 ms               
130       58 ms               
131       54 ms               
132       50 ms               
133       63 ms               
134       56 ms               
135       49 ms               
136       61 ms               
137       53 ms               
138       55 ms               
139       58 ms               
140       54 ms               
141       53 ms               
142       54 ms               
143       50 ms               
144       56 ms               
145       55 ms               
146       45 ms               
147       71 ms               
148       60 ms               
149       54 ms               
150       56 ms               
151       63 ms               
152       50 ms               
153       84 ms               
154       88 ms               
155       75 ms               
156       72 ms               
157       66 ms               
158       64 ms               
159       54 ms               
160       61 ms               
161       55 ms               
162       45 ms               
163       62 ms               
164       53 ms               
165       44 ms               
166       58 ms               
167       56 ms               
168       51 ms               
169       63 ms               
170       62 ms               
171       54 ms               
172       56 ms               
173       54 ms               
174       49 ms               
175       59 ms               
176       50 ms               
177       49 ms               
178       51 ms               
179       62 ms               
180       51 ms               
181       138 ms              
182       130 ms              
183       125 ms              
184       125 ms              
185       113 ms              
186       108 ms              
187       98 ms               
188       148 ms              
189       153 ms              
190       147 ms              
191       135 ms              
192       125 ms              
193       140 ms              
194       132 ms              
195       129 ms              
196       119 ms              
197       113 ms              
198       130 ms              
199       122 ms              
200       116 ms              
201       108 ms              
202       107 ms              
203       118 ms              
204       106 ms              
205       95 ms               
206       93 ms               
207       98 ms               
208       94 ms               
209       110 ms              
210       145 ms              
211       147 ms              
212       154 ms              
213       136 ms              
214       128 ms              
215       120 ms              
216       119 ms              
217       113 ms              
218       107 ms              
219       104 ms              
220       99 ms               
221       89 ms               
222       77 ms               
223       73 ms               
224       62 ms               
225       53 ms               
226       54 ms               
227       56 ms               
228       45 ms               
229       67 ms               
230       58 ms               
231       49 ms               
232       66 ms               
233       57 ms               
234       54 ms               
235       60 ms               
236       50 ms               
237       65 ms               
238       58 ms               
239       62 ms               
240       52 ms               
241       58 ms               
242       61 ms               
243       54 ms               
244       80 ms               
245       78 ms               
246       69 ms               
247       70 ms               
248       58 ms               
249       55 ms               
250       79 ms               
251       67 ms               
252       56 ms               
253       82 ms               
254       77 ms               
255       129 ms              
256       125 ms              
257       120 ms              
258       111 ms              
259       100 ms              
260       96 ms               
261       90 ms               
262       86 ms               
263       76 ms               
264       70 ms               
265       72 ms               
266       56 ms               
267       66 ms               
268       72 ms               
269       73 ms               
270       135 ms              
271       140 ms              
272       130 ms              
273       131 ms              
274       132 ms              
275       119 ms              
276       116 ms              
277       105 ms              
278       99 ms               
279       96 ms               
280       91 ms               
281       82 ms               
282       79 ms               
283       66 ms               
284       61 ms               
285       52 ms               
286       53 ms               
287       48 ms               
288       58 ms               
289       53 ms               
290       61 ms               
291       49 ms               
292       63 ms               
293       50 ms               
294       56 ms               
295       55 ms               
296       53 ms               
297       56 ms               
298       48 ms               
299       50 ms               
300       54 ms               
301       55 ms               
302       54 ms               
303       42 ms               
304       51 ms               
305       46 ms               
306       68 ms               
307       93 ms               
308       90 ms               
309       81 ms               
310       77 ms               
311       71 ms               
312       59 ms               
313       58 ms               
314       52 ms               
315       58 ms               
316       47 ms               
317       48 ms               
318       57 ms               
319       58 ms               
320       52 ms               
321       61 ms               
322       60 ms               
323       52 ms               
324       48 ms               
325       50 ms               
326       64 ms               
327       48 ms               
328       60 ms               
329       61 ms               
330       90 ms               
331       118 ms              
332       121 ms              
333       127 ms              
334       121 ms              
335       109 ms              
336       103 ms              
337       99 ms               
338       88 ms               
339       83 ms               
340       76 ms               
341       72 ms               
342       61 ms               
343       80 ms               
344       69 ms               
345       64 ms               
346       62 ms               
347       55 ms               
348       54 ms               
349       49 ms               
350       74 ms               
351       69 ms               
352       71 ms               
353       60 ms               
354       48 ms               
355       57 ms               
356       52 ms               
357       46 ms               
358       66 ms               
359       62 ms               
360       52 ms               
361       74 ms               
362       64 ms               
363       62 ms               
364       93 ms               
365       105 ms              
366       107 ms              
367       109 ms              
368       111 ms              
369       106 ms              
370       99 ms               
371       92 ms               
372       85 ms               
373       82 ms               
374       75 ms               
375       64 ms               
376       58 ms               
377       53 ms               
378       63 ms               
379       58 ms               
380       55 ms               
381       58 ms               
382       54 ms               
383       51 ms               
384       52 ms               
385       54 ms               
386       56 ms               
387       52 ms               
388       68 ms               
389       62 ms               
390       60 ms               
391       51 ms               
392       47 ms               
393       47 ms               
394       47 ms               
395       57 ms               
396       55 ms               
397       77 ms               
398       70 ms               
399       54 ms               
400       64 ms               
401       51 ms               
402       51 ms               
403       65 ms               
404       83 ms               
405       76 ms               
406       119 ms              
407       106 ms              
408       102 ms              
409       97 ms               
410       144 ms              
411       133 ms              
412       130 ms              
413       119 ms              
414       115 ms              
415       108 ms              
416       94 ms               
417       131 ms              
418       136 ms              
419       128 ms              
420       129 ms              
421       127 ms              
422       114 ms              
423       118 ms              
424       102 ms              
425       92 ms               
426       82 ms               
427       77 ms               
428       73 ms               
429       61 ms               
430       56 ms               
431       54 ms               
432       49 ms               
433       50 ms               
434       64 ms               
435       54 ms               
436       51 ms               
437       44 ms               
438       64 ms               
439       60 ms               
440       49 ms               
441       59 ms               
442       59 ms               
443       54 ms               
444       54 ms               
445       80 ms               
446       81 ms               
447       62 ms               
448       52 ms               
449       126 ms              
450       156 ms              
451       149 ms              
452       145 ms              
453       144 ms              
454       135 ms              
455       128 ms              
456       120 ms              
457       112 ms              
458       108 ms              
459       103 ms              
460       95 ms               
461       91 ms               
462       86 ms               
463       77 ms               
464       82 ms               
465       65 ms               
466       63 ms               
467       65 ms               
468       57 ms               
469       81 ms               
470       146 ms              
471       134 ms              
472       134 ms              
473       134 ms              
474       133 ms              
475       119 ms              
476       116 ms              
477       106 ms              
478       99 ms               
479       94 ms               
480       81 ms               
481       79 ms               
482       93 ms               
483       87 ms               
484       77 ms               
485       67 ms               
486       61 ms               
487       55 ms               
488       56 ms               
489       57 ms               
490       45 ms               
491       71 ms               
492       64 ms               
493       81 ms               
494       105 ms              
495       96 ms               
496       126 ms              
497       128 ms              
498       126 ms              
499       112 ms              
500       100 ms              
501       145 ms              
502       130 ms              
503       124 ms              
504       118 ms              
505       141 ms              
506       154 ms              
507       185 ms              
508       199 ms              
509       201 ms              
510       211 ms              
511       192 ms              
512       188 ms              
513       176 ms              
514       168 ms              
515       161 ms              
516       157 ms              
517       181 ms              
518       203 ms              
519       200 ms              
520       212 ms              
521       214 ms              
522       205 ms              
523       210 ms              
524       200 ms              
525       206 ms              
526       196 ms              
527       213 ms              
528       205 ms              
529       208 ms              
530       212 ms              
531       219 ms              
532       219 ms              
533       217 ms              
534       204 ms              
535       208 ms              
536       191 ms              
537       181 ms              
538       297 ms              
539       290 ms              
540       299 ms              
541       296 ms              
542       291 ms              
543       296 ms              
544       304 ms              
545       306 ms              
546       306 ms              
547       305 ms              
548       306 ms              
549       312 ms              
550       316 ms              
551       341 ms              
552       333 ms              
553       330 ms              
554       332 ms              
555       317 ms              
556       317 ms              
557       325 ms              
558       313 ms              
559       345 ms              
560       383 ms              
561       378 ms              
562       385 ms              
563       390 ms              
564       386 ms              
565       382 ms              
566       388 ms              
567       377 ms              
568       380 ms              
569       384 ms              
570       381 ms              
571       370 ms              
572       363 ms              
573       357 ms              
574       348 ms              
575       339 ms              
576       339 ms              
577       342 ms              
578       342 ms              
579       342 ms              
580       333 ms              
581       319 ms              
582       322 ms              
583       317 ms              
584       309 ms              
585       304 ms              
586       292 ms              
587       283 ms              
588       285 ms              
589       268 ms              
590       255 ms              
591       242 ms              
592       231 ms              
593       224 ms              
594       217 ms              
595       208 ms              
596       197 ms              
597       186 ms              
598       173 ms              
599       174 ms              
600       173 ms              
601       173 ms              
602       162 ms              
603       156 ms              
604       154 ms              
605       151 ms              
606       138 ms              
607       133 ms              
608       126 ms              
609       120 ms              
610       106 ms              
611       104 ms              
612       92 ms               
613       87 ms               
614       86 ms               
615       72 ms               
616       81 ms               
617       133 ms              
618       121 ms              
619       118 ms              
620       110 ms              
621       114 ms              
622       108 ms              
623       98 ms               
624       95 ms               
625       87 ms               
626       77 ms               
627       68 ms               
628       61 ms               
629       64 ms               
630       81 ms               
631       109 ms              
632       134 ms              
633       145 ms              
634       124 ms              
635       118 ms              
636       110 ms              
637       99 ms               
638       102 ms              
639       87 ms               
640       99 ms               
641       89 ms               
642       143 ms              
643       141 ms              
644       136 ms              
645       132 ms              
646       130 ms              
647       119 ms              
648       108 ms              
649       107 ms              
650       104 ms              
651       104 ms              
652       118 ms              
653       139 ms              
654       148 ms              
655       147 ms              
656       137 ms              
657       138 ms              
658       120 ms              
659       114 ms              
660       172 ms              
661       169 ms              
662       170 ms              
663       154 ms              
664       174 ms              
665       166 ms              
666       161 ms              
667       150 ms              
668       145 ms              
669       134 ms              
670       284 ms              
671       272 ms              
672       269 ms              
673       257 ms              
674       260 ms              
675       249 ms              
676       245 ms              
677       241 ms              
678       238 ms              
679       234 ms              
680       233 ms              
681       224 ms              
682       215 ms              
683       216 ms              
684       213 ms              
685       205 ms              
686       200 ms              
687       195 ms              
688       186 ms              
689       178 ms              
690       175 ms              
691       162 ms              
692       159 ms              
693       155 ms              
694       152 ms              
695       140 ms              
696       128 ms              
697       135 ms              
698       119 ms              
699       106 ms              
700       97 ms               
701       92 ms               
702       86 ms               
703       82 ms               
704       72 ms               
705       139 ms              
706       132 ms              
707       120 ms              
708       112 ms              
709       130 ms              
710       134 ms              
711       120 ms              
712       110 ms              
713       99 ms               
714       120 ms              
715       114 ms              
716       107 ms              
717       105 ms              
718       92 ms               
719       90 ms               
720       78 ms               
721       68 ms               
722       65 ms               
723       55 ms               
724       59 ms               
725       88 ms               
726       77 ms               
727       126 ms              
728       134 ms              
729       123 ms              
730       120 ms              
731       110 ms              
732       104 ms              
733       98 ms               
734       92 ms               
735       84 ms               
736       88 ms               
737       72 ms               
738       61 ms               
739       74 ms               
740       64 ms               
741       66 ms               
742       51 ms               
743       62 ms               
744       60 ms               
745       55 ms               
746       51 ms               
747       60 ms               
748       52 ms               
749       47 ms               
750       58 ms               
751       54 ms               
752       54 ms               
753       60 ms               
754       50 ms               
755       54 ms               
756       44 ms               
757       90 ms               
758       94 ms               
759       81 ms               
760       70 ms               
761       58 ms               
762       52 ms               
763       64 ms               
764       56 ms               
765       50 ms               
766       76 ms               
767       79 ms               
768       67 ms               
769       60 ms               
770       55 ms               
771       51 ms               
772       46 ms               
773       49 ms               
774       51 ms               
775       56 ms               
776       51 ms               
777       49 ms               
778       46 ms               
779       46 ms               
780       46 ms               
781       142 ms              
782       136 ms              
783       134 ms              
784       122 ms              
785       117 ms              
786       108 ms              
787       97 ms               
788       92 ms               
789       135 ms              
790       126 ms              
791       122 ms              
792       121 ms              
793       113 ms              
794       110 ms              
795       97 ms               
796       86 ms               
797       83 ms               
798       144 ms              
799       138 ms              
800       132 ms              
801       127 ms              
802       119 ms              
803       115 ms              
804       111 ms              
805       103 ms              
806       100 ms              
807       89 ms               
808       86 ms               
809       70 ms               
810       66 ms               
811       63 ms               
812       56 ms               
813       46 ms               
814       59 ms               
815       51 ms               
816       43 ms               
817       76 ms               
818       68 ms               
819       63 ms               
820       56 ms               
821       52 ms               
822       58 ms               
823       54 ms               
824       43 ms               
825       53 ms               
826       63 ms               
827       57 ms               
828       43 ms               
829       62 ms               
830       55 ms               
831       49 ms               
832       54 ms               
833       52 ms               
834       53 ms               
835       45 ms               
836       54 ms               
837       54 ms               
838       57 ms               
839       49 ms               
840       51 ms               
841       60 ms               
842       51 ms               
843       51 ms               
844       52 ms               
845       51 ms               
846       48 ms               
847       50 ms               
848       60 ms               
849       59 ms               
850       51 ms               
851       43 ms               
852       53 ms               
853       135 ms              
854       142 ms              
855       126 ms              
856       133 ms              
857       128 ms              
858       123 ms              
859       119 ms              
860       105 ms              
861       96 ms               
862       88 ms               
863       81 ms               
864       73 ms               
865       65 ms               
866       61 ms               
867       53 ms               
868       48 ms               
869       64 ms               
870       62 ms               
871       74 ms               
872       128 ms              
873       124 ms              
874       117 ms              
875       108 ms              
876       97 ms               
877       150 ms              
878       140 ms              
879       142 ms              
880       129 ms              
881       126 ms              
882       122 ms              
883       110 ms              
884       109 ms              
885       103 ms              
886       91 ms               
887       86 ms               
888       72 ms               
889       70 ms               
890       69 ms               
891       59 ms               
892       53 ms               
893       48 ms               
894       50 ms               
895       45 ms               
896       62 ms               
897       50 ms               
898       52 ms               
899       42 ms               
900       52 ms               
901       54 ms               
902       54 ms               
903       46 ms               
904       56 ms               
905       51 ms               
906       47 ms               
907       60 ms               
908       56 ms               
909       48 ms               
910       162 ms              
911       152 ms              
912       151 ms              
913       144 ms              
914       143 ms              
915       143 ms              
916       133 ms              
917       125 ms              
918       122 ms              
919       106 ms              
920       103 ms              
921       96 ms               
922       88 ms               
923       81 ms               
924       74 ms               
925       67 ms               
926       62 ms               
927       54 ms               
928       44 ms               
929       125 ms              
930       145 ms              
931       150 ms              
932       153 ms              
933       150 ms              
934       146 ms              
935       145 ms              
936       135 ms              
937       129 ms              
938       124 ms              
939       122 ms              
940       107 ms              
941       97 ms               
942       95 ms               
943       84 ms               
944       82 ms               
945       72 ms               
946       62 ms               
947       60 ms               
948       55 ms               
949       58 ms               
950       54 ms               
951       54 ms               
952       52 ms               
953       62 ms               
954       56 ms               
955       54 ms               
956       45 ms               
957       58 ms               
958       54 ms               
959       51 ms               
960       106 ms              
961       118 ms              
962       122 ms              
963       116 ms              
964       108 ms              
965       101 ms              
966       102 ms              
967       87 ms               
968       83 ms               
969       77 ms               
970       70 ms               
971       59 ms               
972       53 ms               
973       53 ms               
974       53 ms               
975       61 ms               
976       55 ms               
977       58 ms               
978       54 ms               
979       59 ms               
980       57 ms               
981       54 ms               
982       67 ms               
983       67 ms               
984       55 ms               
985       92 ms               
986       113 ms              
987       109 ms              
988       98 ms               
989       95 ms               
990       85 ms               
991       75 ms               
992       78 ms               
993       65 ms               
994       54 ms               
995       56 ms               
996       57 ms               
997       60 ms               
998       50 ms               
999       49 ms               
1000      57 ms               
1001      56 ms               
1002      52 ms               
1003      53 ms               
1004      62 ms               
1005      56 ms               
1006      100 ms              
1007      111 ms              
1008      123 ms              
1009      133 ms              
1010      138 ms              
1011      133 ms              
1012      125 ms              
1013      120 ms              
1014      112 ms              
1015      102 ms              
1016      98 ms               
1017      91 ms               
1018      82 ms               
1019      76 ms               
1020      67 ms               
1021      70 ms               
1022      123 ms              
1023      117 ms              
1024      114 ms              
1025      108 ms              
1026      96 ms               
1027      92 ms               
1028      86 ms               
1029      71 ms               
1030      73 ms               
1031      71 ms               
1032      67 ms               
1033      53 ms               
1034      47 ms               
1035      57 ms               
1036      60 ms               
1037      52 ms                   
1166      95 ms               
1167      87 ms               
1168      81 ms               
1169      72 ms               
1170      77 ms               
1171      68 ms               
1172      67 ms               
1173      77 ms               
1174      70 ms               
1175      75 ms               
1176      70 ms               
1177      72 ms               
1178      78 ms               
1179      75 ms               
1180      65 ms               
1181      65 ms               
1182      52 ms               
1183      57 ms               
1184      69 ms               
1185      57 ms               
1186      56 ms               
1187      62 ms               
1188      59 ms               
1189      48 ms               
1190      58 ms               
1191      50 ms               
1192      62 ms               
1193      53 ms               
1194      75 ms               
1195      83 ms               
1196      93 ms               
1197      75 ms               
1198      63 ms               
1199      65 ms               
1200      57 ms               
1201      83 ms               
1202      90 ms               
1203      82 ms               
1204      77 ms               
1205      58 ms               
1206      57 ms               
1207      73 ms               
