Frame     E2E latency(ms)      
61        95 ms               
62        79 ms               
63        138 ms              
64        139 ms              
65        134 ms              
66        123 ms              
67        113 ms              
68        206 ms              
69        213 ms              
70        202 ms              
71        190 ms              
72        196 ms              
73        180 ms              
74        169 ms                   
135       99 ms               
136       93 ms               
137       87 ms               
138       76 ms               
139       70 ms               
140       66 ms               
141       60 ms               
142       50 ms               
143       49 ms               
144       56 ms               
145       65 ms               
146       60 ms               
147       52 ms               
148       54 ms               
149       46 ms               
150       57 ms               
151       56 ms               
152       43 ms               
153       56 ms               
154       51 ms               
155       48 ms               
156       51 ms               
157       61 ms               
158       54 ms               
159       44 ms               
160       66 ms               
161       61 ms               
162       55 ms               
163       49 ms               
164       44 ms               
165       51 ms               
166       57 ms               
167       55 ms               
168       45 ms               
169       57 ms               
170       59 ms               
171       61 ms               
172       48 ms               
173       49 ms               
174       53 ms               
175       46 ms               
176       60 ms               
177       64 ms               
178       55 ms               
179       48 ms               
180       47 ms               
181       66 ms               
182       56 ms               
183       50 ms               
184       61 ms               
185       154 ms              
186       139 ms              
187       131 ms              
188       174 ms              
189       168 ms              
190       162 ms              
191       155 ms              
192       153 ms              
193       143 ms              
194       152 ms              
195       146 ms              
196       137 ms              
197       131 ms              
198       181 ms              
199       179 ms              
200       178 ms              
201       180 ms              
202       176 ms              
203       169 ms              
204       171 ms              
205       170 ms              
206       163 ms              
207       159 ms              
208       177 ms              
209       194 ms              
210       219 ms              
211       221 ms              
212       218 ms              
213       215 ms              
214       219 ms              
215       209 ms              
216       202 ms              
217       192 ms              
218       186 ms              
219       180 ms              
220       170 ms              
221       176 ms              
222       157 ms              
223       155 ms              
224       155 ms              
225       174 ms              
226       187 ms              
227       191 ms              
228       193 ms              
229       194 ms              
230       188 ms              
231       179 ms              
232       176 ms              
233       167 ms              
234       158 ms              
235       147 ms              
236       143 ms              
237       133 ms              
238       120 ms              
239       131 ms              
240       123 ms              
241       114 ms              
242       148 ms              
243       163 ms              
244       163 ms              
245       157 ms              
246       155 ms              
247       157 ms              
248       154 ms              
249       149 ms              
250       137 ms              
251       135 ms              
252       122 ms              
253       119 ms              
254       173 ms              
255       185 ms              
256       188 ms              
257       193 ms              
258       189 ms              
259       184 ms              
260       186 ms              
261       179 ms              
262       173 ms              
263       171 ms              
264       173 ms              
265       163 ms              
266       154 ms              
267       151 ms              
268       144 ms              
269       141 ms              
270       129 ms              
271       122 ms              
272       114 ms              
273       101 ms              
274       160 ms              
275       191 ms              
276       195 ms              
277       192 ms              
278       193 ms              
279       188 ms              
280       176 ms              
281       170 ms              
282       162 ms              
283       151 ms              
284       143 ms              
285       131 ms              
286       148 ms              
287       146 ms              
288       144 ms              
289       139 ms              
290       136 ms              
291       131 ms              
292       133 ms              
293       116 ms              
294       110 ms              
295       99 ms               
296       96 ms               
297       90 ms               
298       76 ms               
299       76 ms               
300       71 ms               
301       59 ms               
302       52 ms               
303       56 ms               
304       49 ms               
305       49 ms               
306       58 ms               
307       54 ms               
308       49 ms               
309       59 ms               
310       57 ms               
311       51 ms               
312       55 ms               
313       63 ms               
314       63 ms               
315       55 ms               
316       52 ms               
317       55 ms               
318       48 ms               
319       54 ms               
320       51 ms               
321       59 ms               
322       54 ms               
323       53 ms               
324       48 ms               
325       53 ms               
326       56 ms               
327       61 ms               
328       57 ms               
329       47 ms               
330       58 ms               
331       56 ms               
332       51 ms               
333       77 ms               
334       113 ms              
335       129 ms              
336       132 ms              
337       128 ms              
338       132 ms              
339       121 ms              
340       115 ms              
341       114 ms              
342       101 ms              
343       102 ms              
344       88 ms               
345       81 ms               
346       74 ms               
347       79 ms               
348       79 ms               
349       95 ms               
350       122 ms              
351       129 ms              
352       126 ms              
353       127 ms              
354       123 ms              
355       109 ms              
356       97 ms               
357       102 ms              
358       93 ms               
359       110 ms              
360       131 ms              
361       148 ms              
362       152 ms              
363       152 ms              
364       152 ms              
365       143 ms              
366       131 ms              
367       129 ms              
368       133 ms              
369       119 ms              
370       116 ms              
371       105 ms              
372       106 ms              
373       126 ms              
374       127 ms              
375       144 ms              
376       136 ms              
377       141 ms              
378       133 ms              
379       135 ms              
380       122 ms              
381       120 ms              
382       113 ms              
383       104 ms              
384       107 ms              
385       95 ms               
386       106 ms              
387       113 ms              
388       108 ms              
