Frame     E2E latency(ms)          
52        190 ms              
53        189 ms              
54        190 ms              
55        189 ms              
56        188 ms              
57        173 ms              
58        162 ms              
59        150 ms              
60        148 ms              
61        142 ms              
62        162 ms              
63        161 ms              
64        157 ms              
65        153 ms              
66        148 ms              
67        141 ms              
68        132 ms              
69        128 ms              
70        111 ms              
71        151 ms              
72        154 ms              
73        153 ms              
74        148 ms              
75        145 ms              
76        145 ms              
77        127 ms              
78        125 ms              
79        118 ms              
80        114 ms              
81        102 ms              
82        94 ms               
83        93 ms               
84        88 ms               
85        77 ms               
86        67 ms               
87        61 ms               
88        76 ms               
89        72 ms               
90        63 ms               
91        53 ms               
92        54 ms               
93        57 ms               
94        166 ms              
95        159 ms              
96        166 ms              
97        149 ms              
98        146 ms              
99        136 ms              
100       126 ms              
101       114 ms              
102       139 ms              
103       133 ms              
104       132 ms              
105       129 ms              
106       117 ms              
107       119 ms              
108       117 ms              
109       106 ms              
110       92 ms               
111       89 ms               
112       85 ms               
113       138 ms              
114       137 ms              
115       129 ms              
116       126 ms              
117       123 ms              
118       109 ms              
119       107 ms              
120       92 ms               
121       157 ms              
122       152 ms              
123       149 ms              
124       138 ms              
125       127 ms              
126       130 ms              
127       123 ms              
128       122 ms              
129       120 ms              
130       117 ms              
131       112 ms              
132       105 ms              
133       103 ms              
134       97 ms               
135       88 ms               
136       90 ms               
137       74 ms               
138       70 ms               
139       67 ms               
140       60 ms               
141       56 ms               
142       50 ms               
143       57 ms               
144       47 ms               
145       59 ms               
146       53 ms               
147       53 ms               
148       47 ms               
149       55 ms               
150       52 ms               
151       51 ms               
152       45 ms               
153       64 ms               
154       56 ms               
155       53 ms               
156       48 ms               
157       145 ms              
158       145 ms              
159       135 ms              
160       138 ms              
161       130 ms              
162       123 ms              
163       113 ms              
164       109 ms              
165       101 ms              
166       97 ms               
167       96 ms               
168       84 ms               
169       74 ms               
170       69 ms               
171       59 ms               
172       54 ms               
173       64 ms               
174       53 ms               
175       46 ms               
176       58 ms               
177       55 ms               
178       46 ms               
179       56 ms               
180       46 ms               
181       154 ms              
182       143 ms              
183       139 ms              
184       140 ms              
185       122 ms              
186       121 ms              
187       114 ms              
188       159 ms              
189       167 ms              
190       162 ms              
191       151 ms              
192       139 ms              
193       133 ms              
194       224 ms              
195       218 ms              
196       213 ms              
197       215 ms              
198       213 ms              
199       210 ms              
200       208 ms              
201       204 ms              
202       207 ms              
203       199 ms              
204       189 ms              
205       185 ms              
206       186 ms              
207       174 ms              
208       182 ms              
209       195 ms              
210       227 ms              
211       247 ms              
212       244 ms              
213       246 ms              
214       235 ms              
215       225 ms              
216       220 ms              
217       215 ms              
218       204 ms              
219       198 ms              
220       186 ms              
221       185 ms              
222       171 ms              
223       163 ms              
224       165 ms              
225       157 ms              
226       152 ms              
227       145 ms              
228       136 ms              
229       128 ms              
230       123 ms              
231       113 ms              
232       108 ms              
233       103 ms              
234       96 ms               
235       85 ms               
236       89 ms               
237       76 ms               
238       72 ms               
239       60 ms               
240       52 ms               
241       152 ms              
242       148 ms              
243       141 ms              
244       138 ms              
245       137 ms              
246       142 ms              
247       146 ms              
248       144 ms              
249       145 ms              
250       150 ms              
251       138 ms              
252       130 ms              
253       153 ms              
254       152 ms              
255       151 ms              
256       155 ms              
257       151 ms              
258       140 ms              
259       136 ms              
260       130 ms              
261       121 ms              
262       119 ms              
263       112 ms              
264       107 ms              
265       96 ms               
266       91 ms               
267       81 ms               
268       72 ms               
269       70 ms               
270       58 ms               
271       54 ms               
272       66 ms               
273       58 ms               
274       69 ms               
275       59 ms               
276       90 ms               
277       150 ms              
278       131 ms              
279       128 ms              
280       126 ms              
281       113 ms              
282       108 ms              
283       95 ms               
284       88 ms               
285       198 ms              
286       215 ms              
287       222 ms              
288       222 ms              
289       228 ms              
290       223 ms              
291       218 ms              
292       210 ms              
293       209 ms              
294       207 ms              
295       208 ms              
296       216 ms              
297       250 ms              
298       252 ms              
299       242 ms              
300       241 ms              
301       235 ms              
302       221 ms              
303       211 ms              
304       204 ms              
305       197 ms              
306       191 ms              
307       191 ms              
308       191 ms              
309       181 ms              
310       179 ms              
311       181 ms              
312       180 ms              
313       179 ms              
314       188 ms              
315       196 ms              
316       205 ms              
317       194 ms              
318       193 ms              
319       182 ms              
320       170 ms              
321       162 ms              
322       156 ms              
323       150 ms              
324       147 ms              
325       196 ms              
326       195 ms              
327       195 ms              
328       186 ms              
329       190 ms              
330       189 ms              
331       185 ms              
332       182 ms              
333       177 ms              
334       172 ms              
335       200 ms              
336       239 ms              
337       257 ms              
338       261 ms              
339       257 ms              
340       247 ms              
341       240 ms              
342       235 ms              
343       229 ms              
344       226 ms              
345       220 ms              
346       204 ms              
347       196 ms              
348       187 ms              
349       177 ms              
350       170 ms              
351       163 ms              
352       162 ms              
353       157 ms              
354       150 ms              
355       142 ms              
356       132 ms              
357       132 ms              
358       124 ms              
359       118 ms              
360       112 ms              
361       111 ms              
362       98 ms               
363       93 ms               
364       85 ms               
365       77 ms               
366       72 ms               
367       59 ms               
368       74 ms               
369       63 ms               
370       55 ms               
371       56 ms               
372       45 ms               
373       61 ms               
374       51 ms               
375       49 ms               
376       175 ms              
377       180 ms              
378       186 ms              
379       210 ms              
380       211 ms              
381       220 ms              
382       223 ms              
383       216 ms              
384       214 ms              
385       207 ms              
386       208 ms              
387       242 ms              
388       264 ms              
389       274 ms              
390       282 ms              
391       280 ms              
392       282 ms              
393       276 ms              
394       274 ms              
395       266 ms              
396       267 ms              
397       260 ms              
398       248 ms              
399       243 ms              
400       231 ms              
401       220 ms              
402       212 ms              
403       203 ms              
404       193 ms              
405       184 ms              
406       179 ms              
407       173 ms              
408       170 ms              
409       161 ms              
410       158 ms              
411       155 ms              
412       152 ms              
413       144 ms              
414       142 ms              
415       131 ms              
416       118 ms              
417       108 ms              
418       172 ms              
419       174 ms              
420       173 ms              
421       161 ms              
422       155 ms              
423       144 ms                   
588       97 ms               
589       95 ms               
590       88 ms               
591       82 ms               
592       76 ms               
593       64 ms               
594       67 ms               
595       125 ms              
596       134 ms              
597       139 ms              
598       128 ms              
599       119 ms              
600       112 ms              
601       231 ms              
602       237 ms              
603       240 ms              
604       222 ms              
605       223 ms              
606       221 ms              
607       253 ms              
608       255 ms              
609       266 ms              
610       270 ms              
611       261 ms              
612       262 ms              
613       257 ms              
614       255 ms              
615       251 ms              
616       254 ms              
617       245 ms              
618       241 ms              
619       234 ms              
620       227 ms              
621       222 ms              
622       207 ms              
623       207 ms              
624       207 ms              
625       204 ms              
626       193 ms              
627       189 ms              
628       183 ms              
629       171 ms              
630       171 ms              
631       158 ms              
632       153 ms              
633       145 ms              
634       139 ms              
635       134 ms              
636       121 ms              
637       115 ms              
638       114 ms              
639       104 ms              
640       95 ms               
641       91 ms               
642       88 ms               
643       76 ms               
644       73 ms               
645       70 ms               
646       124 ms              
647       142 ms              
648       138 ms              
649       134 ms              
650       132 ms              
651       129 ms              
652       118 ms              
653       114 ms              
654       106 ms              
655       102 ms              
656       91 ms               
657       93 ms               
658       76 ms               
659       64 ms               
660       233 ms              
661       222 ms              
662       216 ms              
663       215 ms              
664       199 ms              
665       200 ms              
666       188 ms              
667       303 ms              
669       279 ms              
670       270 ms              
671       274 ms              
672       267 ms              
673       266 ms              
674       264 ms              
675       255 ms              
676       250 ms              
677       247 ms              
678       244 ms              
679       238 ms              
680       238 ms              
681       232 ms              
682       228 ms              
683       225 ms              
684       219 ms              
685       214 ms              
686       220 ms              
687       232 ms              
688       249 ms              
689       287 ms              
690       279 ms              
691       277 ms              
692       278 ms              
693       267 ms              
694       255 ms              
695       258 ms              
696       250 ms              
697       244 ms              
698       245 ms              
699       265 ms              
700       280 ms              
701       282 ms              
702       294 ms              
703       284 ms              
704       278 ms              
705       271 ms              
706       275 ms              
707       270 ms              
708       260 ms              
709       258 ms              
710       258 ms              
711       263 ms              
712       263 ms              
713       264 ms              
714       264 ms              
715       263 ms              
716       275 ms              
717       265 ms              
718       263 ms              
719       261 ms              
720       271 ms              
721       272 ms              
722       286 ms              
723       285 ms              
724       289 ms              
725       285 ms              
726       288 ms              
727       285 ms              
728       292 ms              
729       287 ms              
730       287 ms              
731       290 ms              
732       292 ms              
733       299 ms              
734       297 ms              
735       297 ms              
736       297 ms              
737       321 ms              
738       321 ms              
739       310 ms              
740       301 ms              
741       295 ms              
742       294 ms              
743       278 ms              
744       269 ms              
745       257 ms              
746       252 ms              
747       239 ms              
748       235 ms              
749       233 ms              
750       233 ms              
751       231 ms              
752       238 ms              
753       263 ms              
754       272 ms              
755       290 ms              
756       294 ms              
757       294 ms              
758       286 ms              
759       280 ms              
760       282 ms              
761       270 ms              
762       259 ms              
763       254 ms              
764       251 ms              
765       240 ms              
766       235 ms              
767       227 ms              
768       217 ms              
769       215 ms              
770       201 ms              
771       199 ms              
772       186 ms              
773       187 ms              
774       188 ms              
775       197 ms              
776       228 ms              
777       219 ms              
778       219 ms              
779       220 ms              
780       207 ms              
781       204 ms              
782       195 ms              
783       185 ms              
784       179 ms              
785       166 ms              
786       157 ms              
787       154 ms              
788       164 ms              
789       158 ms              
790       156 ms              
791       150 ms              
792       146 ms              
793       146 ms              
794       264 ms              
795       268 ms              
796       257 ms              
797       254 ms              
798       258 ms              
799       254 ms              
800       253 ms              
801       258 ms              
802       255 ms              
803       251 ms              
804       255 ms              
805       241 ms              
806       247 ms              
807       243 ms              
808       244 ms              
809       228 ms              
810       223 ms              
811       216 ms              
812       205 ms              
813       197 ms              
814       195 ms              
815       189 ms              
816       178 ms              
817       174 ms              
818       166 ms              
819       168 ms              
820       191 ms              
821       205 ms              
822       228 ms              
823       229 ms              
824       226 ms              
825       221 ms              
826       218 ms              
827       212 ms              
828       204 ms              
829       199 ms              
830       187 ms              
831       182 ms              
832       176 ms              
833       163 ms              
834       156 ms              
835       147 ms              
836       136 ms              
837       132 ms              
838       129 ms              
839       123 ms              
840       122 ms              
841       114 ms              
842       112 ms              
843       105 ms              
844       90 ms               
845       85 ms               
846       78 ms               
847       79 ms               
848       62 ms               
849       51 ms               
850       159 ms              
851       161 ms              
852       159 ms              
853       158 ms              
854       145 ms              
855       143 ms              
856       137 ms              
857       130 ms              
858       134 ms              
859       126 ms              
860       118 ms              
861       107 ms              
862       96 ms               
863       92 ms               
864       92 ms               
865       80 ms               
866       76 ms               
867       65 ms               
868       54 ms               
869       57 ms               
870       55 ms               
871       50 ms               
872       54 ms               
873       56 ms               
874       74 ms               
875       72 ms               
876       61 ms               
877       93 ms               
878       81 ms               
879       81 ms               
880       70 ms               
881       58 ms               
882       58 ms               
883       50 ms               
884       52 ms               
885       55 ms               
886       46 ms               
887       53 ms               
888       46 ms               
889       66 ms               
890       106 ms              
891       125 ms              
892       124 ms              
893       120 ms              
894       117 ms              
895       110 ms              
896       104 ms              
897       96 ms               
898       87 ms               
899       78 ms               
900       73 ms               
901       63 ms               
902       56 ms               
903       51 ms               
904       57 ms               
905       55 ms               
906       87 ms               
907       105 ms              
908       104 ms              
909       106 ms              
910       175 ms              
911       174 ms              
912       171 ms              
913       168 ms              
914       169 ms              
915       185 ms              
