Frame     E2E latency(ms)           
41        96 ms               
42        86 ms               
43        76 ms               
44        71 ms               
45        81 ms               
46        150 ms              
47        147 ms              
48        135 ms              
49        127 ms              
50        122 ms              
51        135 ms              
52        133 ms              
53        120 ms              
54        115 ms              
55        107 ms              
56        125 ms              
57        126 ms              
58        120 ms              
59        111 ms              
60        111 ms              
61        111 ms              
62        106 ms              
63        89 ms               
64        93 ms               
65        78 ms               
66        77 ms               
67        62 ms               
68        52 ms               
69        58 ms               
70        53 ms               
71        89 ms               
72        87 ms               
73        72 ms               
74        73 ms               
75        61 ms               
76        57 ms               
77        60 ms               
78        47 ms               
79        64 ms               
80        56 ms               
81        56 ms               
82        55 ms               
83        48 ms               
84        60 ms               
85        57 ms               
86        63 ms               
87        51 ms               
88        78 ms               
89        73 ms               
90        64 ms               
91        56 ms               
92        139 ms              
93        139 ms              
94        141 ms              
95        125 ms              
96        117 ms              
97        104 ms              
98        117 ms              
99        116 ms              
100       118 ms              
101       107 ms              
102       111 ms              
103       96 ms               
104       91 ms               
105       87 ms               
106       76 ms               
107       71 ms               
108       76 ms               
109       64 ms               
110       53 ms               
111       55 ms               
112       51 ms               
113       61 ms               
114       60 ms               
115       49 ms               
116       56 ms               
117       67 ms               
118       60 ms               
119       52 ms               
120       47 ms               
121       52 ms               
122       71 ms               
123       67 ms               
124       144 ms              
125       140 ms              
126       133 ms              
127       130 ms              
128       127 ms              
129       124 ms              
130       116 ms              
131       111 ms              
132       104 ms              
133       97 ms               
134       89 ms               
135       85 ms               
136       76 ms               
137       69 ms               
138       70 ms               
139       57 ms               
140       53 ms               
141       70 ms               
142       66 ms               
143       61 ms               
144       57 ms               
145       61 ms               
146       63 ms               
147       53 ms               
148       54 ms               
149       45 ms               
150       51 ms               
151       50 ms               
152       50 ms               
153       68 ms               
154       60 ms               
155       57 ms               
156       48 ms               
157       147 ms              
158       148 ms              
159       143 ms              
160       134 ms              
161       136 ms              
162       125 ms              
163       120 ms              
164       111 ms              
165       102 ms              
166       100 ms              
167       96 ms               
168       100 ms              
169       82 ms               
170       73 ms               
171       69 ms               
172       59 ms               
173       53 ms               
174       57 ms               
175       56 ms               
176       59 ms               
177       50 ms               
178       58 ms               
179       61 ms               
180       50 ms               
181       68 ms               
182       59 ms               
183       58 ms               
184       48 ms               
185       54 ms               
186       167 ms              
187       161 ms              
188       154 ms              
189       137 ms              
190       137 ms              
191       153 ms              
192       150 ms              
193       147 ms              
194       149 ms              
195       143 ms              
196       144 ms              
197       133 ms              
198       119 ms              
199       112 ms              
200       108 ms              
201       112 ms              
202       108 ms              
203       103 ms              
204       98 ms               
205       92 ms               
206       90 ms               
207       99 ms               
208       131 ms              
209       154 ms              
210       162 ms              
211       157 ms              
212       154 ms              
213       148 ms              
214       138 ms              
215       130 ms              
216       127 ms              
217       116 ms              
218       108 ms              
219       103 ms              
220       102 ms              
221       90 ms               
222       81 ms               
223       74 ms               
224       75 ms               
225       61 ms               
226       88 ms               
227       82 ms               
228       74 ms               
229       76 ms               
230       68 ms               
231       63 ms               
232       54 ms               
233       58 ms               
234       47 ms               
235       73 ms               
236       62 ms               
237       58 ms               
238       86 ms               
239       102 ms              
240       111 ms              
241       105 ms              
242       101 ms              
243       92 ms               
244       86 ms               
245       84 ms               
246       72 ms               
247       72 ms               
248       61 ms               
249       59 ms               
250       67 ms               
251       57 ms               
252       47 ms               
253       150 ms              
254       144 ms              
255       147 ms              
256       139 ms              
257       150 ms              
258       166 ms              
259       180 ms              
260       189 ms              
261       179 ms              
262       183 ms              
263       172 ms              
264       173 ms              
265       158 ms              
266       150 ms              
267       135 ms              
268       131 ms              
269       120 ms              
270       122 ms              
271       137 ms              
272       124 ms              
273       121 ms              
274       111 ms              
275       110 ms              
276       100 ms              
277       93 ms               
278       88 ms               
279       87 ms               
280       73 ms               
281       69 ms               
282       58 ms               
283       46 ms               
284       87 ms               
285       75 ms               
286       74 ms               
287       62 ms               
288       70 ms               
289       111 ms              
290       139 ms              
291       138 ms              
292       135 ms              
293       132 ms              
294       123 ms              
295       116 ms              
296       110 ms              
297       99 ms               
298       92 ms               
299       90 ms               
300       93 ms               
301       121 ms              
302       138 ms              
303       147 ms              
304       142 ms              
305       138 ms              
306       131 ms              
307       126 ms              
308       127 ms              
309       127 ms              
310       122 ms              
311       122 ms              
312       150 ms              
313       153 ms              
314       149 ms              
315       142 ms              
316       137 ms              
317       133 ms              
318       127 ms              
319       117 ms              
320       110 ms              
321       164 ms              
322       166 ms              
323       164 ms              
324       161 ms              
325       155 ms              
326       155 ms              
327       157 ms              
328       145 ms              
329       137 ms              
330       128 ms              
331       123 ms              
332       109 ms              
333       111 ms              
334       125 ms              
335       143 ms              
336       160 ms              
337       163 ms              
338       171 ms              
339       168 ms              
340       161 ms              
341       159 ms              
342       144 ms              
343       149 ms              
344       157 ms              
345       185 ms              
346       197 ms              
347       212 ms              
348       206 ms              
349       201 ms              
350       199 ms              
351       188 ms              
352       182 ms              
353       179 ms              
354       181 ms              
355       176 ms              
356       173 ms              
357       180 ms              
358       174 ms              
359       166 ms              
360       161 ms              
361       176 ms              
362       173 ms              
363       180 ms              
364       189 ms              
365       185 ms              
366       190 ms              
367       191 ms              
368       203 ms              
369       200 ms              
370       194 ms              
371       191 ms              
372       196 ms              
373       202 ms              
374       209 ms              
375       218 ms              
376       225 ms              
377       222 ms              
378       222 ms              
379       224 ms              
380       221 ms              
381       217 ms              
382       204 ms              
383       195 ms              
384       185 ms              
385       175 ms              
386       169 ms              
387       162 ms              
388       151 ms              
389       142 ms              
390       146 ms              
391       161 ms              
392       168 ms              
393       197 ms              
394       208 ms              
395       214 ms              
396       216 ms              
397       211 ms              
398       204 ms              
399       191 ms              
400       184 ms              
401       177 ms              
402       163 ms              
403       160 ms              
404       207 ms              
405       219 ms              
406       225 ms              
407       223 ms              
408       216 ms              
409       213 ms                        
637       97 ms               
638       89 ms               
639       78 ms               
640       78 ms               
641       69 ms               
642       63 ms               
643       65 ms               
644       56 ms               
645       56 ms               
646       55 ms               
647       45 ms               
648       56 ms               
649       104 ms              
650       144 ms              
651       151 ms              
652       139 ms              
653       137 ms              
654       135 ms              
655       125 ms              
656       113 ms              
657       105 ms              
658       100 ms              
659       90 ms               
660       220 ms              
661       215 ms              
662       209 ms              
663       208 ms              
664       208 ms              
665       225 ms              
666       242 ms              
667       245 ms              
668       265 ms              
669       258 ms              
670       262 ms              
671       257 ms              
672       253 ms              
673       247 ms              
674       248 ms              
675       260 ms              
676       267 ms              
677       268 ms              
678       265 ms              
679       260 ms              
680       253 ms              
681       255 ms              
682       240 ms              
683       241 ms              
684       227 ms              
685       216 ms              
686       211 ms              
687       209 ms              
688       193 ms              
689       189 ms              
690       211 ms              
691       238 ms              
692       236 ms              
693       237 ms              
694       227 ms              
695       225 ms              
696       223 ms              
697       222 ms              
698       229 ms              
699       218 ms              
700       209 ms              
701       204 ms              
702       199 ms              
703       188 ms              
704       178 ms              
705       170 ms              
706       162 ms              
707       152 ms              
708       141 ms              
709       164 ms              
710       213 ms              
711       212 ms              
712       211 ms              
713       206 ms              
714       215 ms              
715       212 ms              
716       204 ms              
717       202 ms              
718       202 ms              
719       190 ms              
720       184 ms              
721       178 ms              
722       165 ms              
723       168 ms              
724       174 ms              
725       174 ms              
726       204 ms              
727       222 ms              
728       218 ms              
729       214 ms              
730       210 ms              
731       220 ms              
732       203 ms              
733       190 ms              
734       187 ms              
735       181 ms              
736       169 ms              
737       170 ms              
738       160 ms              
739       155 ms              
740       151 ms              
741       146 ms              
742       147 ms              
743       134 ms              
744       139 ms              
745       132 ms              
746       135 ms              
747       126 ms              
748       121 ms              
749       107 ms              
750       98 ms               
751       94 ms               
752       86 ms               
753       78 ms               
754       68 ms               
755       62 ms               
756       52 ms               
757       57 ms               
758       49 ms               
759       51 ms               
760       155 ms              
761       165 ms              
762       156 ms              
763       151 ms              
764       156 ms              
765       177 ms              
766       196 ms              
767       214 ms              
768       213 ms              
769       219 ms              
770       206 ms              
771       197 ms              
772       186 ms              
773       181 ms              
774       179 ms              
775       193 ms              
776       206 ms              
777       217 ms              
778       216 ms              
779       215 ms              
780       216 ms              
781       210 ms              
782       213 ms              
783       229 ms              
784       241 ms              
785       243 ms              
786       253 ms              
787       253 ms              
788       253 ms              
789       255 ms              
790       254 ms              
791       274 ms              
792       282 ms              
793       284 ms              
794       285 ms              
795       288 ms              
796       286 ms              
797       284 ms              
798       283 ms              
799       270 ms              
800       267 ms              
801       254 ms              
802       250 ms              
803       246 ms              
804       264 ms              
805       278 ms              
806       296 ms              
807       290 ms              
808       290 ms              
809       276 ms              
810       272 ms              
811       270 ms              
812       263 ms              
813       262 ms              
814       261 ms              
815       265 ms              
816       258 ms              
817       266 ms              
818       287 ms              
819       295 ms              
820       306 ms              
821       302 ms              
822       292 ms              
823       281 ms              
824       272 ms              
825       267 ms              
826       266 ms              
827       258 ms              
828       252 ms              
829       263 ms              
830       262 ms              
831       279 ms              
832       296 ms              
833       301 ms              
834       305 ms              
835       298 ms              
836       294 ms              
837       293 ms              
838       277 ms              
839       276 ms              
840       277 ms              
841       277 ms              
842       274 ms              
843       281 ms              
844       288 ms              
845       304 ms              
846       296 ms              
847       288 ms              
848       288 ms              
849       282 ms              
850       276 ms              
851       275 ms              
852       273 ms              
853       273 ms              
854       286 ms              
855       291 ms              
856       280 ms              
857       272 ms              
858       265 ms              
859       254 ms              
860       249 ms              
861       246 ms              
862       236 ms              
863       226 ms              
864       221 ms              
865       215 ms              
866       211 ms              
867       199 ms              
868       189 ms              
869       179 ms              
870       175 ms              
871       180 ms              
872       192 ms              
873       224 ms              
874       233 ms              
875       222 ms              
876       226 ms              
877       228 ms              
878       219 ms              
879       206 ms              
880       199 ms              
881       192 ms              
882       184 ms              
883       184 ms              
884       190 ms              
885       225 ms              
886       232 ms              
887       241 ms              
888       231 ms              
889       224 ms              
890       214 ms              
891       212 ms              
892       202 ms              
893       201 ms              
894       200 ms              
895       196 ms              
896       220 ms              
897       235 ms              
898       239 ms              
899       235 ms              
900       230 ms              
901       224 ms              
902       213 ms              
903       207 ms              
904       194 ms              
905       190 ms              
906       173 ms              
907       163 ms              
908       158 ms              
909       153 ms              
910       231 ms              
911       236 ms              
912       234 ms              
913       248 ms              
914       255 ms              
915       252 ms              
916       261 ms              
917       262 ms              
918       257 ms              
919       270 ms              
920       260 ms              
921       252 ms              
922       251 ms              
923       262 ms              
924       263 ms              
925       285 ms              
926       305 ms              
927       323 ms              
928       319 ms              
929       316 ms              
930       309 ms              
931       311 ms              
932       300 ms              
933       297 ms              
934       285 ms              
935       276 ms              
936       269 ms              
937       259 ms              
938       253 ms              
939       250 ms              
940       248 ms              
941       252 ms              
942       245 ms              
943       265 ms              
944       261 ms              
945       279 ms              
946       271 ms              
947       276 ms              
948       263 ms              
949       264 ms              
950       254 ms              
951       247 ms              
952       243 ms              
953       238 ms              
954       241 ms              
955       233 ms              
956       231 ms              
957       221 ms              
958       213 ms              
959       216 ms              
960       217 ms              
961       223 ms              
962       221 ms              
963       222 ms              
964       219 ms              
965       222 ms              
966       222 ms              
967       210 ms              
968       203 ms              
969       204 ms              
970       194 ms              
971       197 ms              
972       197 ms              
973       195 ms              
974       187 ms              
975       188 ms              
976       178 ms              
977       185 ms              
978       177 ms              
979       178 ms              
980       183 ms              
981       183 ms              
982       177 ms              
983       178 ms              
984       169 ms              
985       158 ms              
986       153 ms              
987       140 ms              
988       130 ms              
989       122 ms              
990       116 ms              
991       103 ms              
992       128 ms              
993       127 ms              
994       127 ms              
995       123 ms              
996       118 ms              
997       113 ms              
998       138 ms              
999       154 ms              
1000      169 ms              
1001      171 ms              
1002      164 ms              
1003      159 ms              
1004      155 ms              
1005      141 ms              
1006      130 ms              
1007      139 ms              
1008      138 ms              
1009      132 ms              
1010      122 ms              
1011      114 ms              
1012      120 ms              
1013      116 ms              
1014      112 ms              
1015      98 ms               
1016      139 ms              
1017      141 ms              
1018      140 ms              
1019      138 ms              
1020      138 ms              
1021      132 ms              
1022      113 ms              
1023      101 ms              
1024      91 ms               
1025      88 ms               
1026      88 ms               
1027      79 ms               
1028      70 ms               
1029      79 ms               
1030      80 ms               
1031      70 ms               
1032      71 ms               
1033      81 ms               
1034      162 ms              
1035      155 ms              
1036      143 ms              
1037      140 ms              
1038      129 ms              
1039      208 ms              
1040      211 ms              
1041      210 ms              
1042      210 ms              
1043      206 ms              
1044      210 ms              
1045      205 ms              
1046      205 ms              
1047      194 ms              
1048      190 ms              
1049      183 ms              
1050      182 ms              
1051      189 ms              
1052      189 ms              
1053      197 ms              
1054      211 ms              
1055      229 ms              
1056      223 ms              
1057      224 ms              
1058      222 ms              
1059      218 ms              
1060      206 ms              
1061      198 ms              
1062      191 ms              
1063      183 ms              
1064      172 ms              
1065      166 ms              
1066      155 ms              
1067      156 ms              
1068      158 ms              
1069      147 ms              
1070      138 ms              
1071      133 ms              
1072      126 ms              
1073      131 ms              
1074      118 ms              
1075      111 ms              
1076      104 ms              
1077      95 ms               
1078      90 ms               
1079      85 ms               
1080      76 ms               
1081      77 ms               
1082      64 ms               
1083      53 ms               
1084      66 ms               
1085      60 ms               
1086      62 ms               
1087      52 ms               
1088      63 ms               
1089      65 ms               
1090      65 ms               
1091      119 ms              
1092      129 ms              
1093      117 ms              
1094      110 ms              
1095      163 ms              
1096      161 ms              
1097      152 ms              
1098      142 ms              
1099      158 ms              
1100      152 ms              
1101      140 ms                            
1447      98 ms               
1448      90 ms               
1449      92 ms               
1450      80 ms               
1451      71 ms               
1452      65 ms               
1453      210 ms              
1454      209 ms              
1455      207 ms              
1456      206 ms              
1457      195 ms              
1458      192 ms              
1459      178 ms              
1460      169 ms              
2086      93 ms               
2087      81 ms               
2088      82 ms               
2089      70 ms               
2090      69 ms               
2091      58 ms               
2092      50 ms               
2093      53 ms               
2094      53 ms               
2095      62 ms               
2096      57 ms               
2097      53 ms               
2098      55 ms               
2099      51 ms               
2100      43 ms               
2101      59 ms               
2102      97 ms               
2103      81 ms               
2104      57 ms               
2105      67 ms               
2106      60 ms               
2107      63 ms               
2108      59 ms               
2109      47 ms               
2110      56 ms               
2111      46 ms               
2112      93 ms               
2113      89 ms               
2114      79 ms               
2115      70 ms               
2116      65 ms               
2117      60 ms               
2118      60 ms               
2119      51 ms               
2120      54 ms               
2121      50 ms               
2122      56 ms               
2123      64 ms               
2124      56 ms               
2125      54 ms               
2126      73 ms               
2127      75 ms               
2128      61 ms               
2129      61 ms               
2130      53 ms               
2131      67 ms               
2132      98 ms               
2133      123 ms              
2134      136 ms              
2135      133 ms              
2136      129 ms              
2137      133 ms              
2138      128 ms              
2139      117 ms              
2140      112 ms              
2141      101 ms              
2142      90 ms               
2143      93 ms               
2144      94 ms               
2145      83 ms               
2146      73 ms               
2147      68 ms               
2148      59 ms               
2149      64 ms               
2150      53 ms               
2151      60 ms               
2152      61 ms               
2153      55 ms               
2154      51 ms               
2155      49 ms               
2156      54 ms               
2157      48 ms               
2158      61 ms               
2159      59 ms               
2160      53 ms               
2161      90 ms               
2162      92 ms               
2163      81 ms               
2164      74 ms               
2165      71 ms               
2166      63 ms               
2167      54 ms               
2168      55 ms               
2169      53 ms               
2170      57 ms               
2171      62 ms               
2172      56 ms               
2173      57 ms               
2174      46 ms               
2175      56 ms               
2176      60 ms               
2177      94 ms               
2178      90 ms               
2179      81 ms               
2180      70 ms               
2181      70 ms               
2182      58 ms               
2183      60 ms               
2184      56 ms               
2185      173 ms              
2186      165 ms              
2187      165 ms              
2188      153 ms              
2189      141 ms              
2190      136 ms                        
2302      217 ms              
2303      216 ms              
2304      211 ms              
2305      211 ms              
2306      220 ms              
2307      239 ms              
2308      251 ms              
2309      258 ms              
2310      254 ms              
2311      259 ms              
2312      252 ms              
2313      251 ms              
2314      249 ms              
2315      245 ms              
2316      247 ms              
2317      249 ms              
2318      251 ms              
2319      264 ms              
2320      280 ms              
2321      292 ms              
2322      287 ms              
2323      289 ms              
2324      288 ms              
2325      275 ms              
2326      265 ms              
2327      255 ms              
2328      254 ms              
2329      246 ms              
2330      242 ms              
2331      246 ms              
2332      256 ms              
2333      255 ms              
2334      265 ms              
2335      273 ms              
2336      262 ms              
2337      257 ms              
2338      245 ms              
2339      239 ms              
