Frame     E2E latency(ms)     
29        99 ms               
30        94 ms               
31        88 ms               
32        81 ms               
33        75 ms               
34        74 ms               
35        61 ms               
36        58 ms               
37        60 ms               
38        76 ms               
39        71 ms               
40        61 ms               
41        81 ms               
42        70 ms               
43        67 ms               
44        56 ms               
45        55 ms               
46        53 ms               
47        50 ms               
48        57 ms               
49        53 ms               
50        65 ms               
51        76 ms               
52        68 ms               
53        66 ms               
54        67 ms               
55        61 ms               
56        59 ms               
57        47 ms               
58        50 ms               
59        59 ms               
60        54 ms               
61        96 ms               
62        83 ms               
63        80 ms               
64        69 ms               
65        72 ms               
66        75 ms               
67        60 ms               
68        55 ms               
69        153 ms              
70        142 ms              
71        128 ms              
72        112 ms              
73        94 ms               
74        76 ms               
75        78 ms               
76        83 ms               
77        97 ms               
78        97 ms               
79        87 ms               
80        69 ms               
81        87 ms               
82        75 ms               
83        66 ms               
84        63 ms               
85        77 ms               
86        84 ms               
87        91 ms               
88        84 ms               
89        68 ms               
90        99 ms               
91        88 ms               
92        126 ms              
93        145 ms              
94        128 ms              
95        121 ms              
96        118 ms              
97        111 ms              
98        123 ms              
99        125 ms              
100       110 ms              
101       127 ms              
102       128 ms              
103       148 ms              
104       152 ms              
105       150 ms              
106       133 ms              
107       121 ms              
108       111 ms              
109       115 ms              
110       114 ms              
111       103 ms              
112       107 ms              
113       109 ms              
114       102 ms              
115       111 ms              
116       106 ms              
117       105 ms              
118       98 ms               
119       91 ms               
120       88 ms               
121       88 ms               
122       78 ms               
123       73 ms               
124       65 ms               
125       94 ms               
126       86 ms               
127       82 ms               
128       72 ms               
129       76 ms               
130       82 ms               
131       74 ms               
132       75 ms               
133       61 ms               
134       73 ms               
135       85 ms               
136       87 ms               
137       84 ms               
138       86 ms               
139       75 ms               
140       105 ms              
141       108 ms              
142       101 ms              
143       96 ms               
144       87 ms               
145       85 ms               
146       79 ms               
147       80 ms               
148       73 ms               
149       69 ms               
150       67 ms               
151       69 ms               
152       66 ms               
153       93 ms               
154       85 ms               
155       81 ms               
156       69 ms               
157       102 ms              
158       92 ms               
159       88 ms               
160       99 ms               
161       96 ms               
162       86 ms               
163       93 ms               
164       85 ms               
165       78 ms               
166       86 ms               
167       81 ms               
168       79 ms               
169       72 ms               
170       65 ms               
171       56 ms               
172       61 ms               
173       52 ms               
174       51 ms               
175       46 ms               
176       58 ms               
177       47 ms               
178       48 ms               
179       55 ms               
180       62 ms               
181       91 ms               
182       72 ms               
183       110 ms              
184       99 ms               
185       117 ms              
186       112 ms              
187       113 ms              
188       144 ms              
189       146 ms              
190       144 ms              
191       142 ms              
192       169 ms              
193       160 ms              
194       155 ms              
195       147 ms              
196       143 ms              
197       144 ms              
198       149 ms              
199       132 ms              
200       121 ms              
201       119 ms              
202       125 ms              
203       118 ms              
204       113 ms              
205       157 ms              
206       189 ms              
207       190 ms              
208       187 ms              
209       192 ms              
210       188 ms              
211       183 ms              
212       184 ms              
213       185 ms              
214       198 ms              
215       205 ms              
216       212 ms              
217       208 ms              
218       210 ms              
219       207 ms              
220       204 ms              
221       202 ms              
222       202 ms              
223       204 ms              
224       211 ms              
225       226 ms              
226       230 ms              
227       235 ms              
228       239 ms              
229       240 ms              
230       251 ms              
231       246 ms              
232       247 ms              
233       264 ms              
234       271 ms              
235       272 ms              
236       273 ms              
237       273 ms              
238       273 ms              
239       273 ms              
240       295 ms              
241       301 ms              
242       308 ms              
243       313 ms              
244       317 ms              
245       341 ms              
246       392 ms              
247       378 ms              
248       361 ms              
249       352 ms              
250       340 ms              
251       339 ms              
252       331 ms              
253       331 ms              
254       324 ms              
255       317 ms              
256       309 ms              
257       300 ms              
258       288 ms              
259       281 ms              
260       277 ms              
261       266 ms              
262       260 ms              
263       253 ms              
264       246 ms              
265       250 ms              
266       249 ms              
267       279 ms              
268       288 ms              
269       292 ms              
270       298 ms              
271       291 ms              
272       287 ms              
273       283 ms              
274       280 ms              
275       271 ms              
276       265 ms              
277       256 ms              
278       241 ms              
279       240 ms              
280       229 ms              
281       219 ms              
282       215 ms              
283       203 ms              
284       198 ms              
285       201 ms              
286       195 ms              
287       200 ms              
288       199 ms              
289       209 ms              
290       216 ms              
291       219 ms              
292       208 ms              
293       196 ms              
294       190 ms              
295       182 ms              
296       179 ms              
297       172 ms              
298       164 ms              
299       161 ms              
300       153 ms              
301       145 ms              
302       140 ms              
303       136 ms              
304       126 ms              
305       126 ms              
306       123 ms              
307       134 ms              
308       150 ms              
309       151 ms              
310       162 ms              
311       158 ms              
312       148 ms              
313       151 ms              
314       144 ms              
315       138 ms              
316       148 ms              
317       139 ms              
318       137 ms              
319       118 ms              
320       108 ms              
321       104 ms              
322       99 ms               
323       100 ms              
324       100 ms              
325       102 ms              
326       94 ms               
327       90 ms               
328       79 ms               
329       70 ms               
330       65 ms               
331       62 ms               
332       50 ms               
333       59 ms               
334       47 ms               
335       70 ms               
336       58 ms               
337       63 ms               
338       88 ms               
339       81 ms               
340       139 ms              
341       138 ms              
342       136 ms              
343       133 ms              
344       133 ms              
345       126 ms              
346       122 ms              
347       111 ms              
348       99 ms               
349       98 ms               
350       92 ms               
351       102 ms              
352       121 ms              
353       150 ms              
354       156 ms              
355       146 ms              
356       151 ms              
357       136 ms              
358       125 ms              
359       113 ms              
360       96 ms               
361       102 ms              
362       98 ms               
363       100 ms              
364       122 ms              
365       136 ms              
366       141 ms              
367       138 ms              
368       138 ms              
369       135 ms              
370       125 ms              
371       121 ms              
372       116 ms              
373       120 ms              
374       112 ms              
375       114 ms              
376       110 ms              
377       113 ms              
378       118 ms              
379       115 ms              
380       115 ms              
381       121 ms              
382       115 ms              
383       112 ms              
384       108 ms              
385       114 ms              
386       104 ms              
387       93 ms               
388       81 ms               
389       77 ms               
390       78 ms               
391       68 ms               
392       56 ms               
393       97 ms               
394       120 ms              
395       128 ms              
396       130 ms              
397       125 ms              
398       125 ms              
399       117 ms              
400       119 ms              
401       105 ms              
402       107 ms              
403       103 ms              
404       112 ms              
405       252 ms              
406       269 ms              
407       273 ms              
408       289 ms              
409       291 ms              
410       297 ms              
411       308 ms              
412       312 ms              
413       313 ms              
414       322 ms              
415       317 ms              
416       320 ms              
417       313 ms              
418       314 ms              
419       317 ms              
420       324 ms              
421       341 ms              
422       342 ms              
423       356 ms              
424       364 ms              
425       374 ms              
426       382 ms              
427       387 ms              
428       381 ms              
429       379 ms              
430       381 ms              
431       379 ms              
432       371 ms              
433       366 ms              
434       365 ms              
435       359 ms              
436       352 ms              
437       346 ms              
438       335 ms              
439       330 ms              
440       321 ms              
441       322 ms              
442       355 ms              
443       377 ms              
444       382 ms              
445       375 ms              
446       370 ms              
447       368 ms              
448       366 ms              
449       359 ms              
450       352 ms              
451       351 ms              
452       346 ms              
453       342 ms              
454       341 ms              
455       359 ms              
456       373 ms              
457       379 ms              
458       376 ms              
459       375 ms              
460       375 ms              
461       370 ms              
462       367 ms              
463       361 ms              
464       364 ms              
465       378 ms              
466       380 ms              
467       388 ms              
468       398 ms              
469       401 ms              
470       407 ms              
471       416 ms              
472       405 ms              
473       409 ms              
474       415 ms              
475       416 ms              
476       414 ms              
477       428 ms              
478       420 ms              
479       422 ms              
480       427 ms              
481       428 ms              
482       435 ms              
483       432 ms              
484       438 ms              
485       444 ms              
486       440 ms              
487       449 ms              
488       435 ms              
489       424 ms              
490       418 ms              
491       407 ms              
492       405 ms              
493       406 ms                    
1197      94 ms               
1198      89 ms               
1199      78 ms               
1200      71 ms               
1201      176 ms              
1202      188 ms              
1203      189 ms              
1204      192 ms              
1205      181 ms              
1206      178 ms              
1207      170 ms              
1208      173 ms              
1209      164 ms              
1210      159 ms              
1211      159 ms              
1212      145 ms              
1213      137 ms              
1214      130 ms              
1215      119 ms              
1216      115 ms              
1217      105 ms              
1218      112 ms              
1219      104 ms              
1220      91 ms               
1221      85 ms               
1222      73 ms               
1223      74 ms               
1224      73 ms               
1225      75 ms               
1226      65 ms               
1227      98 ms               
1228      86 ms               
1229      137 ms              
1230      131 ms              
1231      120 ms              
1232      168 ms              
1233      158 ms              
1234      213 ms              
1235      236 ms              
1236      251 ms              
1237      256 ms              
1238      275 ms              
1239      270 ms              
1240      279 ms              
1241      290 ms              
