Frame     E2E latency(ms)       
149       70 ms               
150       88 ms               
151       92 ms               
152       80 ms               
153       88 ms               
154       90 ms               
155       75 ms               
156       70 ms               
157       66 ms               
158       54 ms               
159       69 ms               
160       65 ms               
161       56 ms               
162       49 ms               
163       47 ms               
164       49 ms               
165       39 ms               
166       59 ms               
167       51 ms               
168       53 ms               
169       60 ms               
170       53 ms               
171       65 ms               
172       55 ms               
173       90 ms               
174       78 ms               
175       73 ms               
176       65 ms               
177       61 ms               
178       51 ms               
179       55 ms               
180       50 ms               
181       77 ms               
182       59 ms               
183       48 ms               
184       55 ms               
185       46 ms               
186       86 ms               
187       73 ms               
188       98 ms               
189       86 ms               
190       86 ms               
191       76 ms               
192       82 ms               
193       75 ms               
194       69 ms               
195       57 ms               
196       54 ms               
197       83 ms               
198       76 ms               
199       73 ms               
200       70 ms               
201       62 ms               
202       56 ms               
203       54 ms               
204       58 ms               
205       123 ms              
206       146 ms              
207       142 ms              
208       144 ms              
209       141 ms              
210       132 ms              
211       133 ms              
212       124 ms              
213       117 ms              
214       113 ms              
215       103 ms              
216       95 ms               
217       88 ms               
218       76 ms               
219       76 ms               
220       66 ms               
221       56 ms               
222       49 ms               
223       43 ms               
224       64 ms               
225       66 ms               
226       55 ms               
227       51 ms               
228       44 ms               
229       88 ms               
230       134 ms              
231       143 ms              
232       153 ms              
233       148 ms              
234       143 ms              
235       132 ms              
236       116 ms              
237       103 ms              
238       102 ms              
239       90 ms               
240       86 ms               
241       89 ms               
242       97 ms               
243       80 ms               
244       76 ms               
245       65 ms               
246       207 ms              
247       204 ms              
248       203 ms              
249       216 ms              
250       219 ms              
251       222 ms              
252       217 ms              
253       217 ms              
254       198 ms              
255       191 ms              
256       194 ms              
257       196 ms              
258       178 ms              
259       168 ms              
260       156 ms              
261       152 ms              
262       151 ms              
263       145 ms              
264       146 ms              
265       136 ms              
266       143 ms              
267       157 ms              
268       180 ms              
269       181 ms              
270       169 ms              
271       172 ms              
272       171 ms              
273       157 ms              
274       164 ms              
275       165 ms              
276       153 ms              
277       177 ms              
278       198 ms              
279       224 ms              
280       214 ms              
281       219 ms              
282       207 ms              
283       197 ms              
284       182 ms              
285       186 ms              
286       241 ms              
287       259 ms              
288       257 ms              
289       260 ms              
290       264 ms              
291       256 ms              
292       251 ms              
293       253 ms              
294       243 ms              
295       250 ms              
296       239 ms              
297       226 ms              
298       246 ms              
299       279 ms              
300       271 ms              
301       263 ms              
302       266 ms              
303       256 ms              
304       260 ms              
305       255 ms              
306       263 ms              
307       264 ms              
308       270 ms              
309       276 ms              
310       272 ms              
311       274 ms              
312       270 ms              
313       264 ms              
314       262 ms              
315       259 ms              
316       255 ms              
317       245 ms              
318       236 ms              
319       230 ms              
320       219 ms              
321       215 ms              
322       211 ms              
323       204 ms              
324       204 ms              
325       208 ms              
326       240 ms              
327       262 ms              
328       256 ms              
329       245 ms              
330       238 ms              
331       232 ms              
332       228 ms              
333       220 ms              
334       203 ms                      
1201      264 ms              
1202      264 ms              
1203      273 ms              
1204      272 ms              
1205      257 ms              
1206      257 ms              
1207      246 ms              
1208      239 ms              
1209      237 ms              
1210      244 ms              
1211      233 ms              
1212      218 ms              
1213      214 ms              
1214      204 ms              
1215      211 ms              
1216      196 ms              
1217      195 ms              
1218      201 ms              
1219      186 ms              
1220      185 ms              
1221      173 ms              
1222      172 ms              
1223      178 ms              
1224      208 ms              
1225      244 ms              
1226      239 ms              
1227      230 ms              
1228      233 ms              
1229      219 ms              
1230      226 ms              
1231      221 ms              
1232      205 ms              
1233      202 ms              
1234      193 ms              
1235      188 ms              
1236      179 ms              
1237      174 ms              
1238      160 ms              
1239      152 ms              
1240      143 ms              
1241      142 ms              
1242      138 ms              
1243      122 ms              
1244      121 ms              
1245      108 ms              
1246      98 ms               
1247      87 ms               
1248      83 ms               
1249      72 ms               
1250      71 ms               
1251      59 ms               
1252      56 ms               
1253      56 ms               
1254      53 ms               
1255      55 ms               
1256      58 ms               
1257      50 ms               
1258      72 ms               
1259      57 ms               
1260      55 ms               
1261      185 ms              
1262      181 ms              
1263      205 ms              
1264      261 ms              
1265      260 ms              
1266      256 ms              
1267      255 ms              
1268      244 ms              
1269      233 ms              
1270      238 ms              
1271      230 ms              
1272      227 ms              
1273      215 ms              
1274      210 ms              
1275      201 ms              
1276      188 ms              
1277      185 ms              
1278      183 ms              
1279      179 ms              
1280      176 ms              
1281      176 ms              
1282      189 ms              
1283      194 ms              
1284      222 ms              
1285      246 ms              
1286      241 ms              
1287      244 ms              
1288      233 ms              
1289      236 ms              
1290      252 ms              
1291      267 ms              
1292      272 ms              
1293      270 ms              
1294      256 ms              
1295      259 ms              
1296      247 ms              
1297      235 ms              
1298      232 ms              
1299      236 ms              
1300      237 ms              
1301      279 ms              
1302      297 ms              
1303      294 ms              
1304      293 ms              
1305      285 ms              
1306      284 ms              
1307      284 ms              
1308      287 ms              
1309      312 ms              
1310      311 ms              
1311      314 ms              
1312      311 ms              
1313      306 ms              
1314      295 ms              
1315      292 ms              
1316      284 ms              
1317      277 ms              
1318      281 ms              
1319      286 ms              
1320      302 ms              
1321      305 ms              
1322      316 ms              
1323      310 ms              
1324      310 ms              
1325      321 ms              
1326      305 ms              
1327      297 ms              
1328      289 ms              
1329      361 ms              
1332      336 ms              
1333      330 ms              
1334      325 ms              
1335      325 ms              
1336      347 ms              
1337      378 ms              
1338      404 ms              
1339      405 ms              
1340      403 ms              
