Frame     E2E latency(ms)            
32        78 ms               
33        75 ms               
34        66 ms               
35        61 ms               
36        61 ms               
37        52 ms               
38        56 ms               
39        48 ms               
40        50 ms               
41        72 ms               
42        76 ms               
43        59 ms               
44        54 ms               
45        63 ms               
46        53 ms               
47        61 ms               
48        57 ms               
49        49 ms               
50        74 ms               
51        95 ms               
52        88 ms               
53        74 ms               
54        72 ms               
55        62 ms               
56        58 ms               
57        54 ms               
58        55 ms               
59        65 ms               
60        55 ms               
61        90 ms               
62        80 ms               
63        78 ms               
64        69 ms               
65        64 ms               
66        60 ms               
67        52 ms               
68        75 ms               
69        73 ms               
70        70 ms               
71        55 ms               
72        52 ms               
73        56 ms               
74        48 ms               
75        54 ms               
76        47 ms               
77        76 ms               
78        71 ms               
79        63 ms               
80        56 ms               
81        54 ms               
82        55 ms               
83        51 ms               
84        46 ms               
85        62 ms               
86        51 ms               
87        64 ms               
88        73 ms               
89        69 ms               
90        65 ms               
91        54 ms               
92        65 ms               
93        63 ms               
94        61 ms               
95        60 ms               
96        54 ms               
97        46 ms               
98        55 ms               
99        64 ms               
100       53 ms               
101       56 ms               
102       47 ms               
103       54 ms               
104       66 ms               
105       57 ms               
106       48 ms               
107       59 ms               
108       52 ms               
109       80 ms               
110       69 ms               
111       70 ms               
112       53 ms               
113       54 ms               
114       54 ms               
115       60 ms               
116       55 ms               
117       54 ms               
118       53 ms               
119       48 ms               
120       51 ms               
121       62 ms               
122       57 ms               
123       42 ms               
124       54 ms               
125       50 ms               
126       43 ms               
127       50 ms               
128       54 ms               
129       60 ms               
130       52 ms               
131       56 ms               
132       76 ms               
133       89 ms               
134       80 ms               
135       74 ms               
136       67 ms               
137       81 ms               
138       74 ms               
139       71 ms               
140       61 ms               
141       53 ms               
142       56 ms               
143       61 ms               
144       54 ms               
145       70 ms               
146       60 ms               
147       55 ms               
148       50 ms               
149       48 ms               
150       53 ms               
151       49 ms               
152       54 ms               
153       59 ms               
154       51 ms               
155       53 ms               
156       50 ms               
157       63 ms               
158       52 ms               
159       60 ms               
160       92 ms               
161       76 ms               
162       70 ms               
163       68 ms               
164       53 ms               
165       54 ms               
166       56 ms               
167       49 ms               
168       90 ms               
169       91 ms               
170       79 ms               
171       67 ms               
172       65 ms               
173       58 ms               
174       54 ms               
175       52 ms               
176       57 ms               
177       55 ms               
178       65 ms               
179       54 ms               
180       50 ms               
181       86 ms               
182       81 ms               
183       69 ms               
184       63 ms               
185       56 ms               
186       58 ms               
187       52 ms               
188       88 ms               
189       91 ms               
190       89 ms               
191       85 ms               
192       72 ms               
193       66 ms               
194       60 ms               
195       58 ms               
196       54 ms               
197       69 ms               
198       64 ms               
199       53 ms               
200       59 ms               
201       60 ms               
202       54 ms               
203       52 ms               
204       49 ms               
205       75 ms               
206       96 ms               
207       119 ms              
208       127 ms              
209       118 ms              
210       116 ms              
211       105 ms              
212       107 ms              
213       96 ms               
214       85 ms               
215       80 ms               
216       74 ms               
217       66 ms               
218       60 ms               
219       61 ms               
220       51 ms               
221       70 ms               
222       55 ms               
223       46 ms               
224       73 ms               
225       107 ms              
226       115 ms              
227       109 ms              
228       111 ms              
229       101 ms              
230       97 ms               
231       88 ms               
232       83 ms               
233       74 ms               
234       75 ms               
235       64 ms               
236       53 ms               
237       60 ms               
238       51 ms               
239       64 ms               
240       67 ms               
241       80 ms               
242       93 ms               
243       105 ms              
244       106 ms              
245       100 ms              
246       95 ms               
247       87 ms               
248       78 ms               
249       75 ms               
250       73 ms               
251       60 ms               
252       57 ms               
253       101 ms              
254       97 ms               
255       90 ms               
256       96 ms               
257       97 ms               
258       105 ms              
259       127 ms              
260       121 ms              
261       114 ms              
262       110 ms              
263       103 ms              
264       89 ms               
265       82 ms               
266       83 ms               
267       72 ms               
268       71 ms               
269       57 ms               
270       57 ms               
271       46 ms               
272       55 ms               
273       64 ms               
274       54 ms               
275       118 ms              
276       138 ms              
277       144 ms              
278       128 ms              
279       125 ms              
280       130 ms              
281       117 ms              
282       113 ms              
283       101 ms              
284       95 ms               
285       96 ms               
286       98 ms               
287       108 ms              
288       137 ms              
289       136 ms              
290       131 ms              
291       129 ms              
292       123 ms              
293       111 ms              
294       117 ms              
295       99 ms               
296       103 ms              
297       90 ms               
298       93 ms               
299       117 ms              
300       122 ms              
301       117 ms              
302       103 ms              
303       104 ms              
304       75 ms               
305       84 ms               
306       91 ms               
307       80 ms               
308       101 ms              
309       136 ms              
310       137 ms              
311       142 ms              
312       146 ms              
313       149 ms              
314       147 ms              
315       134 ms              
316       126 ms              
317       138 ms              
318       138 ms              
319       136 ms              
320       134 ms              
321       130 ms              
322       124 ms              
323       121 ms              
324       115 ms              
325       99 ms               
326       87 ms               
327       80 ms               
328       84 ms               
329       102 ms              
330       119 ms              
331       133 ms              
332       133 ms              
333       131 ms              
334       130 ms              
335       119 ms              
336       112 ms              
337       108 ms              
338       100 ms              
339       102 ms              
340       92 ms               
341       78 ms               
342       72 ms               
343       63 ms               
344       56 ms               
345       58 ms               
346       56 ms               
347       53 ms               
348       51 ms               
349       56 ms               
350       51 ms               
351       91 ms               
352       100 ms              
353       108 ms              
354       109 ms              
355       94 ms               
356       86 ms               
357       86 ms               
358       76 ms               
359       70 ms               
360       62 ms               
361       61 ms               
362       48 ms               
363       77 ms               
364       81 ms               
365       75 ms               
366       66 ms               
367       73 ms               
368       68 ms               
369       111 ms              
370       118 ms              
371       119 ms              
372       112 ms              
