Frame     E2E latency(ms)     
139       83 ms               
140       150 ms              
141       149 ms              
142       146 ms              
143       139 ms              
144       128 ms              
145       120 ms              
146       113 ms              
147       105 ms              
148       95 ms               
149       90 ms               
150       211 ms              
151       208 ms              
152       202 ms              
153       193 ms              
154       182 ms              
155       182 ms              
156       168 ms              
226       98 ms               
227       85 ms               
228       74 ms               
229       172 ms              
230       168 ms              
231       160 ms              
232       158 ms              
233       153 ms              
234       139 ms              
235       128 ms              
236       151 ms              
237       146 ms              
238       148 ms              
239       141 ms              
240       134 ms              
241       118 ms              
242       110 ms              
243       105 ms              
244       157 ms              
245       157 ms              
246       155 ms              
247       142 ms              
248       138 ms              
249       130 ms              
250       121 ms              
251       112 ms              
252       102 ms              
253       161 ms              
254       162 ms              
255       157 ms              
256       145 ms              
257       137 ms              
258       125 ms              
259       144 ms              
260       138 ms              
261       146 ms              
262       129 ms              
263       128 ms              
264       121 ms              
265       117 ms              
266       107 ms              
267       96 ms               
268       96 ms               
269       82 ms               
270       78 ms               
271       69 ms               
272       79 ms               
273       74 ms               
274       70 ms               
275       65 ms               
276       53 ms               
277       150 ms              
278       144 ms              
279       146 ms              
280       135 ms              
281       131 ms              
282       120 ms              
283       106 ms              
284       105 ms              
285       98 ms               
286       95 ms               
287       88 ms               
288       75 ms               
289       74 ms               
290       67 ms               
291       59 ms               
292       55 ms               
293       50 ms               
294       60 ms               
295       67 ms               
296       57 ms               
297       54 ms               
298       48 ms               
299       51 ms               
300       60 ms               
301       56 ms               
302       52 ms               
303       60 ms               
304       51 ms               
305       48 ms               
306       63 ms               
307       58 ms               
308       52 ms               
309       52 ms               
310       60 ms               
311       55 ms               
312       56 ms               
313       55 ms               
314       64 ms               
315       55 ms               
316       51 ms               
317       48 ms               
318       54 ms               
319       48 ms               
320       66 ms               
321       52 ms               
322       52 ms               
323       70 ms               
324       61 ms               
325       70 ms               
326       61 ms               
327       74 ms               
328       144 ms              
329       148 ms              
330       138 ms              
331       134 ms              
332       140 ms              
333       122 ms              
334       120 ms              
335       104 ms              
336       95 ms               
337       138 ms              
338       131 ms              
339       131 ms              
340       127 ms              
341       123 ms              
342       117 ms              
343       106 ms              
344       103 ms              
345       99 ms               
346       88 ms               
347       78 ms               
348       77 ms               
349       94 ms               
350       149 ms              
351       142 ms              
352       138 ms              
353       131 ms              
354       169 ms              
355       169 ms              
356       164 ms              
357       157 ms              
358       160 ms              
359       159 ms              
360       149 ms              
361       139 ms              
362       128 ms              
363       120 ms              
364       117 ms              
365       108 ms              
366       99 ms               
367       91 ms               
368       164 ms              
369       160 ms              
370       157 ms              
371       140 ms              
372       135 ms              
373       140 ms              
374       139 ms              
375       132 ms              
376       126 ms              
377       121 ms              
378       113 ms              
379       111 ms              
380       99 ms               
381       91 ms               
382       98 ms               
383       83 ms               
384       68 ms               
385       58 ms               
386       66 ms               
387       146 ms              
388       149 ms              
389       144 ms              
390       136 ms              
391       122 ms              
392       111 ms              
393       183 ms              
394       178 ms              
395       173 ms              
396       173 ms              
397       162 ms              
398       152 ms              
399       143 ms              
400       271 ms              
402       254 ms              
403       248 ms              
404       246 ms              
405       237 ms              
406       228 ms              
407       224 ms              
408       213 ms              
409       209 ms              
410       203 ms              
411       204 ms              
412       197 ms              
413       190 ms              
414       176 ms              
415       169 ms               
458       86 ms               
459       78 ms               
460       97 ms               
461       94 ms               
462       90 ms               
463       79 ms               
464       74 ms               
465       68 ms               
466       69 ms               
467       56 ms               
468       52 ms               
469       170 ms              
470       168 ms              
471       161 ms              
472       150 ms              
473       150 ms                  
591       87 ms               
592       77 ms               
593       66 ms               
594       62 ms               
595       74 ms               
596       64 ms               
597       48 ms               
598       110 ms              
599       92 ms               
600       85 ms               
601       92 ms               
602       83 ms               
603       77 ms               
604       97 ms               
605       87 ms               
606       83 ms               
607       88 ms               
608       72 ms               
609       63 ms               
610       56 ms               
611       54 ms               
612       52 ms               
613       51 ms               
614       70 ms               
615       55 ms               
616       48 ms               
617       74 ms               
618       72 ms               
619       63 ms               
620       78 ms               
621       70 ms               
622       63 ms               
623       53 ms               
624       61 ms               
625       59 ms               
626       63 ms               
627       55 ms               
628       54 ms               
629       87 ms               
630       73 ms               
631       63 ms               
632       67 ms               
633       56 ms               
634       64 ms               
635       54 ms               
636       59 ms               
637       49 ms               
638       62 ms               
639       70 ms               
640       53 ms               
641       76 ms               
642       75 ms               
643       60 ms               
644       54 ms               
645       54 ms               
646       47 ms               
647       53 ms               
648       59 ms               
649       56 ms               
650       61 ms               
651       94 ms               
652       85 ms               
653       73 ms               
654       92 ms               
655       100 ms              
656       101 ms              
657       100 ms              
658       91 ms               
659       80 ms               
660       117 ms              
661       110 ms              
662       113 ms              
663       107 ms              
664       108 ms              
665       97 ms               
666       86 ms               
667       81 ms               
668       79 ms               
669       70 ms               
670       65 ms               
671       54 ms               
672       57 ms               
673       54 ms               
674       43 ms               
675       58 ms               
676       62 ms               
677       72 ms               
678       61 ms               
679       55 ms               
680       66 ms               
681       57 ms               
682       89 ms               
683       72 ms               
684       72 ms               
685       73 ms               
686       79 ms               
687       71 ms               
688       65 ms               
689       61 ms               
690       64 ms               
691       67 ms               
692       53 ms               
693       68 ms               
694       55 ms               
695       55 ms               
696       55 ms               
697       61 ms               
698       65 ms               
699       54 ms               
700       55 ms               
701       60 ms               
702       60 ms               
703       85 ms               
704       85 ms               
705       75 ms               
706       75 ms               
707       68 ms               
708       56 ms               
709       79 ms               
710       74 ms               
711       63 ms               
712       154 ms              
713       162 ms              
714       160 ms              
715       162 ms              
716       153 ms              
717       147 ms              
718       138 ms              
719       127 ms              
720       117 ms              
721       139 ms              
722       145 ms              
723       138 ms              
724       137 ms              
725       138 ms              
726       129 ms              
727       114 ms              
728       109 ms              
729       104 ms              
730       93 ms               
731       83 ms               
732       77 ms               
733       84 ms               
