Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         27.0030             17.0210             44.0649             
2         17.0541             10.3100             54.3185             
3         17.3142             8.0845              69.2976             
4         16.8270             7.9409              85.8766             
5         17.3871             8.1495              103.3590            
6         16.9288             13.0189             121.5061            
7         5.9812              13.1112             134.5077            
8         7.4147              11.4252             145.8227            
9         6.7066              15.0139             160.7341            
10        6.6218              10.5149             171.1710            
11        6.3068              13.6927             188.9420            
12        7.3646              12.2493             201.0942            
13        5.8964              12.3034             219.2729            
14        6.9983              11.4354             230.6365            
15        5.9296              12.5310             237.3388            
16        15.0554             11.9417             232.8790            
17        9.2181              12.6277             237.8850            
18        7.8729              11.6693             219.6242            
19        15.0197             8.0464              212.7812            
20        7.2738              7.8103              203.7144            
21        8.1876              7.7157              191.6300            
22        15.0853             7.6569              192.7268            
23        7.3212              9.4449              189.2128            
24        6.5022              16.3875             178.5503            
25        16.3112             13.5458             184.5936            
26        7.2361              9.3753              182.2884            
27        7.8335              8.1029              157.1125            
28        8.3231              8.1251              61.1948             
29        7.3408              7.5900              65.6331             
30        8.2843              7.1315              72.4878             
31        7.7614              7.3149              79.6082             
32        8.2336              7.1423              86.3510             
33        7.0732              11.5096             18.6109             
34        7.8671              13.5523             29.4636             
35        8.0984              9.3819              38.6428             
36        8.9870              7.7365              46.1953             
37        6.4527              15.2762             61.3685             
38        7.9590              15.0047             27.9524             
39        7.6788              14.5901             42.3378             
40        7.2818              10.7792             52.9439             
41        9.2362              11.8227             64.4480             
42        7.5467              8.0836              72.3284             
43        7.7864              7.4395              78.1011             
44        8.0754              7.3489              53.8799             
45        7.8035              9.4805              54.7433             
46        8.1270              10.8719             19.0315             
47        8.1807              11.3413             27.5867             
48        8.1891              11.2173             36.2627             
49        7.7791              7.7019              29.2550             
50        7.0952              7.8026              25.4222             
51        8.4257              14.0661             22.5228             
52        7.5961              13.5069             35.7585             
53        7.2940              12.7103             48.2572             
54        7.7732              12.8570             60.8434             
55        7.9426              14.6289             75.2086             
56        9.2609              8.5043              83.5157             
57        7.4034              8.0297              80.5130             
58        7.7303              7.7575              66.2604             
59        7.8814              7.3169              65.7659             
60        7.7354              7.5473              48.3080             
61        10.3477             12.6808             23.0624             
62        7.3770              12.9528             35.7159             
63        8.0388              7.5248              42.9348             
64        8.0299              7.3410              50.0695             
65        7.6878              13.8422             21.5592             
66        8.5717              13.8938             35.1361             
67        8.0482              13.2824             47.9583             
68        8.2079              7.8568              55.5988             
69        7.6969              7.2726              62.6598             
70        7.9321              7.2539              59.8127             
71        6.6773              13.2880             20.0003             
72        7.2681              13.3672             33.1974             
73        8.3453              15.1879             48.2095             
74        6.9497              11.6214             59.6483             
75        8.0909              8.1988              65.7704             
76        8.4323              9.6456              58.5788             
77        6.9717              11.2947             52.4621             
78        8.5569              7.5070              44.5391             
79        8.5148              9.6883              35.1449             
80        9.2497              8.6310              31.3816             
81        8.4162              9.4549              23.5628             
82        9.5559              10.9279             20.5173             
83        8.3856              7.8267              16.2540             
84        6.4169              8.1890              14.6543             
85        8.0436              9.5737              17.6493             
86        6.7682              9.9452              19.9282             
87        6.4731              7.6814              14.1824             
88        7.0254              8.0130              15.0706             
89        6.5444              7.7454              14.3217             
90        7.6371              10.0102             17.6769             
91        6.3311              7.9637              14.3277             
92        6.5187              10.8310             17.3798             
93        7.9209              7.9594              15.9060             
94        6.4310              8.0261              14.5064             
95        6.4276              8.0946              14.5518             
96        6.2587              7.7293              14.0224             
97        7.1918              14.0473             21.2700             
98        8.8837              11.2408             29.5214             
99        7.8468              8.0673              37.4485             
100       6.8293              8.0472              45.3703             
101       7.7880              14.6652             22.4873             
102       6.9596              15.1430             37.1501             
103       8.0094              14.7633             51.4504             
104       6.5808              15.4731             66.6947             
105       8.9550              11.6179             77.9282             
106       7.8876              7.8225              85.3253             
107       7.7162              7.9022              92.8660             
108       7.1022              7.8150              100.4468            
109       10.8646             7.8491              107.8034            
110       7.0602              7.8124              115.5331            
111       5.7347              13.9032             19.6730             
112       6.8429              13.7195             33.3716             
113       8.2113              15.3708             48.7248             
114       8.1965              13.8191             62.5054             
115       7.1729              13.9116             76.3718             
116       7.4260              12.7349             89.0846             
117       6.8984              12.5771             101.6192            
118       7.9937              14.1451             115.7290            
119       7.7794              14.0832             129.7789            
120       7.7523              12.7635             142.5256            
121       7.1237              12.8298             161.9916            
122       7.0006              11.8010             173.7728            
123       7.4047              15.5518             195.2214            
124       8.2455              11.7494             206.9263            
125       7.6107              14.4129             217.0161            
126       6.6485              11.1026             214.5903            
127       8.0638              11.3974             206.1655            
128       8.5111              10.4939             204.9914            
129       7.1710              9.1892              199.3445            
130       15.4516             8.3861              189.2515            
131       7.8912              8.3250              174.8725            
132       7.3512              7.8835              168.0481            
133       16.2463             9.5939              160.9673            
134       7.5823              14.8999             161.4244            
135       7.6869              8.9371              162.3522            
136       14.9822             11.5944             146.5998            
137       8.5246              14.3492             145.8515            
138       7.2888              7.8932              134.6961            
139       6.9223              7.6377              128.9761            
140       8.1551              8.2365              122.4425            
141       8.3671              12.6612             92.7221             
142       7.7053              8.9109              101.2542            
143       7.2128              9.6219              108.0819            
