Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         25.1596             17.0364             42.2484             
2         17.4180             9.9900              52.5363             
3         16.6038             7.5572              60.0950             
4         16.3285             7.7562              76.5178             
5         17.3200             8.4386              94.3608             
6         16.3643             12.4080             114.5835            
7         5.8945              11.0304             125.5687            
8         6.8788              13.0977             69.4458             
9         6.2687              12.0802             81.2690             
10        6.7696              10.7109             91.8741             
11        5.9456              12.2776             109.8812            
12        7.9767              11.9459             121.7304            
13        5.2204              12.0129             139.1404            
14        6.3100              11.8126             150.9040            
15        6.1011              12.4115             100.4876            
16        14.6421             10.6649             111.0300            
17        7.9891              11.9483             128.4869            
18        7.2967              11.7917             140.0727            
19        14.4936             10.0203             149.9528            
20        7.0917              7.3303              146.4965            
21        7.8391              10.4865             147.0995            
22        14.8848             8.5161              138.0696            
23        7.2724              7.8377              117.3089            
24        6.6056              7.7231              116.1862            
25        15.9949             7.3231              113.6464            
26        7.0300              7.0190              98.6429             
27        8.9497              7.3830              87.1078             
28        7.6605              7.1968              82.5809             
29        7.3571              6.9781              64.8582             
30        7.2337              13.3722             20.6410             
31        7.7313              8.6819              29.1608             
32        8.4649              8.8711              37.8596             
33        9.3513              7.3444              44.9987             
34        6.8638              17.4313             24.3299             
35        7.8989              12.6954             34.4444             
36        7.4637              9.9159              44.1665             
37        5.7345              7.6470              51.6731             
38        6.8971              7.6774              59.1727             
39        7.4269              7.4684              60.5153             
40        6.6783              14.0134             20.7216             
41        9.7537              13.2025             31.0747             
42        8.6851              7.6212              38.5244             
43        8.1428              7.4468              45.7753             
44        6.3403              12.6508             19.0162             
45        7.3642              13.7387             32.1862             
46        8.0974              13.7328             45.4459             
47        7.0973              13.2074             58.4108             
48        7.7466              10.2355             68.4764             
49        8.7583              7.8196              76.1245             
50        6.8301              7.2808              83.2237             
51        9.1253              7.3988              73.9767             
52        8.0583              7.6391              64.1751             
53        6.4621              13.9175             20.4095             
54        6.7060              12.5960             30.9974             
55        7.6479              8.4363              39.2605             
56        7.2069              7.7074              46.7726             
57        7.1224              7.1796              53.5098             
58        6.6255              12.1071             18.7632             
59        6.9307              14.1285             30.3348             
60        7.4682              7.3328              37.4938             
61        12.3706             8.7094              45.7296             
62        7.0499              14.5369             21.6165             
63        6.8804              7.2345              28.6736             
64        7.8096              7.0374              35.5176             
65        6.9944              12.0210             19.0467             
66        7.0279              15.0999             31.5895             
67        7.8348              12.0068             43.3847             
68        7.8850              7.5691              50.7495             
69        7.6969              7.4598              57.9976             
70        6.7496              7.5845              65.3576             
71        6.6265              14.2332             20.8881             
72        7.0675              10.2709             28.2768             
73        7.5198              7.8772              36.0138             
74        6.9900              7.5796              43.3440             
75        6.3320              12.6874             19.0556             
76        6.8846              15.1054             31.4972             
77        9.3976              8.5060              39.7603             
78        6.9427              7.4999              47.1100             
79        7.8754              7.2926              54.2575             
80        6.8582              13.6620             20.5472             
81        7.7095              16.0634             33.9209             
82        8.3194              11.0773             44.7608             
83        6.2702              8.1331              52.7801             
84        8.8702              7.5995              60.2326             
85        8.0217              8.0280              68.0500             
86        3.0489              14.4496             17.5327             
90        8.6279              13.2274             30.7082             
91        7.0319              14.0160             44.6640             
92        7.5261              14.0483             58.6716             
93        7.5184              9.5482              68.1860             
94        6.5495              9.9811              78.1363             
95        7.1052              13.7036             91.8020             
96        6.4241              14.8093             106.5706            
97        8.8715              10.4932             116.0389            
98        9.5992              15.4971             131.1547            
99        8.1937              13.0900             144.0936            
100       6.7857              14.2849             158.2587            
101       8.0215              12.5766             175.6334            
102       9.1592              10.3417             185.7845            
103       6.4285              11.7410             198.6595            
104       8.5403              10.7599             209.2935            
105       7.1251              7.8613              147.9483            
106       7.5194              14.5117             162.2926            
107       6.5372              11.6175             173.7342            
108       7.6040              10.3622             189.5840            
109       9.6973              8.4966              197.6460            
110       13.3729             7.1638              189.8601            
111       7.8040              7.3113              126.3988            
112       5.7887              9.4098              135.6461            
113       14.0241             10.3692             145.8269            
114       7.6162              15.2994             160.9756            
115       6.4915              13.7305             174.5660            
116       6.7235              12.8093             125.3802            
117       7.8069              13.0650             138.1823            
118       7.7125              11.4883             149.4997            
119       14.4440             12.6985             162.0216            
120       7.6985              7.9009              101.5061            
121       8.9527              11.8089             113.0044            
122       6.5481              7.7369              120.5656            
123       8.0557              7.2796              127.6747            
124       7.1084              10.3826             137.8549            
125       7.0304              8.4146              139.6006            
126       6.5935              9.1613              130.5305            
127       7.4535              11.3370             126.8328            
128       8.8246              12.7494             121.3540            
129       7.8811              7.8935              117.9061            
130       7.1356              11.4739             114.4515            
131       7.0612              12.0859             109.0724            
132       8.1384              7.4416              86.5713             
133       9.4762              11.7210             80.7289             
134       9.6374              11.5693             84.8728             
135       7.6929              7.4792              79.7705             
136       9.0075              8.1266              68.0684             
137       8.4848              7.0438              62.6515             
138       8.5507              7.4218              50.1053             
139       7.6667              7.4859              45.1464             
