Frame     E2E latency(ms)     
1         608 ms              
2         709 ms              
3         686 ms              
4         671 ms              
5         654 ms              
6         673 ms              
7         692 ms              
8         707 ms              
9         849 ms              
10        838 ms              
11        823 ms              
12        800 ms              
13        796 ms              
14        787 ms              
15        920 ms              
16        914 ms              
17        890 ms              
18        969 ms              
19        956 ms              
20        960 ms              
21        1045 ms             
22        1037 ms             
23        1012 ms             
24        1087 ms             
25        1079 ms             
26        1061 ms             
27        1039 ms             
28        1145 ms             
29        1154 ms             
30        1140 ms             
31        1124 ms             
32        1093 ms             
33        1188 ms             
34        1168 ms             
35        1155 ms             
36        1148 ms             
37        1123 ms             
38        1143 ms             
39        1311 ms             
40        1276 ms             
41        1252 ms             
42        1229 ms             
43        1263 ms             
44        1264 ms             
45        1248 ms             
46        1223 ms             
47        1305 ms             
48        1287 ms             
49        1489 ms             
50        1486 ms             
51        1484 ms             
52        1455 ms             
53        1441 ms             
54        1416 ms             
55        1881 ms             
56        1846 ms             
57        1814 ms             
58        1803 ms             
59        1807 ms             
61        1758 ms             
62        1763 ms             
63        1734 ms             
64        1708 ms             
65        1692 ms             
66        1668 ms             
67        1650 ms             
68        1638 ms             
69        1617 ms             
70        1600 ms             
71        1587 ms             
72        1560 ms             
73        1542 ms             
74        1516 ms             
75        1489 ms             
76        1438 ms             
77        1445 ms             
78        1477 ms             
79        1451 ms             
80        1439 ms             
81        1418 ms             
82        1459 ms             
83        1495 ms             
84        1523 ms             
85        1560 ms             
86        1554 ms             
87        1582 ms             
88        1632 ms             
89        1652 ms             
90        1686 ms             
91        1740 ms             
92        1791 ms             
93        1797 ms             
94        1793 ms             
95        1857 ms             
96        1878 ms             
97        1865 ms             
98        1888 ms             
99        1930 ms             
100       1955 ms             
101       2012 ms             
102       2028 ms             
103       2050 ms             
104       2107 ms             
105       2126 ms             
106       2167 ms             
107       2219 ms             
108       2226 ms             
109       2225 ms             
110       2228 ms             
111       2229 ms             
112       2231 ms             
113       2283 ms             
114       2311 ms             
115       2356 ms             
116       2382 ms             
117       2406 ms             
118       2410 ms             
119       2440 ms             
120       2471 ms             
121       2459 ms             
122       2498 ms             
123       2533 ms             
124       2565 ms             
125       2579 ms             
126       2604 ms             
127       2654 ms             
128       2699 ms             
129       2706 ms             
130       2890 ms             
131       2868 ms             
132       3013 ms             
133       2996 ms             
134       3247 ms             
136       3181 ms             
137       3150 ms             
139       3144 ms             
140       3184 ms             
142       3169 ms             
143       3187 ms             
145       3135 ms             
146       3322 ms             
148       3276 ms             
149       3316 ms             
151       3275 ms             
152       3285 ms             
153       3318 ms             
155       3301 ms             
157       3273 ms             
158       3309 ms             
160       3283 ms             
161       3286 ms             
162       3274 ms             
163       3249 ms             
164       3312 ms             
165       3382 ms             
167       3333 ms             
168       3325 ms             
169       3377 ms             
170       3359 ms             
171       3370 ms             
172       3374 ms             
173       3356 ms             
174       3373 ms             
175       3389 ms             
177       3338 ms             
178       3344 ms             
179       3342 ms             
180       3371 ms             
182       3357 ms             
184       3314 ms             
185       3341 ms             
187       3293 ms             
188       3311 ms             
189       3317 ms             
190       3329 ms             
191       3311 ms             
193       3319 ms             
194       3320 ms             
196       3262 ms             
197       3243 ms             
198       3262 ms             
199       3242 ms             
200       3257 ms             
202       3223 ms             
203       3266 ms             
205       3221 ms             
206       3223 ms             
208       3196 ms             
209       3183 ms             
210       3174 ms             
211       3167 ms             
212       3187 ms             
225       2784 ms             
226       2764 ms             
227       2757 ms             
228       2733 ms             
229       2954 ms             
231       2886 ms             
241       2556 ms             
242       2680 ms             
243       2643 ms             
244       2613 ms             
245       2668 ms             
246       2657 ms             
247       2693 ms             
249       2648 ms             
250       2712 ms             
251       2708 ms             
252       2733 ms             
253       2715 ms             
255       2687 ms             
257       2623 ms             
258       2677 ms             
260       2647 ms             
261       2695 ms             
263       2648 ms             
264       2624 ms             
265       2685 ms             
267       2628 ms             
268       2693 ms             
269       2709 ms             
270       2749 ms             
272       2707 ms             
273       2684 ms             
274       2672 ms             
275       2860 ms             
276       2823 ms             
277       2793 ms             
279       2820 ms             
281       2850 ms             
282       2826 ms             
299       2910 ms             
300       3159 ms             
301       3125 ms             
303       3062 ms             
304       3029 ms             
305       2996 ms             
306       2964 ms             
307       2958 ms             
308       2943 ms             
309       2966 ms             
311       2971 ms             
312       2982 ms             
313       2983 ms             
315       3007 ms             
317       2959 ms             
318       2938 ms             
319       2909 ms             
320       3118 ms             
321       3086 ms             
323       3044 ms             
324       3071 ms             
325       3063 ms             
327       3075 ms             
329       3020 ms             
330       3075 ms             
347       3368 ms             
348       3475 ms             
351       3387 ms             
352       3388 ms             
353       3462 ms             
354       3451 ms             
356       3402 ms             
357       3442 ms             
359       3409 ms             
360       3455 ms             
362       3445 ms             
394       3344 ms             
395       3331 ms             
396       3399 ms             
397       3459 ms             
398       3497 ms             
399       3515 ms             
400       3575 ms             
401       3609 ms             
402       3673 ms             
403       3760 ms             
404       4162 ms             
406       4096 ms             
407       4063 ms             
408       4029 ms             
409       4033 ms             
410       4091 ms             
442       4022 ms             
458       3758 ms             
459       3780 ms             
460       4050 ms             
462       3989 ms             
464       3995 ms             
466       3976 ms             
468       3948 ms             
470       3975 ms             
471       3954 ms             
472       3946 ms             
473       3962 ms             
474       3956 ms             
490       3833 ms             
491       3808 ms             
493       3791 ms             
494       3786 ms             
495       3791 ms             
496       3763 ms             
497       3735 ms             
498       3735 ms             
500       3690 ms             
501       3676 ms             
503       3637 ms             
505       3583 ms             
506       3587 ms             
508       3557 ms             
510       3550 ms             
511       3541 ms             
527       3053 ms             
528       3382 ms             
530       3323 ms             
531       3292 ms             
547       2768 ms             
548       2759 ms             
549       2734 ms             
550       2740 ms             
551       2755 ms             
552       2950 ms             
553       2958 ms             
554       2958 ms             
565       2604 ms             
566       2586 ms             
567       2577 ms             
568       2601 ms             
569       2608 ms             
570       2670 ms             
571       2930 ms             
573       2864 ms             
574       2855 ms             
576       2795 ms             
577       2815 ms             
578       3003 ms             
580       2950 ms             
581       2969 ms             
593       2588 ms             
594       2575 ms             
595       2561 ms             
596       2551 ms             
597       2522 ms             
598       2532 ms             
599       2517 ms             
600       2546 ms             
601       2525 ms             
602       2584 ms             
603       2582 ms             
604       2581 ms             
605       2580 ms             
606       2604 ms             
607       2688 ms             
608       2797 ms             
609       2810 ms             
610       2816 ms             
611       2852 ms             
612       2889 ms             
613       2890 ms             
614       2894 ms             
615       2904 ms             
616       2921 ms             
617       3145 ms             
618       3114 ms             
619       3095 ms             
620       3118 ms             
621       3127 ms             
622       3133 ms             
624       3080 ms             
625       3055 ms             
626       3108 ms             
627       3108 ms             
629       3052 ms             
630       3060 ms             
631       3040 ms             
632       3048 ms             
634       3033 ms             
636       2982 ms             
637       2956 ms             
638       2967 ms             
639       3029 ms             
640       3042 ms             
643       2947 ms             
645       2889 ms             
646       2906 ms             
648       2945 ms             
649       2932 ms             
651       2880 ms             
652       2857 ms             
653       2936 ms             
655       2893 ms             
656       2891 ms             
657       2876 ms             
658       2917 ms             
660       2878 ms             
661       2859 ms             
662       2859 ms             
663       2853 ms             
665       2801 ms             
666       2785 ms             
667       2791 ms             
669       2815 ms             
670       2799 ms             
672       2784 ms             
673       2763 ms             
675       2707 ms             
677       2669 ms             
679       2641 ms             
681       2603 ms             
682       2595 ms             
684       2546 ms             
686       2501 ms             
687       2522 ms             
703       2046 ms             
704       2071 ms             
705       2072 ms             
706       2063 ms             
707       2070 ms             
708       2059 ms             
709       2058 ms             
710       2098 ms             
711       2081 ms             
712       2373 ms             
713       2344 ms             
714       2320 ms             
715       2297 ms             
716       2279 ms             
717       2255 ms             
718       2487 ms             
719       2461 ms             
720       2435 ms             
722       2383 ms             
723       2496 ms             
726       2418 ms             
727       2406 ms             
728       2385 ms             
729       2377 ms             
731       2326 ms             
732       2353 ms             
734       2331 ms             
737       2267 ms             
738       2261 ms             
740       2216 ms             
741       2227 ms             
742       2246 ms             
743       2240 ms             
745       2192 ms             
746       2245 ms             
747       2250 ms             
749       2198 ms             
750       2180 ms             
751       2226 ms             
752       2206 ms             
753       2237 ms             
754       2222 ms             
755       2288 ms             
757       2243 ms             
758       2220 ms             
759       2200 ms             
760       2200 ms             
761       2190 ms             
762       2173 ms             
763       2172 ms             
764       2168 ms             
765       2181 ms             
767       2143 ms             
768       2152 ms             
769       2141 ms             
770       2118 ms             
771       2106 ms             
772       2142 ms             
773       2139 ms             
774       2112 ms             
775       2146 ms             
776       2158 ms             
777       2164 ms             
778       2151 ms             
779       2127 ms             
780       2139 ms             
781       2161 ms             
782       2207 ms             
783       2179 ms             
785       2126 ms             
786       2117 ms             
787       2096 ms             
788       2077 ms             
789       2065 ms             
790       2110 ms             
791       2139 ms             
792       2424 ms             
793       2491 ms             
794       2461 ms             
795       2530 ms             
797       2552 ms             
798       2537 ms             
799       2583 ms             
800       2561 ms             
801       2541 ms             
802       2560 ms             
803       2600 ms             
805       2553 ms             
806       2530 ms             
807       2509 ms             
808       2571 ms             
809       2561 ms             
810       2534 ms             
811       2549 ms             
812       2567 ms             
814       2574 ms             
815       2549 ms             
816       2562 ms             
817       2546 ms             
818       2521 ms             
819       2499 ms             
820       2586 ms             
821       2568 ms             
822       2614 ms             
823       2613 ms             
824       2590 ms             
825       2578 ms             
826       2551 ms             
827       2543 ms             
828       2824 ms             
829       2798 ms             
830       2767 ms             
831       2734 ms             
832       2735 ms             
833       2718 ms             
834       2700 ms             
835       2710 ms             
836       2688 ms             
837       2694 ms             
838       2703 ms             
839       2680 ms             
840       2675 ms             
841       2681 ms             
842       2658 ms             
843       2713 ms             
845       2679 ms             
846       2660 ms             
847       2661 ms             
849       2613 ms             
850       2594 ms             
851       2559 ms             
852       2545 ms             
853       2647 ms             
855       2595 ms             
856       2590 ms             
857       2569 ms             
859       2519 ms             
860       2510 ms             
861       2483 ms             
862       2466 ms             
863       2456 ms             
864       2442 ms             
866       2392 ms             
867       2379 ms             
868       2380 ms             
869       2413 ms             
870       2404 ms             
871       2382 ms             
872       2385 ms             
873       2444 ms             
874       2438 ms             
875       2410 ms             
876       2408 ms             
877       2397 ms             
878       2409 ms             
879       2439 ms             
880       2434 ms             
881       2451 ms             
882       2436 ms             
883       2422 ms             
884       2387 ms             
885       2367 ms             
886       2443 ms             
887       2481 ms             
888       2451 ms             
889       2470 ms             
890       2482 ms             
892       2443 ms             
893       2460 ms             
895       2432 ms             
897       2380 ms             
898       2367 ms             
899       2390 ms             
901       2350 ms             
902       2323 ms             
903       2562 ms             
904       2543 ms             
905       2512 ms             
906       2477 ms             
907       2447 ms             
908       2433 ms             
909       2471 ms             
910       2452 ms             
911       2427 ms             
912       2585 ms             
913       2552 ms             
914       2520 ms             
915       2492 ms             
916       2456 ms             
917       2435 ms             
918       2536 ms             
919       2527 ms             
920       2507 ms             
921       2495 ms             
922       2481 ms             
923       2454 ms             
925       2407 ms             
926       2417 ms             
927       2390 ms             
928       2378 ms             
929       2353 ms             
930       2359 ms             
931       2323 ms             
932       2330 ms             
933       2313 ms             
934       2300 ms             
936       2256 ms             
937       2236 ms             
938       2253 ms             
940       2221 ms             
941       2186 ms             
942       2263 ms             
943       2243 ms             
944       2250 ms             
946       2197 ms             
947       2211 ms             
949       2162 ms             
950       2156 ms             
951       2247 ms             
954       2163 ms             
955       2187 ms             
956       2202 ms             
958       2150 ms             
959       2122 ms             
960       2153 ms             
961       2178 ms             
962       2161 ms             
963       2215 ms             
964       2200 ms             
965       2174 ms             
966       2179 ms             
967       2161 ms             
968       2159 ms             
970       2106 ms             
971       2091 ms             
972       2117 ms             
973       2092 ms             
974       2081 ms             
975       2104 ms             
976       2084 ms             
977       2070 ms             
978       2068 ms             
979       2054 ms             
980       2134 ms             
982       2076 ms             
983       2060 ms             
984       2070 ms             
985       2085 ms             
986       2051 ms             
987       2039 ms             
988       2023 ms             
989       2012 ms             
990       2002 ms             
991       1983 ms             
992       1975 ms             
993       1938 ms             
994       2101 ms             
995       2073 ms             
996       2126 ms             
997       2102 ms             
998       2087 ms             
999       2254 ms             
1000      2219 ms             
1001      2262 ms             
1003      2200 ms             
1004      2175 ms             
1005      2173 ms             
1006      2177 ms             
1007      2165 ms             
1008      2145 ms             
1009      2124 ms             
1010      2110 ms             
1011      2103 ms             
1012      2294 ms             
1013      2257 ms             
1015      2207 ms             
1016      2174 ms             
1017      2236 ms             
1018      2225 ms             
1019      2212 ms             
1020      2202 ms             
1021      2174 ms             
1022      2161 ms             
1023      2245 ms             
