Frame     E2E latency(ms)     
26        69.864000 ms
27        70.444000 ms
28        67.262000 ms
29        66.496000 ms
30        65.351000 ms
31        72.250000 ms
32        67.930000 ms
33        69.576000 ms
34        68.196000 ms
35        79.177000 ms
36        67.320000 ms
37        76.848000 ms
38        66.637000 ms
39        92.549000 ms
40        82.959000 ms
41        74.637000 ms
42        64.406000 ms
43        71.326000 ms
44        58.303000 ms
45        71.519000 ms
46        72.147000 ms
47        71.409000 ms
48        76.362000 ms
49        70.209000 ms
50        73.609000 ms
51        62.036000 ms
52        76.136000 ms
53        66.028000 ms
54        71.919000 ms
55        67.482000 ms
56        59.780000 ms
57        77.088000 ms
58        87.913000 ms
59        79.270000 ms
60        63.943000 ms
61        71.659000 ms
62        86.527000 ms
63        73.768000 ms
64        63.445000 ms
65        70.903000 ms
66        52.782000 ms
67        68.524000 ms
68        75.816000 ms
69        63.407000 ms
70        51.487000 ms
71        74.608000 ms
72        61.388000 ms
73        84.349000 ms
74        88.328000 ms
75        65.569000 ms
76        52.649000 ms
77        53.989000 ms
78        86.030000 ms
79        60.342000 ms
80        79.926000 ms
81        64.075000 ms
82        73.102000 ms
83        63.626000 ms
84        66.437000 ms
85        70.992000 ms
86        81.373000 ms
87        66.957000 ms
88        73.474000 ms
89        57.784000 ms
90        68.592000 ms
91        79.823000 ms
92        64.029000 ms
93        79.016000 ms
94        61.512000 ms
95        82.299000 ms
96        67.514000 ms
97        89.639000 ms
98        78.336000 ms
99        79.879000 ms
100       74.753000 ms
101       81.032000 ms
102       66.369000 ms
103       76.294000 ms
104       61.025000 ms
105       69.905000 ms
106       65.612000 ms
107       66.790000 ms
108       74.006000 ms
109       59.950000 ms
110       67.507000 ms
111       76.495000 ms
112       58.887000 ms
113       67.970000 ms
114       61.368000 ms
115       70.774000 ms
116       77.799000 ms
117       60.479000 ms
118       89.669000 ms
119       71.106000 ms
120       82.449000 ms
121       61.789000 ms
122       83.243000 ms
123       72.446000 ms
124       76.285000 ms
125       60.441000 ms
126       76.141000 ms
127       67.311000 ms
128       72.512000 ms
129       61.725000 ms
130       68.528000 ms
131       71.566000 ms
132       70.284000 ms
133       61.197000 ms
134       66.959000 ms
135       79.889000 ms
136       73.953000 ms
137       71.567000 ms
138       82.816000 ms
139       69.447000 ms
140       84.937000 ms
141       71.118000 ms
142       74.278000 ms
143       64.940000 ms
144       70.018000 ms
145       58.664000 ms
146       69.537000 ms
147       75.040000 ms
148       74.783000 ms
149       81.709000 ms
150       88.325000 ms
151       68.610000 ms
152       68.243000 ms
153       164.247000 ms
154       145.835000 ms
155       127.945000 ms
156       108.270000 ms
157       86.846000 ms
158       74.241000 ms
159       73.579000 ms
160       61.662000 ms
161       69.089000 ms
162       88.399000 ms
163       71.038000 ms
164       69.008000 ms
165       77.741000 ms
166       65.493000 ms
167       57.882000 ms
168       74.855000 ms
169       61.581000 ms
170       67.135000 ms
171       68.956000 ms
172       69.879000 ms
173       64.093000 ms
174       50.642000 ms
175       77.418000 ms
176       77.324000 ms
177       58.557000 ms
178       82.604000 ms
179       63.565000 ms
180       81.087000 ms
181       65.706000 ms
182       68.444000 ms
183       66.186000 ms
184       70.012000 ms
185       70.119000 ms
186       70.388000 ms
187       52.251000 ms
188       71.437000 ms
189       59.077000 ms
190       74.291000 ms
191       64.997000 ms
192       67.013000 ms
193       67.619000 ms
194       64.958000 ms
195       79.786000 ms
196       71.890000 ms
197       53.405000 ms
198       74.392000 ms
199       61.085000 ms
200       66.967000 ms
201       71.493000 ms
202       74.849000 ms
203       73.708000 ms
204       57.476000 ms
205       70.732000 ms
206       64.260000 ms
207       77.606000 ms
208       62.284000 ms
209       76.953000 ms
210       86.946000 ms
211       62.864000 ms
212       64.584000 ms
213       70.557000 ms
214       57.582000 ms
215       69.513000 ms
216       80.812000 ms
217       70.432000 ms
218       64.495000 ms
219       77.190000 ms
220       63.498000 ms
221       71.953000 ms
222       62.029000 ms
223       69.995000 ms
224       74.639000 ms
225       69.866000 ms
226       76.910000 ms
227       106.652000 ms
228       91.166000 ms
229       70.857000 ms
230       66.970000 ms
231       77.570000 ms
232       63.485000 ms
233       72.925000 ms
234       69.326000 ms
235       100.248000 ms
236       75.802000 ms
237       75.856000 ms
238       61.533000 ms
239       54.298000 ms
240       64.373000 ms
241       78.667000 ms
242       70.779000 ms
243       69.690000 ms
244       76.843000 ms
245       68.005000 ms
246       75.171000 ms
247       62.753000 ms
248       69.255000 ms
249       55.055000 ms
250       69.116000 ms
251       92.565000 ms
252       73.488000 ms
253       57.056000 ms
254       55.724000 ms
255       80.674000 ms
256       68.022000 ms
257       69.875000 ms
258       76.200000 ms
259       65.713000 ms
260       94.330000 ms
261       76.321000 ms
262       73.280000 ms
263       64.912000 ms
264       71.624000 ms
265       67.436000 ms
266       65.524000 ms
267       72.253000 ms
268       77.178000 ms
269       66.175000 ms
270       76.290000 ms
271       68.363000 ms
272       72.942000 ms
273       59.576000 ms
274       56.189000 ms
275       68.339000 ms
276       72.298000 ms
277       56.818000 ms
278       59.754000 ms
279       71.701000 ms
280       128.465000 ms
281       105.204000 ms
282       91.644000 ms
283       75.998000 ms
284       67.326000 ms
285       96.295000 ms
286       83.223000 ms
287       73.188000 ms
288       74.721000 ms
289       61.595000 ms
290       90.548000 ms
291       63.370000 ms
292       78.710000 ms
293       63.836000 ms
294       69.028000 ms
295       71.284000 ms
296       75.107000 ms
297       80.980000 ms
298       83.171000 ms
299       81.282000 ms
300       84.659000 ms
301       77.098000 ms
302       72.414000 ms
