Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
1         10.1101             4.4058              11.2334             25.9314             
2         4.4081              6.2626              8.7481              19.5358             
3         5.2526              11.1504             11.2802             33.0458             
4         6.2286              6.8841              13.0097             46.1709             
5         12.0192             5.5802              14.5970             52.0608             
6         4.7333              2.8152              5.9684              13.5909             
7         2.7701              2.8086              6.9317              12.5979             
8         2.1769              2.8074              7.2654              12.3532             
9         2.4534              4.8828              25.1886             32.6232             
10        2.6233              3.4316              13.1794             45.7163             
11        2.4790              5.0483              10.8400             56.4220             
12        12.2902             7.0430              16.1879             59.9339             
13        3.9983              5.0486              6.0556              15.1873             
14        1.7271              5.0482              7.6622              14.5161             
15        1.9914              5.0383              7.6217              14.7377             
16        3.1114              5.6196              17.9015             30.7062             
17        6.8047              7.1867              7.3014              37.7034             
18        2.1827              5.0552              11.2301             18.5668             
19        3.7299              5.0226              12.2512             30.6791             
20        2.2717              2.8209              6.2610              11.4795             
21        1.9688              5.0483              9.6216              17.8231             
22        3.4806              5.0156              12.0680             29.6098             
23        3.0490              4.9979              8.7051              38.1202             
24        1.9301              5.0483              21.6098             29.4945             
25        3.4229              5.0336              10.6652             40.0001             
26        2.8505              5.0533              13.0148             52.8462             
27        3.6284              13.4604             11.1758             53.1919             
28        2.3312              4.9850              12.1776             19.5841             
29        2.4633              11.7110             23.9655             43.4582             
30        2.6942              9.3071              13.6519             56.9425             
31        4.4849              6.9610              15.3399             72.0183             
32        6.8158              4.9446              5.2190              66.2445             
33        2.1801              4.9006              10.5293             17.7054             
34        2.9972              4.9570              17.3525             34.8912             
35        3.2558              6.4603              15.5952             50.2840             
36        3.9137              3.6613              14.4416             64.5008             
37        5.1049              4.7414              12.7916             25.6924             
38        2.0727              2.8175              10.3041             15.3042             
39        2.4306              4.4813              26.7530             34.6119             
40        3.2529              5.7925              13.9215             48.2205             
41        2.5853              16.0457             6.5184              54.5996             
42        10.1923             6.8037              12.9807             56.7043             
43        2.4667              2.8023              7.0231              12.3877             
44        2.0654              3.9273              7.7968              13.8743             
45        3.1903              4.8686              11.5845             25.3336             
46        4.6698              8.0116              16.1432             31.5493             
47        2.1838              4.0709              13.2331             19.5828             
48        3.3425              3.6568              11.4721             30.8384             
49        2.3927              4.8669              15.3812             23.0206             
50        2.8592              4.5626              17.0346             39.6858             
51        2.7586              9.1661              19.9617             59.4828             
52        3.9176              10.3460             9.2793              68.5587             
53        10.9869             5.1058              17.3990             85.7136             
54        13.5562             4.5208              13.5566             90.3941             
55        1.9545              4.6410              7.0354              13.8275             
56        2.4690              8.7077              21.7980             39.3255             
57        2.7632              6.6639              29.2833             68.5907             
58        6.8080              17.7550             13.9137             81.6438             
59        8.1093              11.1281             32.3234             113.9215            
60        10.7361             5.1943              13.2622             127.1567            
61        6.4448              8.6500              15.3441             142.4221            
62        7.3544              6.8822              5.1608              147.4501            
63        8.0825              6.6166              4.8092              152.1398            
64        10.0762             14.5849             10.5696             162.6854            
65        7.9005              6.4926              16.6560             179.2965            
66        5.0502              4.9954              18.1757             193.3074            
67        9.6187              5.0258              6.4907              158.8941            
68        7.8030              5.7104              14.4000             119.4517            
69        8.6852              5.7100              15.2917             105.3139            
70        3.7558              5.5293              7.0247              98.8196             
71        6.8281              6.7148              13.9800             91.5878             
72        9.3402              11.2352             10.1828             81.7810             
73        6.1771              6.5674              6.8134              55.9882             
74        5.0780              10.1629             7.5423              35.7257             
