Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
1         10.1101             8.3185              25.2349             43.8401             
2         4.4081              6.9872              20.8551             32.3644             
3         5.2526              19.0845             26.0277             58.2919             
4         6.2286              8.4945              12.7456             70.9392             
5         12.0192             7.2391              12.6980             74.9552             
6         4.7333              4.6781              14.6460             24.1495             
7         2.7701              4.6490              17.7894             25.2832             
8         2.1769              4.2942              15.7854             22.3315             
9         2.4534              6.1022              24.4964             33.1382             
10        2.6233              8.8495              20.6913             53.7458             
11        2.4790              12.5452             18.8369             72.4466             
12        12.2902             8.4582              16.7769             76.5410             
13        3.9983              4.2352              19.3889             27.7085             
14        1.7271              4.2337              13.4857             19.5140             
15        1.9914              7.9920              23.0231             33.0823             
16        3.1114              12.1359             22.8598             54.0055             
17        6.8047              11.4606             14.6732             68.3574             
18        2.1827              5.1276              20.8581             28.2639             
19        3.7299              5.8170              10.9873             39.1036             
20        2.2717              4.2941              14.4944             21.1561             
21        1.9688              6.8393              26.5125             35.3965             
22        3.4806              7.7771              18.6076             53.7250             
23        3.0490              8.5587              13.9632             67.4681             
24        1.9301              6.5520              21.8454             30.4041             
25        3.4229              8.3801              23.3243             53.5496             
26        2.8505              14.1365             15.7394             69.1177             
27        3.6284              7.8533              14.9156             73.1975             
28        2.3312              6.4931              24.0815             32.9939             
29        2.4633              13.6666             22.3004             55.1953             
30        2.6942              11.8700             17.2229             72.2470             
31        4.4849              7.2596              17.1097             89.0976             
32        6.8158              10.1291             9.8809              87.9888             
33        2.1801              7.4601              22.6205             32.3594             
34        2.9972              7.1509              24.1553             56.3390             
35        3.2558              7.1857              17.5439             73.6787             
36        3.9137              7.5174              12.9368             86.3884             
37        5.1049              8.8343              12.4751             47.2764             
38        2.0727              4.6241              17.9296             24.7007             
39        2.4306              6.4720              20.4293             29.8212             
40        3.2529              8.8452              22.7700             52.3157             
41        2.5853              10.6773             17.6203             69.7772             
42        10.1923             8.2049              13.6867             72.5868             
43        2.4667              4.4715              16.3521             23.3814             
44        2.0654              5.8174              16.4364             25.8166             
45        3.1903              15.3746             17.3779             43.0516             
46        4.6698              6.9981              17.9845             51.0772             
47        2.1838              7.1620              15.6786             25.1069             
48        3.3425              6.4173              16.6661             41.5403             
49        2.3927              7.3243              30.0091             39.8083             
50        2.8592              10.8347             24.9052             64.3248             
51        2.7586              9.1204              19.3672             83.5319             
52        3.9176              7.6643              13.9406             97.2853             
53        10.9869             7.7142              17.0027             114.0408            
54        13.5562             7.6209              16.0788             121.2368            
55        1.9545              7.4301              27.3823             41.2464             
56        2.4690              7.8492              41.4982             82.7293             
57        2.7632              15.7775             26.0124             108.7334            
58        6.8080              7.8523              33.0102             140.8766            
59        8.1093              15.8415             32.8224             173.6625            
60        10.7361             10.8660             28.5507             202.1836            
63        8.0825              13.6029             25.0582             226.8037            
64        10.0762             7.5562              10.6614             237.4431            
65        7.9005              7.4533              13.9206             251.3165            
66        5.0502              9.0478              15.1436             262.2925            
67        9.6187              9.4479              23.8550             245.2083            
68        7.8030              15.0192             14.5757             205.9591            
69        8.6852              7.6547              17.5421             194.0702            
70        3.7558              7.2410              11.8437             192.3953            
71        6.8281              7.6644              13.3304             184.5273            
72        9.3402              8.2837              13.7835             178.3235            
73        6.1771              10.1929             12.8893             158.6151            
74        5.0780              13.2656             18.4751             149.2930            
75        2.6585              11.3451             15.9126             132.2214            
76        3.1935              11.6315             15.7765             121.9595            
77        5.4537              7.7503              8.2350              122.3507            
78        3.4283              4.2977              28.5181             36.3231             
79        4.5690              5.2025              9.6480              19.9654             
80        1.9176              4.3107              20.9329             27.2279             
81        3.0503              7.5463              9.7524              26.0890             
82        2.9138              4.3147              18.2332             25.5317             
83        2.4467              4.5912              16.1638             23.2751             
84        2.2418              4.6298              14.4950             21.4346             
85        2.5157              4.2976              16.0870             22.9848             
86        1.9338              4.3380              18.8927             25.2364             
87        2.0749              4.8310              17.1040             24.0903             
88        2.2353              4.6596              16.2019             23.1823             
89        1.9212              5.6085              14.5442             22.1455             
90        1.6349              4.6538              15.7488             22.1173             
91        2.4435              4.5360              18.9939             26.0644             
92        2.4507              5.4238              21.2917             29.4076             
93        1.8791              4.4949              16.7631             23.2063             
94        1.5597              4.4082              9.1526              15.1890             
95        2.5466              4.9953              14.8345             22.4490             
96        2.0244              5.5170              12.9192             21.4180             
97        1.4624              4.6923              14.3514             20.5732             
98        1.7575              4.6728              15.8218             22.3259             
99        2.1477              4.4854              15.3634             22.1003             
100       2.4480              5.1257              17.0022             24.6469             
101       2.4064              4.5076              17.0429             24.0387             
102       1.8535              5.0776              12.6267             19.6408             
103       2.2504              4.4724              15.1455             21.9418             
104       2.5660              4.4524              17.0976             24.1917             
105       2.4571              4.5049              15.5036             22.5378             
106       1.8900              4.6116              17.0836             23.6528             
107       2.4892              4.6655              18.1239             25.3775             
108       1.7599              4.4405              17.4506             23.7169             
109       1.5357              4.6927              15.9081             22.2417             
110       1.8834              4.3562              17.2457             23.5534             
111       1.9329              4.7024              14.5468             21.2546             
112       1.6781              5.0605              13.1994             20.0168             
113       1.7987              5.3972              14.7979             22.0644             
114       2.4811              4.5132              14.8087             21.8746             
115       2.6380              4.6177              17.4836             24.8196             
116       1.9365              4.7978              14.4222             22.7759             
117       1.6850              4.6804              13.7191             21.9028             
118       1.7769              4.4958              14.2149             20.5567             
119       1.9029              4.5180              17.3452             23.8384             
120       1.7249              4.5245              15.9731             22.2919             
121       1.4664              5.5383              15.0293             23.4683             
122       1.8485              4.4358              13.3061             19.6870             
123       2.2777              5.4350              17.0758             24.8665             
124       2.0194              5.3941              12.9526             20.4443             
125       2.3032              4.7134              16.6310             23.7170             
126       2.3923              4.7473              16.0302             24.9306             
127       2.1575              4.3754              18.3346             24.9608             
128       1.9405              4.3383              14.3015             20.6567             
129       1.6415              4.5735              16.1070             22.3887             
130       0.7846              5.6511              21.9631             28.4701             
131       3.0965              11.4781             13.5255             41.9546             
132       1.4068              5.9908              21.2802             28.7686             
133       3.0728              8.6039              15.6319             44.3698             
134       2.0421              5.7832              20.5434             28.4651             
136       3.5809              6.1480              16.7718             45.2202             
137       1.3279              5.4656              18.4924             26.9367             
139       1.8239              5.1630              17.2373             24.2947             
140       2.1080              4.2473              18.1430             24.5789             
142       1.2107              4.2146              20.1568             25.6500             
143       1.2112              5.5193              23.3377             30.1364             
145       3.0975              7.2118              12.1988             42.3035             
146       1.5700              4.2331              20.1717             26.0593             
148       2.1999              4.4145              14.5914             21.2774             
149       1.9898              4.4168              23.7825             30.2637             
151       1.6334              4.5815              18.8166             25.1050             
152       1.8827              4.5328              17.7974             26.5583             
153       1.9281              4.2531              20.0710             26.3170             
155       1.9480              4.6178              17.9796             27.1175             
157       1.9953              4.4905              19.9620             26.5215             
158       1.9431              4.2766              21.8892             28.1777             
160       1.4202              5.1296              24.9174             31.5325             
161       2.5121              7.4647              23.1386             54.6534             
162       3.7396              9.6689              23.2453             41.3156             
163       5.7774              7.0725              9.1451              50.3882             
164       1.2479              4.6356              16.4750             22.4349             
165       1.6637              5.4816              19.6738             26.8848             
167       2.1416              7.8926              17.3085             44.2212             
168       1.1612              5.2530              22.4498             28.9317             
169       1.9056              5.5224              18.4303             25.9790             
170       3.0619              4.9203              15.2946             41.2376             
171       1.2993              4.3893              19.0002             24.7612             
172       1.2772              5.6599              24.5911             31.5956             
173       3.1089              7.5496              14.1813             45.7352             
174       0.8976              4.6452              18.3472             25.5621             
175       1.1398              5.3873              20.1802             26.7738             
177       2.7416              8.5441              13.7369             40.4889             
178       1.6054              4.3590              20.6601             26.6957             
179       1.2396              4.6992              16.0180             22.0478             
180       1.6633              4.8250              20.2373             26.7940             
182       1.9879              5.3870              18.7375             26.1755             
184       2.1463              6.8360              16.9871             43.1524             
185       1.7353              5.3246              24.3531             31.4893             
187       2.3129              9.9206              13.6340             45.0972             
188       0.7588              8.0296              23.6505             32.5337             
189       2.3367              6.8213              17.3669             26.8393             
190       1.5416              7.6196              26.8739             36.1108             
191       2.8869              6.2791              11.6990             47.7657             
193       2.1447              6.6858              17.7199             26.6263             
194       3.4029              7.9538              29.6912             44.9383             
196       3.6896              16.7537             18.8693             63.7358             
197       2.6605              15.9078             8.5278              72.2417             
198       0.9645              5.9756              24.0461             31.2986             
199       2.4255              7.7496              17.4480             48.7273             
200       1.6358              4.4332              18.2318             24.3792             
202       2.6978              5.0443              23.5715             36.4991             
203       2.2930              4.2410              17.7594             24.3894             
205       2.7805              4.5361              22.7821             30.2091             
206       2.0430              5.2577              17.5919             24.9662             
208       1.0547              5.3684              23.5768             30.1047             
209       2.5522              8.5114              14.8845             44.9434             
210       0.9603              6.7040              20.8149             28.5479             
211       3.1303              7.8728              18.5462             32.1346             
212       2.4487              6.6839              24.2505             33.4813             
225       3.1751              15.8486             33.2286             66.6699             
226       3.8005              9.3503              28.0539             94.6465             
227       7.2361              10.4115             11.8711             106.2709            
228       15.8821             9.3591              13.7650             79.8438             
229       1.5532              4.4625              23.8908             29.9660             
231       2.0898              5.5899              17.1125             24.8595             
241       2.7740              6.7129              17.8004             42.6296             
242       2.5293              7.3700              34.5578             44.5611             
243       2.9517              9.1386              17.0093             61.4897             
244       3.0594              13.1571             9.3301              70.7690             
245       1.8748              4.6076              16.7604             23.3385             
246       2.1090              7.7037              22.1276             32.0156             
247       1.9949              9.9470              22.5227             34.5615             
249       3.0403              7.3659              13.3108             47.8443             
250       2.2257              7.8761              20.9781             31.1669             
251       1.7438              7.7706              22.1606             32.4657             
