Frame        Inference_Time_ms    Objects_Detected
0                       172.38                  14
1                        29.81                  12
2                        28.30                  12
3                        28.19                  13
4                        28.20                  15
5                        28.15                  15
6                        28.13                  11
7                        28.12                  14
8                        28.14                  13
9                        17.47                  14
10                       16.35                  14
11                       16.27                  14
12                       16.71                  15
13                       16.11                  15
14                       16.60                  15
15                       16.66                  14
16                       15.95                  16
17                       15.94                  16
18                       15.68                  17
19                       15.56                  14
20                       15.60                  14
21                       14.23                  14
22                       14.12                  15
23                       14.17                  16
24                       14.75                  16
25                       15.62                  16
26                       14.79                  14
27                       14.45                  14
28                       14.18                  14
29                       14.04                  17
30                       14.00                  13
31                       13.97                  14
32                       14.15                  14
33                       14.02                  15
34                       14.01                  16
35                       14.26                  15
36                       14.02                  16
37                       14.03                  14
38                       13.99                  15
39                       13.98                  15
40                       14.14                  16
41                       14.50                  14
42                       14.14                  13
43                       14.14                  14
44                       14.16                  14
45                       14.03                  15
46                       14.00                  14
47                       13.98                  13
48                       13.94                  14
49                       14.35                  12
50                       14.14                  14
51                       14.02                  14
52                       14.02                  13
53                       14.37                  15
54                       14.11                  16
55                       14.29                  15
56                       14.23                  15
57                       14.00                  13
58                       14.04                  16
59                       14.46                  16
60                       14.48                  16
61                       14.27                  15
62                       14.22                  16
63                       14.03                  18
64                       14.05                  15
65                       14.02                  16
66                       14.22                  14
67                       14.02                  13
68                       14.02                  14
69                       14.00                  14
70                       14.02                  10
71                       14.01                  10
72                       13.98                  11
73                       14.04                  14
74                       14.01                  14
75                       14.66                  15
76                       14.74                  13
77                       14.78                  15
78                       14.75                  16
79                       15.09                  18
80                       14.69                  14
81                       14.93                  16
82                       14.94                  16
83                       14.93                  18
84                       14.91                  17
85                       14.82                  17
86                       14.76                  15
87                       15.26                  15
88                       15.01                  14
89                       15.02                  18
90                       14.93                  16
91                       14.87                  15
92                       15.02                  16
93                       14.82                  16
94                       14.45                  15
95                       14.42                  17
96                       14.42                  15
97                       14.42                  15
98                       14.37                  15
99                       14.35                  17
100                      14.41                  15
101                      14.34                  16
102                      14.46                  15
103                      14.36                  15
104                      14.35                  16
105                      14.45                  16
106                      14.44                  19
107                      14.38                  21
108                      14.35                  19
109                      14.39                  18
110                      14.40                  16
111                      14.36                  17
112                      14.37                  18
113                      14.35                  13
114                      14.36                  12
115                      14.77                  15
116                      14.37                  14
117                      14.48                  15
118                      14.42                  18
119                      14.60                  19
120                      14.44                  17
121                      14.55                  17
122                      14.38                  16
123                      14.41                  15
124                      14.35                  15
125                      14.39                  15
126                      14.41                  12
127                      14.45                  14
128                      14.43                  15
129                      14.38                  14
130                      14.42                  13
131                      14.36                  15
132                      14.38                  13
133                      14.36                  15
134                      14.37                  15
135                      14.39                  16
136                      14.35                  13
137                      14.41                  14
138                      14.35                  13
139                      14.43                  14
140                      14.35                  13
141                      14.45                  14
142                      14.39                  16
143                      14.43                  15
144                      14.44                  12
145                      14.38                  13
146                      14.37                  16
147                      14.35                  13
148                      14.94                  12
149                      14.88                  12
150                      14.88                  14
151                      14.76                  12
152                      16.10                  15
153                      15.25                  17
154                      15.47                  14
155                      15.50                  17
156                      15.39                  14
157                      15.55                  14
158                      15.24                  12
159                      15.24                  13
160                      14.08                  14
161                      14.02                  14
162                      13.98                  14
163                      14.32                  14
164                      14.08                  15
165                      14.02                  14
166                      14.02                  11
167                      13.94                  13
168                      13.94                  14
169                      13.94                  14
170                      13.97                  15
171                      14.25                  13
172                      14.15                  15
173                      14.41                  15
174                      14.02                  14
175                      14.06                  16
176                      14.08                  13
177                      14.18                  14
178                      14.00                  13
179                      14.37                  15
180                      14.11                  14
181                      14.14                  15
182                      14.02                  15
183                      14.03                  15
184                      13.98                  14
185                      14.01                  15
186                      13.99                  14
