Frame        Inference_Time_ms    Objects_Detected
0                       182.45                  14
1                        30.19                  12
2                        28.46                  12
3                        28.42                  13
4                        28.36                  15
5                        28.33                  15
6                        21.15                  11
7                        20.89                  14
8                        20.96                  13
9                        20.85                  14
10                       20.86                  14
11                       20.65                  14
12                       20.65                  15
13                       20.67                  15
14                       20.66                  14
15                       17.80                  15
16                       15.90                  16
17                       15.79                  16
18                       16.25                  17
19                       16.99                  14
20                       17.10                  14
21                       16.73                  18
22                       14.99                  14
23                       14.77                  15
24                       14.40                  16
25                       14.47                  16
26                       14.51                  14
27                       14.64                  14
28                       14.37                  14
29                       14.49                  17
30                       14.58                  13
31                       14.57                  14
32                       14.39                  14
33                       14.39                  15
34                       14.25                  16
35                       14.28                  15
36                       14.32                  16
37                       14.23                  14
38                       14.24                  15
39                       14.21                  15
40                       14.53                  16
41                       14.63                  14
42                       14.53                  13
43                       14.56                  14
44                       14.43                  14
45                       14.28                  15
46                       15.36                  14
47                       14.67                  13
48                       14.46                  14
49                       14.78                  12
50                       14.42                  14
51                       14.77                  14
52                       14.80                  13
53                       14.55                  15
54                       14.44                  16
55                       14.42                  15
56                       14.87                  15
57                       14.76                  13
58                       15.00                  16
59                       15.07                  16
60                       14.67                  16
61                       14.79                  15
62                       14.93                  16
63                       14.64                  18
64                       15.04                  15
65                       14.52                  16
66                       14.57                  14
67                       14.38                  13
68                       14.26                  14
69                       14.38                  14
70                       14.60                  10
71                       14.38                  10
72                       14.57                  11
73                       14.60                  14
74                       14.79                  14
75                       14.72                  15
76                       14.69                  13
77                       14.61                  15
78                       15.37                  16
79                       15.19                  18
80                       15.18                  14
81                       15.09                  16
82                       15.04                  16
83                       15.05                  18
84                       15.17                  17
85                       15.23                  17
86                       15.45                  15
87                       15.29                  15
88                       15.21                  14
89                       15.22                  18
90                       15.24                  16
91                       14.85                  15
92                       14.85                  16
93                       14.86                  16
94                       14.88                  15
95                       14.89                  17
96                       15.02                  15
97                       14.89                  15
98                       14.86                  15
99                       14.89                  17
100                      14.83                  15
101                      14.85                  16
102                      15.15                  15
103                      14.93                  15
104                      14.89                  16
105                      14.89                  16
106                      14.98                  21
107                      14.89                  21
108                      15.22                  19
109                      14.81                  18
110                      14.93                  16
111                      15.41                  17
112                      14.90                  18
113                      15.01                  13
114                      15.10                  12
115                      15.30                  15
116                      15.18                  14
117                      15.39                  15
118                      14.86                  18
119                      15.15                  19
120                      15.13                  17
121                      14.79                  17
122                      14.93                  16
123                      14.85                  15
124                      15.87                  15
125                      15.74                  15
126                      14.97                  12
127                      15.29                  14
128                      14.90                  15
129                      16.06                  14
130                      15.12                  13
131                      15.33                  15
132                      14.89                  13
133                      14.96                  15
134                      14.94                  15
135                      15.06                  16
136                      14.93                  13
137                      15.10                  14
138                      15.07                  13
139                      14.95                  14
140                      14.93                  13
141                      15.23                  14
142                      14.90                  16
143                      15.22                  15
144                      15.33                  12
145                      15.16                  13
146                      15.24                  16
147                      15.48                  13
148                      15.71                  12
149                      15.62                  12
150                      15.61                  14
151                      15.51                  12
152                      15.40                  15
153                      15.56                  14
154                      15.54                  17
155                      15.33                  14
156                      15.48                  16
157                      15.52                  14
158                      15.58                  12
159                      15.58                  13
160                      15.56                  14
161                      15.66                  14
162                      15.51                  14
163                      15.59                  14
164                      15.36                  15
165                      15.51                  14
166                      15.50                  11
167                      15.53                  13
168                      15.68                  14
169                      15.62                  14
170                      15.74                  15
171                      15.78                  13
172                      15.74                  15
173                      15.92                  15
174                      15.72                  14
175                      15.72                  16
176                      15.20                  13
177                      15.13                  14
178                      15.13                  13
179                      15.07                  15
180                      15.11                  14
181                      15.06                  15
182                      15.15                  15
183                      15.12                  15
184                      15.10                  14
185                      15.11                  15
186                      15.11                  14
187                      15.06                  17
188                      15.11                  16
189                      15.15                  15
190                      15.10                  17
191                      15.11                  17
192                      15.12                  15
193                      15.15                  17
194                      15.33                  17
195                      15.29                  16
196                      15.97                  14
197                      15.34                  14
198                      15.32                  18
199                      15.61                  17
200                      15.27                  14
201                      15.26                  13
202                      15.20                  11
203                      15.20                  11
204                      15.29                  14
205                      15.30                  13
206                      15.25                  12
207                      15.74                  14
208                      15.42                  14
209                      15.27                  12
210                      15.36                  13
211                      15.12                  12
212                      15.16                  12
213                      15.14                  11
214                      15.47                  11
215                      15.22                  13
216                      15.50                  13
217                      15.23                  12
218                      15.22                  12
219                      15.12                  13
220                      15.43                  14
221                      15.11                  16
222                      15.13                  16
223                      15.14                  17
224                      15.45                  17
225                      15.45                  13
226                      15.38                  13
227                      15.35                  13
228                      15.22                  13
229                      15.31                  13
230                      15.30                  13
231                      15.32                  14
232                      15.23                  13
233                      15.17                  14
234                      15.48                  14
235                      15.26                  13
236                      15.21                  17
237                      15.17                  15
238                      15.46                  14
239                      15.16                  12
240                      15.15                  13
241                      15.09                  15
242                      15.13                  14
243                      15.21                  13
244                      15.64                  14
245                      15.24                  13
246                      15.15                  13
247                      15.17                  13
248                      15.28                  14
249                      15.13                  12
250                      15.19                  13
251                      15.08                  13
252                      15.37                  13
253                      15.27                  13
254                      15.11                  14
255                      15.63                  18
256                      15.28                  17
257                      15.72                  18
258                      15.29                  19
259                      15.31                  20
260                      15.24                  20
261                      15.28                  20
262                      15.68                  18
263                      15.20                  20
264                      15.40                  22
265                      15.31                  17
266                      16.66                  18
267                      15.46                  20
268                      15.44                  19
269                      15.37                  21
270                      15.35                  19
271                      15.80                  18
272                      15.10                  18
273                      15.44                  19
274                      15.83                  18
275                      15.08                  17
276                      15.11                  18
277                      15.07                  16
278                      15.09                  15
279                      15.19                  17
280                      15.08                  18
281                      15.73                  17
282                      15.14                  20
283                      15.93                  20
284                      15.18                  20
285                      15.10                  20
286                      15.25                  22
287                      15.20                  21
288                      15.58                  20
289                      15.43                  21
290                      16.49                  22
291                      14.95                  21
292                      15.16                  17
293                      14.91                  17
294                      14.80                  20
