Frame     E2E latency(ms)     
20        58.955000 ms
21        50.515000 ms
22        54.606000 ms
23        45.970000 ms
24        51.150000 ms
25        50.702000 ms
26        48.567000 ms
27        48.125000 ms
28        53.664000 ms
29        54.531000 ms
30        50.016000 ms
31        56.242000 ms
32        49.300000 ms
33        51.219000 ms
34        54.957000 ms
35        55.738000 ms
36        56.545000 ms
37        49.976000 ms
38        52.177000 ms
39        51.802000 ms
40        51.448000 ms
41        51.873000 ms
42        55.302000 ms
43        59.194000 ms
44        49.623000 ms
45        47.036000 ms
46        48.538000 ms
47        46.239000 ms
48        55.598000 ms
49        54.675000 ms
50        53.948000 ms
51        50.122000 ms
52        53.235000 ms
53        51.811000 ms
54        44.010000 ms
55        51.561000 ms
56        57.198000 ms
57        51.259000 ms
58        61.160000 ms
59        47.950000 ms
60        51.508000 ms
61        59.739000 ms
62        52.337000 ms
63        52.270000 ms
64        57.763000 ms
65        50.103000 ms
66        53.751000 ms
67        46.843000 ms
68        55.656000 ms
69        49.509000 ms
70        49.457000 ms
71        47.078000 ms
72        50.667000 ms
73        50.456000 ms
74        46.325000 ms
75        46.207000 ms
76        40.762000 ms
77        47.527000 ms
78        67.026000 ms
79        54.256000 ms
80        50.295000 ms
81        50.929000 ms
82        58.044000 ms
83        53.022000 ms
84        61.364000 ms
85        54.939000 ms
86        46.986000 ms
87        51.211000 ms
88        59.682000 ms
89        49.248000 ms
90        51.407000 ms
91        58.166000 ms
92        55.399000 ms
93        45.979000 ms
94        46.093000 ms
95        56.936000 ms
96        59.978000 ms
97        50.184000 ms
98        42.842000 ms
99        58.765000 ms
100       60.732000 ms
101       65.759000 ms
102       47.735000 ms
103       52.777000 ms
104       72.395000 ms
105       56.447000 ms
106       51.012000 ms
107       53.700000 ms
108       43.807000 ms
109       54.260000 ms
110       57.086000 ms
111       52.916000 ms
112       50.621000 ms
113       46.301000 ms
114       53.983000 ms
115       55.758000 ms
116       51.559000 ms
117       50.363000 ms
118       53.391000 ms
119       54.275000 ms
120       61.829000 ms
121       50.841000 ms
122       47.358000 ms
123       56.867000 ms
124       44.862000 ms
125       48.638000 ms
126       53.125000 ms
127       53.564000 ms
128       57.240000 ms
129       50.271000 ms
130       50.259000 ms
131       47.069000 ms
132       61.111000 ms
133       54.393000 ms
134       51.353000 ms
135       54.639000 ms
136       50.441000 ms
137       50.606000 ms
138       57.008000 ms
139       58.335000 ms
140       54.587000 ms
141       56.179000 ms
142       49.193000 ms
143       54.247000 ms
144       52.077000 ms
145       52.554000 ms
146       51.532000 ms
147       50.668000 ms
148       55.120000 ms
149       54.970000 ms
150       53.310000 ms
151       57.642000 ms
152       51.637000 ms
153       53.434000 ms
154       54.123000 ms
155       58.310000 ms
156       51.642000 ms
157       54.641000 ms
158       57.871000 ms
159       54.817000 ms
160       53.081000 ms
161       53.108000 ms
162       51.958000 ms
163       47.145000 ms
164       53.051000 ms
165       57.864000 ms
166       59.943000 ms
167       49.221000 ms
168       62.268000 ms
169       52.914000 ms
170       48.721000 ms
171       48.294000 ms
172       53.226000 ms
173       57.087000 ms
174       45.743000 ms
175       46.260000 ms
176       55.964000 ms
177       53.452000 ms
178       60.498000 ms
179       53.896000 ms
180       61.779000 ms
181       58.746000 ms
