Frame        Inference_Time_ms    Objects_Detected
0                       252.96                  14
1                        29.98                  12
2                        28.33                  12
3                        28.22                  13
4                        28.50                  15
5                        28.18                  15
6                        28.19                  11
7                        26.54                  14
8                        25.66                  13
9                        25.71                  14
10                       25.64                  14
11                       24.49                  14
12                       15.43                  15
13                       15.13                  15
14                       15.11                  14
15                       15.27                  16
16                       15.14                  16
17                       15.16                  16
18                       15.14                  17
19                       15.23                  14
20                       15.22                  18
21                       15.19                  14
22                       15.12                  15
23                       15.22                  15
24                       15.65                  16
25                       14.99                  16
26                       14.37                  14
27                       14.32                  14
28                       14.20                  14
29                       14.11                  17
30                       14.21                  13
31                       14.14                  14
32                       14.12                  14
33                       14.09                  15
34                       14.03                  16
35                       14.03                  15
36                       14.04                  16
37                       14.04                  14
38                       14.03                  15
39                       14.22                  15
40                       14.18                  16
41                       14.13                  14
42                       14.11                  13
43                       14.04                  14
44                       14.14                  14
45                       14.12                  15
46                       14.12                  14
47                       14.08                  13
48                       14.05                  14
49                       14.06                  12
50                       14.21                  14
51                       14.21                  14
52                       14.12                  13
53                       14.29                  15
54                       14.20                  16
55                       14.13                  15
56                       14.15                  15
57                       14.03                  13
58                       14.05                  16
59                       14.20                  16
60                       14.20                  16
61                       14.15                  15
62                       14.21                  16
63                       14.21                  18
64                       14.13                  15
65                       14.15                  16
66                       14.14                  14
67                       14.11                  13
68                       14.28                  14
69                       14.15                  14
70                       14.14                  10
71                       14.23                  10
72                       14.15                  11
73                       14.16                  14
74                       14.11                  14
75                       14.14                  15
76                       14.20                  13
77                       14.13                  15
78                       14.14                  16
79                       14.93                  18
80                       14.91                  14
81                       14.90                  16
82                       14.87                  16
83                       14.88                  18
84                       14.89                  17
85                       15.00                  17
86                       15.01                  15
87                       15.02                  15
88                       14.89                  14
89                       14.89                  18
90                       14.91                  16
91                       14.91                  15
92                       14.91                  16
93                       14.90                  16
94                       14.91                  15
95                       14.88                  17
96                       14.92                  15
97                       15.09                  15
98                       15.09                  15
99                       15.10                  17
