Frame     E2E latency(ms)     
188       2287 ms             
191       2276 ms             
194       2276 ms             
197       2250 ms             
200       2220 ms             
201       2274 ms             
203       2257 ms             
204       2286 ms             
206       2272 ms             
209       2228 ms             
210       2301 ms             
212       2333 ms             
215       2296 ms             
218       2258 ms             
234       2264 ms             
236       2241 ms             
237       2288 ms             
239       2280 ms             
242       2279 ms             
245       2239 ms             
246       2302 ms             
248       2283 ms             
249       2307 ms             
251       2285 ms             
284       2226 ms             
287       2232 ms             
290       2218 ms             
293       2185 ms             
294       2231 ms             
296       2206 ms             
297       2277 ms             
299       2263 ms             
300       2260 ms             
301       2307 ms             
305       2251 ms             
306       2320 ms             
308       2321 ms             
309       2303 ms             
310       2399 ms             
311       2425 ms             
314       2459 ms             
330       2574 ms             
332       2602 ms             
335       2626 ms             
338       2630 ms             
341       2667 ms             
344       2631 ms             
345       2663 ms             
347       2650 ms             
348       2742 ms             
350       2715 ms             
353       2727 ms             
356       2773 ms             
359       2732 ms             
360       2770 ms             
362       2766 ms             
378       2934 ms             
383       3067 ms             
386       3019 ms             
389       2970 ms             
390       2957 ms             
392       2943 ms             
393       2983 ms             
395       3007 ms             
410       3035 ms             
413       3079 ms             
416       3077 ms             
419       3078 ms             
422       3064 ms             
425       3026 ms             
426       3067 ms             
428       3062 ms             
431       3035 ms             
432       3088 ms             
434       3089 ms             
437       3085 ms             
440       3072 ms             
473       3051 ms             
521       3211 ms             
569       3410 ms             
602       3406 ms             
605       3372 ms             
606       3425 ms             
608       3498 ms             
611       3486 ms             
614       3448 ms             
617       3457 ms             
650       3381 ms             
653       3343 ms             
654       3445 ms             
656       3440 ms             
659       3407 ms             
689       3296 ms             
692       3317 ms             
695       3289 ms             
698       3272 ms             
701       3266 ms             
704       3260 ms             
707       3288 ms             
740       3433 ms             
743       3399 ms             
746       3414 ms             
752       3334 ms             
755       3295 ms             
756       3318 ms             
758       3404 ms             
764       3325 ms             
767       3287 ms             
771       3244 ms             
788       3221 ms             
791       3191 ms             
794       3265 ms             
797       3265 ms             
800       3269 ms             
801       3277 ms             
804       3255 ms             
807       3273 ms             
809       3310 ms             
812       3278 ms             
815       3278 ms             
818       3407 ms             
836       3282 ms             
837       3342 ms             
839       3324 ms             
842       3322 ms             
843       3377 ms             
845       3351 ms             
848       3393 ms             
851       3357 ms             
884       3231 ms             
885       3261 ms             
887       3324 ms             
890       3298 ms             
896       3222 ms             
899       3201 ms             
942       3001 ms             
945       2965 ms             
946       3020 ms             
948       3043 ms             
951       3012 ms             
954       3026 ms             
