Frame     E2E latency(ms)     
34        68 ms
35        61 ms
36        84 ms
37        77 ms
38        65 ms
39        68 ms
40        58 ms
41        82 ms
42        72 ms
43        60 ms
44        70 ms
45        83 ms
46        72 ms
47        62 ms
48        68 ms
49        60 ms
50        76 ms
51        76 ms
52        66 ms
53        76 ms
54        75 ms
55        71 ms
56        66 ms
57        56 ms
58        70 ms
59        68 ms
60        82 ms
61        88 ms
62        73 ms
63        62 ms
64        62 ms
65        65 ms
66        69 ms
67        63 ms
68        68 ms
69        62 ms
70        58 ms
71        63 ms
72        66 ms
73        66 ms
74        74 ms
75        75 ms
76        62 ms
77        70 ms
78        65 ms
79        77 ms
80        76 ms
81        65 ms
82        80 ms
83        81 ms
84        70 ms
85        65 ms
86        67 ms
87        63 ms
88        60 ms
89        58 ms
90        70 ms
91        66 ms
92        70 ms
93        74 ms
94        72 ms
95        68 ms
96        61 ms
97        66 ms
98        76 ms
99        71 ms
100       68 ms
101       68 ms
102       74 ms
103       73 ms
104       61 ms
105       71 ms
106       61 ms
107       79 ms
108       69 ms
109       75 ms
110       74 ms
111       65 ms
112       77 ms
113       63 ms
114       63 ms
115       65 ms
116       60 ms
117       61 ms
118       64 ms
119       82 ms
120       69 ms
121       67 ms
122       62 ms
123       72 ms
124       70 ms
125       60 ms
126       65 ms
127       61 ms
128       70 ms
129       66 ms
130       61 ms
131       86 ms
132       81 ms
133       76 ms
134       67 ms
135       73 ms
136       71 ms
137       74 ms
138       71 ms
139       60 ms
140       73 ms
141       72 ms
142       60 ms
143       54 ms
144       88 ms
145       92 ms
146       75 ms
147       65 ms
148       57 ms
149       75 ms
150       66 ms
151       62 ms
152       59 ms
153       64 ms
154       61 ms
155       64 ms
156       69 ms
157       61 ms
158       61 ms
159       65 ms
160       62 ms
161       59 ms
162       60 ms
163       74 ms
164       65 ms
165       77 ms
166       69 ms
167       70 ms
168       67 ms
169       62 ms
170       209 ms
171       207 ms
172       201 ms
173       208 ms
174       189 ms
175       183 ms
176       173 ms
177       158 ms
217       81 ms
218       71 ms
219       66 ms
220       75 ms
221       62 ms
222       75 ms
223       65 ms
224       67 ms
225       59 ms
226       56 ms
227       80 ms
228       71 ms
229       64 ms
230       91 ms
231       87 ms
232       72 ms
233       89 ms
234       80 ms
235       77 ms
236       68 ms
237       63 ms
238       59 ms
239       59 ms
240       67 ms
241       74 ms
242       68 ms
243       63 ms
244       79 ms
245       80 ms
246       83 ms
247       66 ms
248       70 ms
249       74 ms
250       66 ms
251       59 ms
252       56 ms
253       74 ms
254       99 ms
255       83 ms
256       68 ms
257       68 ms
258       54 ms
259       71 ms
260       82 ms
261       77 ms
262       66 ms
263       75 ms
264       74 ms
265       67 ms
266       67 ms
267       89 ms
268       80 ms
269       72 ms
270       64 ms
271       58 ms
272       63 ms
273       58 ms
274       64 ms
275       65 ms
276       62 ms
277       70 ms
278       73 ms
279       63 ms
280       59 ms
281       63 ms
282       66 ms
283       65 ms
284       95 ms
285       91 ms
286       86 ms
287       79 ms
288       67 ms
289       67 ms
290       74 ms
291       64 ms
292       64 ms
293       59 ms
294       60 ms
295       56 ms
296       89 ms
297       76 ms
298       65 ms
299       57 ms
300       70 ms
301       72 ms
302       62 ms
303       73 ms
304       75 ms
305       72 ms
306       86 ms
307       76 ms
308       76 ms
309       76 ms
310       80 ms
311       67 ms
312       69 ms
313       65 ms
314       59 ms
315       73 ms
316       70 ms
317       79 ms
318       76 ms
319       60 ms
320       58 ms
321       72 ms
322       64 ms
323       57 ms
324       72 ms
325       73 ms
326       73 ms
327       57 ms
328       63 ms
329       57 ms
330       67 ms
331       62 ms
332       60 ms
333       103 ms
334       86 ms
335       79 ms
336       73 ms
337       59 ms
338       81 ms
339       91 ms
340       94 ms
341       85 ms
342       79 ms
343       68 ms
344       60 ms
345       65 ms
346       62 ms
347       57 ms
348       66 ms
349       84 ms
350       67 ms
351       58 ms
352       76 ms
353       65 ms
354       77 ms
355       66 ms
356       76 ms
357       59 ms
358       63 ms
359       60 ms
360       70 ms
361       136 ms
362       142 ms
363       135 ms
364       131 ms
365       125 ms
366       110 ms
367       108 ms
368       94 ms
369       96 ms
370       85 ms
371       75 ms
372       73 ms
373       74 ms
374       63 ms
375       60 ms
376       73 ms
377       64 ms
378       77 ms
379       78 ms
380       64 ms
381       58 ms
382       76 ms
383       73 ms
384       63 ms
385       82 ms
386       66 ms
387       77 ms
388       72 ms
389       64 ms
390       71 ms
391       75 ms
392       63 ms
393       67 ms
394       70 ms
395       55 ms
396       58 ms
397       89 ms
398       73 ms
399       63 ms
400       68 ms
401       61 ms
402       70 ms
403       61 ms
404       90 ms
405       100 ms
406       85 ms
407       79 ms
408       71 ms
409       72 ms
410       83 ms
411       89 ms
412       72 ms
413       61 ms
414       76 ms
415       75 ms
416       69 ms
417       80 ms
418       76 ms
419       84 ms
420       83 ms
421       75 ms
422       67 ms
423       72 ms
424       66 ms
425       57 ms
426       56 ms
427       49 ms
428       61 ms
429       79 ms
430       75 ms
431       63 ms
432       71 ms
433       59 ms
434       69 ms
435       70 ms
436       69 ms
437       82 ms
438       76 ms
439       80 ms
440       73 ms
441       61 ms
442       67 ms
443       62 ms
444       52 ms
445       89 ms
446       75 ms
447       71 ms
448       63 ms
449       58 ms
450       60 ms
451       65 ms
452       57 ms
453       68 ms
454       61 ms
455       82 ms
456       72 ms
457       62 ms
458       67 ms
459       62 ms
460       66 ms
461       60 ms
462       60 ms
463       70 ms
464       63 ms
465       58 ms
466       71 ms
467       64 ms
468       62 ms
469       75 ms
470       63 ms
471       86 ms
472       79 ms
473       64 ms
474       63 ms
475       61 ms
476       67 ms
477       68 ms
478       66 ms
479       62 ms
480       74 ms
481       76 ms
482       67 ms
483       64 ms
484       64 ms
485       61 ms
486       63 ms
487       60 ms
488       56 ms
489       96 ms
490       93 ms
491       88 ms
492       91 ms
493       78 ms
494       61 ms
495       61 ms
496       62 ms
497       87 ms
498       81 ms
499       80 ms
500       84 ms
501       76 ms
502       73 ms
503       68 ms
504       84 ms
505       74 ms
506       73 ms
507       70 ms
508       61 ms
509       68 ms
510       66 ms
511       57 ms
512       71 ms
513       72 ms
514       74 ms
515       64 ms
516       68 ms
517       82 ms
518       72 ms
519       72 ms
520       71 ms
521       68 ms
522       81 ms
523       71 ms
524       75 ms
525       66 ms
526       58 ms
527       90 ms
528       89 ms
529       80 ms
530       72 ms
531       61 ms
532       59 ms
533       87 ms
534       82 ms
535       78 ms
536       67 ms
537       80 ms
538       69 ms
539       66 ms
540       67 ms
541       67 ms
542       64 ms
543       59 ms
544       75 ms
545       65 ms
546       67 ms
547       72 ms
548       67 ms
549       61 ms
550       71 ms
551       74 ms
552       76 ms
553       64 ms
554       90 ms
555       78 ms
556       81 ms
557       61 ms
558       75 ms
559       63 ms
560       72 ms
561       75 ms
562       63 ms
563       63 ms
564       76 ms
565       78 ms
566       71 ms
567       82 ms
568       74 ms
569       67 ms
570       62 ms
571       58 ms
572       61 ms
573       66 ms
574       73 ms
575       62 ms
576       76 ms
577       65 ms
578       60 ms
579       71 ms
580       70 ms
581       90 ms
582       75 ms
583       78 ms
584       73 ms
585       61 ms
586       70 ms
587       69 ms
588       65 ms
589       59 ms
590       87 ms
591       73 ms
592       65 ms
593       69 ms
594       62 ms
595       57 ms
596       55 ms
597       55 ms
598       51 ms
599       63 ms
600       76 ms
601       111 ms
602       103 ms
603       88 ms
604       80 ms
605       68 ms
606       69 ms
607       60 ms
608       74 ms
609       71 ms
610       62 ms
611       64 ms
612       66 ms
613       59 ms
614       79 ms
615       79 ms
616       67 ms
617       67 ms
618       61 ms
619       92 ms
620       102 ms
621       101 ms
622       85 ms
623       78 ms
624       67 ms
625       68 ms
626       58 ms
627       69 ms
628       70 ms
629       79 ms
630       77 ms
631       73 ms
632       62 ms
633       70 ms
634       68 ms
635       61 ms
636       79 ms
637       65 ms
638       78 ms
639       68 ms
640       79 ms
641       102 ms
642       84 ms
643       72 ms
644       67 ms
645       79 ms
646       76 ms
647       65 ms
648       90 ms
649       88 ms
650       93 ms
651       78 ms
652       68 ms
653       64 ms
654       68 ms
655       64 ms
656       79 ms
657       75 ms
658       72 ms
659       65 ms
660       104 ms
661       112 ms
662       94 ms
663       91 ms
664       78 ms
665       82 ms
666       70 ms
667       75 ms
668       76 ms
669       69 ms
670       64 ms
671       64 ms
672       66 ms
673       61 ms
674       69 ms
675       59 ms
676       90 ms
677       84 ms
678       74 ms
679       66 ms
680       77 ms
681       71 ms
682       64 ms
683       61 ms
684       61 ms
685       65 ms
686       62 ms
687       74 ms
688       124 ms
689       128 ms
690       117 ms
691       109 ms
692       105 ms
693       111 ms
694       96 ms
695       81 ms
696       83 ms
697       74 ms
698       74 ms
699       63 ms
700       62 ms
701       56 ms
702       85 ms
703       73 ms
704       79 ms
705       78 ms
706       79 ms
707       65 ms
708       62 ms
709       69 ms
710       63 ms
711       73 ms
712       63 ms
713       58 ms
714       58 ms
715       59 ms
716       61 ms
717       55 ms
718       60 ms
719       54 ms
720       70 ms
721       66 ms
722       62 ms
723       74 ms
724       70 ms
725       78 ms
726       71 ms
727       63 ms
728       61 ms
729       58 ms
730       68 ms
731       64 ms
732       65 ms
733       60 ms
734       64 ms
735       60 ms
736       70 ms
737       78 ms
738       59 ms
739       56 ms
740       84 ms
741       74 ms
742       74 ms
743       74 ms
744       66 ms
745       72 ms
746       66 ms
747       62 ms
748       55 ms
749       52 ms
750       71 ms
751       67 ms
752       57 ms
753       79 ms
754       70 ms
755       62 ms
756       59 ms
757       89 ms
758       78 ms
759       68 ms
760       60 ms
761       76 ms
762       70 ms
763       60 ms
764       66 ms
765       66 ms
766       66 ms
767       59 ms
768       60 ms
769       51 ms
770       69 ms
771       81 ms
772       68 ms
773       69 ms
774       70 ms
775       68 ms
776       67 ms
777       65 ms
778       57 ms
779       67 ms
780       60 ms
781       70 ms
782       62 ms
783       57 ms
784       57 ms
785       88 ms
786       80 ms
787       69 ms
788       75 ms
789       67 ms
790       62 ms
791       64 ms
792       72 ms
793       72 ms
794       79 ms
795       88 ms
796       79 ms
797       71 ms
798       66 ms
799       85 ms
800       76 ms
801       77 ms
802       67 ms
803       60 ms
804       68 ms
805       71 ms
806       63 ms
807       59 ms
808       57 ms
809       63 ms
810       61 ms
811       62 ms
812       58 ms
813       69 ms
814       63 ms
815       78 ms
816       72 ms
817       60 ms
818       80 ms
819       68 ms
820       63 ms
821       78 ms
822       72 ms
823       65 ms
824       84 ms
825       83 ms
826       70 ms
827       76 ms
828       61 ms
829       73 ms
830       70 ms
831       66 ms
832       66 ms
833       66 ms
834       63 ms
835       57 ms
836       61 ms
837       58 ms
838       69 ms
839       64 ms
840       61 ms
841       82 ms
842       74 ms
843       66 ms
844       61 ms
845       56 ms
846       79 ms
847       77 ms
848       69 ms
849       64 ms
850       77 ms
851       66 ms
852       58 ms
853       81 ms
854       78 ms
855       73 ms
856       88 ms
857       83 ms
858       79 ms
859       71 ms
860       71 ms
861       140 ms
862       127 ms
863       125 ms
864       134 ms
865       113 ms
866       111 ms
867       101 ms
868       89 ms
869       95 ms
870       83 ms
871       71 ms
872       70 ms
873       67 ms
874       59 ms
875       66 ms
876       62 ms
877       71 ms
878       64 ms
879       66 ms
880       59 ms
881       61 ms
882       57 ms
883       70 ms
884       57 ms
885       51 ms
886       55 ms
887       71 ms
888       63 ms
889       76 ms
890       66 ms
891       57 ms
892       65 ms
893       59 ms
894       64 ms
895       55 ms
896       69 ms
897       62 ms
898       61 ms
899       73 ms
900       63 ms
901       88 ms
902       73 ms
903       57 ms
904       60 ms
905       62 ms
906       54 ms
907       62 ms
908       58 ms
909       58 ms
910       108 ms
911       100 ms
912       91 ms
913       87 ms
914       88 ms
915       71 ms
916       62 ms
917       72 ms
918       67 ms
919       85 ms
920       76 ms
921       75 ms
922       61 ms
923       64 ms
924       86 ms
925       82 ms
926       69 ms
927       75 ms
928       75 ms
929       62 ms
930       59 ms
931       59 ms
932       68 ms
933       70 ms
934       67 ms
935       77 ms
936       69 ms
937       67 ms
938       64 ms
939       73 ms
940       76 ms
941       71 ms
942       64 ms
943       67 ms
944       69 ms
945       72 ms
946       72 ms
947       57 ms
948       74 ms
949       84 ms
950       78 ms
951       67 ms
952       67 ms
953       77 ms
954       72 ms
955       61 ms
956       74 ms
957       65 ms
958       91 ms
959       81 ms
960       72 ms
961       84 ms
962       78 ms
963       66 ms
964       59 ms
965       65 ms
966       61 ms
967       58 ms
968       74 ms
969       78 ms
970       70 ms
971       66 ms
972       59 ms
973       73 ms
974       70 ms
975       76 ms
976       71 ms
977       62 ms
978       84 ms
979       76 ms
980       73 ms
981       83 ms
982       72 ms
983       90 ms
984       88 ms
985       74 ms
986       71 ms
987       74 ms
988       61 ms
989       71 ms
990       68 ms
991       72 ms
992       69 ms
993       66 ms
994       58 ms
995       57 ms
996       69 ms
997       66 ms
998       71 ms
999       57 ms
1000      60 ms
1001      65 ms
1002      58 ms
1003      80 ms
1004      68 ms
1005      82 ms
1006      74 ms
1007      64 ms
1008      73 ms
1009      59 ms
1010      74 ms
1011      69 ms
1012      62 ms
1013      67 ms
1014      78 ms
1015      76 ms
1016      74 ms
1017      71 ms
1018      63 ms
1019      65 ms
1020      89 ms
1021      93 ms
1022      82 ms
1023      77 ms
1024      72 ms
1025      73 ms
1026      62 ms
1027      62 ms
1028      64 ms
1029      59 ms
1030      53 ms
1031      56 ms
1032      58 ms
1033      63 ms
1034      63 ms
1035      72 ms
1036      63 ms
1037      58 ms
1038      69 ms
1039      62 ms
1040      78 ms
1041      66 ms
1042      69 ms
1043      74 ms
1044      63 ms
1045      77 ms
1046      72 ms
1047      71 ms
1048      66 ms
1049      60 ms
1050      61 ms
1051      71 ms
1052      62 ms
1053      69 ms
1054      61 ms
1055      64 ms
1056      72 ms
1057      65 ms
1058      71 ms
1059      65 ms
1060      62 ms
1061      65 ms
1062      59 ms
1063      60 ms
1064      59 ms
1065      81 ms
1066      72 ms
1067      67 ms
1068      72 ms
1069      63 ms
1070      58 ms
1071      75 ms
1072      66 ms
1073      63 ms
1074      69 ms
1075      91 ms
1076      77 ms
1077      69 ms
1078      64 ms
1079      60 ms
1080      63 ms
1081      70 ms
1082      66 ms
1083      55 ms
1084      85 ms
1085      75 ms
1086      72 ms
1087      202 ms
1088      193 ms
1089      196 ms
