Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
188       3.3811              8.2376              8.7804              20.4894             
191       5.7136              4.2618              7.0046              17.0812             
194       5.0092              4.2679              5.3304              14.7081             
197       15.0621             8.7004              9.3134              34.2071             
200       9.6395              4.9014              8.0909              42.2532             
201       2.9013              9.3539              16.6405             28.9734             
203       7.6441              7.3144              16.3996             45.2621             
204       13.0704             4.3706              12.8811             32.4680             
206       3.7711              13.1897             12.7496             29.8578             
209       14.9986             6.5557              8.1897              37.9775             
210       4.1177              7.7140              7.1599              19.0857             
212       2.8183              8.8963              16.1211             28.9568             
215       7.2116              10.0244             8.0677              37.0056             
218       2.8966              6.2058              3.2285              40.2200             
234       1.5061              8.4687              9.0009              19.0628             
236       7.3682              5.8959              7.4514              26.4898             
237       2.9735              4.2778              4.8235              12.1541             
239       5.2540              4.2676              14.2239             23.8498             
242       5.8131              7.9764              13.8653             27.7568             
245       9.3275              5.9166              8.1999              35.9001             
246       2.8533              6.7155              8.6951              18.3586             
248       9.3781              6.2810              6.7358              25.2513             
249       2.6053              7.6464              8.6800              19.4124             
251       6.4471              4.3283              8.7271              20.8592             
284       4.9614              4.2803              6.1501              15.4759             
287       5.2011              4.2652              4.8740              14.4203             
290       3.1829              7.6125              16.5349             27.4271             
293       9.1895              10.6372             5.4166              32.7944             
294       2.5804              8.8071              6.8646              18.3330             
296       8.3602              5.9680              18.0502             36.3593             
297       2.4288              8.9010              10.6308             24.4426             
299       6.7280              8.4186              14.9377             39.3650             
300       6.7586              10.0571             4.2687              43.6209             
301       1.5775              8.5188              7.9966              18.2037             
305       7.5719              5.4730              13.6532             31.8271             
306       1.9061              7.8099              11.6411             21.4557             
308       8.3939              14.9101             15.2060             40.9018             
309       9.9154              11.0414             5.7162              46.6192             
310       1.8400              7.6958              12.8139             22.4237             
311       5.6475              7.6767              8.7049              22.1452             
314       5.1558              8.8617              4.0750              18.1751             
330       2.7070              4.2605              5.2308              12.2698             
332       4.8920              4.2679              4.7282              13.9919             
335       4.7373              4.3016              9.2753              18.3935             
338       5.2142              4.2684              4.9152              14.4814             
341       5.5673              9.4636              9.2161              24.3470             
344       9.5678              5.6640              12.3545             36.6839             
345       1.9225              8.8633              12.1504             23.0670             
347       8.6687              5.5225              9.8544              32.8565             
348       4.3223              4.3214              7.4354              16.1719             
350       2.8335              7.1873              4.8324              14.9598             
353       5.2016              4.2716              5.7221              15.3135             
356       5.2042              8.4007              11.3735             25.0927             
359       7.9922              6.8880              7.5203              32.5672             
360       1.9244              4.2903              4.5961              10.8897             
362       4.4783              8.8630              5.2179              19.2685             
378       4.9730              4.2759              4.6609              13.9847             
383       5.2013              4.2986              4.5512              14.1773             
386       6.0970              7.7973              13.2920             28.4968             
389       9.0601              5.2426              11.4227             39.8249             
390       2.7377              10.2131             20.1904             33.2381             
392       7.9024              8.7831              5.0219              38.2403             
393       1.6880              7.6274              5.9675              15.3775             
395       5.0772              7.6900              9.5283              22.4012             
410       2.2011              7.7252              6.1018              16.1024             
413       5.5461              7.6869              8.5645              21.8898             
416       3.8109              7.7186              8.4998              20.1263             
419       2.7025              7.6699              7.0034              17.4493             
422       3.3109              6.7941              5.8757              16.0716             
425       7.4612              5.7388              6.9764              23.4559             
426       2.8869              7.6984              6.8364              17.5005             
428       5.6219              7.3194              8.7586              21.9576             
431       8.9416              5.3234              7.5007              29.3750             
432       2.8191              7.7241              5.1353              15.7788             
434       2.9574              7.6605              9.9210              20.6416             
437       5.2127              7.6575              6.4274              19.3715             
440       5.1729              7.7176              7.9822              20.9640             
473       4.8140              7.6813              8.9204              21.5011             
521       3.3113              7.6768              5.6931              16.7563             
569       2.6407              7.7050              8.0484              18.4693             
602       2.5773              8.8851              11.7080             23.2599             
605       8.4461              6.5174              8.8506              32.0714             
606       1.7365              4.2837              5.5616              11.6826             
608       5.1754              5.1237              11.7457             22.1253             
611       4.0398              6.8382              10.2738             32.3995             
614       4.4585              7.7214              11.5181             24.6295             
617       5.3475              4.2706              4.5438              14.2554             
650       2.6691              6.9594              5.9591              15.6620             
653       7.6771              7.3845              5.5480              23.2833             
654       3.0005              5.1487              10.8567             19.0962             
656       4.8688              8.3258              8.3156              27.4304             
659       8.3453              7.6615              9.6732              25.8210             
689       2.5167              7.6872              7.5506              17.8198             
692       5.2805              7.7033              5.9253              18.9843             
695       4.9100              7.7118              15.1395             27.8639             
698       2.7837              7.7332              7.7194              18.4239             
701       2.1367              7.6828              5.8077              15.6999             
704       5.1990              7.7382              7.6724              20.6939             
707       5.3719              7.7198              6.4646              19.6369             
740       3.9314              7.7116              5.8075              17.5197             
743       4.8608              7.6293              7.1996              23.0248             
746       2.5765              10.6190             7.9806              21.2565             
752       5.4043              5.7794              16.5596             37.8326             
755       7.3216              7.3434              8.2304              46.0562             
756       1.2725              7.6544              13.3318             22.3351             
758       5.1530              7.1546              6.5798              18.9752             
764       7.6384              7.8596              21.5361             44.5239             
767       10.4333             15.0650             10.2093             36.1458             
771       16.5282             6.7373              12.0437             48.1503             
788       3.0568              6.8259              9.3692              19.3356             
791       8.4028              7.5009              11.4204             30.7007             
794       2.9683              4.2984              7.1332              14.4831             
797       4.5452              4.2727              5.7841              14.6723             
800       2.6803              5.6960              8.9377              17.3978             
801       4.7340              6.4646              10.9679             28.3613             
804       3.3328              4.2833              6.7426              14.4400             
807       4.9405              4.2915              5.8923              15.1993             
809       2.8656              4.2632              5.5220              12.7265             
812       7.1500              7.7038              7.6009              22.6633             
815       5.1976              7.7566              15.0102             28.0452             
818       2.9736              8.9826              4.9245              16.9665             
836       4.7526              7.6643              15.6225             30.5274             
837       2.6323              8.7020              13.2891             24.7220             
839       5.5818              8.9730              6.9382              31.6590             
842       2.6195              4.2837              7.9873              14.9644             
843       2.7324              7.1027              13.4745             23.3836             
845       7.0022              11.5833             17.3073             38.3702             
848       5.5623              9.0563              13.4775             28.2026             
851       7.0265              6.3926              7.9223              36.0823             
884       5.8479              4.2605              6.9107              22.7862             
885       2.8320              4.2720              6.2962              13.4772             
887       6.1554              4.2649              8.9516              19.4612             
890       5.1324              6.4951              14.2283             26.7400             
896       7.2724              7.3241              7.4474              25.3283             
899       5.9831              11.9047             9.4655              29.8808             
942       2.5373              7.4777              11.6932             21.7872             
945       8.6870              6.9921              5.3279              27.1061             
946       1.3778              4.2484              4.8482              10.5528             
948       5.1414              4.2563              4.1810              13.6672             
951       7.2588              4.2836              5.6099              17.3210             
954       5.3027              4.2663              5.4222              15.0734             
957       2.8529              7.3777              5.0059              15.3209             
1005      2.8393              4.2410              7.2611              21.8535             
1021      2.7003              5.1465              4.6745              12.6049             
1038      2.4862              4.2511              7.2720              14.0897             
1041      6.6296              4.2671              7.1943              18.1746             
1045      6.4880              4.2745              5.4937              16.3493             
1048      2.9477              5.1833              9.2043              17.4206             
1050      4.7852              6.2036              17.1037             34.5265             
1053      5.5427              4.2749              4.7211              14.6175             
1069      4.5796              4.2553              5.3715              14.3042             
1086      2.7024              4.2333              6.1536              13.1610             
1089      4.6557              5.9662              6.7068              17.4127             
1093      6.5550              7.2952              19.4121             37.7902             
1096      6.6416              6.6338              10.4667             24.1238             
1099      5.6149              4.2705              7.4147              17.3993             
1102      1.8897              8.8235              23.0980             33.8984             
1104      3.0373              4.9223              11.2829             45.1749             
1107      5.6198              6.0376              6.7076              51.8199             
1123      4.6320              7.6930              8.4530              20.8806             
1141      3.6057              5.0153              17.6661             26.3638             
1144      3.7504              7.2827              9.9892              36.3893             
1147      4.1311              12.4577             6.8479              28.1711             
1150      3.0457              5.1325              6.0244              14.2826             
1153      5.0149              8.9175              6.2615              20.2816             
1156      8.3184              6.1426              6.3370              26.6035             
1157      1.0108              4.2850              5.5821              10.9575             
1162      5.5313              6.3012              26.0824             40.1668             
1165      6.1565              7.9430              8.2941              48.3996             
1168      5.1462              6.0144              4.6006              52.9743             
1171      7.2621              6.4164              9.3660              62.3293             
1189      4.5581              4.2477              7.8340              19.1674             
1190      2.3729              5.8642              19.3099             27.6387             
1192      4.9713              6.3211              5.8857              33.5108             
1195      6.6270              4.2810              6.7853              17.7805             
1198      4.9898              4.2712              3.1789              12.5194             
1201      4.0073              5.0662              11.2996             22.1295             
1204      4.8356              16.3601             10.7187             36.1547             
1237      5.8332              4.2488              5.0384              20.4130             
1238      2.3761              6.2090              7.6821              16.4412             
1240      7.7056              7.6133              13.2155             30.8646             
1243      2.7478              4.2615              5.6253              12.7083             
1246      2.6166              7.6976              10.4201             20.8052             
1249      5.1303              7.6227              8.9549              21.7986             
1252      7.1424              7.4321              13.0180             27.6628             
0         4.9853              4.2796              6.3018              19.3340             
1325      4.1854              4.2536              6.1134              14.6370             
1331      2.8994              5.3171              8.5483              16.8332             
1334      2.9752              8.4860              18.2570             35.0746             
1337      9.3862              6.2834              6.3468              22.5304             
1355      5.6688              7.7319              7.4155              25.2704             
1356      1.3728              7.7021              7.0099              16.1624             
1373      5.0638              7.7245              5.3694              18.2357             
1379      4.5518              7.6623              10.7132             23.0028             
1382      4.8589              7.7212              8.3173              20.9885             
1385      2.6418              4.2662              6.0732              13.0608             
1388      4.6799              4.2767              4.4354              13.4683             
1404      2.1526              4.2553              7.3037              13.7977             
1421      2.7686              4.2974              6.1001              13.2407             
1424      5.0668              7.7105              8.7264              23.7287             
1427      5.0462              7.6871              7.6837              20.4985             
1430      5.1067              7.7771              10.4635             23.4405             
1433      7.1254              6.1262              13.3198             26.9859             
1436      2.6961              8.3875              6.4894              17.6543             
1500      3.8001              4.2439              9.7139              17.8309             
1516      1.4730              7.6416              8.8205              18.0099             
1532      2.2931              9.2578              6.8925              23.4949             
1548      6.4843              7.6103              11.7898             30.8218             
1549      1.2490              7.6244              10.0022             18.9504             
1551      5.4326              8.9553              9.0239              23.5109             
1554      7.8254              8.3686              9.4421              32.8766             
1555      2.4798              4.2580              4.8796              11.7006             
1566      2.7360              7.6199              5.0804              15.5129             
1569      2.6582              8.5459              10.0575             21.3556             
1572      8.8666              7.6203              7.3620              28.6887             
1573      1.9345              9.7376              9.4483              21.2126             
1575      8.3983              6.1954              5.5084              26.6670             
1576      1.9756              4.2667              5.2824              11.5931             
1578      5.3364              4.3261              4.5865              14.3242             
1581      2.8876              4.2653              5.1464              12.3698             
1584      4.4680              4.3215              8.6606              17.5221             
1587      4.8825              5.2774              13.2717             23.5011             
