Frame     Decode Time (ms)    Transcode Time (ms) Encode Time (ms)    Total Time (ms)     
188       3.3811              9.6333              16.1816             29.2777             
191       5.7136              4.4127              22.8582             33.0849             
194       5.0092              4.4002              24.7819             34.2841             
197       15.0621             8.3758              20.2278             45.8274             
200       9.6395              9.7957              11.3724             57.1527             
201       2.9013              9.5212              16.4332             28.9280             
203       7.6441              9.3956              17.2767             46.1394             
204       13.0704             7.9498              24.1775             46.5955             
206       3.7711              11.5642             24.1274             41.3459             
209       14.9986             6.6976              13.5343             54.7946             
210       4.1177              8.3753              16.4455             29.0366             
212       2.8183              10.4976             19.4320             37.8693             
215       7.2116              8.5145              14.0573             51.8807             
218       2.8966              6.9007              6.1788              58.0201             
234       1.5061              7.6820              24.5896             33.8580             
236       7.3682              9.3320              9.9663              43.7827             
237       2.9735              4.3193              15.5104             22.8875             
239       5.2540              4.4006              10.1073             19.8572             
242       5.8131              8.0344              12.9316             26.8972             
245       9.3275              5.6865              14.1491             41.0198             
246       2.8533              10.1428             22.4012             35.4746             
248       9.3781              8.0862              12.0126             47.3960             
249       2.6053              4.4988              12.3266             19.5073             
251       6.4471              7.5782              12.7295             27.0472             
284       4.9614              4.4261              15.5347             24.9947             
287       5.2011              4.3822              10.9560             20.6272             
290       3.1829              8.8558              22.0010             34.5787             
293       9.1895              10.2796             8.7861              43.2766             
294       2.5804              10.3552             19.4720             32.4804             
296       8.3602              8.9205              12.8766             45.3471             
297       2.4288              10.7518             19.5890             33.4950             
299       6.7280              7.5384              13.9565             47.4370             
300       6.7586              15.5266             10.7307             58.1486             
301       1.5775              8.1782              18.2590             28.1092             
305       7.5719              5.6870              12.4289             40.5073             
306       1.9061              7.9323              34.3782             44.3110             
308       8.3939              10.6333             13.6601             57.9310             
309       9.9154              7.5513              8.3708              66.2699             
310       1.8400              4.5459              13.7567             20.2066             
311       5.6475              4.4849              10.0541             20.2979             
314       5.1558              8.5915              10.3832             24.2163             
330       2.7070              4.4075              12.2271             19.4086             
332       4.8920              4.4267              15.6488             25.0720             
335       4.7373              4.4450              15.6783             24.9323             
338       5.2142              4.3986              17.7894             27.4805             
341       5.5673              9.4405              21.0721             36.1668             
344       9.5678              8.6577              10.1785             46.3282             
345       1.9225              8.1542              23.5372             33.7430             
347       8.6687              14.1327             9.4229              43.0689             
348       4.3223              4.4138              13.8077             22.6367             
350       2.8335              11.6933             11.3646             25.9877             
353       5.2016              4.4103              16.0930             25.7848             
356       5.2042              7.7258              14.1421             27.1806             
359       7.9922              8.3369              14.6324             42.4517             
360       1.9244              8.3453              12.0788             22.4277             
362       4.4783              9.3406              13.7188             28.2394             
378       4.9730              4.3819              16.6765             26.1080             
383       5.2013              4.4114              12.5545             22.2779             
386       6.0970              10.5981             18.6335             35.4224             
389       9.0601              10.4094             9.9528              45.2722             
390       2.7377              11.6807             19.0346             33.5246             
392       7.9024              11.6139             16.1759             49.6484             
393       1.6880              8.3521              15.3586             25.4730             
395       5.0772              8.3592              16.8023             30.3100             
410       2.2011              8.3957              18.1832             28.8499             
413       5.5461              8.3951              16.9085             30.9355             
416       3.8109              8.3915              21.3721             33.6792             
419       2.7025              8.3547              27.8300             38.9678             
422       3.3109              10.2855             18.5368             33.4543             
425       7.4612              8.3703              10.1853             43.5791             
426       2.8869              8.4072              18.4572             29.8255             
428       5.6219              9.5984              24.2639             39.7274             
431       8.9416              9.1508              10.0435             49.6906             
432       2.8191              8.4129              19.0564             30.3893             
434       2.9574              8.3544              18.6478             30.0441             
437       5.2127              8.3970              17.1809             30.8705             
440       5.1729              8.3987              18.0296             31.6903             
473       4.8140              8.4155              17.9191             31.2173             
521       3.3113              8.3743              18.1263             29.8990             
569       2.6407              8.3760              19.5457             30.6333             
602       2.5773              8.1179              25.0918             35.8711             
605       8.4461              6.2519              7.4469              43.2387             
606       1.7365              4.4266              18.2798             24.5457             
608       5.1754              5.8414              11.0124             22.1121             
611       4.0398              11.1471             19.6163             41.8028             
614       4.4585              8.7333              11.2718             24.6922             
617       5.3475              4.3964              14.8313             24.6645             
650       2.6691              7.8755              24.3902             35.5590             
653       7.6771              9.0993              11.3642             46.9342             
654       3.0005              6.3155              19.3986             28.7876             
656       4.8688              6.9242              12.0441             40.8238             
659       8.3453              8.8158              19.0797             37.6850             
689       2.5167              8.3723              22.1766             33.1335             
692       5.2805              8.4109              18.9366             32.7124             
695       4.9100              8.4147              15.9521             29.3681             
698       2.7837              8.4084              16.4207             27.7995             
701       2.1367              8.4230              19.1158             29.7444             
704       5.1990              8.4147              17.5597             31.2556             
707       5.3719              8.3882              18.4216             32.2635             
740       3.9314              8.3976              17.2506             29.6448             
743       4.8608              8.8041              17.7174             33.7146             
746       2.5765              12.1866             20.2147             35.0491             
752       5.4043              10.8406             19.3767             54.4317             
755       7.3216              7.8274              9.1741              63.5908             
756       1.2725              8.3579              22.6128             32.3145             
758       5.1530              9.4496              32.2129             46.8906             
764       7.6384              15.4299             22.8426             69.7445             
767       10.4333             16.7151             12.3656             61.6666             
771       16.5282             9.4695              6.7861              68.4187             
788       3.0568              9.3545              19.1729             31.6496             
791       8.4028              6.8798              23.7458             55.2982             
794       2.9683              4.4449              14.5309             22.0258             
797       4.5452              4.4051              15.9288             24.9568             
800       2.6803              6.4179              18.1816             27.3618             
801       4.7340              6.3508              15.0666             42.4268             
804       3.3328              4.6598              15.1406             23.2044             
807       4.9405              4.4007              13.4325             22.8529             
809       2.8656              4.3871              18.4890             25.8056             
812       7.1500              9.2435              16.6458             33.3604             
815       5.1976              8.4171              13.7994             27.4928             
818       2.9736              11.2149             12.5052             26.7873             
836       4.7526              8.3394              17.3128             32.8811             
837       2.6323              7.1035              18.6680             28.4798             
839       5.5818              6.4151              16.5893             45.0505             
842       2.6195              4.3962              16.9475             24.0407             
843       2.7324              9.1761              12.6593             24.6345             
845       7.0022              7.4119              14.0163             36.3118             
848       5.5623              7.7218              19.9777             33.3518             
851       7.0265              5.9885              12.7206             45.9873             
884       5.8479              4.4153              19.9870             36.0030             
885       2.8320              4.3823              15.6249             22.9074             
887       6.1554              4.3857              15.8375             26.4733             
890       5.1324              9.1104              17.9884             32.8467             
896       7.2724              7.8870              19.9665             36.3087             
899       5.9831              8.9067              11.7794             41.9386             
942       2.5373              10.7542             27.7422             41.1101             
945       8.6870              8.8775              11.9267             52.9905             
946       1.3778              8.4635              11.6424             21.5555             
948       5.1414              8.4610              9.3033              22.9871             
951       7.2588              8.4468              10.7512             26.6231             
954       5.3027              8.4327              9.6989              23.5042             
957       2.8529              9.9997              13.1490             26.0772             
1005      2.8393              4.3295              20.2423             34.9246             
1021      2.7003              6.6874              13.9690             23.4310             
1038      2.4862              4.3763              14.5953             21.5193             
1041      6.6296              4.3855              12.5007             23.6064             
1045      6.4880              4.3773              11.5577             22.5220             
1048      2.9477              6.4406              22.6430             32.1071             
1050      4.7852              8.5768              13.8648             45.9792             
1053      5.5427              8.4502              14.1174             28.1943             
1069      4.5796              8.4566              12.6605             26.1279             
1086      2.7024              8.4265              14.8457             26.0488             
1089      4.6557              6.6036              18.7014             30.0384             
1093      6.5550              7.5843              26.9735             56.8727             
1096      6.6416              9.3689              15.1408             41.1559             
1099      5.6149              4.4332              14.6501             24.7808             
1102      1.8897              9.5626              22.5724             34.0964             
1104      3.0373              5.8552              21.9897             56.0592             
1107      5.6198              7.3998              8.8140              64.8033             
1123      4.6320              9.1130              19.9695             33.7978             
1141      3.6057              5.4768              25.6658             34.8323             
1144      3.7504              5.0556              19.7355             54.5881             
1147      4.1311              8.4105              6.7442              46.2464             
1150      3.0457              8.4133              11.0509             22.5824             
1153      5.0149              8.7551              15.2910             29.1435             
1156      8.3184              6.3207              10.9290             40.0284             
1157      1.0108              4.4379              18.3289             23.8489             
1162      5.5313              6.6660              26.9873             39.2812             
1165      6.1565              6.9988              19.7799             59.0329             
1168      5.1462              7.4862              8.3443              67.3475             
1171      7.2621              7.7900              9.1852              76.5031             
1189      4.5581              4.3964              14.6035             26.0735             
1190      2.3729              6.5096              18.5632             27.5242             
1192      4.9713              6.7596              17.8855             45.4076             
1195      6.6270              4.3794              14.2355             25.3223             
1198      4.9898              4.4098              8.3621              17.8465             
1201      4.0073              6.7036              20.8263             31.6347             
1204      4.8356              10.0562             14.6060             46.2138             
1237      5.8332              4.3805              19.9765             35.4759             
1238      2.3761              6.4769              18.8551             27.7829             
1240      7.7056              7.8022              9.3110              37.0390             
1243      2.7478              4.3846              11.6753             18.8884             
1246      2.6166              8.3676              14.8749             25.9342             
1249      5.1303              9.3655              14.3643             28.9414             
1252      7.1424              7.1822              12.6341             32.6271             
0         4.9853              4.4015              14.7389             27.8925             
1325      4.1854              4.4141              23.9497             32.6288             
1331      2.8994              5.4643              27.5710             36.0124             
1334      2.9752              6.4091              22.0617             58.0291             
1337      9.3862              8.5104              18.9677             36.9707             
1355      5.6688              8.4017              18.7099             37.2242             
1356      1.3728              8.3766              17.2107             27.0320             
1373      5.0638              8.3975              20.0584             33.6058             
1379      4.5518              8.3304              15.6867             28.6378             
1382      4.8589              8.4064              17.6772             31.0216             
1385      2.6418              8.4568              12.6695             24.1595             
1388      4.6799              8.4595              11.2234             24.4327             
1404      2.1526              4.7816              18.2311             25.2400             
1421      2.7686              8.4724              14.3332             25.6477             
1424      5.0668              8.8958              16.1753             30.6944             
1427      5.0462              8.3555              16.4278             29.9125             
1430      5.1067              8.4505              23.8930             37.5289             
1433      7.1254              8.4731              15.5333             39.2757             
1436      2.6961              9.8222              21.0796             33.6745             
1500      3.8001              10.5007             14.6347             29.3529             
1516      1.4730              4.4618              9.4761              15.4762             
1532      2.2931              8.4436              17.5458             33.3321             
1548      6.4843              4.4344              14.9969             30.8522             
1549      1.2490              4.4991              11.1841             16.9976             
1551      5.4326              7.8530              14.9651             28.3466             
1554      7.8254              5.8214              12.1441             40.4042             
1555      2.4798              4.3326              11.9135             18.8080             
1566      2.7360              4.4133              12.7116             19.9316             
1569      2.6582              8.0158              13.2562             24.0071             
1572      8.8666              9.3009              15.4638             39.4304             
1573      1.9345              7.6138              23.8716             33.6468             
1575      8.3983              5.8728              14.2358             47.8129             
1576      1.9756              4.4006              10.8126             17.2563             
1578      5.3364              4.3846              14.4765             24.2624             
1581      2.8876              4.3411              13.8326             21.1317             
1584      4.4680              4.3814              10.5824             19.5074             
