Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         25.0790             16.3343             41.4396             
2         16.4621             9.5957              51.0797             
3         16.3061             7.7632              65.4549             
4         16.0050             12.4301             86.0202             
5         18.9661             7.8659              100.2903            
6         16.2565             12.1179             120.7064            
7         5.8582              10.9230             131.5881            
8         7.1522              11.3600             142.8766            
9         6.6485              11.3623             154.1705            
10        7.0676              12.5535             145.2490            
11        8.1195              10.2079             149.6933            
12        6.2067              11.7609             140.5511            
13        6.2478              11.8656             152.3811            
14        5.7439              11.8482             127.6193            
15        6.8769              11.3846             138.9268            
16        6.2946              9.8275              126.0138            
17        14.4946             7.5591              125.5444            
18        7.4431              7.2856              103.5276            
19        6.8909              7.1603              108.2300            
20        14.3216             10.6428             97.4353             
21        7.5143              16.3013             99.4840             
22        6.5029              11.1856             104.3573            
23        14.4479             9.8660              92.0144             
24        7.3100              8.9927              53.4511             
25        7.7148              7.6736              52.0390             
26        7.6711              11.5161             56.1492             
27        7.6880              13.3958             59.9497             
28        7.4880              8.5391              55.4414             
29        7.5547              7.2508              37.7354             
30        7.4586              9.3886              37.1948             
31        7.1418              11.6334             40.8607             
32        8.0843              7.3195              24.1842             
33        7.1617              7.4060              24.2873             
34        6.4376              7.3929              13.8611             
35        6.9746              9.6990              16.7040             
36        6.8646              7.4087              21.7818             
37        6.2575              10.3396             16.6299             
38        7.5830              9.3696              23.1560             
39        7.8343              7.4426              15.3036             
40        6.3012              7.2399              13.5786             
41        8.1993              10.6736             18.9043             
42        7.6455              7.2132              14.9032             
43        6.5704              10.3712             16.9738             
44        7.3128              7.3650              21.0382             
45        7.5692              7.5246              15.1260             
46        6.7887              7.5763              14.3955             
47        7.0728              9.4536              16.5660             
48        7.9778              11.0176             22.5198             
49        7.3203              9.3956              18.9410             
50        7.4448              7.7081              15.1837             
51        8.2731              9.4490              17.7486             
52        6.6375              7.7812              19.5447             
53        5.7529              7.7675              13.5504             
54        6.2881              10.1172             16.4503             
55        7.4709              7.9546              15.4628             
56        6.4918              7.3064              13.8252             
57        5.9126              7.9395              13.8844             
58        6.7269              10.3994             17.1543             
59        7.6366              7.5891              19.7642             
60        6.3884              8.0550              14.4743             
61        10.2835             15.7237             26.0358             
62        8.1460              7.2846              33.1419             
63        7.5519              10.3764             30.0218             
64        7.7611              10.9864             20.9975             
65        7.0668              9.3724              16.4663             
66        7.2247              7.2786              16.8993             
67        6.9988              8.6127              15.6590             
68        7.3807              7.5207              14.9305             
69        6.6234              7.3373              13.9894             
70        6.2735              10.0368             16.3429             
71        6.7770              7.2072              17.7342             
72        6.8125              9.8942              16.7355             
73        6.8304              10.3846             24.6842             
74        6.3614              7.5885              15.8199             
75        6.5210              9.4549              16.0047             
76        6.0419              7.2508              17.4350             
77        6.6626              12.8443             19.5683             
78        6.2957              8.1556              24.6719             
79        8.2471              10.3711             25.2150             
80        6.8778              7.7380              17.9239             
81        6.7627              7.6391              14.4305             
82        6.6695              9.8438              16.5468             
83        6.2813              7.3500              18.0488             
84        6.3544              7.2796              13.6627             
85        7.5679              7.2909              14.8872             
86        6.5408              7.6152              14.2015             
87        6.4160              7.9139              14.3552             
88        6.6479              10.3901             17.0716             
89        7.1729              7.2386              19.1878             
90        7.4437              10.3872             17.8603             
91        7.9894              8.3516              16.7164             
92        6.5271              7.7326              14.2884             
93        6.3829              9.8875              16.3004             
94        6.3783              11.8936             25.2611             
95        7.8745              7.8357              15.7379             
96        6.0857              7.4080              13.5238             
97        6.8546              10.5335             17.4136             
98        8.6248              9.8898              21.2205             
99        7.5491              7.7389              15.3175             
100       6.1608              7.6870              13.8952             
101       7.0217              12.6581             19.7090             
102       7.7995              11.3789             19.2275             
103       8.7051              7.4448              16.1785             
104       6.1543              7.7346              13.9143             
105       7.0747              10.2247             17.3329             
106       6.4154              10.6851             24.3343             
107       6.2944              7.3325              15.8519             
108       6.5938              7.7624              14.4075             
109       8.3577              9.5628              17.9483             
110       5.5832              8.2062              26.0457             
111       6.5571              13.8501             20.4335             
112       6.5558              7.8456              23.5488             
113       6.9484              7.4823              22.0729             
114       6.6877              14.5454             21.3417             
115       7.0764              7.6937              26.2941             
116       8.0144              7.4743              27.4318             
117       6.1800              10.2146             16.4369             
118       6.8007              9.1892              23.7490             
119       8.4204              7.7486              16.1974             
120       5.9661              7.7694              13.7862             
121       6.6879              10.1927             16.9099             
122       8.3440              7.4207              15.7950             
123       5.9132              11.2393             17.2007             
124       7.7166              7.7035              15.4491             
125       6.2875              7.5066              13.8353             
126       5.8083              7.9650              13.8006             
127       6.7496              8.0195              14.7971             
128       7.0977              7.7051              14.8356             
129       6.6102              9.5095              16.1497             
130       6.6173              8.1718              18.4294             
131       6.7476              7.6957              14.4729             
132       6.2882              9.8528              16.1705             
133       8.9834              8.2500              17.2663             
134       7.6458              7.8695              15.5428             
135       6.4266              7.3591              13.8142             
136       6.5501              9.0405              15.6233             
137       9.3908              7.8586              17.2807             
138       6.9221              7.5228              14.5060             
139       6.4774              9.3309              15.8383             
140       6.8473              7.9079              23.5299             
141       6.0911              11.4474             17.5692             
142       7.6490              7.2927              17.1134             
143       5.9852              10.0173             16.0330             
144       6.3521              7.6975              17.7609             
145       6.4129              7.2828              13.7217             
146       5.7119              11.5254             17.2653             
147       7.8257              7.7893              15.6443             
148       5.7506              7.8038              13.5832             
149       5.7178              8.0199              13.7789             
150       6.5976              7.8221              14.4487             
151       5.8071              11.6641             17.5024             
152       5.6860              9.0416              22.5812             
153       8.3460              7.0776              22.4816             
154       6.4595              12.1700             18.6596             
155       6.7054              10.4319             17.2747             
156       6.2929              7.6845              22.1583             
157       8.0503              9.5953              17.6888             
158       6.2923              7.7814              25.3199             
159       5.9239              9.8201              15.7856             
160       7.8539              7.6988              16.0744             
161       5.7932              7.2631              13.0823             
162       5.3810              7.6782              13.0866             
163       6.9820              7.9832              14.9913             
164       5.8547              7.5870              13.4708             
165       5.6865              7.7459              13.4588             
166       6.4750              7.9638              14.4750             
167       5.9601              7.7189              13.7065             
168       6.4912              9.8055              16.3271             
169       6.9237              7.8476              15.5032             
170       6.4921              10.0088             16.5351             
171       6.0369              7.7999              18.4200             
172       5.6435              8.0601              13.7326             
173       6.4584              7.7200              14.2095             
174       5.4985              10.6805             16.2085             
175       6.7908              7.9588              20.1302             
176       6.6081              10.6211             17.2737             
177       6.8989              7.2916              17.6645             
178       5.9636              9.9750              15.9673             
179       7.4154              8.0818              20.9505             
180       5.5395              7.3924              12.9630             
181       7.7278              9.7173              17.4715             
182       7.4353              7.4701              22.0551             
183       6.5604              7.7197              14.3071             
184       6.4411              10.7331             17.2134             
185       8.1996              8.1186              19.4265             
186       7.3859              11.7305             19.1426             
187       7.3681              7.8023              17.3412             
188       8.4806              12.4428             20.9714             
189       6.3151              12.5961             27.3054             
190       7.5113              7.3645              29.6637             
191       7.9171              8.0857              23.0122             
192       7.8903              7.9336              15.8570             
193       7.0963              7.9644              15.1398             
194       7.4008              9.8944              17.3264             
195       6.6444              10.0069             19.5335             
196       6.5256              7.6529              14.2063             
197       6.9486              9.7548              16.7600             
198       7.3543              7.9167              15.3071             
199       6.4336              13.0112             19.4746             
200       6.2409              7.9624              21.7085             
201       7.9394              10.9875             26.0582             
202       9.7041              7.8267              17.5637             
203       5.8233              10.0985             15.9483             
204       6.5751              7.5899              16.5568             
205       8.1192              9.5170              17.6630             
206       6.9570              7.8969              14.8891             
207       6.1298              7.4905              13.6468             
208       5.6708              7.2889              12.9912             
209       6.4921              11.0985             17.6187             
210       7.2325              12.2995             20.8185             
211       7.2902              8.7417              29.4097             
212       7.5473              9.3020              23.0349             
213       6.0006              7.9289              13.9585             
214       6.3044              7.9554              14.2905             
215       6.3164              7.6104              13.9533             
216       5.8176              9.7879              15.6367             
217       6.9701              9.8224              23.0948             
218       8.2716              7.1536              15.6403             
219       5.9784              7.8850              13.8941             
220       6.2565              7.6414              13.9244             
221       5.9671              7.4541              13.4710             
222       6.7545              7.2093              13.9932             
223       6.3226              7.6919              14.0403             
