Frame     E2E latency(ms)     
102       89 ms               
103       88 ms               
104       88 ms               
105       101 ms              
106       104 ms              
107       110 ms              
108       117 ms              
109       160 ms              
110       150 ms              
111       157 ms              
112       156 ms              
113       160 ms              
114       172 ms              
115       178 ms              
116       181 ms              
117       185 ms              
118       197 ms              
119       212 ms              
120       216 ms              
121       240 ms              
122       241 ms              
123       244 ms              
124       254 ms              
125       264 ms              
126       263 ms              
127       271 ms              
128       285 ms              
129       289 ms              
130       300 ms              
131       307 ms              
132       315 ms              
133       322 ms              
134       334 ms              
135       338 ms              
136       344 ms              
137       354 ms              
138       365 ms              
139       372 ms              
140       385 ms              
141       392 ms              
142       395 ms              
143       397 ms              
144       401 ms              
145       404 ms              
146       402 ms              
147       407 ms              
148       405 ms              
149       403 ms              
150       408 ms              
151       407 ms              
152       403 ms              
153       412 ms              
154       413 ms              
155       413 ms              
156       409 ms              
157       427 ms              
158       423 ms              
159       418 ms              
160       422 ms              
161       419 ms              
162       408 ms              
163       409 ms              
164       408 ms              
165       402 ms              
166       397 ms              
167       388 ms              
168       382 ms              
169       378 ms              
170       368 ms              
171       364 ms              
172       363 ms              
173       354 ms              
174       352 ms              
175       347 ms              
176       343 ms              
177       338 ms              
178       328 ms              
179       326 ms              
180       314 ms              
181       316 ms              
182       300 ms              
183       289 ms              
184       277 ms              
185       271 ms              
186       260 ms              
187       246 ms              
188       249 ms              
189       244 ms              
190       235 ms              
191       233 ms              
192       228 ms              
193       224 ms              
194       219 ms              
195       209 ms              
196       204 ms              
197       194 ms              
198       194 ms              
199       189 ms              
200       185 ms              
201       180 ms              
202       175 ms              
203       171 ms              
204       166 ms              
205       155 ms              
206       151 ms              
207       140 ms              
208       129 ms              
209       120 ms              
210       108 ms              
211       104 ms              
212       93 ms               
213       89 ms               
214       78 ms               
215       72 ms               
216       57 ms               
217       57 ms               
218       55 ms               
219       64 ms               
220       64 ms               
221       54 ms               
222       58 ms               
223       57 ms               
224       57 ms               
225       62 ms               
226       63 ms               
227       63 ms               
228       53 ms               
229       61 ms               
230       57 ms               
231       55 ms               
232       49 ms               
233       58 ms               
234       58 ms               
235       59 ms               
236       59 ms               
237       62 ms               
238       55 ms               
239       53 ms               
240       58 ms               
241       84 ms               
242       68 ms               
243       62 ms               
244       57 ms               
245       54 ms               
246       70 ms               
247       70 ms               
248       72 ms               
249       66 ms               
250       68 ms               
