Frame     Decode Time (ms)    Encode Time (ms)    Transcode Time (ms) 
1         19.5200             14.2609             33.8233             
2         12.1767             11.0357             44.8401             
3         12.6768             8.5933              53.4429             
4         11.8032             7.8923              63.9617             
5         12.4602             6.3976              74.8889             
6         11.7758             9.0122              89.2518             
7         6.9217              12.0392             101.3388            
8         7.5762              16.3834             117.7387            
9         7.3992              13.3644             131.1309            
10        5.2125              9.9495              141.1243            
11        7.2709              13.2504             155.3525            
12        5.6613              9.6193              164.9759            
13        4.5707              9.7031              174.7067            
14        6.7210              10.9540             189.3400            
15        5.4951              11.0973             200.4992            
16        11.2827             11.4598             216.0987            
17        7.4656              10.7143             227.0593            
18        9.9026              11.6780             241.3981            
19        8.4064              11.1764             252.5938            
20        11.0949             10.5410             265.8543            
21        7.2375              10.2492             276.0974            
22        7.9641              11.4797             287.5814            
23        11.1238             13.3439             302.0144            
24        6.1638              13.9197             318.9842            
25        7.7560              8.7842              327.8177            
26        10.5592             11.9098             342.1393            
27        8.8042              11.5223             353.6926            
28        6.2149              9.9597              363.9270            
29        10.6534             9.7086              373.6490            
30        7.3235              11.3204             384.9847            
31        8.3066              10.7971             395.8050            
32        7.3517              11.8157             409.8482            
33        10.1774             9.3681              419.2273            
34        6.0469              12.1799             434.8222            
35        12.1903             10.6958             445.4926            
36        7.0882              10.9198             460.1559            
37        6.1783              9.9808              470.1131            
38        10.4377             9.7443              476.1137            
39        7.4050              9.3354              456.2602            
40        5.8995              12.3966             466.1991            
41        13.1425             9.5423              463.1719            
42        9.5619              16.7798             464.9651            
43        6.6647              10.8695             431.0429            
44        7.5002              11.5217             438.7064            
45        7.3555              11.8502             439.7172            
46        10.4646             11.1756             435.0932            
47        7.1893              11.2663             437.2915            
48        6.9886              8.6343              398.5839            
49        10.4506             11.4972             397.5151            
50        7.3203              10.5938             406.7573            
51        9.1754              10.0292             406.6704            
52        10.9958             10.8942             390.9220            
53        8.5269              6.4186              384.3967            
54        8.2657              9.5814              378.4858            
55        8.3572              13.7406             389.1781            
56        6.6286              10.6678             394.5094            
57        10.5291             8.4987              390.8385            
58        7.9466              11.3539             354.9411            
59        7.3059              6.4666              356.2251            
60        11.3293             6.6257              354.2857            
61        11.4731             6.0749              336.8583            
62        7.3128              5.8318              307.4412            
63        11.1451             6.1179              308.8079            
64        7.7714              9.5350              310.6202            
65        6.7525              6.4161              308.7974            
66        10.7792             14.2350             305.2102            
