Frame     E2E latency(ms)            
99        85 ms               
100       128 ms              
101       126 ms              
102       115 ms              
103       110 ms              
104       130 ms              
105       129 ms              
106       120 ms              
107       111 ms              
108       106 ms              
109       139 ms              
110       141 ms              
111       136 ms              
112       127 ms              
113       129 ms              
114       113 ms              
115       102 ms              
116       153 ms              
117       159 ms              
118       144 ms              
119       134 ms              
120       137 ms              
121       213 ms              
122       208 ms              
123       207 ms              
124       201 ms              
125       206 ms              
126       191 ms              
127       178 ms              
128       167 ms              
129       161 ms              
130       304 ms              
131       301 ms              
132       306 ms              
133       294 ms              
134       294 ms              
135       298 ms              
136       292 ms              
137       289 ms              
138       290 ms              
139       283 ms              
140       275 ms              
141       267 ms              
142       260 ms              
143       250 ms              
144       248 ms              
145       240 ms              
146       233 ms              
147       232 ms              
148       225 ms              
149       215 ms              
150       205 ms              
151       195 ms              
152       198 ms              
153       190 ms              
154       182 ms              
155       185 ms              
156       184 ms              
157       173 ms              
158       167 ms              
159       160 ms              
160       149 ms              
161       150 ms              
162       140 ms              
163       134 ms              
164       126 ms              
165       116 ms              
166       105 ms              
167       100 ms              
168       89 ms               
169       86 ms               
170       157 ms              
171       156 ms              
172       154 ms              
173       156 ms              
174       147 ms              
175       146 ms              
176       140 ms              
177       123 ms              
178       114 ms              
179       107 ms              
180       99 ms               
181       145 ms              
182       137 ms              
183       136 ms              
184       128 ms              
185       119 ms              
186       114 ms              
187       185 ms              
188       181 ms              
189       168 ms              
190       161 ms                      
233       81 ms               
234       155 ms              
235       167 ms              
236       168 ms              
237       165 ms              
238       163 ms              
239       145 ms              
240       139 ms              
241       137 ms              
242       126 ms              
243       113 ms              
244       109 ms              
245       100 ms              
246       98 ms               
247       89 ms               
248       88 ms               
249       72 ms               
250       87 ms               
251       76 ms               
252       71 ms               
253       141 ms              
254       136 ms              
255       135 ms              
256       131 ms              
257       130 ms              
258       114 ms              
259       111 ms              
260       97 ms               
261       88 ms               
262       85 ms               
263       75 ms               
264       137 ms              
265       124 ms              
266       114 ms              
267       147 ms              
268       145 ms              
269       140 ms              
270       131 ms              
271       121 ms              
272       151 ms              
273       138 ms              
274       134 ms              
275       128 ms              
276       126 ms              
277       125 ms              
278       112 ms              
279       112 ms              
280       101 ms              
281       92 ms               
282       87 ms               
283       79 ms               
284       70 ms               
285       65 ms               
286       61 ms               
287       49 ms               
288       56 ms               
289       52 ms               
290       61 ms               
291       51 ms               
292       55 ms               
293       49 ms               
294       58 ms               
295       47 ms               
296       58 ms               
297       49 ms               
298       55 ms               
299       52 ms               
300       50 ms               
301       54 ms               
302       54 ms               
303       49 ms               
304       48 ms               
305       71 ms               
306       82 ms               
307       84 ms               
308       72 ms               
309       57 ms               
310       60 ms               
311       54 ms               
312       54 ms               
313       61 ms               
314       55 ms               
315       50 ms               
316       67 ms               
317       89 ms               
318       78 ms               
319       68 ms               
320       59 ms               
321       62 ms               
322       55 ms               
323       55 ms               
324       60 ms               
325       67 ms               
326       55 ms               
327       52 ms               
328       61 ms               
329       50 ms               
330       63 ms               
331       57 ms               
332       55 ms               
333       56 ms               
334       110 ms              
335       112 ms              
336       102 ms              
337       98 ms               
338       93 ms               
339       98 ms               
340       80 ms               
341       69 ms               
342       60 ms               
343       73 ms               
344       88 ms               
345       73 ms               
346       125 ms              
347       128 ms              
348       125 ms              
349       120 ms              
350       112 ms              
351       107 ms              
352       100 ms              
353       90 ms               
354       86 ms               
355       81 ms               
356       69 ms               
357       63 ms               
358       69 ms               
359       63 ms               
360       56 ms               
361       83 ms               
362       74 ms               
363       66 ms               
364       55 ms               
365       52 ms               
366       61 ms               
367       67 ms               
368       88 ms               
369       80 ms               
370       74 ms               
371       64 ms               
372       55 ms               
373       58 ms               
374       57 ms               
375       56 ms               
376       54 ms               
377       62 ms               
378       54 ms               
379       65 ms               
380       60 ms               
381       53 ms               
382       57 ms               
383       48 ms               
384       89 ms               
385       80 ms               
386       191 ms              
387       199 ms              
388       186 ms              
389       181 ms              
390       183 ms              
391       169 ms              
392       160 ms               
449       93 ms               
450       100 ms              
451       85 ms               
452       74 ms               
453       70 ms               
454       95 ms               
455       84 ms               
456       72 ms               
457       80 ms               
458       74 ms               
459       71 ms               
460       60 ms               
461       63 ms               
462       52 ms               
463       47 ms               
464       55 ms               
465       57 ms               
466       66 ms               
467       145 ms              
468       147 ms              
469       147 ms              
470       141 ms              
471       134 ms              
472       129 ms              
473       126 ms              
474       114 ms              
475       104 ms              
476       94 ms               
477       86 ms               
478       164 ms              
479       163 ms              
480       155 ms              
481       153 ms              
482       150 ms              
483       137 ms              
484       137 ms              
485       130 ms              
486       119 ms              
487       109 ms              
488       108 ms              
489       101 ms              
490       88 ms               
491       78 ms               
492       70 ms               
493       152 ms              
494       153 ms              
495       156 ms              
496       142 ms              
497       142 ms              
498       134 ms              
499       125 ms              
500       124 ms              
501       116 ms              
502       110 ms              
503       155 ms              
504       147 ms              
505       144 ms              
506       142 ms              
507       138 ms              
508       127 ms              
509       126 ms              
510       108 ms              
511       105 ms              
512       93 ms               
513       90 ms               
514       79 ms               
515       144 ms              
516       134 ms              
517       136 ms              
518       118 ms              
519       140 ms              
520       144 ms              
521       136 ms              
522       137 ms              
523       140 ms              
524       126 ms              
525       126 ms              
526       109 ms              
527       111 ms              
528       97 ms               
529       99 ms               
530       95 ms               
531       91 ms               
532       80 ms               
533       64 ms               
534       60 ms               
535       54 ms               
536       83 ms               
537       139 ms              
538       138 ms              
539       125 ms              
540       115 ms              
541       156 ms              
542       158 ms              
543       154 ms              
544       136 ms              
545       125 ms              
546       127 ms              
547       125 ms              
548       111 ms              
549       110 ms              
550       98 ms               
551       108 ms              
552       106 ms              
553       96 ms               
554       92 ms               
555       88 ms               
556       80 ms               
557       78 ms               
558       60 ms               
559       53 ms               
560       64 ms               
561       139 ms              
562       139 ms              
563       132 ms              
564       134 ms              
565       128 ms              
566       117 ms              
567       108 ms              
568       100 ms              
569       89 ms               
570       135 ms              
571       133 ms              
572       124 ms              
573       114 ms              
574       143 ms              
575       138 ms              
576       132 ms              
577       122 ms              
578       119 ms              
579       121 ms              
580       113 ms              
581       103 ms              
582       94 ms               
583       92 ms               
584       85 ms               
585       80 ms               
586       69 ms               
587       64 ms               
588       64 ms               
589       52 ms               
590       56 ms               
591       46 ms               
592       71 ms               
593       64 ms               
594       54 ms               
595       57 ms               
596       53 ms               
597       58 ms               
598       58 ms               
599       62 ms               
600       51 ms               
601       149 ms              
602       161 ms              
603       145 ms              
604       137 ms              
605       127 ms              
606       118 ms              
607       147 ms              
608       141 ms              
609       139 ms              
610       129 ms              
611       116 ms              
612       140 ms              
613       139 ms              
614       128 ms              
615       124 ms              
616       116 ms              
617       103 ms              
618       102 ms              
619       88 ms               
620       136 ms              
621       131 ms              
622       121 ms              
623       117 ms              
624       106 ms              
625       149 ms              
626       142 ms              
627       149 ms              
628       135 ms              
629       139 ms              
630       130 ms              
631       123 ms              
632       114 ms              
633       106 ms              
634       99 ms               
635       91 ms               
636       86 ms               
637       75 ms               
638       74 ms               
639       62 ms               
640       61 ms               
641       154 ms              
642       148 ms              
643       145 ms              
644       140 ms              
645       134 ms              
646       131 ms              
647       121 ms              
648       110 ms              
649       102 ms              
650       89 ms               
651       202 ms              
652       202 ms              
653       195 ms              
654       185 ms              
655       181 ms              
656       168 ms              
657       161 ms              
658       152 ms              
659       151 ms                    
728       92 ms               
729       94 ms               
730       77 ms               
731       74 ms               
732       64 ms               
733       99 ms               
734       82 ms               
735       78 ms               
736       68 ms               
737       80 ms               
738       145 ms              
739       146 ms              
740       136 ms              
741       132 ms              
742       127 ms              
743       120 ms              
744       117 ms              
745       106 ms              
746       93 ms               
747       100 ms              
748       89 ms               
749       80 ms               
750       74 ms               
751       63 ms               
752       59 ms               
753       55 ms               
754       67 ms               
755       59 ms               
756       59 ms               
757       62 ms               
758       56 ms               
759       46 ms               
760       66 ms               
761       59 ms               
762       54 ms               
763       60 ms               
764       51 ms               
765       57 ms               
766       47 ms               
767       61 ms               
768       54 ms               
769       63 ms               
770       52 ms               
771       48 ms               
772       48 ms               
773       58 ms               
774       48 ms               
775       52 ms               
776       62 ms               
777       50 ms               
778       48 ms               
779       59 ms               
780       63 ms               
781       63 ms               
782       54 ms               
783       56 ms               
784       45 ms               
785       55 ms               
786       64 ms               
787       53 ms               
788       55 ms               
789       63 ms               
790       60 ms               
791       52 ms               
792       65 ms               
793       53 ms               
794       67 ms               
795       85 ms               
796       80 ms               
797       67 ms               
798       74 ms               
799       70 ms               
800       58 ms               
801       54 ms               
802       60 ms               
803       53 ms               
804       44 ms               
805       216 ms              
806       209 ms              
807       215 ms              
808       206 ms              
809       202 ms              
810       202 ms              
811       196 ms              
812       202 ms              
813       192 ms              
814       187 ms              
815       177 ms              
816       164 ms              
817       161 ms              
818       154 ms              
819       149 ms              
820       138 ms              
821       126 ms              
822       123 ms              
823       116 ms              
824       107 ms              
825       101 ms              
826       94 ms               
827       85 ms               
828       78 ms               
829       71 ms               
830       61 ms               
831       55 ms               
832       45 ms               
833       59 ms               
834       62 ms               
835       52 ms               
836       48 ms               
837       58 ms               
838       59 ms               
839       54 ms               
840       47 ms               
841       97 ms               
842       100 ms              
843       90 ms               
844       78 ms               
845       76 ms               
846       70 ms               
847       58 ms               
848       62 ms               
849       54 ms               
850       51 ms               
851       52 ms               
852       52 ms               
853       59 ms               
854       53 ms               
855       55 ms               
856       53 ms               
857       75 ms               
858       69 ms               
859       60 ms               
860       54 ms               
861       46 ms               
862       52 ms               
863       53 ms               
864       56 ms               
865       52 ms               
866       46 ms               
867       67 ms               
868       58 ms               
869       55 ms               
870       50 ms               
871       45 ms               
872       55 ms               
873       49 ms               
874       59 ms               
875       47 ms               
876       49 ms               
877       146 ms              
878       146 ms              
879       139 ms              
880       138 ms              
881       133 ms              
882       133 ms              
883       122 ms              
884       112 ms              
885       117 ms              
886       102 ms              
887       91 ms               
888       92 ms               
889       93 ms               
890       73 ms               
891       66 ms               
892       55 ms               
893       53 ms               
894       53 ms               
895       55 ms               
896       57 ms               
897       54 ms               
898       46 ms               
899       57 ms               
900       47 ms               
901       63 ms               
902       50 ms               
903       50 ms               
904       54 ms               
905       45 ms               
906       61 ms               
907       46 ms               
908       64 ms               
909       58 ms               
910       223 ms              
911       214 ms              
912       209 ms              
913       207 ms              
914       210 ms              
915       204 ms              
916       204 ms              
917       194 ms              
918       188 ms              
919       180 ms              
920       169 ms              
921       160 ms              
922       150 ms              
923       138 ms              
924       128 ms              
925       150 ms              
926       148 ms              
927       144 ms              
928       135 ms              
929       136 ms              
930       130 ms              
931       115 ms              
932       108 ms              
933       95 ms               
934       149 ms              
935       158 ms              
936       149 ms              
937       149 ms              
938       141 ms              
939       134 ms              
940       122 ms              
941       120 ms              
942       107 ms              
943       104 ms              
944       92 ms               
945       148 ms              
946       149 ms              
947       144 ms              
948       137 ms              
949       143 ms              
950       127 ms              
951       117 ms              
952       104 ms              
953       157 ms              
954       152 ms              
955       147 ms              
956       144 ms              
957       149 ms              
958       144 ms              
959       133 ms              
960       131 ms              
961       130 ms              
962       122 ms              
963       113 ms              
964       103 ms              
965       92 ms               
966       86 ms               
967       79 ms               
968       70 ms               
969       64 ms               
970       59 ms               
971       62 ms               
972       60 ms               
973       49 ms               
974       59 ms               
975       47 ms               
976       59 ms               
977       69 ms               
978       63 ms               
979       61 ms               
980       58 ms               
981       48 ms               
982       73 ms               
983       87 ms               
984       80 ms               
985       78 ms               
986       68 ms               
987       63 ms               
988       73 ms               
989       134 ms              
990       130 ms              
991       129 ms              
992       130 ms              
993       116 ms              
994       104 ms              
995       93 ms               
996       155 ms              
997       156 ms              
998       152 ms              
999       148 ms              
1000      152 ms              
1001      140 ms              
1002      139 ms              
1003      130 ms              
1004      130 ms              
1005      118 ms              
1006      109 ms              
1007      92 ms               
1008      88 ms               
1009      81 ms               
1010      158 ms              
1011      160 ms              
1012      155 ms              
1013      142 ms              
1014      141 ms              
1015      138 ms              
1016      126 ms              
1017      129 ms              
1018      123 ms              
1019      127 ms              
1020      113 ms              
1021      108 ms              
1022      102 ms              
1023      90 ms               
1024      81 ms               
1025      71 ms               
1026      113 ms              
1027      107 ms              
1028      100 ms              
1029      96 ms               
1030      85 ms               
1031      74 ms               
1032      150 ms              
1033      147 ms              
1034      146 ms              
1035      136 ms              
1036      125 ms              
1037      112 ms              
1038      135 ms              
1039      132 ms              
1040      126 ms              
1041      117 ms              
1042      108 ms              
1043      111 ms              
1044      112 ms              
1045      100 ms              
1046      96 ms               
1047      87 ms               
1048      87 ms               
1049      93 ms               
1050      80 ms               
1051      70 ms               
1052      65 ms               
1053      57 ms               
1054      62 ms               
1055      53 ms               
1056      49 ms               
1057      149 ms              
1058      150 ms              
1059      142 ms              
1060      139 ms              
1061      131 ms              
1062      119 ms              
1063      117 ms              
1064      104 ms              
1065      155 ms              
1066      155 ms              
1067      153 ms              
1068      142 ms              
1069      137 ms              
1070      126 ms              
1071      190 ms              
1072      187 ms              
1073      187 ms              
