Frame     E2E latency(ms)     
52        90 ms               
53        80 ms               
54        83 ms               
55        66 ms               
56        156 ms              
57        145 ms              
58        143 ms              
59        131 ms              
60        120 ms              
61        230 ms              
62        229 ms              
63        212 ms              
64        204 ms              
65        195 ms              
66        187 ms              
67        178 ms                     
127       99 ms               
128       149 ms              
129       148 ms              
130       145 ms              
131       148 ms              
132       129 ms              
133       132 ms              
134       111 ms              
135       147 ms              
136       140 ms              
137       129 ms              
138       124 ms              
139       161 ms              
140       163 ms              
141       150 ms              
142       149 ms              
143       149 ms              
144       149 ms              
145       133 ms              
146       128 ms              
147       125 ms              
148       119 ms              
149       116 ms              
150       99 ms               
151       95 ms               
152       86 ms               
153       81 ms               
154       77 ms               
155       66 ms               
156       54 ms               
157       148 ms              
158       139 ms              
159       138 ms              
160       139 ms              
161       127 ms              
162       126 ms              
163       119 ms              
164       105 ms              
165       97 ms               
166       101 ms              
167       89 ms               
168       85 ms               
169       74 ms               
170       64 ms               
171       65 ms               
172       54 ms               
173       56 ms               
174       53 ms               
175       45 ms               
176       65 ms               
177       59 ms               
178       51 ms               
179       78 ms               
180       134 ms              
181       131 ms              
182       126 ms              
183       116 ms              
184       109 ms              
185       113 ms              
186       110 ms              
187       102 ms              
188       102 ms              
189       226 ms              
190       221 ms              
191       215 ms              
192       213 ms              
193       208 ms              
194       198 ms              
195       193 ms              
196       188 ms              
197       176 ms              
198       220 ms              
199       219 ms              
200       214 ms              
201       205 ms              
202       195 ms              
203       185 ms              
204       181 ms              
205       307 ms              
209       255 ms              
210       252 ms              
211       251 ms              
212       236 ms              
213       238 ms              
214       240 ms              
215       237 ms              
216       228 ms              
217       221 ms              
218       206 ms              
219       197 ms              
220       195 ms              
221       188 ms              
222       171 ms              
223       162 ms              
224       157 ms              
225       170 ms              
226       167 ms              
227       163 ms              
228       158 ms              
229       155 ms              
230       146 ms              
231       139 ms              
232       130 ms              
233       118 ms              
234       121 ms              
235       119 ms              
236       116 ms              
237       107 ms              
238       110 ms              
239       98 ms               
240       90 ms               
241       83 ms               
242       80 ms               
243       79 ms               
244       76 ms               
245       82 ms               
246       76 ms               
247       77 ms               
248       60 ms               
249       57 ms               
250       66 ms               
251       50 ms               
252       54 ms               
253       153 ms              
254       150 ms              
255       144 ms              
256       138 ms              
257       127 ms              
258       130 ms              
259       118 ms              
260       107 ms              
261       107 ms              
262       101 ms              
263       94 ms               
264       82 ms               
265       78 ms               
266       72 ms               
267       55 ms               
268       71 ms               
269       106 ms              
270       107 ms              
271       104 ms              
272       90 ms               
273       86 ms               
274       75 ms               
275       68 ms               
276       60 ms               
277       64 ms               
278       51 ms               
279       61 ms               
280       121 ms              
281       110 ms              
282       134 ms              
283       131 ms              
284       122 ms              
285       115 ms              
286       120 ms              
287       105 ms              
288       103 ms              
289       90 ms               
290       80 ms               
291       71 ms               
292       106 ms              
293       93 ms               
294       86 ms               
295       86 ms               
296       70 ms               
297       70 ms               
298       57 ms               
299       48 ms               
300       46 ms               
301       85 ms               
302       70 ms               
303       109 ms              
304       108 ms              
305       99 ms               
306       90 ms               
